,09-JUL-2013
The Nifty witnessed an intraday movement of about 30.35 points.The closing index was 0.82 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 9228.88
, Traded Quantity (in Lakhs), 5230.56
, Number of Trades, 5078938
, Total Market Capitalisation (Rs. Crores), 6265929.48

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      5811.55,      5834.60,      5864.95,      5834.60,      5859.00,47.45
,CNX IT,      6607.95,      6609.00,      6681.75,      6609.00,      6653.90,45.95
,CNX Nifty Junior,     11684.45,     11737.35,     11854.00,     11737.35,     11839.75,155.3
,BANK Nifty,     11283.30,     11365.20,     11458.30,     11353.05,     11442.45,159.15
,CNX Midcap,      7360.30,      7392.60,      7423.40,      7372.90,      7418.55,58.25
,CNX 500,      4501.25,      4518.90,      4542.00,      4518.90,      4539.95,38.7
,CNX 100,      5720.75,      5743.95,      5775.85,      5743.95,      5771.85,51.1
,Nifty Midcap 50,      1909.40,      1922.95,      1936.45,      1912.35,      1934.35,24.95
,CNX Realty,       187.95,       189.90,       192.00,       187.75,       191.55,3.6
,CNX Infra,      2262.80,      2282.85,      2297.65,      2276.40,      2293.25,30.45
,CNX Energy,      7848.15,      7887.85,      7944.10,      7869.20,      7909.65,61.5
,CNX FMCG,     17748.30,     17729.35,     17833.75,     17729.10,     17782.50,34.2
,CNX MNC,      5756.45,      5771.65,      5771.70,      5746.20,      5765.10,8.65
,CNX Pharma,      6979.35,      7001.60,      7129.15,      7001.60,      7097.45,118.1
,CNX PSE,      2608.80,      2627.30,      2636.00,      2611.75,      2623.70,14.9
,CNX PSU Bank,      2638.75,      2662.65,      2698.35,      2658.15,      2688.25,49.5
,CNX Service,      6873.10,      6908.30,      6954.00,      6908.30,      6948.95,75.85
,India VIX,        19.34,        19.34,        19.53,        18.41,        19.32,-.02
,CNX AUTO,      4524.60,      4534.35,      4551.70,      4509.30,      4535.10,10.5
,CNX Metal,      1911.25,      1921.80,      1932.05,      1900.95,      1917.75,6.5
,CNX Media,      1675.60,      1683.10,      1697.70,      1678.45,      1694.35,18.75
,CNX Smallcap,      2908.30,      2915.30,      2941.10,      2915.30,      2936.80,28.5
,CNX 200,      2906.60,      2918.30,      2933.95,      2918.30,      2932.25,25.65
,CNX Dividend Oppt,      1598.05,      1606.55,      1613.75,      1604.90,      1610.20,12.15
,CNX Commodities,      2110.65,      2125.95,      2132.25,      2111.10,      2123.75,13.1
,CNX Consumption,      2445.10,      2451.85,      2461.20,      2450.65,      2456.60,11.5
,CNX Finance,      4691.75,      4719.25,      4755.45,      4718.25,      4749.85,58.1
,Nifty Dividend,        47.01,        47.01,        47.01,        47.01,        47.01,0
,LIX 15,      2369.85,      2383.80,      2395.95,      2371.70,      2390.25,20.4

,ADVANCES,817
,DECLINES,480
,UNCHANGED,94

,Total securities that have hit their price bands today,96

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,      1873.20,      1894.65,1.15,433.57
,ICICIBANK,EQ,      1027.95,      1034.35,0.62,399.05
,MCDOWELL-N,EQ,      2561.85,      2647.30,3.34,360.53
,RCOM,EQ,       145.20,       142.45,-1.89,298.22
,INFY,EQ,      2468.15,      2498.20,1.22,268.83
,HDFC,EQ,       824.05,       830.05,0.73,268.46
,RELCAPITAL,EQ,       370.15,       381.05,2.94,266.24
,RELIANCE,EQ,       866.95,       874.80,0.91,258.38
,RPOWER,EQ,        71.30,        75.80,6.31,204.56
,TATAMOTORS,EQ,       287.80,       289.10,0.45,203.4
,ITC,EQ,       346.70,       347.45,0.22,160.99
,HEROMOTOCO,EQ,      1653.65,      1659.70,0.37,159.23
,JUSTDIAL,EQ,       681.00,       718.10,5.45,155.78
,RELINFRA,EQ,       368.70,       379.30,2.87,151.49
,LT,EQ,      1403.05,      1428.30,1.8,126.74
,SUNPHARMA,EQ,      1042.65,      1079.70,3.55,119.59
,HDFCBANK,EQ,       660.45,       670.30,1.49,117.95
,AXISBANK,EQ,      1252.55,      1264.35,0.94,116.92
,LICHSGFIN,EQ,       224.75,       227.65,1.29,114.6
,M&M,EQ,       947.70,       938.10,-1.01,105.71
,ONGC,EQ,       303.85,       302.15,-0.56,105.68
,UNITECH,EQ,        20.20,        20.30,0.5,102.04
,KTKBANK,EQ,       107.80,       114.75,6.45,101.51
,LUPIN,EQ,       828.05,       835.50,0.9,98.63
,YESBANK,EQ,       466.80,       478.65,2.54,97.7

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,POWERGRID,EQ,       109.85,       105.30,4.32
,SUNPHARMA,EQ,      1079.70,      1042.65,3.55
,KOTAKBANK,EQ,       714.05,       692.25,3.15
,RELINFRA,EQ,       379.30,       368.70,2.87
,BANKBARODA,EQ,       568.50,       554.85,2.46

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JINDALSTEL,EQ,       217.10,       221.75,-2.1
,M&M,EQ,       938.10,       947.70,-1.01
,HINDUNILVR,EQ,       604.95,       609.70,-0.78
,BHARTIARTL,EQ,       291.65,       293.60,-0.66
,ONGC,EQ,       302.15,       303.85,-0.56

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.35,                   472172.55,15522
,3IINFOTECH,EQ,         4.95,                  2896622.95,576988
,3MINDIA,EQ,      3468.60,                 50481567.90,14548
,A2ZMES,EQ,        12.80,                   560390.20,43920
,AANJANEYA,EQ,        46.60,                   565326.65,11988
,AARTIDRUGS,EQ,       197.85,                   235977.35,1193
,AARTIIND,EQ,        76.75,                  3150323.25,40286
,AARVEEDEN,EQ,        37.00,                    21371.90,582
,ABAN,EQ,       244.45,                 22324003.40,90978
,ABB,EQ,       594.60,                 31395137.00,52452
,ABBOTINDIA,EQ,      1434.65,                   931579.95,651
,ABCIL,EQ,        73.55,                   288617.70,3903
,ABGSHIP,EQ,       282.25,                  2413294.25,8453
,ACCELYA,EQ,       547.20,                 45122888.95,83135
,ACE,EQ,        12.00,                  1030792.80,85795
,ACROPETAL,EQ,         4.95,                   111991.00,22388
,ADANIPOWER,EQ,        40.50,                140768445.05,3486172
,ADFFOODS,EQ,        45.20,                    18256.90,402
,ADHUNIK,EQ,        23.50,                   745757.00,31759
,ADORWELD,EQ,       122.45,                   137147.95,1122
,ADSL,EQ,        12.15,                   129166.65,10631
,ADVANTA,EQ,       155.20,                 28115421.25,177723
,AEGISCHEM,EQ,       128.45,                   301062.80,2331
,AFL,EQ,        22.90,                     9717.90,424
,AFTEK,EQ,         4.70,                   200780.95,42335
,AGCNET,EQ,        86.15,                   449327.95,5216
,AHLUCONT,BE,        27.95,                   162541.70,5766
,AHLWEST,EQ,        95.00,                     3325.00,35
,AHMEDFORGE,EQ,        98.45,                   531055.45,5351
,AIAENG,EQ,       325.80,                   180489.95,554
,AIL,EQ,       344.80,                  4570008.65,13249
,AJANTPHARM,EQ,       999.00,                 87763531.95,87253
,AJMERA,EQ,        80.40,                   276595.20,3517
,AKSHOPTFBR,EQ,        17.10,                  1584454.05,91949
,AKZOINDIA,EQ,      1100.80,                  2541620.50,2313
,ALBK,EQ,        91.65,                180178255.95,1990148
,ALCHEM,EQ,        28.00,                   133268.00,4696
,ALEMBICLTD,EQ,        22.80,                  6511800.45,282665
,ALICON,EQ,        59.00,                       59.00,1
,ALKALI,EQ,        18.65,                    33342.45,1802
,ALKYLAMINE,EQ,       140.00,                   138320.00,988
,ALLCARGO,EQ,        83.00,                   536474.10,6455
,ALLSEC,EQ,        33.00,                    82500.00,2500
,ALOKTEXT,EQ,         7.15,                 72047549.45,10088649
,ALPA,EQ,         6.15,                     2091.00,340
,ALPHAGEO,EQ,        24.55,                    14540.15,590
,ALPSINDUS,EQ,         1.35,                     2565.00,1900
,ALSTOMT&D,EQ,       163.15,                  7413025.95,44793
,AMAR,EQ,         6.85,                   260398.10,37730
,AMARAJABAT,EQ,       261.10,                 79599760.35,302069
,AMARJOTHI,EQ,        46.20,                     4620.00,100
,AMBIKCO,EQ,       210.05,                  4201000.00,20000
,AMDIND,EQ,        10.05,                     3688.10,368
,AMRUTANJAN,EQ,       121.55,                  1453082.05,11939
,AMTEKAUTO,EQ,        69.90,                  8198585.15,117462
,AMTEKINDIA,EQ,        65.60,                  1878131.20,28341
,AMTL,EQ,        20.80,                      104.00,5
,ANANTRAJ,EQ,        55.45,                224946393.35,4091848
,ANDHRABANK,EQ,        86.50,                125864981.05,1463706
,ANDHRACEMT,EQ,         6.00,                    30360.00,5065
,ANDHRSUGAR,EQ,       118.50,                   591715.55,5003
,ANIKINDS,EQ,        18.75,                    16449.35,863
,ANKITMETAL,EQ,         9.65,                   525978.00,54522
,ANKURDRUGS,EQ,         6.50,                    56889.05,8662
,ANSALAPI,EQ,        17.95,                  2262253.05,125136
,ANSALHSG,EQ,        17.00,                    65327.00,3847
,ANTGRAPHIC,EQ,          .25,                     7841.25,38290
,APARINDS,EQ,       105.60,                   693502.30,6562
,APCOTEXIND,EQ,       219.00,                   226088.35,1026
,APLAPOLLO,EQ,       179.85,                  7457562.80,42589
,APLLTD,EQ,       163.70,                 87057508.20,537168
,APOLLOTYRE,EQ,        63.20,                367245125.60,5886887
,APPAPER,EQ,       274.85,                 18930942.55,69087
,APTECHT,EQ,        62.35,                 33433069.50,537367
,AQUA,EQ,         2.60,                   699978.85,280552
,ARCHIES,EQ,        16.65,                   249399.05,15038
,ARIES,EQ,        34.45,                   110719.95,3245
,AROGRANITE,EQ,        27.55,                     8265.00,300
,ARROWTEX,BE,         3.65,                        3.65,1
,ARSHIYA,EQ,        20.50,                  5055131.45,242054
,ARSSINFRA,EQ,        21.35,                   739493.05,34821
,ARVIND,EQ,        72.75,                 75264878.05,1049838
,ARVINDREM,EQ,        27.30,                  1958488.85,70937
,ASAHIINDIA,EQ,        40.35,                   543964.65,13382
,ASAHISONG,EQ,        59.45,                    19377.95,324
,ASHAPURMIN,EQ,        46.75,                  1534794.65,32600
,ASHCONIUL,EQ,          .30,                    35692.50,118975
,ASHIANA,EQ,       238.70,                   624474.80,2681
,ASHIMASYN,BE,         3.35,                      837.50,250
,ASHOKA,EQ,        55.60,                   271417.15,4883
,ASIANELEC,EQ,         3.05,                     6875.00,2200
,ASIANHOTNR,EQ,       100.05,                     3532.25,35
,ASIANTILES,EQ,        30.20,                      404.65,14
,ASSAMCO,EQ,         4.05,                   281044.35,70183
,ASTEC,EQ,        16.70,                    41373.10,2491
,ASTERSILI,EQ,        12.50,                     3782.50,308
,ASTRAL,EQ,       556.50,                 40781072.10,72463
,ASTRAMICRO,EQ,        38.00,                   572381.25,15028
,ASTRAZEN,EQ,       674.05,                  8908412.70,13114
,ATFL,EQ,       525.10,                   776273.55,1480
,ATLANTA,EQ,        35.80,                   140489.45,3921
,ATLASCYCLE,EQ,       233.35,                 16180210.85,68776
,ATUL,EQ,       323.90,                  1834906.55,5713
,ATULAUTO,EQ,       188.00,                    37300.00,200
,AUROPHARMA,EQ,       192.15,                408591307.05,2119561
,AUSTRAL,EQ,          .65,                    24869.20,38931
,AUTOAXLES,EQ,       238.20,                   704044.65,3055
,AUTOIND,EQ,        73.90,                  4195551.65,56224
,AVANTI,BE,       173.00,                   277560.10,1564
,AVTNPL,EQ,        27.60,                    92524.55,3372
,AXIS-IT&T,EQ,        42.60,                   121151.80,2781
,AXISGOLD,EQ,      2523.75,                   247474.40,98
,BAFNAPHARM,EQ,        34.80,                  1311834.40,37582
,BAGFILMS,EQ,         3.60,                    86179.70,24351
,BAJAJCORP,EQ,       253.60,                 13935052.80,54589
,BAJAJELEC,EQ,       186.00,                 46199206.85,247288
,BAJAJHIND,EQ,        15.65,                 17758350.20,1136101
,BAJFINANCE,EQ,      1392.10,                 12626934.60,9065
,BALAJITELE,EQ,        35.95,                  1002754.95,27868
,BALAMINES,EQ,        31.60,                   188866.25,5913
,BALKRISIND,EQ,       232.20,                  1124916.75,4813
,BALLARPUR,EQ,        12.00,                  2921377.10,241735
,BALMLAWRIE,EQ,       335.20,                  3876760.15,11564
,BALPHARMA,EQ,        15.75,                     1615.75,101
,BALRAMCHIN,EQ,        41.25,                 64663940.70,1604249
,BANARISUG,EQ,       825.00,                   132000.00,160
,BANCOINDIA,EQ,        34.55,                    73724.25,2127
,BANG,EQ,         9.85,                     1477.50,150
,BANKBEES,EQ,      1155.25,                   191711.33,166
,BARTRONICS,EQ,         7.00,                   211478.75,30039
,BASF,EQ,       543.80,                  1885109.05,3471
,BASML,EQ,       105.00,                    26250.00,250
,BATAINDIA,EQ,       893.80,                336081821.20,379761
,BAYERCROP,EQ,      1477.10,                  9970041.30,6766
,BBL,EQ,       355.15,                   136777.75,385
,BBTC,EQ,       106.75,                   325291.55,3068
,BEDMUTHA,EQ,        10.45,                    11474.15,1132
,BEL,EQ,      1246.90,                103405819.95,82211
,BEML,EQ,       165.10,                 25609600.95,154904
,BEPL,EQ,        21.10,                     8349.40,409
,BERGEPAINT,EQ,       240.85,                117655912.60,482330
,BFINVEST,EQ,        41.00,                     5863.00,143
,BFUTILITIE,EQ,       199.40,                 48015428.70,239331
,BGLOBAL,EQ,         5.70,                     1140.00,200
,BGRENERGY,EQ,       121.70,                 21005737.45,172021
,BHARATGEAR,EQ,        35.00,                    12969.00,373
,BHARTISHIP,EQ,        34.00,                   910023.35,26702
,BHUSANSTL,EQ,       461.80,                 32676948.85,70573
,BIL,EQ,       173.20,                   853944.50,4930
,BILENERGY,BE,         6.50,                  2473000.00,377000
,BILPOWER,EQ,         2.55,                    19054.70,7470
,BINANIIND,EQ,        76.90,                  1079806.25,14035
,BINDALAGRO,EQ,        17.85,                   621618.60,34728
,BIOCON,EQ,       294.25,                220682471.55,753346
,BIRLACORPN,EQ,       241.00,                   438520.20,1830
,BIRLACOT,EQ,          .05,                    64870.85,696433
,BIRLAERIC,EQ,        10.00,                     5900.50,595
,BIRLAMONEY,EQ,        15.60,                    40057.20,2573
,BIRLAPOWER,EQ,          .20,                    94289.45,528872
