,16-JUL-2013
The Nifty witnessed an intraday movement of about 55.1 points.The closing index was 1.25 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 10377.23
, Traded Quantity (in Lakhs), 6035.75
, Number of Trades, 5618761
, Total Market Capitalisation (Rs. Crores), 6363032.08

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      6030.80,      5930.80,      5966.05,      5910.95,      5955.25,-75.55
,CNX IT,      7225.40,      7132.70,      7278.30,      7122.35,      7208.80,-16.6
,CNX Nifty Junior,     12046.65,     11905.75,     11927.30,     11843.15,     11891.35,-155.3
,BANK Nifty,     11790.25,     11459.40,     11459.40,     11209.75,     11226.15,-564.1
,CNX Midcap,      7548.70,      7455.90,      7478.10,      7424.30,      7453.65,-95.05
,CNX 500,      4655.70,      4586.15,      4604.40,      4573.55,      4596.50,-59.2
,CNX 100,      5930.80,      5836.80,      5866.55,      5818.60,      5856.20,-74.6
,Nifty Midcap 50,      1972.00,      1941.50,      1948.55,      1928.80,      1932.55,-39.45
,CNX Realty,       197.50,       192.20,       192.20,       184.80,       185.20,-12.3
,CNX Infra,      2377.95,      2341.65,      2363.15,      2328.00,      2355.30,-22.65
,CNX Energy,      8013.10,      7931.35,      8082.25,      7920.40,      8062.05,48.95
,CNX FMCG,     18067.35,     17894.75,     18427.55,     17894.75,     18362.10,294.75
,CNX MNC,      5820.85,      5791.65,      5860.70,      5764.15,      5841.50,20.65
,CNX Pharma,      7272.10,      7213.85,      7313.00,      7208.70,      7235.90,-36.2
,CNX PSE,      2624.00,      2596.85,      2632.55,      2594.15,      2624.45,.45
,CNX PSU Bank,      2732.35,      2648.55,      2648.55,      2579.60,      2595.20,-137.15
,CNX Service,      7248.80,      7098.85,      7098.85,      7034.95,      7061.20,-187.6
,India VIX,        18.79,        18.79,        19.82,        17.79,        18.99,.2
,CNX AUTO,      4515.00,      4456.15,      4495.75,      4445.20,      4485.55,-29.45
,CNX Metal,      1948.75,      1918.50,      1933.55,      1910.65,      1916.65,-32.1
,CNX Media,      1693.00,      1672.15,      1696.20,      1666.80,      1672.80,-20.2
,CNX Smallcap,      2985.80,      2954.55,      2954.55,      2930.45,      2934.55,-51.25
,CNX 200,      3010.05,      2963.05,      2976.00,      2953.45,      2970.65,-39.4
,CNX Dividend Oppt,      1628.75,      1606.95,      1615.55,      1601.50,      1612.25,-16.5
,CNX Commodities,      2142.60,      2116.95,      2143.25,      2114.75,      2138.85,-3.75
,CNX Consumption,      2497.70,      2469.45,      2510.80,      2466.25,      2507.90,10.2
,CNX Finance,      4886.85,      4764.50,      4764.50,      4655.25,      4671.75,-215.1
,Nifty Dividend,        52.36,        52.36,        52.36,        52.36,        52.36,0
,LIX 15,      2425.45,      2370.40,      2370.40,      2338.00,      2352.10,-73.35

,ADVANCES,399
,DECLINES,905
,UNCHANGED,98

,Total securities that have hit their price bands today,92

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ICICIBANK,EQ,      1061.05,      1003.45,-5.43,643.38
,SBIN,EQ,      1912.30,      1827.65,-4.43,554.91
,YESBANK,EQ,       500.35,       450.95,-9.87,438.12
,HDFC,EQ,       848.50,       816.05,-3.82,298.37
,RELIANCE,EQ,       896.85,       900.60,0.42,265.85
,IDFC,EQ,       137.85,       127.90,-7.22,245.83
,AXISBANK,EQ,      1308.90,      1230.85,-5.96,235.5
,ITC,EQ,       352.60,       360.05,2.11,232.6
,INFY,EQ,      2742.70,      2728.80,-0.51,216.04
,DLF,EQ,       178.30,       164.70,-7.63,205.98
,TATAMOTORS,EQ,       288.45,       291.55,1.07,198.67
,HDFCBANK,EQ,       695.45,       678.70,-2.41,197.43
,RCOM,EQ,       146.40,       145.95,-0.31,196.32
,MCDOWELL-N,EQ,      2671.90,      2692.50,0.77,192.26
,TCS,EQ,      1641.75,      1649.35,0.46,183.62
,RELCAPITAL,EQ,       386.90,       370.60,-4.21,180.74
,DRREDDY,EQ,      2347.65,      2278.40,-2.95,180.47
,LT,EQ,      1006.40,       971.25,-3.49,165.88
,JPASSOCIAT,EQ,        54.55,        50.50,-7.42,156.93
,RPOWER,EQ,        77.55,        78.30,0.97,140.87
,HINDUNILVR,EQ,       614.20,       623.10,1.45,138.22
,INDUSINDBK,EQ,       506.35,       466.40,-7.89,137.23
,LICHSGFIN,EQ,       237.85,       220.45,-7.32,128.54
,ONGC,EQ,       296.10,       299.75,1.23,124.42
,BHARTIARTL,EQ,       314.45,       321.10,2.11,120.38

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHARTIARTL,EQ,       321.10,       314.45,2.11
,ITC,EQ,       360.05,       352.60,2.11
,BPCL,EQ,       347.00,       340.50,1.91
,AMBUJACEM,EQ,       200.30,       197.00,1.68
,HINDUNILVR,EQ,       623.10,       614.20,1.45

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INDUSINDBK,EQ,       466.40,       506.35,-7.89
,DLF,EQ,       164.70,       178.30,-7.63
,JPASSOCIAT,EQ,        50.50,        54.55,-7.42
,IDFC,EQ,       127.90,       137.85,-7.22
,AXISBANK,EQ,      1230.85,      1308.90,-5.96

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.20,                   719857.30,23777
,3IINFOTECH,EQ,         5.05,                  2498665.40,495519
,3MINDIA,EQ,      3436.10,                   151404.00,44
,A2ZMES,EQ,        12.15,                   627959.50,51634
,AANJANEYA,EQ,        45.65,                   284684.65,6234
,AARTIDRUGS,EQ,       225.05,                  1416815.40,6324
,AARTIIND,EQ,        79.60,                   417836.50,5248
,AARVEEDEN,EQ,        37.10,                    14187.00,390
,ABAN,EQ,       245.65,                 22717365.10,92874
,ABB,EQ,       598.10,                 32635611.65,54176
,ABBOTINDIA,EQ,      1417.60,                 85678585.50,60380
,ABCIL,EQ,        75.05,                    23179.95,310
,ABGSHIP,EQ,       270.45,                  1044062.10,3857
,ACCELYA,EQ,       533.95,                  3085788.15,5768
,ACE,EQ,        11.75,                  1831211.15,157925
,ACROPETAL,EQ,         5.00,                   132036.10,26294
,ADANIPOWER,EQ,        39.80,                217251176.90,5442127
,ADFFOODS,EQ,        47.40,                   135089.30,2890
,ADHUNIK,EQ,        22.65,                   577061.75,25438
,ADORWELD,EQ,       121.25,                  1423867.10,11694
,ADSL,EQ,        14.00,                  2050441.45,137494
,ADVANIHOTR,EQ,        29.50,                     8407.50,285
,ADVANTA,EQ,       149.50,                 26790152.85,173882
,AEGISCHEM,EQ,       128.80,                   120909.65,938
,AFL,EQ,        22.55,                    18188.05,808
,AFTEK,EQ,         4.55,                   217716.70,47720
,AGCNET,EQ,       109.80,                   182048.40,1658
,AHLEAST,EQ,       154.60,                     6968.80,45
,AHLWEST,EQ,       105.00,                    21840.00,208
,AHMEDFORGE,EQ,        99.95,                   534001.90,5327
,AIAENG,EQ,       313.70,                    80671.25,257
,AIL,EQ,       359.90,                  2348440.05,6566
,AJANTPHARM,EQ,      1039.85,                 21172792.80,20396
,AJMERA,EQ,        75.95,                   141573.20,1842
,AKSHOPTFBR,EQ,        17.15,                   986810.95,58615
,AKZOINDIA,EQ,      1099.70,                  3145607.15,2862
,ALBK,EQ,        86.95,                181070729.70,2058886
,ALCHEM,EQ,        27.40,                    27133.95,993
,ALEMBICLTD,EQ,        21.00,                   804956.50,38039
,ALKALI,EQ,        19.00,                   115692.75,6086
,ALLCARGO,EQ,        83.55,                 61074259.05,694265
,ALLSEC,EQ,        32.40,                     7827.50,241
,ALMONDZ,BE,         8.15,                     2445.00,300
,ALOKTEXT,EQ,         7.15,                 63640147.85,8924719
,ALPA,EQ,         6.00,                     3056.00,501
,ALPHAGEO,EQ,        28.95,                    81465.20,2694
,ALPSINDUS,EQ,         1.25,                     2500.00,2000
,ALSTOMT&D,EQ,       167.75,                   551154.85,3281
,AMAR,EQ,         8.35,                  1082494.45,130079
,AMARAJABAT,EQ,       252.05,                 19000904.25,75012
,AMBIKCO,EQ,       206.55,                    61952.50,300
,AMDIND,EQ,        10.25,                     1363.25,133
,AMRUTANJAN,EQ,       122.20,                   559939.40,4579
,AMTEKAUTO,EQ,        69.95,                 13585586.70,198147
,AMTEKINDIA,EQ,        61.25,                  2039911.75,33084
,ANANTRAJ,EQ,        52.95,                 28911376.50,543949
,ANDHRABANK,EQ,        79.00,                103193955.15,1298412
,ANDHRACEMT,EQ,         6.75,                     5817.50,1010
,ANDHRSUGAR,EQ,       119.50,                   253167.70,2117
,ANIKINDS,EQ,        20.45,                    21767.20,1067
,ANKITMETAL,EQ,        10.00,                   209690.00,20980
,ANKURDRUGS,EQ,         6.40,                    17155.85,2670
,ANSALAPI,EQ,        17.85,                  1023205.30,56994
,ANSALHSG,EQ,        16.85,                    22482.00,1339
,ANTGRAPHIC,EQ,          .20,                     5589.00,27663
,APARINDS,EQ,       105.25,                   521951.95,4929
,APCOTEXIND,EQ,       224.00,                   216503.45,966
,APLAPOLLO,EQ,       169.65,                   961950.20,5561
,APLLTD,EQ,       155.95,                 14950729.80,96065
,APOLLOTYRE,EQ,        68.20,                492317781.60,7244569
,APPAPER,EQ,       283.25,                  7190055.75,25460
,APTECHT,EQ,        64.00,                 16090714.75,254051
,AQUA,EQ,         2.45,                  4311575.45,1789601
,ARCHIDPLY,EQ,         6.50,                     3675.00,600
,ARCHIES,EQ,        16.35,                   327497.45,20241
,ARIES,EQ,        35.20,                   127557.95,3605
,ARSHIYA,EQ,        17.00,                   838796.35,49013
,ARSSINFRA,EQ,        22.55,                  1576629.85,69310
,ARVIND,EQ,        74.90,                 64937172.10,868532
,ARVINDREM,EQ,        33.40,                  2211276.75,65691
,ASAHIINDIA,EQ,        41.70,                    91541.40,2202
,ASAHISONG,EQ,        61.30,                    90465.90,1505
,ASHAPURMIN,EQ,        45.10,                  2536969.05,56044
,ASHCONIUL,EQ,          .35,                    10500.70,30002
,ASHIANA,EQ,       235.10,                   331210.55,1383
,ASHOKA,EQ,        55.60,                   146762.25,2626
