,18-JUL-2013
The Nifty witnessed an intraday movement of about 76.55 points.The closing index was 1.08 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 12426.07
, Traded Quantity (in Lakhs), 5892.44
, Number of Trades, 6369665
, Total Market Capitalisation (Rs. Crores), 6428105.8

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      5973.30,      5984.70,      6051.10,      5974.55,      6038.05,64.75
,CNX IT,      7272.00,      7286.70,      7362.20,      7245.65,      7306.35,34.35
,CNX Nifty Junior,     11808.00,     11835.65,     12009.20,     11835.65,     11993.75,185.75
,BANK Nifty,     10971.60,     11033.50,     11236.85,     10837.75,     11187.70,216.1
,CNX Midcap,      7393.00,      7407.45,      7474.15,      7403.85,      7468.30,75.3
,CNX 500,      4597.70,      4606.15,      4654.60,      4601.40,      4647.55,49.85
,CNX 100,      5865.15,      5876.75,      5944.50,      5871.20,      5932.95,67.8
,Nifty Midcap 50,      1907.60,      1916.75,      1942.40,      1904.50,      1938.15,30.55
,CNX Realty,       184.65,       186.30,       190.65,       185.50,       190.15,5.5
,CNX Infra,      2345.10,      2347.15,      2385.30,      2343.50,      2380.80,35.7
,CNX Energy,      8140.45,      8157.50,      8253.35,      8155.20,      8238.20,97.75
,CNX FMCG,     19001.15,     19008.80,     19290.20,     18950.30,     19133.55,132.4
,CNX MNC,      6079.00,      6079.20,      6203.65,      6035.15,      6112.10,33.1
,CNX Pharma,      7234.30,      7266.90,      7335.50,      7249.85,      7301.60,67.3
,CNX PSE,      2621.75,      2622.65,      2668.30,      2622.65,      2662.55,40.8
,CNX PSU Bank,      2540.85,      2551.25,      2599.00,      2523.95,      2591.70,50.85
,CNX Service,      7013.30,      7032.75,      7130.70,      6986.95,      7108.45,95.15
,India VIX,        19.36,        19.36,        19.40,        18.07,        18.27,-1.09
,CNX AUTO,      4449.75,      4444.95,      4476.70,      4403.00,      4462.30,12.55
,CNX Metal,      1879.35,      1880.60,      1900.30,      1875.80,      1896.00,16.65
,CNX Media,      1671.85,      1670.20,      1701.85,      1667.10,      1696.85,25
,CNX Smallcap,      2908.35,      2911.20,      2929.80,      2905.90,      2925.60,17.25
,CNX 200,      2972.80,      2978.45,      3011.70,      2975.35,      3006.40,33.6
,CNX Dividend Oppt,      1622.75,      1625.35,      1644.05,      1624.00,      1640.40,17.65
,CNX Commodities,      2135.60,      2138.45,      2164.00,      2138.45,      2160.85,25.25
,CNX Consumption,      2538.40,      2537.35,      2578.90,      2536.70,      2572.20,33.8
,CNX Finance,      4600.15,      4618.65,      4694.50,      4556.00,      4676.20,76.05
,Nifty Dividend,        52.65,        55.51,        55.51,        55.51,        55.51,2.86
,LIX 15,      2311.35,      2314.70,      2362.80,      2302.95,      2356.40,45.05

,ADVANCES,701
,DECLINES,578
,UNCHANGED,111

,Total securities that have hit their price bands today,91

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ICICIBANK,EQ,       980.25,       984.45,0.43,721.08
,HINDUNILVR,EQ,       685.05,       688.05,0.44,692.38
,AXISBANK,EQ,      1193.70,      1238.20,3.73,684.27
,HDFC,EQ,       817.10,       829.05,1.46,461.22
,INFY,EQ,      2750.85,      2800.75,1.81,457.35
,SBIN,EQ,      1806.70,      1824.25,0.97,371.21
,YESBANK,EQ,       426.85,       440.45,3.19,299.35
,TCS,EQ,      1678.50,      1660.40,-1.08,286.64
,ITC,EQ,       368.35,       368.65,0.08,281.12
,MCDOWELL-N,EQ,      2709.00,      2800.35,3.37,263.48
,RELIANCE,EQ,       914.95,       917.25,0.25,257.4
,HDFCBANK,EQ,       662.90,       684.10,3.2,228.86
,RCOM,EQ,       142.95,       146.70,2.62,191.03
,RELCAPITAL,EQ,       362.80,       375.10,3.39,188.17
,INDUSINDBK,EQ,       453.90,       465.00,2.45,186.3
,JPASSOCIAT,EQ,        50.25,        50.60,0.7,177.09
,M&M,EQ,       893.15,       874.75,-2.06,176.11
,KOTAKBANK,EQ,       711.40,       711.70,0.04,168.71
,ONGC,EQ,       300.80,       314.65,4.6,164.68
,TATAMOTORS,EQ,       285.25,       286.90,0.58,148.47
,LT,EQ,       968.20,       985.30,1.77,142.45
,DRREDDY,EQ,      2311.15,      2339.50,1.23,141.35
,LUPIN,EQ,       874.95,       890.40,1.77,138.53
,RELINFRA,EQ,       368.55,       385.50,4.6,122.7
,DLF,EQ,       165.75,       171.25,3.32,119.54

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ONGC,EQ,       314.65,       300.80,4.6
,RELINFRA,EQ,       385.50,       368.55,4.6
,ASIANPAINT,EQ,      5213.10,      5011.55,4.02
,AXISBANK,EQ,      1238.20,      1193.70,3.73
,BHEL,EQ,       189.50,       182.80,3.67

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,M&M,EQ,       874.75,       893.15,-2.06
,HCLTECH,EQ,       858.85,       875.25,-1.87
,TCS,EQ,      1660.40,      1678.50,-1.08
,SESAGOA,EQ,       149.60,       150.85,-0.83
,ULTRACEMCO,EQ,      1924.35,      1940.15,-0.81

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.25,                   395442.55,13029
,3IINFOTECH,EQ,         5.05,                  1898431.75,376138
,3MINDIA,EQ,      3439.25,                   310606.20,90
,A2ZMES,EQ,        12.30,                   425030.55,34944
,AANJANEYA,EQ,        44.50,                   509958.40,11407
,AARTIDRUGS,EQ,       225.10,                   597991.45,2662
,AARTIIND,EQ,        79.70,                   905519.45,11322
,AARVEEDEN,EQ,        37.95,                      189.75,5
,ABAN,EQ,       246.95,                 30777606.95,124874
,ABB,EQ,       583.55,                 19363953.90,33238
,ABBOTINDIA,EQ,      1393.95,                  1840776.65,1312
,ABCIL,EQ,        74.55,                    70713.30,947
,ABGSHIP,EQ,       265.75,                   586378.25,2201
,ACCELYA,EQ,       542.95,                  2666309.40,4909
,ACE,EQ,        11.40,                  1262258.05,110170
,ACROPETAL,EQ,         5.05,                   127435.95,25179
,ADANIPOWER,EQ,        40.35,                195008674.30,4872930
,ADFFOODS,EQ,        49.65,                   884979.50,18106
,ADHUNIK,EQ,        22.60,                  1466537.30,64666
,ADORWELD,EQ,       119.05,                   327581.40,2755
,ADSL,EQ,        12.85,                   455713.90,35479
,ADVANTA,EQ,       142.15,                  3134493.15,21793
,AEGISCHEM,EQ,       130.05,                   421659.60,3234
,AFL,EQ,        23.45,                    21598.65,931
,AFTEK,EQ,         4.40,                   197834.15,44697
,AGCNET,EQ,       115.60,                  2724148.15,23701
,AGRODUTCH,EQ,         2.50,                     6837.50,2750
,AHLEAST,EQ,       152.80,                      152.80,1
,AHLUCONT,BE,        28.85,                    57345.75,2065
,AHLWEST,EQ,       101.00,                    17035.00,165
,AHMEDFORGE,EQ,        98.80,                   246185.10,2505
,AIAENG,EQ,       311.40,                   142804.50,456
,AIL,EQ,       363.75,                 11402177.80,31639
,AJANTPHARM,EQ,      1142.80,                366899391.70,330542
,AJMERA,EQ,        75.15,                   324470.85,4302
,AKSHOPTFBR,EQ,        16.85,                   150730.10,8936
,AKZOINDIA,EQ,      1125.65,                 56770556.25,51163
,ALBK,EQ,        88.30,                296624500.80,3485597
,ALCHEM,EQ,        26.75,                    21017.05,783
,ALEMBICLTD,EQ,        20.25,                   817091.20,40293
,ALKALI,EQ,        19.10,                    29871.15,1564
,ALLCARGO,EQ,        75.50,                   583162.90,7664
,ALLSEC,EQ,        31.50,                     2205.00,70
,ALMONDZ,BE,         7.65,                     7825.95,1023
,ALOKTEXT,EQ,         7.05,                 33727164.60,4766521
,ALPA,EQ,         5.80,                      638.00,110
,ALPHAGEO,EQ,        27.70,                    97766.50,3428
,ALPSINDUS,EQ,         1.30,                      143.00,110
,ALSTOMT&D,EQ,       163.25,                  1163757.65,7092
,AMAR,EQ,         9.60,                  1484704.00,154980
,AMARAJABAT,EQ,       251.45,                 60295369.05,239791
,AMBIKCO,EQ,       205.05,                    41010.00,200
,AMDIND,EQ,        10.15,                     7085.00,700
,AMRUTANJAN,EQ,       126.35,                  1096113.15,8731
,AMTEKAUTO,EQ,        68.70,                  5774658.20,84016
,AMTEKINDIA,EQ,        61.65,                   697759.85,11373
,AMTL,EQ,        20.75,                     2075.00,100
,ANANTRAJ,EQ,        52.30,                 33742699.95,655125
,ANDHRABANK,EQ,        79.40,                 86390009.90,1103691
,ANDHRACEMT,EQ,         7.90,                       39.50,5
,ANDHRSUGAR,EQ,       119.60,                   458420.25,3820
,ANIKINDS,EQ,        21.00,                    21877.75,1040
,ANKITMETAL,EQ,         9.30,                   151822.80,16155
,ANKURDRUGS,EQ,         6.35,                    18515.15,2977
,ANSALAPI,EQ,        18.00,                  5601758.00,314246
,ANSALHSG,EQ,        17.15,                   124991.60,7329
,ANTGRAPHIC,EQ,          .20,                      117.80,575
,APARINDS,EQ,       104.00,                   583037.70,5582
,APCOTEXIND,EQ,       235.55,                   328364.90,1400
,APLAPOLLO,EQ,       173.75,                    17018.60,100
