,29-AUG-2013
The Nifty witnessed an intraday movement of about 125.9 points.The closing index was 2.35 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 15789.59
, Traded Quantity (in Lakhs), 8854.34
, Number of Trades, 7468364
, Total Market Capitalisation (Rs. Crores), 5782244.61

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      5285.00,      5316.50,      5428.90,      5303.00,      5409.05,124.05
,CNX IT,      8175.30,      8110.05,      8286.90,      8083.90,      8246.90,71.6
,CNX Nifty Junior,     10203.10,     10244.55,     10407.00,     10230.90,     10390.55,187.45
,BANK Nifty,      8760.85,      8897.00,      8958.35,      8759.85,      8904.60,143.75
,CNX Midcap,      6456.25,      6473.35,      6559.20,      6462.15,      6550.25,94
,CNX 500,      4047.70,      4068.50,      4141.70,      4062.90,      4132.80,85.1
,CNX 100,      5170.90,      5200.25,      5304.70,      5188.95,      5288.30,117.4
,Nifty Midcap 50,      1739.05,      1746.25,      1768.60,      1732.60,      1765.95,26.9
,CNX Realty,       149.15,       150.20,       151.30,       146.45,       149.75,.6
,CNX Infra,      1898.75,      1918.35,      1960.95,      1917.75,      1955.85,57.1
,CNX Energy,      7127.85,      7182.75,      7382.50,      7154.50,      7339.75,211.9
,CNX FMCG,     15703.50,     15767.30,     16159.70,     15633.95,     16059.25,355.75
,CNX MNC,      5383.60,      5368.55,      5516.65,      5353.45,      5494.40,110.8
,CNX Pharma,      6727.25,      6760.45,      6870.80,      6698.80,      6849.20,121.95
,CNX PSE,      2200.40,      2225.35,      2249.00,      2204.25,      2240.70,40.3
,CNX PSU Bank,      1960.30,      1977.70,      1992.55,      1924.30,      1951.25,-9.05
,CNX Service,      6340.15,      6373.00,      6495.10,      6369.00,      6477.80,137.65
,India VIX,        32.38,        32.38,        32.44,        28.83,        29.41,-2.97
,CNX AUTO,      4249.40,      4262.10,      4365.70,      4232.70,      4347.00,97.6
,CNX Metal,      1921.15,      1939.65,      1981.60,      1912.60,      1973.25,52.1
,CNX Media,      1484.05,      1491.00,      1532.85,      1480.65,      1521.90,37.85
,CNX Smallcap,      2570.70,      2574.90,      2616.60,      2574.90,      2610.15,39.45
,CNX 200,      2609.55,      2623.70,      2674.80,      2618.70,      2667.15,57.6
,CNX Dividend Oppt,      1367.10,      1373.85,      1393.15,      1363.35,      1388.65,21.55
,CNX Commodities,      1908.20,      1922.45,      1949.90,      1898.80,      1943.60,35.4
,CNX Consumption,      2216.95,      2227.80,      2276.20,      2223.30,      2270.05,53.1
,CNX Finance,      3714.10,      3762.00,      3829.00,      3754.75,      3815.95,101.85
,Nifty Dividend,        63.79,        63.79,        63.79,        63.79,        63.79,0
,LIX 15,      1994.45,      2018.30,      2039.80,      1981.65,      2032.65,38.2

,ADVANCES,782
,DECLINES,498
,UNCHANGED,102

,Total securities that have hit their price bands today,144

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,      3116.25,      3104.60,-0.37,778.9
,RELIANCE,EQ,       811.80,       845.25,4.12,588.52
,AXISBANK,EQ,       837.95,       850.75,1.53,585.65
,HDFCBANK,EQ,       561.95,       572.05,1.8,584.16
,HDFC,EQ,       652.75,       695.50,6.55,573.26
,TCS,EQ,      1907.90,      1947.10,2.05,572.85
,SESAGOA,EQ,       169.15,       192.45,13.77,487.53
,ICICIBANK,EQ,       796.35,       807.20,1.36,443.97
,ITC,EQ,       298.20,       305.55,2.46,351.21
,LT,EQ,       705.05,       723.40,2.6,347.96
,TATAMOTORS,EQ,       297.95,       306.00,2.7,318.78
,YESBANK,EQ,       225.85,       232.50,2.94,305.94
,SBIN,EQ,      1497.85,      1487.80,-0.67,300.48
,MCDOWELL-N,EQ,      2061.50,      2128.25,3.24,284.15
,BHARTIARTL,EQ,       287.80,       299.35,4.01,254.03
,RCOM,EQ,       111.25,       121.15,8.9,234.73
,HCLTECH,EQ,       980.15,      1017.65,3.83,231.94
,RANBAXY,EQ,       418.50,       418.00,-0.12,231.62
,TATASTEEL,EQ,       279.00,       278.35,-0.23,229.51
,WIPRO,EQ,       471.45,       473.45,0.42,217.19
,JPASSOCIAT,EQ,        33.75,        33.65,-0.3,190.43
,CAIRN,EQ,       325.25,       325.00,-0.08,180.88
,ONGC,EQ,       243.70,       248.70,2.05,179.9
,IDFC,EQ,        79.85,        82.25,3.01,161.61
,HINDALCO,EQ,       102.10,       107.10,4.9,161.2

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SESAGOA,EQ,       192.45,       169.15,13.77
,KOTAKBANK,EQ,       647.45,       606.65,6.73
,HDFC,EQ,       695.50,       652.75,6.55
,LUPIN,EQ,       808.85,       769.30,5.14
,HINDALCO,EQ,       107.10,       102.10,4.9

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,PNB,EQ,       425.65,       434.50,-2.04
,COALINDIA,EQ,       250.30,       253.90,-1.42
,ULTRACEMCO,EQ,      1447.95,      1463.70,-1.08
,SBIN,EQ,      1487.80,      1497.85,-0.67
,DLF,EQ,       131.40,       131.95,-0.42

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        31.00,                  1480096.40,48160
,3IINFOTECH,EQ,         3.95,                  1498493.25,378693
,3MINDIA,EQ,      3009.90,                  1611157.30,527
,A2ZMES,EQ,         8.95,                   388360.50,43162
,AANJANEYA,EQ,        32.85,                  1500733.90,45167
,AARTIDRUGS,EQ,       185.90,                   452485.70,2458
,AARTIIND,EQ,        69.00,                   708547.15,10269
,AARVEEDEN,EQ,        32.15,                    28517.95,867
,ABAN,EQ,       213.15,                 38761152.20,182385
,ABB,EQ,       455.55,                 10898048.25,23849
,ABBOTINDIA,EQ,      1361.60,                  9386498.25,6948
,ABCIL,EQ,        82.25,                   163600.25,1979
,ABGSHIP,EQ,       276.40,                  3055288.55,11128
,ACCELYA,EQ,       618.65,                  6839816.70,10913
,ACE,EQ,         8.00,                  1352671.75,168278
,ACROPETAL,EQ,         5.25,                   101030.70,19305
,ADANIPOWER,EQ,        34.15,                154028942.45,4443468
,ADFFOODS,EQ,        40.90,                   172649.40,4148
,ADHUNIK,EQ,        20.05,                  1804580.65,89283
,ADORWELD,EQ,        91.15,                   115006.70,1255
,ADSL,BE,        12.75,                    84067.05,6621
,ADVANIHOTR,EQ,        28.40,                    14403.40,501
,ADVANTA,EQ,       128.95,                  2079272.40,15963
,AEGISCHEM,EQ,       108.10,                   194335.20,1776
,AFL,EQ,        20.45,                    28262.05,1390
,AFTEK,BE,         3.15,                   148156.75,46137
,AGCNET,BE,        87.20,                    33001.30,386
,AHLEAST,EQ,       133.00,                     2951.20,22
,AHLUCONT,BE,        18.55,                     2138.25,115
,AHLWEST,EQ,        92.00,                    43976.00,478
,AHMEDFORGE,EQ,        91.50,                  2548869.50,27445
,AIAENG,EQ,       320.40,                 13088060.20,41432
,AIL,EQ,       307.40,                   909003.95,2977
,AJANTPHARM,EQ,       724.25,                 41095937.35,55650
,AJMERA,EQ,        63.15,                   310421.20,4895
,AKSHOPTFBR,EQ,        16.90,                    43541.75,2590
,AKZOINDIA,EQ,       778.00,                  2051901.90,2616
,ALBK,EQ,        66.60,                105610587.20,1580381
,ALCHEM,EQ,        36.05,                   475484.60,13159
,ALEMBICLTD,EQ,        22.55,                   796947.25,35246
,ALKALI,EQ,        14.80,                    19737.20,1338
,ALKYLAMINE,EQ,       140.00,                     7000.00,50
,ALLCARGO,EQ,        76.60,                   293177.65,3703
,ALOKTEXT,EQ,         6.45,                 25209183.50,3877288
,ALPHAGEO,EQ,        23.95,                    14173.70,594
,ALPSINDUS,EQ,         1.50,                      150.00,100
,ALSTOMT&D,EQ,       138.40,                  6627946.80,45623
,AMAR,BE,         7.00,                    67722.25,10146
,AMARAJABAT,EQ,       258.90,                 57562379.55,225910
,AMBIKCO,EQ,       235.00,                  1488401.25,6399
,AMDIND,EQ,        10.50,                      945.00,90
,AMRUTANJAN,EQ,       101.60,                   846711.40,8343
,AMTEKAUTO,EQ,        63.75,                  8330519.20,128869
,AMTEKINDIA,EQ,        74.80,                 18988228.15,261872
,AMTL,EQ,        19.00,                     9500.00,500
,ANANTRAJ,EQ,        41.60,                 17098333.55,408467
,ANDHRABANK,EQ,        50.70,                 92440310.75,1830780
,ANDHRACEMT,EQ,         4.90,                     9849.00,2000
,ANDHRSUGAR,EQ,        98.20,                   112282.10,1139
,ANIKINDS,EQ,        23.15,                   117102.10,5038
,ANKITMETAL,EQ,        10.20,                    24498.25,2515
,ANKURDRUGS,BE,         4.40,                    20792.35,4709
,ANSALAPI,EQ,        14.00,                   876399.10,62395
,ANSALHSG,EQ,        15.25,                   255016.10,16664
,ANTGRAPHIC,EQ,          .20,                     1280.20,6401
,APARINDS,EQ,        88.40,                   272002.85,3067
,APCOTEXIND,EQ,       106.05,                    90663.15,842
,APLAPOLLO,EQ,       140.00,                   126223.65,905
,APLLTD,EQ,       132.10,                  5882994.60,44241
