,20-SEP-2013
The Nifty witnessed an intraday movement of about 198.1 points.The closing index was 1.69 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 18303.13
, Traded Quantity (in Lakhs), 9345.52
, Number of Trades, 7890038
, Total Market Capitalisation (Rs. Crores), 6386127.92

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      6115.55,      6104.55,      6130.95,      5932.85,      6012.10,-103.45
,CNX IT,      8156.95,      8119.25,      8225.80,      8119.25,      8132.80,-24.15
,CNX Nifty Junior,     11495.75,     11497.85,     11545.15,     11210.20,     11425.70,-70.05
,BANK Nifty,     11148.65,     11163.95,     11188.10,     10409.80,     10686.80,-461.85
,CNX Midcap,      7180.55,      7187.55,      7205.85,      7002.85,      7085.35,-95.2
,CNX 500,      4627.85,      4622.35,      4636.85,      4503.05,      4560.10,-67.75
,CNX 100,      5960.00,      5951.00,      5974.45,      5788.95,      5868.55,-91.45
,Nifty Midcap 50,      1945.55,      1947.70,      1955.00,      1891.65,      1931.90,-13.65
,CNX Realty,       178.05,       177.85,       177.95,       164.20,       164.75,-13.3
,CNX Infra,      2273.75,      2273.50,      2273.90,      2197.95,      2229.55,-44.2
,CNX Energy,      7988.25,      7970.35,      8030.20,      7824.45,      7924.45,-63.8
,CNX FMCG,     18316.40,     18274.15,     18319.80,     17899.45,     18149.70,-166.7
,CNX MNC,      5938.65,      5907.25,      5914.25,      5773.25,      5867.50,-71.15
,CNX Pharma,      7245.95,      7237.45,      7321.75,      7215.65,      7260.70,14.75
,CNX PSE,      2574.10,      2571.20,      2579.25,      2508.75,      2564.40,-9.7
,CNX PSU Bank,      2448.55,      2458.40,      2479.70,      2273.90,      2342.00,-106.55
,CNX Service,      7337.85,      7334.45,      7371.30,      7072.25,      7181.05,-156.8
,India VIX,        24.50,        24.50,        26.18,        23.40,        24.73,.23
,CNX AUTO,      4847.25,      4832.60,      4871.15,      4702.75,      4773.45,-73.8
,CNX Metal,      2172.10,      2164.75,      2164.75,      2103.15,      2142.25,-29.85
,CNX Media,      1588.70,      1587.20,      1603.40,      1560.75,      1575.50,-13.2
,CNX Smallcap,      2842.05,      2845.35,      2855.35,      2785.35,      2794.80,-47.25
,CNX 200,      3002.75,      2999.10,      3009.00,      2917.40,      2956.90,-45.85
,CNX Dividend Oppt,      1587.35,      1589.00,      1589.20,      1536.75,      1556.90,-30.45
,CNX Commodities,      2176.30,      2173.10,      2180.20,      2127.40,      2171.55,-4.75
,CNX Consumption,      2536.00,      2534.25,      2535.90,      2480.45,      2506.85,-29.15
,CNX Finance,      4677.95,      4684.35,      4700.80,      4403.00,      4521.95,-156
,Nifty Dividend,        73.34,        73.34,        73.34,        73.34,        73.34,0
,LIX 15,      2435.50,      2436.10,      2441.90,      2316.70,      2370.75,-64.75

,ADVANCES,432
,DECLINES,887
,UNCHANGED,96

,Total securities that have hit their price bands today,106

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,HDFC,EQ,       834.55,       810.40,-2.89,1565.48
,YESBANK,EQ,       386.70,       356.05,-7.93,1252.53
,SBIN,EQ,      1807.75,      1747.55,-3.33,883.94
,AXISBANK,EQ,      1140.20,      1102.35,-3.32,662.8
,ICICIBANK,EQ,      1036.25,       987.25,-4.73,557.39
,HDFCBANK,EQ,       683.20,       659.05,-3.53,406.48
,TATAMOTORS,EQ,       349.15,       338.35,-3.09,397.5
,RELIANCE,EQ,       890.60,       881.90,-0.98,371.85
,RANBAXY,EQ,       350.50,       333.85,-4.75,368.1
,RCOM,EQ,       160.70,       156.30,-2.74,364.77
,BHARTIARTL,EQ,       354.30,       344.20,-2.85,356.04
,TCS,EQ,      1966.30,      1950.30,-0.81,352.96
,IDFC,EQ,       102.55,        99.05,-3.41,332.26
,ITC,EQ,       355.45,       355.30,-0.04,301.56
,INFY,EQ,      3019.00,      2995.15,-0.79,300.6
,INDUSINDBK,EQ,       434.40,       411.50,-5.27,268.22
,LT,EQ,       888.40,       846.40,-4.73,252.89
,TATASTEEL,EQ,       310.60,       300.00,-3.41,249.1
,DLF,EQ,       171.40,       151.50,-11.61,248.86
,SESAGOA,EQ,       185.60,       178.00,-4.09,242.64
,LICHSGFIN,EQ,       204.60,       207.80,1.56,215.38
,BHEL,EQ,       133.85,       135.50,1.23,207.18
,RELINFRA,EQ,       397.25,       410.15,3.25,204.53
,ONGC,EQ,       299.20,       289.50,-3.24,191
,JPASSOCIAT,EQ,        42.40,        40.05,-5.54,187.21

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ULTRACEMCO,EQ,      1854.40,      1766.65,4.97
,HCLTECH,EQ,      1061.80,      1024.00,3.69
,GAIL,EQ,       340.00,       328.15,3.61
,RELINFRA,EQ,       410.15,       397.25,3.25
,AMBUJACEM,EQ,       192.95,       187.30,3.02

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DLF,EQ,       151.50,       171.40,-11.61
,PNB,EQ,       515.55,       556.80,-7.41
,JPASSOCIAT,EQ,        40.05,        42.40,-5.54
,INDUSINDBK,EQ,       411.50,       434.40,-5.27
,RANBAXY,EQ,       333.85,       350.50,-4.75

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.45,                  2159514.95,70606
,3IINFOTECH,EQ,         4.40,                  1542377.25,352586
,3MINDIA,EQ,      3090.00,                   351816.60,114
,A2ZMES,EQ,         9.80,                   530510.00,53488
,AARTIDRUGS,EQ,       194.90,                   451312.35,2319
,AARTIIND,EQ,        71.15,                  1617759.85,22734
,AARVEEDEN,EQ,        31.30,                    88752.80,2907
,ABAN,EQ,       214.30,                 83486504.60,381720
,ABB,EQ,       563.15,                 34147018.15,60778
,ABBOTINDIA,EQ,      1366.30,                  1656660.35,1205
,ABCIL,BE,        82.90,                   116101.35,1383
,ABGSHIP,EQ,       255.45,                  6695599.20,26106
,ACCELYA,EQ,       570.10,                  4004176.20,7012
,ACE,EQ,         8.55,                  1489439.55,172757
,ACROPETAL,BE,         5.35,                    71135.80,13090
,ADANIPOWER,EQ,        34.20,                 99492502.90,2867079
,ADFFOODS,EQ,        45.00,                   198253.80,4363
,ADHUNIK,EQ,        28.25,                  1717925.30,60072
,ADORWELD,EQ,        95.45,                   172805.90,1800
,ADSL,EQ,        21.05,                  3500891.05,160403
,ADVANTA,EQ,       117.65,                   571410.60,4835
,AEGISCHEM,EQ,       121.50,                   617680.05,5016
,AFL,EQ,        20.90,                    26185.25,1228
,AFTEK,BE,         3.35,                   144856.45,42742
,AGCNET,EQ,        81.65,                    88018.40,1088
,AHLUCONT,EQ,        16.95,                   129182.45,7519
,AHMEDFORGE,EQ,        88.90,                  1094612.00,12219
,AIAENG,EQ,       320.05,                   363154.35,1132
,AIL,EQ,       319.00,                  7563220.70,23686
,AJANTPHARM,EQ,       761.50,                307907356.15,427142
,AJMERA,EQ,        58.35,                    88344.65,1480
,AKSHOPTFBR,EQ,        16.15,                   398128.85,24658
,AKZOINDIA,EQ,       817.00,                  2922816.70,3513
,ALBK,EQ,        83.10,                428817159.10,5205001
,ALCHEM,EQ,        37.05,                   305615.05,8179
,ALEMBICLTD,EQ,        26.85,                  7219151.90,271188
,ALKALI,EQ,        15.50,                    19375.60,1244
,ALKYLAMINE,EQ,       145.00,                   900200.00,6200
,ALLCARGO,EQ,        85.90,                   628059.95,7298
,ALLSEC,EQ,        20.00,                    67833.65,3421
,ALOKTEXT,EQ,         7.55,                 22816859.90,3008809
,ALPHAGEO,BE,        34.95,                    46759.00,1348
,ALPSINDUS,EQ,         1.55,                      775.00,500
,ALSTOMT&D,EQ,       150.00,                  4874851.60,32542
,AMAR,BE,         7.15,                    71471.25,10374
,AMARAJABAT,EQ,       305.80,                 60198454.60,199359
,AMBIKCO,EQ,       205.00,                    20500.00,100
,AMDIND,EQ,        11.20,                    10203.20,911
,AMRUTANJAN,EQ,       113.60,                  2069612.25,18059
,AMTEKAUTO,EQ,        60.60,                  7680876.15,125887
,AMTEKINDIA,EQ,        60.25,                  5436120.00,88453
,AMTL,EQ,        18.75,                   262162.50,13982
,ANANTRAJ,EQ,        42.15,                 48264038.35,1113270
,ANDHRABANK,EQ,        55.50,                341404217.05,6156789
,ANDHRACEMT,EQ,         4.85,                     4850.00,1000
,ANDHRSUGAR,EQ,       100.20,                   441351.45,4383
,ANIKINDS,BE,        21.25,                   160700.05,7415
,ANKITMETAL,EQ,        14.15,                    14150.00,1000
,ANSALAPI,EQ,        16.30,                  1583228.10,96813
,ANSALHSG,EQ,        15.45,                   162917.35,10582
,ANTGRAPHIC,EQ,          .25,                      605.00,3020
,APARINDS,EQ,        89.05,                   290632.85,3240
,APCOTEXIND,EQ,       109.55,                   195740.60,1770
,APLAPOLLO,EQ,       163.30,                  1087308.15,6740
,APLLTD,EQ,       137.00,                  6158875.35,44446
,APOLLOTYRE,EQ,        72.75,                647982091.70,9130122
,APPAPER,EQ,       288.20,                 11651738.70,39915
,APTECHT,EQ,        63.00,                  5063890.35,80010
,AQUA,EQ,         2.45,                    74705.35,31919
,ARCHIDPLY,EQ,         6.05,                       30.25,5
