,26-SEP-2013
The Nifty witnessed an intraday movement of about 53.55 points.The closing index was 0.14 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 12394.57
, Traded Quantity (in Lakhs), 6686.7
, Number of Trades, 5532125
, Total Market Capitalisation (Rs. Crores), 6295776.6

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      5873.85,      5872.80,      5917.65,      5864.10,      5882.25,8.4
,CNX IT,      8187.55,      8212.10,      8225.35,      8139.90,      8157.80,-29.75
,CNX Nifty Junior,     11332.65,     11343.95,     11388.05,     11296.80,     11337.85,5.2
,BANK Nifty,     10081.70,     10091.40,     10189.40,     10051.20,     10098.25,16.55
,CNX Midcap,      7057.30,      7061.80,      7080.25,      7044.80,      7053.75,-3.55
,CNX 500,      4477.05,      4476.75,      4503.25,      4472.05,      4482.30,5.25
,CNX 100,      5746.35,      5746.35,      5786.45,      5736.00,      5753.75,7.4
,Nifty Midcap 50,      1922.10,      1920.95,      1927.30,      1911.70,      1915.00,-7.1
,CNX Realty,       156.60,       156.30,       156.30,       154.15,       155.50,-1.1
,CNX Infra,      2216.30,      2215.70,      2231.30,      2208.95,      2223.35,7.05
,CNX Energy,      7704.30,      7689.10,      7710.60,      7613.25,      7637.20,-67.1
,CNX FMCG,     17726.10,     17695.25,     17870.80,     17600.00,     17833.80,107.7
,CNX MNC,      5799.35,      5821.55,      5826.80,      5759.15,      5775.15,-24.2
,CNX Pharma,      7299.85,      7307.70,      7399.45,      7307.70,      7362.85,63
,CNX PSE,      2527.95,      2525.05,      2539.85,      2507.05,      2528.90,.95
,CNX PSU Bank,      2229.75,      2224.00,      2241.70,      2210.30,      2215.45,-14.3
,CNX Service,      6993.35,      7000.90,      7040.70,      6980.75,      6998.75,5.4
,India VIX,        25.68,        25.68,        25.80,        23.57,        24.00,-1.68
,CNX AUTO,      4769.15,      4766.65,      4798.70,      4759.05,      4766.65,-2.5
,CNX Metal,      2145.70,      2142.65,      2181.95,      2139.20,      2156.40,10.7
,CNX Media,      1629.05,      1636.05,      1638.75,      1606.95,      1632.65,3.6
,CNX Smallcap,      2776.80,      2774.55,      2785.95,      2770.35,      2774.85,-1.95
,CNX 200,      2899.55,      2899.55,      2917.90,      2894.40,      2902.40,2.85
,CNX Dividend Oppt,      1529.35,      1529.55,      1531.90,      1520.15,      1523.75,-5.6
,CNX Commodities,      2141.95,      2141.20,      2160.95,      2132.45,      2139.35,-2.6
,CNX Consumption,      2491.00,      2495.60,      2499.90,      2482.55,      2489.95,-1.05
,CNX Finance,      4305.00,      4303.00,      4358.60,      4300.45,      4325.15,20.15
,Nifty Dividend,        73.34,        73.34,        73.34,        73.34,        73.34,0
,LIX 15,      2300.50,      2300.60,      2313.80,      2290.60,      2294.05,-6.45

,ADVANCES,685
,DECLINES,588
,UNCHANGED,114

,Total securities that have hit their price bands today,105

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,TCS,EQ,      1959.05,      1942.90,-0.82,479.79
,YESBANK,EQ,       314.10,       315.80,0.54,455.25
,SESAGOA,EQ,       188.75,       186.75,-1.06,432.14
,INFY,EQ,      3009.65,      3012.30,0.09,403.19
,BHEL,EQ,       143.15,       150.75,5.31,398.32
,RELIANCE,EQ,       849.05,       838.25,-1.27,381.96
,AXISBANK,EQ,      1034.05,      1031.35,-0.26,381.73
,HDFCBANK,EQ,       620.60,       621.15,0.09,350.76
,HDFC,EQ,       779.65,       792.85,1.69,333.65
,ICICIBANK,EQ,       935.20,       946.10,1.17,305.29
,SBIN,EQ,      1692.65,      1676.10,-0.98,275.46
,ITC,EQ,       344.75,       349.30,1.32,274.11
,RCOM,EQ,       160.75,       154.95,-3.61,267.11
,WIPRO,EQ,       475.55,       478.25,0.57,249.55
,LT,EQ,       831.35,       829.10,-0.27,205.1
,TATASTEEL,EQ,       291.10,       299.90,3.02,195.07
,BHARTIARTL,EQ,       336.00,       334.75,-0.37,172.85
,HCLTECH,EQ,      1063.00,      1052.25,-1.01,168
,TATAMOTORS,EQ,       344.10,       343.55,-0.16,166.31
,INDUSINDBK,EQ,       383.45,       383.40,-0.01,163.84
,SUNPHARMA,EQ,       569.00,       581.30,2.16,159.06
,IDEA,EQ,       169.00,       173.15,2.46,155.04
,DLF,EQ,       136.65,       135.60,-0.77,151.44
,ONGC,EQ,       279.45,       276.95,-0.89,148.12
,HINDUNILVR,EQ,       633.60,       628.90,-0.74,129.45

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHEL,EQ,       150.75,       143.15,5.31
,TATASTEEL,EQ,       299.90,       291.10,3.02
,COALINDIA,EQ,       303.85,       295.05,2.98
,JPASSOCIAT,EQ,        38.45,        37.35,2.95
,SUNPHARMA,EQ,       581.30,       569.00,2.16

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JINDALSTEL,EQ,       235.55,       245.00,-3.86
,GRASIM,EQ,      2673.80,      2741.25,-2.46
,GAIL,EQ,       326.55,       334.50,-2.38
,AMBUJACEM,EQ,       184.75,       188.90,-2.2
,PNB,EQ,       476.05,       484.85,-1.81

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.30,                  1372774.15,44988
,3IINFOTECH,EQ,         5.00,                 13638284.35,2860610
,3MINDIA,EQ,      3109.55,                   758579.25,243
,A2ZMES,EQ,         9.90,                   407779.10,41035
,AARTIDRUGS,EQ,       181.95,                  6414095.40,34972
,AARTIIND,EQ,        68.85,                   935647.10,13602
,AARVEEDEN,EQ,        30.85,                    12202.65,397
,ABAN,EQ,       224.00,                227151543.40,1015527
,ABB,EQ,       561.20,                 26019191.35,45768
,ABBOTINDIA,EQ,      1361.80,                   458658.20,336
,ABCIL,BE,        83.00,                    81871.15,998
,ABGSHIP,EQ,       297.60,                370697432.80,1303028
,ACCELYA,EQ,       581.15,                  4629945.90,7935
,ACE,EQ,         8.35,                   500504.00,59409
,ACROPETAL,BE,         5.55,                    66728.80,12041
,ADANIPOWER,EQ,        33.25,                124580240.50,3716765
,ADFFOODS,EQ,        43.05,                    21703.60,506
,ADHUNIK,EQ,        29.65,                 10227385.85,353460
,ADORWELD,EQ,        95.30,                    48098.80,506
,ADSL,EQ,        19.90,                  2425354.85,120495
,ADVANIHOTR,EQ,        28.40,                    12780.00,450
,ADVANTA,EQ,       114.20,                   407165.65,3554
,AEGISCHEM,EQ,       126.95,                   907141.90,7135
,AFL,EQ,        20.60,                    34352.50,1670
,AFTEK,BE,         3.20,                    87343.70,27029
,AGCNET,EQ,        79.80,                    19139.30,241
,AGRODUTCH,EQ,         1.90,                      339.50,180
,AHLEAST,EQ,       120.00,                   138000.00,1150
,AHLUCONT,EQ,        18.20,                   276241.80,15263
,AHMEDFORGE,EQ,        88.00,                  4832507.30,54848
,AIAENG,EQ,       323.70,                   501277.25,1555
,AIL,EQ,       337.30,                  6217859.05,18568
,AJANTPHARM,EQ,       734.35,                 47783206.85,64204
,AJMERA,EQ,        58.35,                   198227.60,3389
,AKSHOPTFBR,EQ,        16.00,                   318737.15,19976
,AKZOINDIA,EQ,       823.75,                  1911354.75,2329
,ALBK,EQ,        79.40,                138046315.20,1722128
,ALCHEM,EQ,        35.55,                    79040.00,2259
,ALEMBICLTD,EQ,        26.65,                  4747336.25,178238
,ALKALI,EQ,        15.80,                    47930.85,3063
,ALKYLAMINE,EQ,       141.00,                      987.00,7
,ALLCARGO,EQ,        89.50,                   411650.05,4635
,ALMONDZ,EQ,         7.50,                     5775.00,770
,ALOKTEXT,EQ,         8.05,                 16444105.30,2060575
,ALPHAGEO,BE,        34.90,                       34.90,1
,ALPSINDUS,EQ,         1.65,                     4125.00,2500
,ALSTOMT&D,EQ,       142.15,                  1129772.20,7938
,AMAR,BE,         6.65,                    60987.60,9174
,AMARAJABAT,EQ,       305.80,                 14579222.80,47819
,AMARJOTHI,EQ,        40.00,                     2000.00,50
,AMDIND,EQ,        10.10,                      777.70,77
,AMRUTANJAN,EQ,       112.90,                  3072051.30,27035
,AMTEKAUTO,EQ,        60.55,                  2422090.55,39951
,AMTEKINDIA,EQ,        62.70,                   932898.95,15067
,AMTL,EQ,        18.75,                    19312.50,1030
,ANANTRAJ,EQ,        42.30,                 21996371.70,514548
,ANDHRABANK,EQ,        53.85,                235849086.35,4393481
,ANDHRACEMT,EQ,         6.30,                     2144.00,410
,ANDHRSUGAR,EQ,       100.75,                   206140.90,2039
,ANIKINDS,BE,        21.25,                     7427.50,350
,ANKITMETAL,EQ,        11.75,                    61550.50,4965
,ANSALAPI,EQ,        16.40,                   884275.85,54145
,ANSALHSG,EQ,        15.20,                   119741.80,7903
,ANTGRAPHIC,EQ,          .25,                     1118.75,5583
,APARINDS,EQ,        86.85,                   415024.35,4763
,APCOTEXIND,EQ,       109.10,                   146833.45,1340
,APLAPOLLO,EQ,       164.70,                   584133.55,3572
,APLLTD,EQ,       143.85,                 18097682.55,123469
,APOLLOTYRE,EQ,        68.00,                235366549.30,3457431
,APPAPER,EQ,       296.65,                 10255243.95,34496
