,27-Sep-2013
The Nifty witnessed an intraday movement of about 89.9 points.The closing index was 0.83 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 9541.29
, Traded Quantity (in Lakhs), 5474.24
, Number of Trades, 5096645
, Total Market Capitalisation (Rs. Crores), 6271635.68

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      5882.25,      5905.55,      5909.20,      5819.30,      5833.20,-49.05
,CNX IT,      8157.80,      8176.40,      8249.00,      8147.75,      8166.55,8.75
,CNX Nifty Junior,     11337.85,     11373.70,     11448.55,     11331.35,     11357.85,20
,BANK Nifty,     10098.25,     10131.65,     10131.65,      9883.95,      9899.75,-198.5
,CNX Midcap,      7053.75,      7068.85,      7105.05,      7043.15,      7052.50,-1.25
,CNX 500,      4482.30,      4497.65,      4502.80,      4448.80,      4455.95,-26.35
,CNX 100,      5753.75,      5775.85,      5781.80,      5703.30,      5714.50,-39.25
,Nifty Midcap 50,      1915.00,      1921.55,      1933.45,      1907.30,      1910.55,-4.45
,CNX Realty,       155.50,       156.35,       156.85,       153.00,       153.45,-2.05
,CNX Infra,      2223.35,      2235.40,      2235.40,      2179.00,      2187.05,-36.3
,CNX Energy,      7637.20,      7678.40,      7722.40,      7605.50,      7630.15,-7.05
,CNX FMCG,     17833.80,     17898.15,     18008.75,     17733.80,     17872.80,39
,CNX MNC,      5775.15,      5793.40,      5810.85,      5723.00,      5736.50,-38.65
,CNX Pharma,      7362.85,      7395.35,      7445.20,      7356.50,      7364.60,1.75
,CNX PSE,      2528.90,      2537.90,      2548.50,      2508.90,      2519.80,-9.1
,CNX PSU Bank,      2215.45,      2223.75,      2229.80,      2168.85,      2180.25,-35.2
,CNX Service,      6998.75,      7024.40,      7024.40,      6906.75,      6922.40,-76.35
,India VIX,        24.00,        24.00,        25.24,        23.36,        24.06,.06
,CNX AUTO,      4766.65,      4773.80,      4796.40,      4738.90,      4748.75,-17.9
,CNX Metal,      2156.40,      2156.40,      2169.85,      2113.70,      2122.35,-34.05
,CNX Media,      1632.65,      1634.45,      1643.40,      1617.30,      1625.10,-7.55
,CNX Smallcap,      2774.85,      2780.25,      2793.35,      2766.55,      2769.95,-4.9
,CNX 200,      2902.40,      2912.80,      2916.30,      2878.80,      2884.20,-18.2
,CNX Dividend Oppt,      1523.75,      1528.80,      1533.25,      1516.05,      1519.05,-4.7
,CNX Commodities,      2139.35,      2146.80,      2156.75,      2119.15,      2126.90,-12.45
,CNX Consumption,      2489.95,      2498.70,      2503.80,      2479.55,      2484.65,-5.3
,CNX Finance,      4325.15,      4340.30,      4340.30,      4239.85,      4251.80,-73.35
,Nifty Dividend,        73.34,        73.34,        73.34,        73.34,        73.34,0
,LIX 15,      2294.05,      2300.40,      2308.15,      2263.55,      2271.20,-22.85

,ADVANCES,596
,DECLINES,712
,UNCHANGED,90

,Total securities that have hit their price bands today,106

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,MCDOWELL-N,EQ,      2458.95,      2621.45,6.61,442.22
,YESBANK,EQ,       315.80,       304.60,-3.55,361.74
,ICICIBANK,EQ,       946.10,       923.30,-2.41,280.25
,AXISBANK,EQ,      1031.35,      1030.90,-0.04,276.48
,SBIN,EQ,      1676.10,      1640.70,-2.11,272.81
,BPCL,EQ,       309.20,       328.60,6.27,260.35
,HDFCBANK,EQ,       621.15,       608.90,-1.97,250.56
,RELIANCE,EQ,       838.25,       839.90,0.2,231.95
,INFY,EQ,      3012.30,      3006.60,-0.19,214.98
,ITC,EQ,       349.30,       347.90,-0.4,192.18
,TCS,EQ,      1942.90,      1948.10,0.27,174.12
,HDFC,EQ,       792.85,       784.20,-1.09,167.78
,BHARTIARTL,EQ,       334.75,       325.30,-2.82,165
,DLF,EQ,       135.60,       131.85,-2.77,164.31
,TATASTEEL,EQ,       299.90,       287.40,-4.17,155.93
,RCOM,EQ,       154.95,       151.30,-2.36,144.25
,RELINFRA,EQ,       401.95,       392.35,-2.39,141.24
,BHEL,EQ,       150.75,       143.75,-4.64,140.78
,SESAGOA,EQ,       186.75,       182.70,-2.17,137.61
,JPASSOCIAT,EQ,        38.45,        36.60,-4.81,129.89
,SUNPHARMA,EQ,       581.30,       589.85,1.47,125.87
,AUROPHARMA,EQ,       194.45,       200.70,3.21,120.11
,TATAMOTORS,EQ,       343.55,       340.10,-1,113.61
,HCLTECH,EQ,      1052.25,      1072.75,1.95,107.57
,LT,EQ,       829.10,       815.85,-1.6,105.42

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BPCL,EQ,       328.60,       309.20,6.27
,HCLTECH,EQ,      1072.75,      1052.25,1.95
,SUNPHARMA,EQ,       589.85,       581.30,1.47
,HEROMOTOCO,EQ,      2048.05,      2019.80,1.4
,ULTRACEMCO,EQ,      1829.00,      1808.70,1.12

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JPASSOCIAT,EQ,        36.60,        38.45,-4.81
,BHEL,EQ,       143.75,       150.75,-4.64
,TATASTEEL,EQ,       287.40,       299.90,-4.17
,KOTAKBANK,EQ,       682.85,       703.40,-2.92
,BHARTIARTL,EQ,       325.30,       334.75,-2.82

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.60,                  4135841.15,135341
,3IINFOTECH,EQ,         5.55,                 31497742.60,5819850
,3MINDIA,EQ,      3104.00,                   701274.45,225
,A2ZMES,EQ,         9.75,                   280793.65,28624
,AARTIDRUGS,EQ,       177.50,                 27201659.30,158691
,AARTIIND,EQ,        70.25,                  1009966.70,14439
,AARVEEDEN,EQ,        31.00,                    36735.40,1200
,ABAN,EQ,       221.55,                108889859.45,482273
,ABB,EQ,       549.10,                 16802055.55,30311
,ABBOTINDIA,EQ,      1358.00,                  3211898.05,2356
,ABCIL,BE,        83.50,                   106605.00,1285
,ABGSHIP,EQ,       342.05,                962100653.65,2836790
,ACCELYA,EQ,       574.35,                  1176987.75,2044
,ACE,EQ,         8.30,                   445731.55,53501
,ACROPETAL,BE,         5.50,                   154868.75,27666
,ADANIPOWER,EQ,        33.05,                 50408762.35,1509473
,ADFFOODS,EQ,        44.10,                    85862.30,1938
,ADHUNIK,BE,        29.10,                   686515.55,23712
,ADORWELD,EQ,        95.80,                    81515.35,847
,ADSL,BE,        19.25,                   359914.15,18732
,ADVANTA,EQ,       111.75,                   531769.30,4713
,AEGISCHEM,EQ,       128.05,                   917785.35,7187
,AFL,EQ,        20.60,                    13387.85,657
,AFTEK,BE,         3.15,                   102364.75,32100
,AGCNET,EQ,        79.00,                    21958.30,280
,AGRODUTCH,EQ,         1.90,                      190.00,100
,AHLEAST,EQ,       120.00,                    40680.00,339
,AHLUCONT,EQ,        17.70,                   127228.90,7104
,AHLWEST,EQ,       100.00,                   105800.00,1058
,AHMEDFORGE,EQ,        88.10,                  4864305.40,55118
,AIAENG,EQ,       320.05,                  6113365.60,19056
,AIL,EQ,       345.10,                  8661491.35,25353
,AJANTPHARM,EQ,       719.30,                 40710182.50,55998
,AJMERA,EQ,        58.60,                   144078.35,2461
,AKSHOPTFBR,EQ,        15.85,                   106354.95,6675
,AKZOINDIA,EQ,       829.80,                  6902122.45,8276
,ALBK,EQ,        79.05,                120487187.70,1513662
,ALCHEM,EQ,        34.40,                    20021.00,581
,ALEMBICLTD,EQ,        14.05,                  6470965.10,456614
,ALKALI,EQ,        15.75,                   106791.05,6742
,ALLCARGO,EQ,        99.25,                 10166999.45,103224
,ALLSEC,EQ,        23.05,                      461.00,20
,ALOKTEXT,EQ,         8.15,                 24322659.90,2971168
,ALPA,BE,         6.65,                     6650.00,1000
,ALPHAGEO,BE,        35.10,                    45207.40,1244
,ALPSINDUS,EQ,         1.60,                       16.00,10
,ALSTOMT&D,EQ,       145.10,                  1960042.25,13649
,AMAR,BE,         6.90,                    47044.15,6973
,AMARAJABAT,EQ,       296.90,                 31095519.10,102261
,AMDIND,EQ,        10.00,                     6000.00,600
,AMRUTANJAN,EQ,       110.80,                  1510691.45,13461
,AMTEKAUTO,EQ,        60.40,                  3772989.55,61705
,AMTEKINDIA,EQ,        62.75,                  2849381.40,44499
,ANANTRAJ,EQ,        41.85,                 13338304.20,315535
,ANDHRABANK,EQ,        53.00,                 61347320.75,1147330
,ANDHRACEMT,EQ,         5.05,                    62115.00,12300
,ANDHRSUGAR,EQ,       100.55,                   112767.80,1118
,ANGIND,BE,         7.20,                   540000.00,75000
,ANIKINDS,BE,        22.30,                    11150.00,500
,ANKITMETAL,EQ,        12.15,                    85189.95,6911
,ANSALAPI,EQ,        16.00,                   825178.00,51341
,ANSALHSG,EQ,        14.75,                    59595.75,4014
,ANTGRAPHIC,EQ,          .20,                     3038.15,14654
,APARINDS,EQ,        86.60,                    50228.10,575
,APCOTEXIND,EQ,       109.35,                   114398.20,1040
,APLAPOLLO,EQ,       156.85,                   124284.35,792
,APLLTD,EQ,       140.55,                  9609650.80,67522
,APOLLOTYRE,EQ,        66.75,                153802521.95,2287781
,APPAPER,EQ,       299.50,                  7926955.15,26477
,APTECHT,EQ,        62.00,                  2715383.30,43750
