,01-OCT-2013
The Nifty witnessed an intraday movement of about 85.5 points.The closing index was 0.78 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 9015.86
, Traded Quantity (in Lakhs), 5075.71
, Number of Trades, 5468979
, Total Market Capitalisation (Rs. Crores), 6219512.58

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      5735.30,      5756.10,      5786.45,      5700.95,      5780.05,44.75
,CNX IT,      8167.80,      8195.05,      8208.50,      8133.40,      8181.65,13.85
,CNX Nifty Junior,     11208.00,     11231.85,     11295.85,     11093.25,     11289.95,81.95
,BANK Nifty,      9617.80,      9685.15,      9912.95,      9582.75,      9883.30,265.5
,CNX Midcap,      6997.95,      7005.35,      7039.15,      6950.15,      7037.35,39.4
,CNX 500,      4392.05,      4405.00,      4425.75,      4367.15,      4422.90,30.85
,CNX 100,      5621.65,      5640.80,      5669.80,      5585.40,      5665.10,43.45
,Nifty Midcap 50,      1884.35,      1886.05,      1910.75,      1872.20,      1908.15,23.8
,CNX Realty,       149.65,       149.65,       154.25,       148.75,       154.00,4.35
,CNX Infra,      2135.65,      2141.55,      2153.45,      2113.20,      2149.95,14.3
,CNX Energy,      7515.35,      7541.25,      7541.25,      7432.90,      7446.50,-68.85
,CNX FMCG,     17637.40,     17656.55,     17691.75,     17449.05,     17667.10,29.7
,CNX MNC,      5739.75,      5756.90,      5756.90,      5672.85,      5711.50,-28.25
,CNX Pharma,      7361.05,      7367.55,      7407.15,      7348.35,      7382.50,21.45
,CNX PSE,      2469.20,      2475.60,      2475.60,      2438.20,      2452.65,-16.55
,CNX PSU Bank,      2134.45,      2142.35,      2179.40,      2127.65,      2172.85,38.4
,CNX Service,      6806.90,      6835.35,      6916.95,      6775.35,      6904.85,97.95
,India VIX,        26.65,        26.65,        28.02,        25.74,        25.77,-.88
,CNX AUTO,      4681.95,      4699.70,      4741.85,      4666.70,      4727.10,45.15
,CNX Metal,      2067.80,      2071.30,      2072.35,      2035.65,      2064.30,-3.5
,CNX Media,      1586.90,      1589.05,      1604.60,      1574.95,      1599.40,12.5
,CNX Smallcap,      2739.20,      2745.45,      2770.30,      2735.95,      2768.15,28.95
,CNX 200,      2840.25,      2849.45,      2863.45,      2822.55,      2861.25,21
,CNX Dividend Oppt,      1505.65,      1511.10,      1511.10,      1494.00,      1506.05,.4
,CNX Commodities,      2091.85,      2097.25,      2097.45,      2063.60,      2076.50,-15.35
,CNX Consumption,      2453.25,      2462.75,      2462.75,      2428.80,      2457.80,4.55
,CNX Finance,      4139.90,      4161.90,      4257.05,      4127.55,      4247.40,107.5
,Nifty Dividend,        73.34,        73.34,        73.34,        73.34,        73.34,0
,LIX 15,      2222.85,      2231.45,      2253.40,      2204.85,      2250.20,27.35

,ADVANCES,755
,DECLINES,548
,UNCHANGED,71

,Total securities that have hit their price bands today,105

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,YESBANK,EQ,       287.35,       294.90,2.63,547.79
,ICICIBANK,EQ,       883.65,       910.75,3.07,352.43
,MCDOWELL-N,EQ,      2533.20,      2511.00,-0.88,334.21
,AXISBANK,EQ,      1007.85,      1044.10,3.6,288.63
,DLF,EQ,       128.05,       136.90,6.91,210.86
,SBIN,EQ,      1614.90,      1643.35,1.76,205.21
,INFY,EQ,      3013.00,      3015.00,0.07,200.32
,HDFCBANK,EQ,       593.05,       611.65,3.14,196.57
,SESAGOA,EQ,       180.75,       175.25,-3.04,193.79
,RANBAXY,EQ,       330.30,       350.50,6.12,193.57
,RELIANCE,EQ,       822.40,       821.45,-0.12,171.57
,TATAMOTORS,EQ,       332.50,       335.65,0.95,168.82
,TATASTEEL,EQ,       271.55,       275.75,1.55,168.27
,LT,EQ,       788.75,       800.00,1.43,167.99
,TCS,EQ,      1927.80,      1949.05,1.1,154.73
,ITC,EQ,       340.40,       343.00,0.76,145.87
,HDFC,EQ,       764.25,       785.90,2.83,145.21
,RCOM,EQ,       146.85,       148.85,1.36,136.21
,BHARTIARTL,EQ,       318.65,       322.60,1.24,133.16
,MARUTI,EQ,      1358.55,      1380.20,1.59,129.22
,ONGC,EQ,       267.85,       262.30,-2.07,128.56
,M&M,EQ,       827.45,       831.80,0.53,119.4
,JSWSTEEL,EQ,       729.65,       750.00,2.79,109.08
,HINDUNILVR,EQ,       627.45,       619.20,-1.31,108.95
,BHEL,EQ,       137.40,       141.15,2.73,105.49

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DLF,EQ,       136.90,       128.05,6.91
,RANBAXY,EQ,       350.50,       330.30,6.12
,INDUSINDBK,EQ,       383.05,       368.75,3.88
,AXISBANK,EQ,      1044.10,      1007.85,3.6
,IDFC,EQ,        90.85,        88.05,3.18

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATAPOWER,EQ,        77.85,        81.15,-4.07
,SESAGOA,EQ,       175.25,       180.75,-3.04
,NTPC,EQ,       143.85,       147.45,-2.44
,ONGC,EQ,       262.30,       267.85,-2.07
,HCLTECH,EQ,      1071.10,      1087.20,-1.48

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.40,                  3803339.65,124869
,3IINFOTECH,EQ,         5.90,                 24728966.50,3907505
,3MINDIA,EQ,      3026.85,                  1208954.00,400
,A2ZMES,EQ,         9.95,                  2179157.40,215934
,AARTIDRUGS,EQ,       185.80,                   898600.70,4965
,AARTIIND,EQ,        69.90,                  4905461.05,70420
,AARVEEDEN,EQ,        30.15,                   105079.75,3492
,ABAN,EQ,       218.65,                 46616347.65,213954
,ABB,EQ,       542.95,                 29491869.15,53702
,ABBOTINDIA,EQ,      1362.65,                   231406.90,169
,ABCIL,BE,        82.65,                   294642.95,3536
,ABGSHIP,EQ,       328.60,                161870353.25,481371
,ACCELYA,EQ,       602.40,                 10309658.80,17551
,ACE,EQ,         8.30,                   831433.40,99780
,ACROPETAL,BE,         5.35,                    21868.70,4047
,ADANIPOWER,EQ,        31.90,                 50514814.25,1578308
,ADFFOODS,EQ,        44.95,                   192970.60,4313
,ADHUNIK,BE,        28.40,                   408437.45,14146
,ADORWELD,EQ,        94.50,                    80220.00,856
,ADSL,BE,        19.35,                   266191.30,13938
,ADVANTA,EQ,       107.70,                   618353.75,5820
,AEGISCHEM,EQ,       126.65,                   268016.85,2122
,AFL,EQ,        19.65,                    11535.90,581
,AFTEK,BE,         3.20,                    84836.15,26180
,AGCNET,EQ,        82.85,                     5776.20,68
,AGRODUTCH,EQ,         1.95,                     4862.85,2550
,AHLEAST,EQ,       125.00,                      735.00,6
,AHLUCONT,EQ,        18.00,                   227189.80,12736
,AHMEDFORGE,EQ,        85.65,                   795584.60,9199
,AIAENG,EQ,       322.60,                  4489956.80,14367
,AIL,EQ,       333.15,                  1850961.70,5533
,AJANTPHARM,EQ,       734.55,                 54446719.70,73278
,AJMERA,EQ,        58.05,                    45658.85,778
,AKSHOPTFBR,EQ,        15.20,                   957798.40,62508
,AKZOINDIA,EQ,       822.05,                  6188542.05,7528
,ALBK,EQ,        78.40,                127626330.65,1651951
,ALCHEM,EQ,        34.10,                    74786.70,2193
,ALEMBICLTD,EQ,        13.45,                  1694109.45,125145
,ALKALI,EQ,        16.20,                    37883.60,2351
,ALLCARGO,EQ,        97.70,                   908230.10,9198
,ALOKTEXT,EQ,         8.20,                 12177270.75,1503742
,ALPHAGEO,BE,        34.50,                     8294.85,241
,ALPSINDUS,EQ,         1.60,                     8000.00,5000
,ALSTOMT&D,EQ,       139.15,                   705973.85,5034
,AMAR,BE,         7.40,                   201657.45,27647
,AMARAJABAT,EQ,       311.95,                106916709.90,350188
,AMARJOTHI,EQ,        40.00,                     4000.00,100
,AMDIND,EQ,        10.85,                    12910.60,1206
,AMRUTANJAN,EQ,       111.40,                   611734.95,5475
,AMTEKAUTO,EQ,        60.30,                  1636769.85,27212
,AMTEKINDIA,EQ,        62.15,                   799607.85,12907
,ANANTRAJ,EQ,        42.00,                 12856240.00,310991
,ANDHRABANK,EQ,        52.30,                 48727065.55,933254
,ANDHRACEMT,EQ,         5.35,                     1658.50,310
,ANDHRSUGAR,EQ,       100.10,                   457353.75,4509
,ANGIND,BE,         7.30,                   540563.00,74045
,ANKITMETAL,EQ,        12.20,                    30527.50,2490
,ANSALAPI,EQ,        15.85,                   510259.90,32156
,ANSALHSG,EQ,        14.30,                   196133.15,13607
,ANTGRAPHIC,EQ,          .25,                      836.80,3925
,APARINDS,EQ,        86.20,                   450681.20,5172
,APCOTEXIND,EQ,       118.65,                   221712.10,1927
,APLAPOLLO,EQ,       159.10,                   107359.40,679
,APLLTD,EQ,       142.10,                 12766851.30,89661
,APOLLOTYRE,EQ,        65.45,                309187123.65,4801216
,APPAPER,EQ,       296.95,                  5814505.35,19605
,APTECHT,EQ,        62.10,                  1870730.85,30135
,AQUA,EQ,         2.40,                  1923814.15,801647
,ARCHIES,EQ,        14.10,                   324128.95,23077
,ARIES,EQ,        36.80,                    85053.30,2311
