,22-Oct-2013
The Nifty witnessed an intraday movement of about 38.3 points.The closing index was 0.03 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 11267.67
, Traded Quantity (in Lakhs), 7808.29
, Number of Trades, 5955597
, Total Market Capitalisation (Rs. Crores), 6627786.15

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      6204.95,      6192.30,      6220.10,      6181.80,      6202.80,-2.15
,CNX IT,      8854.90,      8901.35,      8951.85,      8891.20,      8915.15,60.25
,CNX Nifty Junior,     12053.50,     12043.90,     12129.95,     12038.75,     12100.15,46.65
,BANK Nifty,     10797.55,     10743.80,     10907.55,     10707.85,     10809.10,11.55
,CNX Midcap,      7419.95,      7415.10,      7469.95,      7415.10,      7452.90,32.95
,CNX 500,      4731.00,      4723.95,      4749.05,      4723.90,      4738.35,7.35
,CNX 100,      6076.50,      6065.25,      6093.65,      6056.45,      6078.30,1.8
,Nifty Midcap 50,      2053.60,      2049.05,      2070.45,      2049.05,      2066.70,13.1
,CNX Realty,       179.70,       179.00,       180.55,       178.10,       178.50,-1.2
,CNX Infra,      2345.05,      2337.60,      2371.75,      2337.60,      2367.85,22.8
,CNX Energy,      8025.20,      7996.65,      8043.30,      7972.80,      8030.40,5.2
,CNX FMCG,     17839.50,     17749.25,     17880.45,     17738.80,     17795.00,-44.5
,CNX MNC,      5985.45,      5967.45,      6020.15,      5967.45,      5984.65,-.8
,CNX Pharma,      7634.30,      7602.85,      7676.20,      7602.85,      7648.15,13.85
,CNX PSE,      2561.15,      2558.30,      2586.05,      2552.80,      2580.50,19.35
,CNX PSU Bank,      2271.70,      2268.80,      2294.40,      2253.55,      2273.55,1.85
,CNX Service,      7438.00,      7427.40,      7482.35,      7421.55,      7458.25,20.25
,India VIX,        20.18,        20.18,        20.43,        19.21,        19.96,-.22
,CNX AUTO,      5122.85,      5132.20,      5152.15,      5088.40,      5099.90,-22.95
,CNX Metal,      2277.90,      2277.25,      2300.40,      2272.55,      2283.35,5.45
,CNX Media,      1748.85,      1751.35,      1765.00,      1742.05,      1753.70,4.85
,CNX Smallcap,      3024.85,      3026.85,      3072.65,      3026.85,      3060.90,36.05
,CNX 200,      3064.00,      3058.90,      3073.90,      3055.80,      3066.80,2.8
,CNX Dividend Oppt,      1571.25,      1566.25,      1573.35,      1563.70,      1567.80,-3.45
,CNX Commodities,      2240.75,      2235.95,      2253.00,      2233.40,      2247.25,6.5
,CNX Consumption,      2579.85,      2580.75,      2588.90,      2571.75,      2581.00,1.15
,CNX Finance,      4562.80,      4538.55,      4582.10,      4523.15,      4551.00,-11.8
,Nifty Dividend,        76.31,        76.47,        76.47,        76.47,        76.47,.16
,LIX 15,      2482.45,      2480.60,      2505.65,      2474.05,      2495.60,13.15

,ADVANCES,894
,DECLINES,492
,UNCHANGED,79

,Total securities that have hit their price bands today,135

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,YESBANK,EQ,       358.65,       372.00,3.72,904.41
,AXISBANK,EQ,      1175.85,      1201.15,2.15,544.91
,ICICIBANK,EQ,      1010.25,      1010.15,-0.01,330.53
,INFY,EQ,      3335.45,      3342.35,0.21,301.65
,LT,EQ,       925.55,       935.40,1.06,247.11
,SBIN,EQ,      1671.55,      1675.25,0.22,229.23
,WIPRO,EQ,       506.00,       514.80,1.74,216.17
,TCS,EQ,      2071.65,      2089.35,0.85,213.88
,RELIANCE,EQ,       913.20,       904.20,-0.99,211.63
,TATASTEEL,EQ,       336.10,       339.95,1.15,198.09
,TATAMOTORS,EQ,       380.05,       380.00,-0.01,196.66
,HDFC,EQ,       821.15,       810.70,-1.27,167.21
,ASIANPAINT,EQ,       515.80,       523.20,1.43,158.44
,JPASSOCIAT,EQ,        47.50,        47.60,0.21,150.93
,ITC,EQ,       344.70,       341.55,-0.91,148.92
,HDFCBANK,EQ,       671.25,       669.00,-0.34,146.48
,CAIRN,EQ,       330.65,       332.65,0.6,144.16
,HCLTECH,EQ,      1084.10,      1108.90,2.29,140.1
,RCOM,EQ,       152.70,       155.10,1.57,136.17
,RELCAPITAL,EQ,       362.70,       370.15,2.05,135.66
,IDFC,EQ,       101.40,       102.30,0.89,132.37
,MCDOWELL-N,EQ,      2670.10,      2661.80,-0.31,127.41
,SINTEX,EQ,        32.25,        35.45,9.92,120.78
,HINDALCO,EQ,       118.40,       116.50,-1.6,120.25
,IBREALEST,EQ,        65.95,        67.55,2.43,119.45

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATAPOWER,EQ,        82.00,        80.00,2.5
,POWERGRID,EQ,       101.95,        99.50,2.46
,HCLTECH,EQ,      1108.90,      1084.10,2.29
,AXISBANK,EQ,      1201.15,      1175.85,2.15
,GAIL,EQ,       333.85,       327.80,1.85

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDALCO,EQ,       116.50,       118.40,-1.6
,HEROMOTOCO,EQ,      2066.90,      2099.80,-1.57
,RANBAXY,EQ,       392.90,       398.80,-1.48
,DLF,EQ,       164.15,       166.50,-1.41
,M&M,EQ,       875.70,       887.70,-1.35

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        32.15,                  8386694.60,263958
,3IINFOTECH,BE,         5.95,                  2099667.45,353017
,3MINDIA,EQ,      3205.00,                   365718.50,115
,A2ZMES,EQ,        10.35,                  2776252.10,269743
,AARTIDRUGS,EQ,       188.95,                   758461.60,4023
,AARTIIND,EQ,        79.55,                  1368320.60,17037
,AARVEEDEN,EQ,        35.25,                    45297.70,1269
,ABAN,EQ,       231.15,                 68002493.50,291266
,ABB,EQ,       612.20,                170325284.35,282647
,ABBOTINDIA,EQ,      1360.45,                  3775266.40,2777
,ABCIL,BE,        89.80,                   237064.50,2650
,ABGSHIP,EQ,       301.90,                  4240162.60,14034
,ACCELYA,EQ,       687.95,                  4263482.60,6188
,ACE,EQ,        13.35,                  4903021.60,360116
,ACROPETAL,BE,         5.20,                    66270.10,12612
,ADANIPOWER,EQ,        36.45,                228111774.15,6239580
,ADFFOODS,EQ,        53.90,                 13473768.20,246363
,ADHUNIK,BE,        27.75,                   398455.05,14138
,ADORWELD,EQ,       106.85,                   932580.45,8597
,ADSL,BE,        20.30,                   258793.00,12634
,ADVANTA,EQ,       115.15,                   889779.55,7689
,AEGISCHEM,EQ,       149.30,                 18961658.80,125344
,AFL,EQ,        21.80,                    47436.85,2218
,AFTEK,BE,         3.65,                    35313.75,9675
,AGCNET,EQ,        80.40,                    77859.90,962
,AGRODUTCH,EQ,         1.95,                     2437.50,1250
,AHLEAST,EQ,       131.00,                    17816.00,136
,AHLUCONT,EQ,        27.25,                   289363.65,10872
,AHLWEST,EQ,       100.00,                    90710.95,913
,AHMEDFORGE,EQ,        89.00,                  2761013.90,30588
,AIAENG,EQ,       388.00,                 67147745.55,173538
,AIL,EQ,       355.00,                 45331036.35,127505
,AJANTPHARM,EQ,       740.90,                 18157542.60,24527
,AJMERA,EQ,        57.95,                   578108.55,9824
,AKSHOPTFBR,EQ,        15.10,                    93249.00,6211
,AKZOINDIA,EQ,       904.40,                  2641367.30,2922
,ALBK,EQ,        83.25,                100030238.95,1201583
,ALCHEM,EQ,        42.00,                   225243.75,5363
,ALEMBICLTD,EQ,        13.45,                  1277914.10,94673
,ALKALI,EQ,        16.95,                   123092.30,7265
,ALKYLAMINE,EQ,       173.25,                   942571.25,5445
,ALLCARGO,EQ,        93.85,                   634472.65,6828
,ALOKTEXT,EQ,         8.25,                 58434442.35,7013080
,ALPA,BE,         6.50,                      975.00,150
,ALPHAGEO,BE,        48.85,                   131294.35,2705
,ALPSINDUS,EQ,         1.50,                      240.95,161
,ALSTOMT&D,EQ,       146.60,                  3498903.90,23534
,AMAR,BE,         8.20,                   321699.20,39826
,AMARAJABAT,EQ,       314.65,                 40130713.15,127423
,AMARJOTHI,EQ,        42.15,                      421.50,10
,AMBIKCO,EQ,       228.85,                    23907.75,105
,AMRUTANJAN,EQ,       114.40,                  1334268.30,11731
,AMTEKAUTO,EQ,        68.15,                 30061719.40,440706
,AMTEKINDIA,EQ,        67.35,                  1240669.50,18243
,ANANTRAJ,EQ,        52.45,                 27438652.50,521727
,ANDHRABANK,EQ,        55.60,                102393809.90,1849134
,ANDHRACEMT,EQ,         5.10,                     4471.50,865
,ANDHRSUGAR,EQ,       107.20,                  2062504.90,19177
,ANIKINDS,BE,        21.20,                    16542.25,780
,ANKITMETAL,EQ,        14.00,                    40471.95,2848
,ANSALAPI,EQ,        18.40,                  1151472.65,61926
,ANSALHSG,EQ,        16.25,                   171246.95,10604
,ANTGRAPHIC,EQ,          .20,                       76.70,366
,APARINDS,EQ,       110.40,                  1765825.65,15961
,APCOTEXIND,EQ,       142.70,                   520333.15,3652
,APLAPOLLO,EQ,       142.90,                   219421.25,1528
,APLLTD,EQ,       176.25,                 33977447.40,195077
,APOLLOTYRE,EQ,        70.10,                292906634.95,4233270
,APPAPER,EQ,       291.95,                  7888609.15,27073
,APTECHT,EQ,        69.10,                 14498064.10,209505
