,23-Oct-2013
The Nifty witnessed an intraday movement of about 101.35 points.The closing index was 0.39 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 12069.94
, Traded Quantity (in Lakhs), 7173.2
, Number of Trades, 6225941
, Total Market Capitalisation (Rs. Crores), 6600676.52

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      6202.80,      6209.55,      6217.95,      6116.60,      6178.35,-24.45
,CNX IT,      8915.15,      8891.30,      8891.30,      8739.90,      8829.55,-85.6
,CNX Nifty Junior,     12100.15,     12135.85,     12157.05,     11957.90,     12090.35,-9.8
,BANK Nifty,     10809.10,     10837.05,     10912.80,     10732.35,     10880.65,71.55
,CNX Midcap,      7452.90,      7474.65,      7494.00,      7387.55,      7441.10,-11.8
,CNX 500,      4738.35,      4746.10,      4752.10,      4680.50,      4723.50,-14.85
,CNX 100,      6078.30,      6086.60,      6094.50,      5996.65,      6057.25,-21.05
,Nifty Midcap 50,      2066.70,      2073.65,      2080.25,      2031.70,      2054.40,-12.3
,CNX Realty,       178.50,       179.35,       180.50,       173.20,       176.15,-2.35
,CNX Infra,      2367.85,      2373.05,      2380.60,      2322.10,      2354.00,-13.85
,CNX Energy,      8030.40,      8052.70,      8072.90,      7875.00,      7949.95,-80.45
,CNX FMCG,     17795.00,     17819.40,     17886.45,     17620.60,     17842.80,47.8
,CNX MNC,      5984.65,      5990.75,      6041.00,      5918.15,      5998.45,13.8
,CNX Pharma,      7648.15,      7686.75,      7699.95,      7527.20,      7582.65,-65.5
,CNX PSE,      2580.50,      2587.30,      2598.10,      2536.00,      2559.55,-20.95
,CNX PSU Bank,      2273.55,      2291.45,      2347.10,      2287.50,      2334.75,61.2
,CNX Service,      7458.25,      7465.70,      7472.30,      7366.00,      7439.80,-18.45
,India VIX,        19.96,        19.96,        20.79,        18.76,        20.35,.39
,CNX AUTO,      5099.90,      5109.70,      5123.55,      5002.35,      5059.75,-40.15
,CNX Metal,      2283.35,      2286.20,      2309.25,      2251.00,      2274.70,-8.65
,CNX Media,      1753.70,      1763.30,      1769.35,      1729.90,      1761.05,7.35
,CNX Smallcap,      3060.90,      3083.10,      3087.65,      3026.20,      3046.55,-14.35
,CNX 200,      3066.80,      3071.55,      3075.55,      3027.50,      3057.10,-9.7
,CNX Dividend Oppt,      1567.80,      1570.75,      1575.85,      1550.00,      1568.15,.35
,CNX Commodities,      2247.25,      2247.90,      2256.25,      2199.60,      2226.15,-21.1
,CNX Consumption,      2581.00,      2587.20,      2592.35,      2549.35,      2577.45,-3.55
,CNX Finance,      4551.00,      4563.15,      4574.75,      4506.90,      4562.20,11.2
,Nifty Dividend,        76.47,        76.47,        76.47,        76.47,        76.47,0
,LIX 15,      2495.60,      2503.65,      2514.65,      2457.15,      2498.70,3.1

,ADVANCES,652
,DECLINES,698
,UNCHANGED,94

,Total securities that have hit their price bands today,120

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,YESBANK,EQ,       372.00,       374.00,0.54,601.3
,SBIN,EQ,      1675.25,      1716.55,2.47,563.1
,AXISBANK,EQ,      1201.15,      1210.10,0.75,475.7
,HINDUNILVR,EQ,       608.95,       614.65,0.94,340.04
,WIPRO,EQ,       514.80,       492.45,-4.34,337
,ICICIBANK,EQ,      1010.15,      1025.75,1.54,310.66
,INFY,EQ,      3342.35,      3324.80,-0.53,271.32
,TCS,EQ,      2089.35,      2061.15,-1.35,253.4
,TATAMOTORS,EQ,       380.00,       374.65,-1.41,237.4
,LT,EQ,       935.40,       949.35,1.49,233.7
,JUSTDIAL,EQ,       960.65,      1148.10,19.51,231.95
,TATASTEEL,EQ,       339.95,       335.20,-1.4,226.38
,HDFCBANK,EQ,       669.00,       660.20,-1.32,223.4
,RELIANCE,EQ,       904.20,       896.75,-0.82,183.51
,SSLT,EQ,       198.85,       198.55,-0.15,180.94
,JPASSOCIAT,EQ,        47.60,        46.55,-2.21,174.78
,HDFC,EQ,       810.70,       809.70,-0.12,162.21
,ITC,EQ,       341.55,       341.60,0.01,161.35
,RCOM,EQ,       155.10,       153.05,-1.32,154.6
,DLF,EQ,       164.15,       158.80,-3.26,150.04
,SUNPHARMA,EQ,       638.45,       621.35,-2.68,147.77
,MCDOWELL-N,EQ,      2661.80,      2694.65,1.23,147.03
,CAIRN,EQ,       332.65,       321.05,-3.49,143.72
,EXIDEIND,EQ,       128.90,       126.05,-2.21,138.9
,PNB,EQ,       486.95,       495.75,1.81,136.35

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BANKBARODA,EQ,       590.35,       563.15,4.83
,GAIL,EQ,       347.00,       333.85,3.94
,CIPLA,EQ,       423.80,       412.25,2.8
,SBIN,EQ,      1716.55,      1675.25,2.47
,PNB,EQ,       495.75,       486.95,1.81

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,WIPRO,EQ,       492.45,       514.80,-4.34
,CAIRN,EQ,       321.05,       332.65,-3.49
,DLF,EQ,       158.80,       164.15,-3.26
,SUNPHARMA,EQ,       621.35,       638.45,-2.68
,NTPC,EQ,       145.35,       148.75,-2.29

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        37.15,                 14425053.55,395805
,3IINFOTECH,BE,         6.20,                  5373802.65,872372
,3MINDIA,EQ,      3204.20,                   268535.85,84
,A2ZMES,EQ,        10.60,                  9761481.70,911673
,AARTIDRUGS,EQ,       190.35,                   396783.65,2099
,AARTIIND,EQ,        80.45,                   815904.55,10194
,AARVEEDEN,EQ,        35.95,                    67914.55,1864
,ABAN,EQ,       228.30,                 72669705.90,315070
,ABB,EQ,       626.20,                 97192844.20,156084
,ABBOTINDIA,EQ,      1349.95,                   852337.80,630
,ABCIL,BE,        87.85,                    44567.50,506
,ABGSHIP,EQ,       308.80,                 27902413.05,90226
,ACCELYA,EQ,       693.35,                  5706196.30,8248
,ACE,EQ,        12.75,                  3821466.10,295221
,ACROPETAL,BE,         5.20,                    43483.80,8446
,ADANIPOWER,EQ,        35.50,                173063426.00,4834847
,ADFFOODS,EQ,        51.65,                   871552.90,16793
,ADHUNIK,BE,        27.15,                   484897.40,17680
,ADORWELD,EQ,       105.70,                   384101.80,3594
,ADSL,BE,        19.85,                   248216.50,12415
,ADVANIHOTR,EQ,        28.40,                    28400.00,1000
,ADVANTA,EQ,       114.25,                   695324.30,6080
,AEGISCHEM,EQ,       150.30,                  2838873.05,18871
,AFL,EQ,        21.35,                    54323.45,2517
,AFTEK,BE,         3.50,                    92890.00,26540
,AGCNET,EQ,        80.50,                    39148.15,479
,AGRODUTCH,EQ,         1.90,                     2334.00,1210
,AHLEAST,EQ,       136.00,                    54223.00,399
,AHLUCONT,EQ,        27.40,                   897684.85,32529
,AHLWEST,EQ,       104.00,                      104.00,1
,AHMEDFORGE,EQ,        91.65,                  6044170.20,65454
,AIAENG,EQ,       383.55,                   648104.65,1681
,AIL,EQ,       347.25,                  4726923.70,13530
,AJANTPHARM,EQ,       736.40,                  6215712.00,8420
,AJMERA,EQ,        57.60,                  1241097.65,21561
,AKSHOPTFBR,EQ,        15.00,                   316220.85,21115
,AKZOINDIA,EQ,       900.90,                 17050337.90,18941
,ALBK,EQ,        83.75,                173600323.70,2080313
,ALCHEM,EQ,        41.05,                    95082.35,2305
,ALEMBICLTD,EQ,        13.45,                  1121675.20,82895
,ALKALI,EQ,        17.05,                    37884.35,2245
,ALKYLAMINE,EQ,       181.90,                   248626.30,1402
,ALLCARGO,EQ,        91.65,                    86583.90,947
,ALLSEC,BE,        25.00,                      325.70,13
,ALMONDZ,EQ,         8.20,                       82.00,10
,ALOKTEXT,EQ,         8.15,                 23939648.55,2930724
,ALPHAGEO,BE,        50.75,                   102448.70,2022
,ALPSINDUS,EQ,         1.45,                       14.50,10
,ALSTOMT&D,EQ,       150.85,                  3380537.15,22689
,AMAR,BE,         8.10,                    47697.05,5877
,AMARAJABAT,EQ,       313.40,                 54911784.90,173431
,AMARJOTHI,EQ,        42.15,                     4215.00,100
,AMDIND,EQ,        11.20,                     1120.00,100
,AMRUTANJAN,EQ,       113.40,                   755218.90,6624
,AMTEKAUTO,EQ,        68.15,                 17256464.40,248808
,AMTEKINDIA,EQ,        68.10,                  3581958.90,51769
,ANANTRAJ,EQ,        50.75,                 35758161.75,703990
,ANDHRABANK,EQ,        55.65,                142174822.05,2555955
,ANDHRACEMT,EQ,         5.35,                     3210.00,600
,ANDHRSUGAR,EQ,       108.50,                  1716854.70,15705
,ANIKINDS,BE,        20.95,                    26611.90,1258
,ANKITMETAL,EQ,        13.45,                    67526.50,5020
,ANSALAPI,EQ,        18.25,                   756004.15,41276
,ANSALHSG,EQ,        16.05,                    83510.60,5167
,ANTGRAPHIC,EQ,          .25,                     5233.10,22009
,APARINDS,EQ,       109.40,                   679367.00,6179
,APCOTEXIND,EQ,       143.45,                   777011.75,5463
,APLAB,BE,        19.95,                    90848.50,5030
,APLAPOLLO,EQ,       148.85,                  1193585.05,7998
,APLLTD,EQ,       181.75,                 44905799.15,247792
,APOLLOTYRE,EQ,        68.80,                239830295.80,3450948
