,12-Nov-2013
The Nifty witnessed an intraday movement of about 96.95 points.The closing index was 1 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 10896.67
, Traded Quantity (in Lakhs), 6089.68
, Number of Trades, 5916841
, Total Market Capitalisation (Rs. Crores), 6493175.46

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      6078.80,      6087.25,      6108.70,      6011.75,      6018.05,-60.75
,CNX IT,      8962.85,      8971.65,      9019.30,      8899.05,      8914.40,-48.45
,CNX Nifty Junior,     11986.70,     11996.40,     12050.95,     11909.65,     11929.35,-57.35
,BANK Nifty,     10758.45,     10755.65,     10860.35,     10543.15,     10583.05,-175.4
,CNX Midcap,      7532.35,      7545.20,      7572.50,      7454.60,      7459.95,-72.4
,CNX 500,      4680.35,      4686.80,      4701.65,      4634.30,      4637.35,-43
,CNX 100,      5966.55,      5974.30,      5994.65,      5906.20,      5911.65,-54.9
,Nifty Midcap 50,      2098.00,      2101.05,      2106.55,      2065.15,      2068.10,-29.9
,CNX Realty,       167.35,       167.65,       171.25,       164.65,       165.25,-2.1
,CNX Infra,      2320.95,      2323.35,      2337.05,      2277.75,      2282.30,-38.65
,CNX Energy,      7733.00,      7743.25,      7785.95,      7627.50,      7638.90,-94.1
,CNX FMCG,     16614.35,     16685.95,     16797.65,     16648.85,     16727.10,112.75
,CNX MNC,      5834.10,      5827.80,      5845.50,      5783.65,      5797.45,-36.65
,CNX Pharma,      7519.35,      7537.80,      7580.50,      7517.95,      7523.65,4.3
,CNX PSE,      2528.05,      2526.80,      2541.30,      2499.20,      2501.50,-26.55
,CNX PSU Bank,      2376.45,      2378.15,      2404.50,      2328.80,      2335.15,-41.3
,CNX Service,      7422.25,      7431.15,      7469.35,      7322.65,      7337.70,-84.55
,India VIX,        19.98,        19.98,        20.86,        18.73,        20.86,.88
,CNX AUTO,      5083.50,      5093.55,      5094.40,      4993.65,      5003.55,-79.95
,CNX Metal,      2294.20,      2293.20,      2297.40,      2246.75,      2253.55,-40.65
,CNX Media,      1772.45,      1775.55,      1779.95,      1755.15,      1761.90,-10.55
,CNX Smallcap,      3098.35,      3099.60,      3122.15,      3058.80,      3063.15,-35.2
,CNX 200,      3021.10,      3025.40,      3035.65,      2990.40,      2993.10,-28
,CNX Dividend Oppt,      1554.35,      1552.70,      1561.65,      1541.70,      1543.10,-11.25
,CNX Commodities,      2203.10,      2202.25,      2210.25,      2171.85,      2174.75,-28.35
,CNX Consumption,      2506.20,      2512.00,      2520.50,      2492.75,      2495.40,-10.8
,CNX Finance,      4538.95,      4545.20,      4582.10,      4462.95,      4473.70,-65.25
,Nifty Dividend,        80.83,        80.83,        80.83,        80.83,        80.83,0
,LIX 15,      2426.45,      2434.25,      2437.45,      2378.55,      2383.15,-43.3

,ADVANCES,461
,DECLINES,897
,UNCHANGED,78

,Total securities that have hit their price bands today,102

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,      1704.35,      1672.95,-1.84,412.68
,AXISBANK,EQ,      1077.15,      1047.85,-2.72,362.03
,ICICIBANK,EQ,      1037.20,      1012.75,-2.36,328.2
,TATAMOTORS,EQ,       377.10,       360.00,-4.53,302.72
,INFY,EQ,      3362.60,      3336.85,-0.77,270.28
,TATASTEEL,EQ,       360.80,       352.45,-2.31,268.27
,RELIANCE,EQ,       863.90,       852.60,-1.31,239.42
,YESBANK,EQ,       333.45,       328.95,-1.35,229.61
,CANBK,EQ,       246.65,       251.25,1.86,228.49
,WIPRO,EQ,       481.60,       482.60,0.21,216.71
,MCDOWELL-N,EQ,      2334.00,      2357.80,1.02,192.52
,LT,EQ,       943.65,       928.85,-1.57,185.22
,HDFCBANK,EQ,       654.25,       645.95,-1.27,146.55
,BANKBARODA,EQ,       589.75,       576.40,-2.26,145.74
,RELINFRA,EQ,       441.90,       420.10,-4.93,141.84
,HDFC,EQ,       805.35,       794.85,-1.3,141.7
,ITC,EQ,       316.65,       319.90,1.03,136.04
,DLF,EQ,       148.20,       144.10,-2.77,135
,JPASSOCIAT,EQ,        46.15,        44.00,-4.66,129.7
,SSLT,EQ,       198.75,       192.00,-3.4,125.6
,HCLTECH,EQ,      1102.00,      1097.40,-0.42,124.85
,M&M,EQ,       869.95,       879.90,1.14,121
,TECHM,EQ,      1697.30,      1685.55,-0.69,119.4
,HINDALCO,EQ,       111.35,       111.25,-0.09,116.03
,MARUTI,EQ,      1582.55,      1587.10,0.29,115.49

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,RANBAXY,EQ,       415.85,       410.15,1.39
,M&M,EQ,       879.90,       869.95,1.14
,ITC,EQ,       319.90,       316.65,1.03
,CAIRN,EQ,       320.55,       318.20,.74
,KOTAKBANK,EQ,       716.20,       712.35,.54

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JPASSOCIAT,EQ,        44.00,        46.15,-4.66
,TATAMOTORS,EQ,       360.00,       377.10,-4.53
,SSLT,EQ,       192.00,       198.75,-3.4
,TATAPOWER,EQ,        79.10,        81.60,-3.06
,ASIANPAINT,EQ,       530.45,       546.50,-2.94

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        32.60,                  2430496.70,73910
,3IINFOTECH,BE,         5.60,                  1911176.15,338845
,3MINDIA,EQ,      3157.25,                  1428606.40,449
,A2ZMES,EQ,         9.15,                  2325830.80,246809
,AARTIDRUGS,EQ,       208.15,                  1230453.40,5882
,AARTIIND,EQ,        81.10,                   507061.85,6194
,AARVEEDEN,EQ,        35.65,                    42799.30,1202
,ABAN,EQ,       238.15,                106524873.75,440550
,ABB,EQ,       591.35,                 28047778.30,46695
,ABBOTINDIA,EQ,      1487.95,                 18481828.65,12367
,ABCIL,BE,        88.50,                    64332.95,725
,ABGSHIP,EQ,       276.15,                 51847252.00,184562
,ACCELYA,EQ,       578.00,                  4416051.95,7591
,ACE,EQ,        12.85,                  3986128.20,304501
,ACROPETAL,BE,         5.15,                    92403.85,17665
,ADANIPOWER,EQ,        33.85,                 98259124.55,2845489
,ADFFOODS,EQ,        48.65,                   426089.75,8568
,ADHUNIK,BE,        26.10,                   398640.10,15171
,ADORWELD,EQ,       113.35,                   984576.55,8723
,ADSL,BE,        19.15,                   404196.85,20851
,ADVANIHOTR,EQ,        28.30,                    16985.00,600
,ADVANTA,EQ,       112.30,                  1119730.80,9880
,AEGISCHEM,EQ,       147.50,                  1663405.20,11064
,AFL,EQ,        29.05,                   784937.10,26545
,AFTEK,BE,         3.35,                    56079.50,16340
,AGCNET,EQ,        78.50,                    54925.05,697
,AHLEAST,EQ,       133.00,                     1330.00,10
,AHLUCONT,BE,        24.45,                    13755.00,561
,AHLWEST,EQ,       104.00,                    25368.00,246
,AHMEDFORGE,EQ,        96.05,                   378677.75,3898
,AIAENG,EQ,       414.50,                  5897296.05,14037
,AIL,EQ,       344.90,                  1598227.85,4617
,AJANTPHARM,EQ,       949.60,                183822677.95,192244
,AJMERA,EQ,        53.90,                   497994.80,9228
,AKSHOPTFBR,EQ,        14.45,                   243140.85,16930
,AKZOINDIA,EQ,       838.35,                  5477296.15,6536
,ALBK,EQ,        88.25,                267798297.95,2969153
,ALCHEM,EQ,        46.40,                   165028.10,3539
,ALEMBICLTD,EQ,        15.50,                  8442967.15,538355
,ALKALI,EQ,        17.50,                    20324.05,1152
,ALKYLAMINE,EQ,       185.00,                    36075.00,195
,ALLCARGO,EQ,       100.00,                   163417.50,1635
,ALOKTEXT,EQ,         7.85,                 20709287.00,2625829
,ALPA,BE,         6.30,                      630.00,100
,ALPHAGEO,BE,        49.75,                    43726.75,898
,ALPINEHOU,EQ,        16.50,                     3300.00,200
,ALSTOMT&D,EQ,       163.85,                  1885786.40,11505
,AMAR,BE,         7.50,                   111944.90,15319
,AMARAJABAT,EQ,       312.50,                 27013382.35,85785
,AMARJOTHI,EQ,        56.00,                    77115.20,1368
,AMBIKCO,EQ,       241.20,                   232391.80,964
,AMDIND,EQ,        11.65,                     5825.00,500
,AMRUTANJAN,EQ,       117.00,                  2999912.40,25057
,AMTEKAUTO,EQ,        69.00,                  6957070.10,99439
,AMTEKINDIA,EQ,        65.25,                  1642050.15,24442
,ANANTRAJ,EQ,        51.25,                 28989043.75,556041
,ANDHRABANK,EQ,        62.30,                158647802.00,2513018
,ANDHRACEMT,EQ,         5.00,                     3386.30,681
,ANDHRSUGAR,EQ,       103.10,                   273275.95,2634
,ANGIND,BE,         6.50,                    14300.00,2200
,ANKITMETAL,EQ,        12.10,                   292875.70,24656
,ANSALAPI,EQ,        18.05,                   623278.15,34289
,ANSALHSG,EQ,        16.75,                    71450.30,4279
,ANTGRAPHIC,EQ,          .25,                      615.60,2524
,APARINDS,EQ,       119.70,                   724033.75,6009
,APCOTEXIND,EQ,       120.95,                   317817.40,2631
,APLAPOLLO,EQ,       146.70,                    10873.40,74
,APLLTD,EQ,       213.65,                 70886128.00,324642
,APOLLOTYRE,EQ,        70.20,                825815194.75,11255179
,APPAPER,EQ,       257.95,                  4242025.20,16361
,APTECHT,EQ,        72.15,                  8906920.45,123556
