,26-Nov-2013
The Nifty witnessed an intraday movement of about 64.95 points.The closing index was 0.92 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 15506.11
, Traded Quantity (in Lakhs), 7507.16
, Number of Trades, 6082546
, Total Market Capitalisation (Rs. Crores), 6526633.69

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      6115.35,      6099.25,      6112.70,      6047.75,      6059.10,-56.25
,CNX IT,      8783.80,      8755.05,      8795.65,      8712.85,      8758.30,-25.5
,CNX Nifty Junior,     12175.55,     12171.50,     12228.80,     12103.25,     12133.65,-41.9
,BANK Nifty,     11083.40,     11040.65,     11133.40,     10893.30,     10909.35,-174.05
,CNX Midcap,      7563.95,      7557.70,      7602.90,      7523.35,      7529.00,-34.95
,CNX 500,      4716.00,      4706.35,      4718.75,      4673.15,      4679.15,-36.85
,CNX 100,      6011.20,      5997.50,      6012.70,      5951.80,      5961.25,-49.95
,Nifty Midcap 50,      2131.40,      2126.35,      2141.70,      2115.55,      2117.60,-13.8
,CNX Realty,       172.40,       172.05,       174.00,       169.85,       170.65,-1.75
,CNX Infra,      2376.85,      2371.45,      2395.00,      2362.70,      2367.25,-9.6
,CNX Energy,      7761.50,      7758.90,      7763.85,      7648.40,      7669.30,-92.2
,CNX FMCG,     16763.55,     16745.45,     16770.30,     16558.05,     16606.40,-157.15
,CNX MNC,      5814.80,      5804.60,      5866.30,      5798.90,      5826.70,11.9
,CNX Pharma,      7337.20,      7337.25,      7392.35,      7255.05,      7272.65,-64.55
,CNX PSE,      2570.05,      2570.70,      2577.80,      2538.00,      2543.40,-26.65
,CNX PSU Bank,      2481.80,      2469.60,      2500.35,      2423.90,      2429.70,-52.1
,CNX Service,      7456.40,      7427.05,      7460.00,      7364.30,      7378.65,-77.75
,India VIX,        21.05,        21.05,        22.01,        20.30,        21.59,.54
,CNX AUTO,      5175.50,      5180.30,      5210.85,      5143.45,      5201.10,25.6
,CNX Metal,      2295.05,      2287.35,      2310.40,      2270.10,      2273.70,-21.35
,CNX Media,      1689.50,      1681.20,      1691.15,      1645.65,      1652.10,-37.4
,CNX Smallcap,      3139.15,      3134.25,      3152.55,      3112.35,      3116.70,-22.45
,CNX 200,      3042.00,      3035.40,      3043.60,      3012.85,      3017.40,-24.6
,CNX Dividend Oppt,      1558.40,      1555.85,      1559.55,      1545.90,      1547.60,-10.8
,CNX Commodities,      2211.65,      2207.10,      2214.35,      2186.80,      2190.70,-20.95
,CNX Consumption,      2519.85,      2518.15,      2523.85,      2503.85,      2507.60,-12.25
,CNX Finance,      4661.60,      4637.70,      4673.80,      4589.20,      4600.55,-61.05
,Nifty Dividend,        80.83,        80.83,        80.83,        80.83,        80.83,0
,LIX 15,      2555.70,      2558.65,      2559.55,      2530.95,      2539.80,-15.9

,ADVANCES,505
,DECLINES,846
,UNCHANGED,88

,Total securities that have hit their price bands today,102

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,TECHM,EQ,      1673.20,      1719.55,2.77,1758.83
,MCDOWELL-N,EQ,      2622.50,      2588.10,-1.31,1195.18
,YESBANK,EQ,       350.85,       362.05,3.19,768.19
,NESTLEIND,EQ,      5435.90,      5298.65,-2.52,397.8
,ICICIBANK,EQ,      1074.60,      1043.75,-2.87,387.57
,INFY,EQ,      3326.00,      3316.20,-0.29,303.37
,SBIN,EQ,      1806.65,      1785.25,-1.18,288.57
,LT,EQ,      1002.65,      1004.50,0.18,286.56
,BANKINDIA,EQ,       217.05,       205.85,-5.16,283.96
,RELIANCE,EQ,       851.70,       841.25,-1.23,270.08
,ABAN,EQ,       360.20,       372.25,3.35,267.51
,UNITECH,EQ,        16.95,        15.60,-7.96,239.85
,HDFCBANK,EQ,       659.75,       652.95,-1.03,236.81
,BHEL,EQ,       144.30,       147.75,2.39,236.69
,DABUR,EQ,       167.40,       165.15,-1.34,231.77
,CANBK,EQ,       246.30,       231.95,-5.83,221.07
,TITAN,EQ,       228.30,       224.50,-1.66,218.19
,ITC,EQ,       316.20,       310.75,-1.72,212.14
,BHARTIARTL,EQ,       336.15,       327.05,-2.71,204.57
,TCS,EQ,      2013.25,      1993.70,-0.97,204.29
,TATAMOTORS,EQ,       386.15,       390.25,1.06,199.79
,IDEA,EQ,       171.90,       173.70,1.05,193.71
,TATASTEEL,EQ,       397.95,       391.75,-1.56,192.28
,WOCKPHARMA,EQ,       490.75,       469.85,-4.26,188.69
,ACC,EQ,      1078.65,      1068.40,-0.95,169.01

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHEL,EQ,       147.75,       144.30,2.39
,LUPIN,EQ,       865.25,       850.60,1.72
,HINDUNILVR,EQ,       588.70,       581.00,1.33
,TATAMOTORS,EQ,       390.25,       386.15,1.06
,HEROMOTOCO,EQ,      2045.95,      2026.35,.97

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BPCL,EQ,       324.85,       347.40,-6.49
,BANKBARODA,EQ,       608.05,       633.05,-3.95
,NMDC,EQ,       126.35,       130.95,-3.51
,ICICIBANK,EQ,      1043.75,      1074.60,-2.87
,BHARTIARTL,EQ,       327.05,       336.15,-2.71

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        34.20,                  3132891.15,90509
,3IINFOTECH,BE,         5.50,                  1838016.75,329009
,3MINDIA,EQ,      3242.60,                    55188.25,17
,A2ZMES,EQ,         8.15,                  1793050.90,218899
,AARTIDRUGS,EQ,       193.45,                  1861800.00,9479
,AARTIIND,EQ,        86.15,                  1439154.25,16751
,AARVEEDEN,EQ,        43.00,                   119066.90,2786
,ABAN,EQ,       372.25,               2675123654.95,7026692
,ABB,EQ,       646.00,                664103926.30,1003776
,ABBOTINDIA,EQ,      1504.70,                  2636145.05,1741
,ABCIL,BE,        91.05,                    91898.55,1015
,ABGSHIP,EQ,       262.45,                  5830374.50,22015
,ACCELYA,EQ,       627.90,                 25230314.40,40247
,ACE,EQ,        12.60,                  1447672.40,113141
,ACROPETAL,BE,         4.75,                    88489.60,18822
,ADANIPOWER,EQ,        34.80,                140787281.70,3980316
,ADFFOODS,EQ,        45.45,                   397628.90,8707
,ADHUNIK,BE,        27.05,                  1253411.20,46943
,ADORWELD,EQ,       117.45,                   867174.35,7335
,ADSL,BE,        16.95,                   142842.25,8365
,ADVANIHOTR,EQ,        28.30,                     7329.70,259
,ADVANTA,EQ,       108.25,                 15458114.75,138889
,AEGISCHEM,EQ,       151.25,                  5101108.65,33156
,AFL,EQ,        36.15,                  1761282.70,48473
,AFTEK,BE,         3.45,                   216296.00,62941
,AGCNET,EQ,        66.95,                   122515.10,1828
,AGRODUTCH,EQ,         1.70,                    13600.00,8000
,AHLEAST,EQ,       126.25,                    17702.50,140
,AHLUCONT,BE,        26.70,                    66148.00,2555
,AHLWEST,EQ,        97.05,                    14493.95,149
,AHMEDFORGE,EQ,       108.30,                  9089850.55,85450
,AIAENG,EQ,       411.85,                  6386427.20,15439
,AIL,EQ,       358.70,                 28223217.05,77382
,AJANTPHARM,EQ,       985.70,                 40821336.85,41174
,AJMERA,EQ,        54.75,                   244189.90,4411
,AKSHOPTFBR,EQ,        14.90,                  1743401.10,117612
,AKZOINDIA,EQ,       836.90,                 14266573.00,16915
,ALBK,EQ,        89.30,                187463719.05,2091672
,ALCHEM,EQ,        45.90,                   354053.15,7642
,ALEMBICLTD,EQ,        14.90,                  3019177.80,203348
,ALKALI,EQ,        17.25,                    44105.65,2581
,ALKYLAMINE,EQ,       220.00,                    21623.00,99
,ALLCARGO,EQ,       107.35,                   242341.50,2263
,ALOKTEXT,EQ,         7.70,                 38001186.65,4932989
,ALPHAGEO,BE,        41.95,                    23206.10,568
,ALPINEHOU,EQ,        19.50,                     3880.00,200
,ALPSINDUS,EQ,         1.80,                      810.00,450
,ALSTOMT&D,EQ,       167.10,                  8567169.80,50658
,AMAR,BE,         7.30,                    34457.15,4775
,AMARAJABAT,EQ,       320.80,                 29697312.65,92240
,AMARJOTHI,EQ,        80.20,                   426664.00,5320
,AMBIKCO,EQ,       252.00,                   594720.00,2360
,AMRUTANJAN,EQ,       114.80,                   464293.80,4030
,AMTEKAUTO,EQ,        67.95,                  4425629.20,64863
,AMTEKINDIA,EQ,        68.20,                  1502136.40,22248
,ANANTRAJ,EQ,        48.65,                 29883613.35,604366
,ANDHRABANK,EQ,        59.95,                 68305137.70,1125560
,ANDHRACEMT,EQ,         5.65,                    17213.75,3029
,ANDHRSUGAR,EQ,       103.70,                   519290.45,4963
,ANGIND,BE,         5.65,                     7403.50,1310
,ANIKINDS,BE,        21.50,                    76741.85,3603
,ANKITMETAL,EQ,        10.25,                    10364.75,973
,ANSALAPI,EQ,        20.15,                  1879431.95,91495
,ANSALHSG,EQ,        18.75,                   556318.85,30213
,ANTGRAPHIC,EQ,          .25,                     1319.70,6201
,APARINDS,EQ,       120.75,                  1869850.85,15559
,APCOTEXIND,EQ,       117.05,                   378874.30,3203
,APLAPOLLO,EQ,       143.60,                   291277.40,1997
,APLLTD,EQ,       212.25,                 36228858.70,173790
,APOLLOTYRE,EQ,        76.25,                159596108.75,2078430
