,28-Nov-2013
The Nifty witnessed an intraday movement of about 44.65 points.The closing index was 0.57 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 12724.19
, Traded Quantity (in Lakhs), 7898.8
, Number of Trades, 5543730
, Total Market Capitalisation (Rs. Crores), 6562925.04

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      6057.10,      6092.00,      6112.95,      6068.30,      6091.85,34.75
,CNX IT,      8702.40,      8729.25,      8767.00,      8679.10,      8748.35,45.95
,CNX Nifty Junior,     12135.65,     12193.20,     12253.40,     12180.25,     12210.70,75.05
,BANK Nifty,     10899.30,     10994.25,     11062.15,     10843.00,     10906.75,7.45
,CNX Midcap,      7529.45,      7565.95,      7613.00,      7565.95,      7597.20,67.75
,CNX 500,      4679.85,      4704.55,      4722.70,      4696.50,      4708.80,28.95
,CNX 100,      5959.70,      5993.10,      6014.60,      5973.20,      5994.30,34.6
,Nifty Midcap 50,      2127.25,      2139.20,      2159.45,      2138.80,      2149.65,22.4
,CNX Realty,       169.70,       172.10,       173.65,       170.85,       171.70,2
,CNX Infra,      2352.75,      2366.45,      2399.00,      2365.90,      2388.00,35.25
,CNX Energy,      7650.45,      7680.65,      7771.95,      7680.65,      7715.40,64.95
,CNX FMCG,     16732.45,     16808.25,     16857.10,     16698.75,     16765.85,33.4
,CNX MNC,      5802.15,      5817.95,      5863.75,      5817.95,      5851.10,48.95
,CNX Pharma,      7245.90,      7275.40,      7310.55,      7251.85,      7268.10,22.2
,CNX PSE,      2544.65,      2551.15,      2578.55,      2551.15,      2566.70,22.05
,CNX PSU Bank,      2420.25,      2443.05,      2453.55,      2418.35,      2423.80,3.55
,CNX Service,      7354.35,      7400.40,      7413.65,      7352.75,      7383.30,28.95
,India VIX,        21.14,        20.18,        20.91,        20.18,        20.71,-.43
,CNX AUTO,      5253.35,      5284.55,      5321.05,      5253.60,      5275.95,22.6
,CNX Metal,      2282.50,      2291.80,      2316.50,      2291.80,      2306.10,23.6
,CNX Media,      1648.45,      1654.05,      1684.30,      1649.95,      1670.50,22.05
,CNX Smallcap,      3121.40,      3137.45,      3158.40,      3137.45,      3146.80,25.4
,CNX 200,      3017.55,      3034.10,      3045.60,      3025.75,      3035.80,18.25
,CNX Dividend Oppt,      1549.00,      1555.60,      1563.45,      1550.65,      1555.55,6.55
,CNX Commodities,      2198.10,      2206.40,      2223.90,      2206.40,      2217.30,19.2
,CNX Consumption,      2510.25,      2521.75,      2531.70,      2513.50,      2522.15,11.9
,CNX Finance,      4594.60,      4630.35,      4655.90,      4581.65,      4600.80,6.2
,Nifty Dividend,        80.83,        80.83,        80.83,        80.83,        80.83,0
,LIX 15,      2552.15,      2572.25,      2581.75,      2552.10,      2561.20,9.05

,ADVANCES,797
,DECLINES,536
,UNCHANGED,102

,Total securities that have hit their price bands today,108

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,MCDOWELL-N,EQ,      2653.15,      2628.20,-0.94,440.74
,ICICIBANK,EQ,      1042.65,      1038.10,-0.44,414.5
,TATAMOTORS,EQ,       399.20,       397.90,-0.33,364.78
,VOLTAS,EQ,        99.05,       111.05,12.12,327.5
,SBIN,EQ,      1763.70,      1763.60,-0.01,326.51
,INFY,EQ,      3293.30,      3327.80,1.05,309.13
,TCS,EQ,      1986.45,      1984.60,-0.09,278.16
,LT,EQ,      1006.55,      1022.90,1.62,258.09
,AXISBANK,EQ,      1120.85,      1120.25,-0.05,246.21
,RELIANCE,EQ,       837.95,       847.95,1.19,243.96
,HDFC,EQ,       808.10,       814.10,0.74,243.78
,HDFCBANK,EQ,       653.55,       653.40,-0.02,241.99
,JPASSOCIAT,EQ,        46.15,        49.45,7.15,223.74
,ITC,EQ,       314.15,       313.50,-0.21,213.3
,BHARTIARTL,EQ,       321.90,       323.60,0.53,188.26
,TATASTEEL,EQ,       394.75,       400.90,1.56,185.09
,YESBANK,EQ,       355.95,       364.20,2.32,169.68
,MARUTI,EQ,      1659.95,      1666.65,0.4,147.81
,HEROMOTOCO,EQ,      2051.90,      2059.25,0.36,145.29
,ADANIENT,EQ,       240.15,       261.40,8.85,143.48
,RELCAPITAL,EQ,       363.95,       368.35,1.21,142.24
,TECHM,EQ,      1689.45,      1692.20,0.16,139.44
,APOLLOTYRE,EQ,        77.50,        80.95,4.45,130.06
,BHEL,EQ,       146.15,       150.95,3.28,127.74
,BANKBARODA,EQ,       612.90,       615.20,0.38,124.29

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JPASSOCIAT,EQ,        49.45,        46.15,7.15
,BHEL,EQ,       150.95,       146.15,3.28
,POWERGRID,EQ,        94.70,        92.15,2.77
,GRASIM,EQ,      2627.90,      2569.15,2.29
,HINDALCO,EQ,       121.40,       118.75,2.23

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,CAIRN,EQ,       317.75,       323.75,-1.85
,CIPLA,EQ,       379.95,       381.95,-0.52
,NMDC,EQ,       124.50,       125.15,-0.52
,ICICIBANK,EQ,      1038.10,      1042.65,-0.44
,TATAMOTORS,EQ,       397.90,       399.20,-0.33

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        31.20,                  4769026.00,151868
,3IINFOTECH,BE,         5.55,                  1662263.25,299520
,3MINDIA,EQ,      3259.95,                  5651664.00,1739
,A2ZMES,EQ,         7.95,                  1700237.90,214002
,AARTIDRUGS,EQ,       194.85,                  1322131.70,6780
,AARTIIND,EQ,        83.35,                  1048598.50,12661
,AARVEEDEN,EQ,        43.40,                   191587.00,4467
,ABAN,EQ,       370.30,                469812270.65,1256032
,ABB,EQ,       655.70,                163197102.15,249858
,ABBOTINDIA,EQ,      1506.55,                  9586597.50,6368
,ABCIL,BE,        90.00,                   560240.85,6218
,ABGSHIP,EQ,       266.65,                  5362365.70,19994
,ACCELYA,EQ,       612.95,                  1311138.75,2129
,ACE,EQ,        12.55,                   848370.65,67121
,ACROPETAL,BE,         4.95,                    25713.50,5078
,ADANIPOWER,EQ,        34.30,                363080698.25,10506626
,ADFFOODS,EQ,        44.75,                   168888.80,3747
,ADHUNIK,BE,        26.80,                   418084.70,15625
,ADORWELD,EQ,       120.60,                   549143.35,4616
,ADSL,BE,        17.60,                   107422.25,6193
,ADVANIHOTR,EQ,        28.30,                    11348.30,401
,ADVANTA,EQ,       112.35,                  3476623.40,30742
,AEGISCHEM,EQ,       146.85,                  1300818.70,8801
,AFL,EQ,        36.45,                   468264.45,12702
,AFTEK,BE,         3.35,                    13974.95,4083
,AGCNET,EQ,        63.70,                   841830.60,12786
,AHLEAST,EQ,       125.50,                      125.50,1
,AHLUCONT,BE,        26.75,                    93055.90,3432
,AHLWEST,EQ,        97.00,                      970.00,10
,AHMEDFORGE,EQ,       103.35,                  3724340.65,35178
,AIAENG,EQ,       409.20,                  2343863.80,5729
,AIL,EQ,       366.80,                 22464223.45,61427
,AJANTPHARM,EQ,       983.15,                 27933523.10,28146
,AJMERA,EQ,        54.55,                  2761380.70,50323
,AKSHOPTFBR,EQ,        15.40,                  1678198.20,109162
,AKZOINDIA,EQ,       841.95,                  2612173.45,3111
,ALBK,EQ,        89.20,                130728832.25,1459294
,ALCHEM,EQ,        45.30,                    19797.35,430
,ALEMBICLTD,EQ,        14.80,                  1920957.85,129796
,ALKALI,EQ,        17.05,                    66862.85,3890
,ALLCARGO,EQ,       107.10,                   195696.00,1827
,ALLSEC,BE,        28.05,                       28.05,1
,ALMONDZ,EQ,         8.15,                    89420.00,10800
,ALOKTEXT,EQ,         7.70,                 10102559.60,1313547
,ALPHAGEO,BE,        40.95,                    41165.00,1007
,ALPSINDUS,EQ,         1.70,                     1020.00,600
,ALSTOMT&D,EQ,       174.30,                 14048013.00,80676
,AMAR,BE,         7.20,                    48563.40,6743
,AMARAJABAT,EQ,       319.70,                 19556905.80,61264
,AMARJOTHI,EQ,        76.00,                    68324.80,913
,AMBIKCO,EQ,       250.00,                  1004000.00,4016
,AMDIND,EQ,        11.80,                     5782.00,490
,AMRUTANJAN,EQ,       115.80,                  1395242.65,12048
,AMTEKAUTO,EQ,        71.10,                 27429999.90,385402
,AMTEKINDIA,EQ,        66.65,                   727145.30,10803
,ANANTRAJ,EQ,        47.70,                 44808063.40,927291
,ANDHRABANK,EQ,        60.60,                120716435.20,1987112
,ANDHRACEMT,EQ,         5.15,                      350.20,68
,ANDHRSUGAR,EQ,       103.75,                   824144.20,7911
,ANGIND,BE,         5.20,                     1560.00,300
,ANIKINDS,BE,        21.10,                     2292.35,109
,ANKITMETAL,EQ,        10.50,                    32952.05,3099
,ANSALAPI,EQ,        21.60,                  8596994.40,390251
,ANSALHSG,EQ,        18.60,                   223877.55,11957
,ANTGRAPHIC,EQ,          .20,                     1250.20,6251
,APARINDS,EQ,       126.50,                  6929070.15,54879
,APCOTEXIND,EQ,       115.00,                  1063695.25,9212
,APLAPOLLO,EQ,       148.55,                   138197.40,912
,APLLTD,EQ,       202.55,                 18190116.60,88790
,APOLLOTYRE,EQ,        80.95,               1300556352.20,16054027
