,17-Dec-2013
The Nifty witnessed an intraday movement of about 57.55 points.The closing index was 0.25 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 10613.64
, Traded Quantity (in Lakhs), 5314.34
, Number of Trades, 5309227
, Total Market Capitalisation (Rs. Crores), 6609353.6

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      6154.70,      6178.20,      6190.55,      6133.00,      6139.05,-15.65
,CNX IT,      9110.25,      9126.10,      9197.35,      9109.05,      9119.35,9.1
,CNX Nifty Junior,     12281.20,     12345.80,     12392.65,     12303.55,     12314.40,33.2
,BANK Nifty,     11372.95,     11412.70,     11418.10,     11178.00,     11208.65,-164.3
,CNX Midcap,      7637.05,      7674.60,      7698.00,      7619.95,      7626.80,-10.25
,CNX 500,      4756.00,      4774.80,      4786.25,      4745.20,      4748.50,-7.5
,CNX 100,      6051.95,      6076.40,      6089.60,      6036.05,      6041.40,-10.55
,Nifty Midcap 50,      2165.20,      2177.80,      2185.35,      2154.00,      2157.50,-7.7
,CNX Realty,       172.25,       173.40,       174.45,       170.80,       171.25,-1
,CNX Infra,      2407.90,      2420.45,      2438.00,      2415.30,      2419.45,11.55
,CNX Energy,      7656.10,      7669.10,      7691.15,      7584.25,      7598.00,-58.1
,CNX FMCG,     16501.85,     16582.20,     16631.65,     16490.70,     16612.20,110.35
,CNX MNC,      5976.90,      6001.15,      6047.65,      6001.15,      6013.10,36.2
,CNX Pharma,      7313.75,      7357.40,      7459.45,      7350.90,      7442.55,128.8
,CNX PSE,      2540.45,      2543.05,      2551.80,      2521.35,      2523.80,-16.65
,CNX PSU Bank,      2445.95,      2470.50,      2476.55,      2415.10,      2421.25,-24.7
,CNX Service,      7594.40,      7613.45,      7631.25,      7533.50,      7540.70,-53.7
,India VIX,        18.36,        18.36,        18.61,        17.13,        18.33,-.03
,CNX AUTO,      5150.70,      5180.55,      5214.00,      5132.35,      5140.85,-9.85
,CNX Metal,      2401.05,      2412.30,      2422.90,      2398.70,      2402.65,1.6
,CNX Media,      1744.40,      1747.10,      1776.95,      1735.10,      1753.70,9.3
,CNX Smallcap,      3168.10,      3181.45,      3208.00,      3163.10,      3166.80,-1.3
,CNX 200,      3064.45,      3076.80,      3083.80,      3056.50,      3059.25,-5.2
,CNX Dividend Oppt,      1555.95,      1562.45,      1565.30,      1549.30,      1550.30,-5.65
,CNX Commodities,      2229.80,      2236.55,      2241.70,      2218.80,      2220.75,-9.05
,CNX Consumption,      2504.25,      2512.95,      2532.75,      2512.55,      2519.95,15.7
,CNX Finance,      4723.30,      4737.70,      4739.85,      4641.35,      4649.10,-74.2
,Nifty Dividend,        83.54,        83.54,        83.54,        83.54,        83.54,0
,LIX 15,      2572.70,      2592.15,      2602.85,      2565.05,      2570.85,-1.85

,ADVANCES,608
,DECLINES,731
,UNCHANGED,106

,Total securities that have hit their price bands today,105

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,AUROPHARMA,EQ,       349.05,       354.60,1.59,490.9
,INFY,EQ,      3452.25,      3456.35,0.12,463.88
,TCS,EQ,      2019.15,      2045.35,1.3,307.25
,SBIN,EQ,      1732.10,      1718.30,-0.8,304.4
,APOLLOTYRE,EQ,        84.80,        86.65,2.18,301.12
,HDFCBANK,EQ,       684.35,       657.60,-3.91,297.45
,ICICIBANK,EQ,      1097.55,      1098.30,0.07,266.97
,TATAMOTORS,EQ,       368.05,       366.85,-0.33,257.22
,HCLTECH,EQ,      1185.70,      1170.35,-1.29,218.24
,SSLT,EQ,       200.55,       202.95,1.2,197.46
,RELIANCE,EQ,       845.05,       839.20,-0.69,194.83
,WOCKPHARMA,EQ,       339.85,       375.95,10.62,192.42
,RANBAXY,EQ,       418.05,       439.80,5.2,181.81
,AXISBANK,EQ,      1261.40,      1256.10,-0.42,172.58
,ITC,EQ,       312.80,       315.30,0.8,171.27
,MCDOWELL-N,EQ,      2507.80,      2573.15,2.61,165.67
,HDFC,EQ,       798.55,       778.45,-2.52,164.95
,JPASSOCIAT,EQ,        51.20,        51.75,1.07,146.13
,TATASTEEL,EQ,       408.90,       408.70,-0.05,143.7
,BHARTIARTL,EQ,       313.35,       327.35,4.47,137.96
,YESBANK,EQ,       362.60,       363.75,0.32,134.46
,SUNPHARMA,EQ,       556.15,       568.15,2.16,131.51
,CIPLA,EQ,       375.90,       387.80,3.17,130.83
,TECHM,EQ,      1745.05,      1725.90,-1.1,130.48
,LT,EQ,      1058.35,      1064.50,0.58,126.51

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,RANBAXY,EQ,       439.80,       418.05,5.2
,BHARTIARTL,EQ,       327.35,       313.35,4.47
,CIPLA,EQ,       387.80,       375.90,3.17
,SUNPHARMA,EQ,       568.15,       556.15,2.16
,NMDC,EQ,       138.85,       136.35,1.83

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HDFCBANK,EQ,       657.60,       684.35,-3.91
,COALINDIA,EQ,       278.45,       286.85,-2.93
,HDFC,EQ,       778.45,       798.55,-2.52
,NTPC,EQ,       134.95,       137.95,-2.17
,BAJAJ-AUTO,EQ,      1863.10,      1902.15,-2.05

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.80,                  1651407.55,53624
,3IINFOTECH,EQ,         6.80,                  6416372.00,931249
,3MINDIA,EQ,      3422.75,                  1543430.90,450
,A2ZMES,EQ,         7.80,                  1484058.90,187100
,AARTIDRUGS,EQ,       188.50,                   591822.05,3136
,AARTIIND,EQ,        90.05,                  1935945.70,21445
,AARVEEDEN,EQ,        52.55,                  4095155.10,79603
,ABAN,EQ,       341.25,                286586170.95,835080
,ABB,EQ,       682.25,                112907965.15,165265
,ABBOTINDIA,EQ,      1580.35,                  5648478.65,3589
,ABCIL,EQ,        94.70,                   149420.25,1553
,ABGSHIP,EQ,       253.80,                  4234014.25,16589
,ACCELYA,EQ,       592.65,                  6866891.15,11493
,ACE,EQ,        12.65,                  1852513.65,144556
,ACROPETAL,EQ,         4.90,                    48493.50,10133
,ADANIPOWER,EQ,        36.60,                151547868.35,4080186
,ADFFOODS,EQ,        48.20,                   308581.65,6369
,ADHUNIK,EQ,        29.90,                  1854867.90,62414
,ADORWELD,EQ,       128.30,                  1682594.50,12879
,ADSL,EQ,        16.65,                   204946.90,12212
,ADVANTA,EQ,       104.05,                   936060.30,8944
,AEGISCHEM,EQ,       157.45,                 21062469.15,130836
,AFL,BE,        43.15,                  1709912.50,39717
,AFTEK,BE,         3.15,                   143426.60,44917
,AGCNET,EQ,        61.00,                   235308.55,3869
,AGRODUTCH,EQ,         1.65,                       19.80,12
,AHLUCONT,EQ,        25.55,                    61566.70,2414
,AHLWEST,EQ,        99.90,                    52159.10,524
,AHMEDFORGE,EQ,        99.25,                   825465.30,8243
,AIAENG,EQ,       463.75,                 12364571.55,26580
,AIL,EQ,       358.80,                  1952180.55,5379
,AJANTPHARM,EQ,       952.05,                 69209105.60,72400
,AJMERA,EQ,        51.25,                   273219.35,5298
,AKSHOPTFBR,EQ,        15.90,                  2015128.60,126328
,AKZOINDIA,EQ,       824.25,                  4052223.65,4916
,ALBK,EQ,        84.80,                191088191.35,2207077
,ALCHEM,EQ,        43.60,                   112763.00,2580
,ALEMBICLTD,EQ,        13.85,                  1741851.50,124510
,ALICON,EQ,        61.50,                     1441.50,26
,ALKALI,EQ,        15.75,                    54573.40,3433
,ALKYLAMINE,EQ,       240.20,                    81375.80,339
,ALLCARGO,EQ,       107.80,                    70886.10,661
,ALMONDZ,EQ,         6.80,                    13600.00,2000
,ALOKTEXT,EQ,         7.60,                  7591221.10,1005485
,ALPA,BE,         6.30,                     6552.00,1040
,ALPHAGEO,EQ,        49.35,                   148390.15,3023
,ALPINEHOU,EQ,        21.25,                    10625.00,500
,ALPSINDUS,EQ,         1.95,                     2340.00,1200
,ALSTOMT&D,EQ,       181.10,                 41615109.75,228224
,AMARAJABAT,EQ,       357.75,                 84986549.45,238264
,AMARJOTHI,EQ,        77.00,                     7550.00,100
,AMBIKCO,EQ,       260.00,                   137020.00,527
,AMDIND,EQ,        13.30,                    13313.30,1001
,AMRUTANJAN,EQ,       118.90,                  2301204.25,19092
,AMTEKAUTO,EQ,        69.90,                 33013140.10,466743
,AMTEKINDIA,EQ,        68.95,                  4193681.90,60479
,ANANTRAJ,EQ,        50.60,                 95129138.95,1829784
,ANDHRABANK,EQ,        58.60,                 61033399.90,1026894
,ANDHRACEMT,EQ,         5.05,                    13191.50,2594
,ANDHRSUGAR,EQ,       102.30,                  1545649.95,15100
,ANIKINDS,BE,        20.45,                    10816.15,529
,ANKITMETAL,EQ,        10.65,                    10635.00,1000
,ANSALAPI,EQ,        19.30,                  1329499.15,68079
,ANSALHSG,EQ,        18.65,                   299785.40,16310
,ANTGRAPHIC,EQ,          .20,                     1220.00,6100
,APARINDS,EQ,       127.05,                  1216084.65,9545
,APCOTEXIND,EQ,       114.10,                   237431.80,2075
,APLAPOLLO,EQ,       142.25,                  1478018.85,10229
,APLLTD,EQ,       198.70,                 26446777.85,132033
,APOLLOTYRE,EQ,        86.65,               3011246009.10,33930897
