,19-Dec-2013
The Nifty witnessed an intraday movement of about 113.05 points.The closing index was 0.81 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 14238.34
, Traded Quantity (in Lakhs), 8358.76
, Number of Trades, 6179843
, Total Market Capitalisation (Rs. Crores), 6665463.66

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      6217.15,      6253.90,      6263.75,      6150.70,      6166.65,-50.5
,CNX IT,      9167.90,      9207.05,      9401.30,      9192.20,      9329.00,161.1
,CNX Nifty Junior,     12491.45,     12541.65,     12572.80,     12437.45,     12494.15,2.7
,BANK Nifty,     11357.90,     11505.55,     11505.55,     11040.15,     11087.45,-270.45
,CNX Midcap,      7739.40,      7763.10,      7778.60,      7693.20,      7709.75,-29.65
,CNX 500,      4809.65,      4834.70,      4841.75,      4769.80,      4780.60,-29.05
,CNX 100,      6119.80,      6154.25,      6163.35,      6062.00,      6077.95,-41.85
,Nifty Midcap 50,      2206.75,      2216.45,      2221.40,      2186.15,      2193.45,-13.3
,CNX Realty,       177.05,       178.75,       179.30,       173.95,       175.85,-1.2
,CNX Infra,      2466.10,      2475.85,      2480.65,      2413.55,      2432.70,-33.4
,CNX Energy,      7761.70,      7781.75,      7784.00,      7620.70,      7661.15,-100.55
,CNX FMCG,     16675.20,     16740.45,     16763.20,     16510.90,     16617.00,-58.2
,CNX MNC,      6069.70,      6092.40,      6122.70,      6060.10,      6093.40,23.7
,CNX Pharma,      7517.30,      7519.05,      7642.15,      7471.20,      7597.65,80.35
,CNX PSE,      2568.25,      2571.45,      2577.15,      2522.65,      2530.60,-37.65
,CNX PSU Bank,      2494.55,      2513.35,      2517.05,      2422.90,      2447.35,-47.2
,CNX Service,      7627.25,      7681.55,      7692.50,      7550.70,      7564.00,-63.25
,India VIX,        17.54,        17.54,        17.54,        15.63,        16.58,-.96
,CNX AUTO,      5228.90,      5251.60,      5264.50,      5179.80,      5216.35,-12.55
,CNX Metal,      2417.70,      2428.95,      2450.15,      2414.45,      2421.95,4.25
,CNX Media,      1754.70,      1758.70,      1768.35,      1744.20,      1759.65,4.95
,CNX Smallcap,      3208.25,      3225.75,      3237.05,      3196.85,      3205.40,-2.85
,CNX 200,      3099.10,      3115.75,      3120.30,      3071.20,      3078.65,-20.45
,CNX Dividend Oppt,      1575.65,      1583.00,      1585.60,      1556.05,      1558.50,-17.15
,CNX Commodities,      2249.75,      2257.85,      2263.25,      2226.65,      2229.80,-19.95
,CNX Consumption,      2553.65,      2559.75,      2566.00,      2528.30,      2539.15,-14.5
,CNX Finance,      4718.15,      4770.30,      4773.30,      4595.45,      4605.70,-112.45
,Nifty Dividend,        84.03,        84.03,        84.03,        84.03,        84.03,0
,LIX 15,      2608.75,      2626.80,      2630.30,      2575.85,      2596.25,-12.5

,ADVANCES,593
,DECLINES,725
,UNCHANGED,96

,Total securities that have hit their price bands today,109

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,POWERGRID,EQ,       100.00,        99.25,-0.75,2815.97
,ICICIBANK,EQ,      1095.80,      1063.50,-2.95,410.41
,AUROPHARMA,EQ,       377.15,       377.70,0.15,410.29
,INFY,EQ,      3457.45,      3512.25,1.58,321.67
,SBIN,EQ,      1763.40,      1731.05,-1.83,318.49
,AXISBANK,EQ,      1282.85,      1257.00,-2.02,282.75
,TATAMOTORS,EQ,       368.50,       369.55,0.28,273.56
,RELIANCE,EQ,       859.95,       854.05,-0.69,262.72
,MARUTI,EQ,      1729.95,      1780.55,2.92,260
,WOCKPHARMA,EQ,       380.20,       418.55,10.09,246.66
,SSLT,EQ,       201.05,       204.90,1.91,234.77
,ITC,EQ,       315.55,       313.65,-0.6,234.36
,TECHM,EQ,      1727.70,      1794.65,3.88,230.02
,TCS,EQ,      2055.80,      2081.50,1.25,225.53
,LT,EQ,      1092.70,      1060.95,-2.91,214.44
,MCDOWELL-N,EQ,      2587.60,      2640.70,2.05,203.93
,HCLTECH,EQ,      1197.45,      1236.05,3.22,201.79
,HDFCBANK,EQ,       666.25,       652.55,-2.06,164.67
,HDFC,EQ,       798.25,       776.25,-2.76,163.73
,YESBANK,EQ,       375.50,       364.50,-2.93,156.46
,RANBAXY,EQ,       441.20,       449.95,1.98,151.12
,RELCAPITAL,EQ,       359.60,       343.40,-4.51,146.21
,TATASTEEL,EQ,       414.90,       410.80,-0.99,144.84
,INDUSINDBK,EQ,       429.35,       422.85,-1.51,136.91
,WIPRO,EQ,       521.70,       529.15,1.43,124.16

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HCLTECH,EQ,      1236.05,      1197.45,3.22
,MARUTI,EQ,      1780.55,      1729.95,2.92
,LUPIN,EQ,       909.65,       891.70,2.01
,RANBAXY,EQ,       449.95,       441.20,1.98
,SSLT,EQ,       204.90,       201.05,1.91

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,KOTAKBANK,EQ,       721.95,       750.20,-3.77
,ICICIBANK,EQ,      1063.50,      1095.80,-2.95
,LT,EQ,      1060.95,      1092.70,-2.91
,HDFC,EQ,       776.25,       798.25,-2.76
,ONGC,EQ,       273.70,       281.25,-2.68

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.80,                  1164169.95,37781
,3IINFOTECH,EQ,         6.45,                  4637870.65,706695
,3MINDIA,EQ,      3523.65,                   483564.90,138
,A2ZMES,EQ,         7.70,                  2031162.65,260154
,AARTIDRUGS,EQ,       197.35,                  2064325.20,10327
,AARTIIND,EQ,        91.50,                   728694.50,7979
,AARVEEDEN,EQ,        47.55,                   409525.25,8545
,ABAN,EQ,       339.90,                156774308.70,459697
,ABB,EQ,       656.60,                 45201067.60,67978
,ABBOTINDIA,EQ,      1646.40,                 20363013.75,12469
,ABCIL,EQ,        97.75,                   300058.35,3088
,ABGSHIP,EQ,       254.35,                  4150218.50,16237
,ACCELYA,EQ,       589.25,                 10298638.75,17339
,ACE,EQ,        12.65,                  1809474.60,142614
,ACROPETAL,EQ,         4.90,                    75786.45,15714
,ADANIPOWER,EQ,        36.95,                178838155.40,4815471
,ADFFOODS,EQ,        50.50,                   376846.00,7420
,ADHUNIK,EQ,        30.00,                 14313761.05,475292
,ADORWELD,EQ,       132.25,                  1854554.70,14013
,ADSL,EQ,        16.80,                   415826.15,24886
,ADVANIHOTR,EQ,        29.00,                    17219.00,601
,ADVANTA,EQ,       102.40,                  1515322.45,14698
,AEGISCHEM,EQ,       153.75,                  1240624.20,8036
,AFL,BE,        43.05,                   660386.10,15347
,AFTEK,BE,         3.35,                   105882.55,32430
,AGCNET,EQ,        58.30,                   393109.65,6763
,AGRODUTCH,EQ,         1.55,                     2359.50,1490
,AHLUCONT,EQ,        25.90,                    87581.50,3392
,AHLWEST,EQ,       102.05,                     6832.55,71
,AHMEDFORGE,EQ,        99.50,                   854612.80,8557
,AIAENG,EQ,       475.40,                 78845238.20,163482
,AIL,EQ,       371.60,                 17230122.25,46430
,AJANTPHARM,EQ,       972.40,                 59395089.00,61171
,AJMERA,EQ,        52.45,                   567712.90,10698
,AKSHOPTFBR,EQ,        15.80,                   446224.10,28317
,AKZOINDIA,EQ,       822.95,                  4961831.55,6030
,ALBK,EQ,        87.70,                209540554.25,2373867
,ALCHEM,EQ,        45.70,                    47188.40,1053
,ALEMBICLTD,EQ,        14.20,                  3436482.65,234997
,ALICON,EQ,        59.50,                     8428.50,153
,ALKALI,EQ,        15.90,                    32178.30,2027
,ALKYLAMINE,EQ,       245.00,                      490.00,2
,ALLCARGO,EQ,       109.75,                   237986.65,2189
,ALOKTEXT,EQ,         7.35,                  7091467.25,964179
,ALPA,BE,         6.90,                     2760.00,400
,ALPHAGEO,EQ,        49.35,                   394379.85,7813
,ALPSINDUS,EQ,         2.05,                    10254.05,5002
,ALSTOMT&D,EQ,       185.00,                 12846777.35,69491
,AMARAJABAT,EQ,       359.35,                 29418126.60,80979
,AMARJOTHI,EQ,        77.00,                      385.00,5
,AMBIKCO,EQ,       262.00,                    13901.35,53
,AMRUTANJAN,EQ,       121.75,                  2800399.10,22923
,AMTEKAUTO,EQ,        69.15,                 20932606.85,300961
,AMTEKINDIA,EQ,        64.55,                 25483763.55,385880
,AMTL,EQ,        18.50,                      662.50,35
,ANANTRAJ,EQ,        54.40,                115002457.65,2146388
,ANDHRABANK,EQ,        58.85,                 97794160.00,1649988
,ANDHRACEMT,EQ,         5.35,                    17057.65,3400
,ANDHRSUGAR,EQ,       103.50,                  1399022.70,13503
,ANGIND,BE,         6.60,                       99.00,15
,ANIKINDS,BE,        19.85,                   147280.55,7358
,ANKITMETAL,EQ,        10.95,                    32133.35,3031
,ANSALAPI,EQ,        19.35,                  1379479.40,70575
,ANSALHSG,EQ,        18.90,                   226932.30,11935
,APARINDS,EQ,       130.00,                   504181.60,3922
,APCOTEXIND,EQ,       113.55,                   442856.70,3876
,APLAB,BE,        23.50,                      587.50,25
,APLAPOLLO,EQ,       145.50,                   119281.55,813
,APLLTD,EQ,       209.65,                 50499686.20,238156
,APOLLOTYRE,EQ,        88.90,               1066423629.10,11904032
,APPAPER,EQ,       252.65,                  2078684.60,8228
