,20-Dec-2013
The Nifty witnessed an intraday movement of about 114.15 points.The closing index was 1.74 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 12626.3
, Traded Quantity (in Lakhs), 6907.7
, Number of Trades, 6244154
, Total Market Capitalisation (Rs. Crores), 6775730.52

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      6166.65,      6179.95,      6284.50,      6170.35,      6274.25,107.6
,CNX IT,      9329.00,      9368.40,      9521.65,      9368.40,      9488.25,159.25
,CNX Nifty Junior,     12494.15,     12499.15,     12693.95,     12499.15,     12678.20,184.05
,BANK Nifty,     11087.45,     11117.70,     11318.55,     11074.55,     11292.35,204.9
,CNX Midcap,      7709.75,      7709.55,      7848.35,      7709.55,      7838.95,129.2
,CNX 500,      4780.60,      4788.60,      4868.10,      4787.10,      4861.65,81.05
,CNX 100,      6077.95,      6089.45,      6190.70,      6084.30,      6181.50,103.55
,Nifty Midcap 50,      2193.45,      2190.60,      2238.85,      2190.60,      2237.35,43.9
,CNX Realty,       175.85,       175.15,       181.25,       175.15,       180.85,5
,CNX Infra,      2432.70,      2427.05,      2456.80,      2415.15,      2453.80,21.1
,CNX Energy,      7661.15,      7750.25,      7938.65,      7719.65,      7926.30,265.15
,CNX FMCG,     16617.00,     16638.30,     16775.85,     16500.70,     16750.70,133.7
,CNX MNC,      6093.40,      6098.30,      6188.60,      6090.25,      6176.10,82.7
,CNX Pharma,      7597.65,      7627.25,      7655.10,      7566.50,      7646.60,48.95
,CNX PSE,      2530.60,      2536.80,      2591.05,      2532.25,      2585.25,54.65
,CNX PSU Bank,      2447.35,      2438.55,      2503.20,      2437.45,      2494.60,47.25
,CNX Service,      7564.00,      7573.05,      7719.50,      7567.30,      7700.35,136.35
,India VIX,        16.58,        16.58,        16.72,        15.51,        16.02,-.56
,CNX AUTO,      5216.35,      5203.70,      5327.85,      5194.45,      5320.55,104.2
,CNX Metal,      2421.95,      2417.25,      2438.40,      2416.20,      2435.15,13.2
,CNX Media,      1759.65,      1758.45,      1790.35,      1758.45,      1787.00,27.35
,CNX Smallcap,      3205.40,      3206.00,      3286.90,      3206.00,      3283.80,78.4
,CNX 200,      3078.65,      3083.90,      3136.40,      3082.10,      3131.85,53.2
,CNX Dividend Oppt,      1558.50,      1558.85,      1593.30,      1556.00,      1590.45,31.95
,CNX Commodities,      2229.80,      2233.45,      2270.80,      2229.10,      2268.55,38.75
,CNX Consumption,      2539.15,      2539.25,      2572.35,      2531.20,      2569.80,30.65
,CNX Finance,      4605.70,      4607.35,      4727.30,      4604.10,      4712.00,106.3
,Nifty Dividend,        84.03,        84.03,        84.03,        84.03,        84.03,0
,LIX 15,      2596.25,      2590.85,      2635.80,      2590.85,      2633.00,36.75

,ADVANCES,933
,DECLINES,406
,UNCHANGED,99

,Total securities that have hit their price bands today,111

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,TECHM,EQ,      1794.65,      1846.00,2.86,619.92
,RELIANCE,EQ,       854.05,       895.15,4.81,411.94
,INFY,EQ,      3512.25,      3551.35,1.11,384.36
,HCLTECH,EQ,      1236.05,      1237.70,0.13,362.9
,ITC,EQ,       313.65,       315.20,0.49,313.88
,POWERGRID,EQ,        99.25,        99.40,0.15,306.96
,ICICIBANK,EQ,      1063.50,      1087.70,2.28,304.84
,MARUTI,EQ,      1780.55,      1809.65,1.63,269.67
,SBIN,EQ,      1731.05,      1751.20,1.16,261.34
,AUROPHARMA,EQ,       377.70,       377.85,0.04,246.35
,LT,EQ,      1060.95,      1061.10,0.01,231.58
,MCX,EQ,       414.95,       457.05,10.15,224.53
,TCS,EQ,      2081.50,      2120.55,1.88,207.57
,TATAMOTORS,EQ,       369.55,       373.70,1.12,198.36
,HDFC,EQ,       776.25,       801.85,3.3,194.24
,AXISBANK,EQ,      1257.00,      1277.85,1.66,184.31
,APOLLOTYRE,EQ,        88.90,        92.50,4.05,176.02
,JUSTDIAL,EQ,      1266.10,      1324.45,4.61,166.88
,WIPRO,EQ,       529.15,       548.90,3.73,144.04
,SSLT,EQ,       204.90,       202.65,-1.1,142.94
,YESBANK,EQ,       364.50,       370.45,1.63,125.79
,MCDOWELL-N,EQ,      2640.70,      2670.40,1.12,119.28
,RELCAPITAL,EQ,       343.40,       355.25,3.45,117.99
,LICHSGFIN,EQ,       201.65,       208.80,3.55,113.22
,TATASTEEL,EQ,       410.80,       417.95,1.74,112.31

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,RELIANCE,EQ,       895.15,       854.05,4.81
,ONGC,EQ,       284.80,       273.70,4.06
,WIPRO,EQ,       548.90,       529.15,3.73
,CAIRN,EQ,       328.65,       317.50,3.51
,HDFC,EQ,       801.85,       776.25,3.3

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SSLT,EQ,       202.65,       204.90,-1.1
,SUNPHARMA,EQ,       578.90,       582.90,-0.69
,GRASIM,EQ,      2630.70,      2640.35,-0.37
,JINDALSTEL,EQ,       250.45,       250.95,-0.2

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        31.20,                  2754563.15,88613
,3IINFOTECH,BE,         6.55,                  3086538.00,487677
,3MINDIA,EQ,      3617.15,                   660585.55,184
,A2ZMES,EQ,         7.60,                  2446746.75,322118
,AARTIDRUGS,EQ,       201.25,                   853593.80,4267
,AARTIIND,EQ,        93.25,                  1813029.05,19560
,AARVEEDEN,EQ,        48.20,                   148099.55,3075
,ABAN,EQ,       339.00,                323626324.55,943559
,ABB,EQ,       666.00,                 69278286.30,103266
,ABBOTINDIA,EQ,      1665.90,                  4848032.05,2908
,ABCIL,EQ,        96.30,                   640364.40,6638
,ABGSHIP,EQ,       259.85,                 12608243.20,48532
,ACCELYA,EQ,       619.10,                 21163006.25,34814
,ACE,EQ,        12.75,                  1272369.05,99825
,ACROPETAL,EQ,         4.80,                   212042.95,43777
,ADANIPOWER,EQ,        38.10,                230679516.45,6142934
,ADFFOODS,EQ,        49.65,                   941911.65,18743
,ADHUNIK,EQ,        30.00,                  1535353.70,50879
,ADORWELD,EQ,       131.70,                   802325.60,6120
,ADSL,EQ,        16.65,                   371540.15,22419
,ADVANIHOTR,EQ,        29.00,                    43500.00,1500
,ADVANTA,EQ,       106.55,                  4607878.85,43411
,AEGISCHEM,EQ,       158.10,                  4112510.00,26111
,AFL,BE,        43.05,                  4699505.30,109164
,AFTEK,BE,         3.50,                   116688.60,33765
,AGCNET,EQ,        59.35,                   259094.60,4380
,AGRODUTCH,EQ,         1.50,                     3233.50,2089
,AHLEAST,EQ,       128.50,                    10280.00,80
,AHLUCONT,EQ,        26.85,                   106344.55,4071
,AHLWEST,EQ,       106.00,                      203.05,2
,AHMEDFORGE,EQ,       102.60,                  3428055.40,33261
,AIAENG,EQ,       472.25,                 36517955.70,76751
,AIL,EQ,       372.45,                  9837903.80,26324
,AJANTPHARM,EQ,       976.60,                 42909246.60,43813
,AJMERA,EQ,        54.65,                  1149160.95,21139
,AKSHOPTFBR,EQ,        15.45,                   333253.70,21470
,AKZOINDIA,EQ,       820.30,                 11214416.35,13616
,ALBK,EQ,        90.55,                174716842.75,1954115
,ALCHEM,EQ,        44.70,                    34380.15,755
,ALEMBICLTD,EQ,        14.85,                  4038672.20,272230
,ALICON,EQ,        60.55,                    12110.00,200
,ALKALI,EQ,        15.95,                    44354.40,2785
,ALKYLAMINE,EQ,       245.00,                      980.00,4
,ALLCARGO,EQ,       107.55,                   364184.50,3381
,ALLSEC,EQ,        21.80,                    19620.00,900
,ALOKTEXT,EQ,         7.50,                 10694679.45,1446942
,ALPA,BE,         7.20,                     7272.00,1010
,ALPHAGEO,EQ,        51.80,                   182679.00,3570
,ALPSINDUS,EQ,         2.15,                    23539.25,10995
,ALSTOMT&D,EQ,       190.00,                 47616030.80,251453
,AMARAJABAT,EQ,       361.20,                 29221801.45,81170
,AMARJOTHI,EQ,        77.00,                    24563.00,319
,AMBIKCO,EQ,       265.00,                   163240.00,616
,AMRUTANJAN,EQ,       123.50,                  4672726.65,37692
,AMTEKAUTO,EQ,        71.35,                 46337919.20,660103
,AMTEKINDIA,EQ,        55.45,                 54458068.05,930287
,AMTL,EQ,        18.00,                    39186.00,2177
,ANANTRAJ,EQ,        65.15,                636815628.70,10455419
,ANDHRABANK,EQ,        60.85,                 82975968.90,1377731
,ANDHRACEMT,EQ,         5.00,                     2635.00,532
,ANDHRSUGAR,EQ,       104.30,                   451907.25,4338
,ANGIND,BE,         6.90,                      172.50,25
,ANIKINDS,BE,        20.45,                    18131.50,890
,ANKITMETAL,EQ,        11.05,                    17411.85,1555
,ANSALAPI,EQ,        20.00,                 10916917.90,545870
,ANSALHSG,EQ,        19.05,                   226905.70,12013
,ANTGRAPHIC,EQ,          .20,                    16539.85,81573
,APARINDS,EQ,       136.70,                  1916467.95,14186
,APCOTEXIND,EQ,       114.70,                   853751.50,7456
,APLAPOLLO,EQ,       143.40,                   393186.65,2748
,APLLTD,EQ,       211.85,                 38909177.10,182496
