,24-Dec-2013
The Nifty witnessed an intraday movement of about 39.5 points.The closing index was 0.26 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 9481.02
, Traded Quantity (in Lakhs), 6217.56
, Number of Trades, 5331584
, Total Market Capitalisation (Rs. Crores), 6804154.7

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      6284.50,      6296.45,      6301.50,      6262.00,      6268.40,-16.1
,CNX IT,      9385.45,      9418.35,      9455.25,      9372.80,      9391.50,6.05
,CNX Nifty Junior,     12748.35,     12764.55,     12812.15,     12724.80,     12768.55,20.2
,BANK Nifty,     11378.50,     11399.15,     11405.00,     11287.30,     11330.65,-47.85
,CNX Midcap,      7923.10,      7943.70,      7982.05,      7936.85,      7965.30,42.2
,CNX 500,      4878.85,      4888.15,      4896.60,      4868.80,      4876.10,-2.75
,CNX 100,      6195.30,      6206.50,      6213.50,      6175.35,      6183.40,-11.9
,Nifty Midcap 50,      2269.65,      2275.65,      2288.60,      2269.80,      2279.55,9.9
,CNX Realty,       186.90,       187.95,       188.35,       185.70,       186.95,.05
,CNX Infra,      2466.10,      2470.50,      2488.45,      2462.40,      2465.60,-.5
,CNX Energy,      7951.75,      7957.20,      7993.50,      7919.65,      7929.50,-22.25
,CNX FMCG,     16811.35,     16841.60,     16867.95,     16779.55,     16811.95,.6
,CNX MNC,      6184.10,      6161.20,      6202.20,      6161.20,      6181.45,-2.65
,CNX Pharma,      7644.05,      7669.15,      7726.20,      7631.90,      7641.05,-3
,CNX PSE,      2610.00,      2616.30,      2626.20,      2600.30,      2607.05,-2.95
,CNX PSU Bank,      2535.55,      2539.20,      2552.85,      2519.40,      2544.95,9.4
,CNX Service,      7677.65,      7695.35,      7697.35,      7639.00,      7651.15,-26.5
,India VIX,        16.26,        16.26,        16.94,        15.52,        15.58,-.68
,CNX AUTO,      5333.35,      5330.70,      5351.35,      5322.30,      5331.90,-1.45
,CNX Metal,      2473.35,      2466.35,      2471.20,      2442.20,      2449.65,-23.7
,CNX Media,      1777.70,      1774.95,      1787.90,      1771.35,      1781.75,4.05
,CNX Smallcap,      3327.75,      3340.00,      3366.80,      3340.00,      3356.45,28.7
,CNX 200,      3141.10,      3147.00,      3152.05,      3133.20,      3137.70,-3.4
,CNX Dividend Oppt,      1607.15,      1609.95,      1614.75,      1603.95,      1608.55,1.4
,CNX Commodities,      2289.70,      2287.80,      2299.25,      2279.10,      2282.60,-7.1
,CNX Consumption,      2567.40,      2568.40,      2579.80,      2561.40,      2564.00,-3.4
,CNX Finance,      4719.65,      4731.05,      4731.05,      4687.40,      4695.75,-23.9
,Nifty Dividend,        84.03,        84.03,        84.03,        84.03,        84.03,0
,LIX 15,      2651.65,      2653.50,      2657.25,      2628.90,      2632.00,-19.65

,ADVANCES,834
,DECLINES,547
,UNCHANGED,86

,Total securities that have hit their price bands today,123

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,      3468.45,      3486.40,0.52,309.7
,AUROPHARMA,EQ,       383.80,       399.90,4.19,303.07
,APOLLOTYRE,EQ,        93.50,       100.90,7.91,290.23
,SBIN,EQ,      1758.45,      1759.25,0.05,235.14
,ICICIBANK,EQ,      1098.05,      1098.85,0.07,191.75
,MCDOWELL-N,EQ,      2575.30,      2522.75,-2.04,191.08
,CENTURYTEX,EQ,       266.80,       302.30,13.31,186.31
,ABAN,EQ,       340.00,       373.45,9.84,160.37
,RELIANCE,EQ,       896.25,       898.05,0.2,150.26
,RANBAXY,EQ,       455.35,       467.50,2.67,145.03
,HDFC,EQ,       789.80,       779.90,-1.25,144.03
,ITC,EQ,       319.20,       319.05,-0.05,140.44
,DLF,EQ,       169.85,       170.95,0.65,134.94
,BIOCON,EQ,       466.80,       471.15,0.93,132.9
,AXISBANK,EQ,      1291.25,      1282.95,-0.64,130.41
,CANBK,EQ,       277.95,       287.45,3.42,119.37
,PNB,EQ,       624.35,       634.90,1.69,113.64
,YESBANK,EQ,       379.55,       375.85,-0.97,111.4
,APOLLOHOSP,EQ,       848.40,       874.85,3.12,110.48
,JPASSOCIAT,EQ,        54.25,        54.40,0.28,110.25
,SUNPHARMA,EQ,       576.25,       567.30,-1.55,108.93
,LT,EQ,      1069.00,      1076.00,0.65,105.94
,SSLT,EQ,       203.65,       199.00,-2.28,104.48
,TATASTEEL,EQ,       423.15,       418.40,-1.12,96.92
,POWERGRID,EQ,        99.70,        98.55,-1.15,92.56

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,RANBAXY,EQ,       467.50,       455.35,2.67
,BAJAJ-AUTO,EQ,      1990.35,      1946.70,2.24
,BHEL,EQ,       172.90,       169.20,2.19
,ULTRACEMCO,EQ,      1796.45,      1766.35,1.7
,PNB,EQ,       634.90,       624.35,1.69

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATAPOWER,EQ,        86.25,        89.05,-3.14
,SSLT,EQ,       199.00,       203.65,-2.28
,WIPRO,EQ,       540.10,       552.00,-2.16
,BANKBARODA,EQ,       646.50,       658.05,-1.76
,INDUSINDBK,EQ,       423.65,       430.75,-1.65

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.90,                  1314195.70,42475
,3IINFOTECH,BE,         6.90,                  3248713.85,466898
,3MINDIA,EQ,      3595.90,                  1465125.95,408
,A2ZMES,EQ,         9.70,                 14465490.15,1586523
,AARTIDRUGS,EQ,       204.40,                   780265.00,3799
,AARTIIND,EQ,        94.25,                  1570408.55,16593
,AARVEEDEN,EQ,        47.45,                   451350.80,9416
,ABAN,EQ,       373.45,               1603682007.50,4406621
,ABB,EQ,       678.25,                 45842637.75,67045
,ABBOTINDIA,EQ,      1698.90,                 10635467.50,6339
,ABCIL,EQ,        98.75,                   498049.95,5097
,ABGSHIP,EQ,       264.60,                 22575785.30,84867
,ACCELYA,EQ,       620.75,                  6987640.15,11306
,ACE,EQ,        13.30,                  1635790.50,122465
,ACROPETAL,EQ,         5.15,                    52539.45,10477
,ADANIPOWER,EQ,        38.30,                116234374.65,2999463
,ADFFOODS,EQ,        50.40,                   160040.70,3170
,ADHUNIK,EQ,        31.95,                  5392210.30,167838
,ADORWELD,EQ,       130.55,                   497067.90,3771
,ADSL,EQ,        16.55,                   362442.20,21894
,ADVANTA,EQ,       114.20,                 11980395.65,106367
,AEGISCHEM,EQ,       172.90,                 22808699.45,134400
,AFL,BE,        43.10,                   232918.65,5404
,AFTEK,EQ,         3.55,                    57860.75,16156
,AGCNET,EQ,        59.55,                   108113.30,1786
,AHLUCONT,EQ,        27.00,                    61064.65,2273
,AHLWEST,EQ,       103.55,                    14191.30,137
,AHMEDFORGE,EQ,       106.15,                  5073009.05,47287
,AIAENG,EQ,       481.00,                 37069966.30,76062
,AIL,EQ,       375.05,                 22622776.40,60526
,AJANTPHARM,EQ,       969.15,                 35965712.15,36661
,AJMERA,EQ,        55.70,                  2331889.45,41672
,AKSHOPTFBR,EQ,        15.35,                    95051.30,6222
,AKZOINDIA,EQ,       820.90,                  5712107.00,6952
,ALBK,EQ,        93.35,                147381002.10,1587504
,ALCHEM,EQ,        46.55,                    18779.10,408
,ALEMBICLTD,EQ,        14.90,                  1595732.15,106754
,ALICON,EQ,        64.90,                    73066.00,1190
,ALKALI,EQ,        16.55,                    47081.75,2854
,ALKYLAMINE,EQ,       235.20,                     6782.60,28
,ALLCARGO,EQ,       113.00,                   310589.30,2771
,ALOKTEXT,EQ,         8.20,                 63531042.15,7848997
,ALPA,BE,         7.60,                     1520.00,200
,ALPHAGEO,EQ,        51.45,                   145342.40,2795
,ALPSINDUS,EQ,         2.35,                    31607.50,13450
,ALSTOMT&D,EQ,       200.15,                 29476071.45,147350
,AMARAJABAT,EQ,       350.05,                 53232105.30,149571
,AMARJOTHI,EQ,        77.00,                    84500.00,1100
,AMBIKCO,EQ,       260.10,                    57420.00,220
,AMRUTANJAN,EQ,       130.90,                 42272029.00,324124
,AMTEKAUTO,EQ,        68.55,                 37844741.65,547805
,AMTEKINDIA,EQ,        61.80,                  7167952.95,115419
,AMTL,EQ,        18.00,                    40050.00,2225
,ANANTRAJ,EQ,        62.70,                184540447.30,2920016
,ANDHRABANK,EQ,        62.55,                 88222260.45,1408419
,ANDHRACEMT,EQ,         5.30,                     3741.40,742
,ANDHRSUGAR,EQ,       102.30,                  1206660.95,11746
,ANIKINDS,BE,        22.30,                   114124.60,5424
,ANKITMETAL,EQ,        11.30,                    34768.00,3160
,ANSALAPI,EQ,        22.05,                 11255624.80,519555
,ANSALHSG,EQ,        20.15,                   822332.55,41643
,ANTGRAPHIC,EQ,          .25,                     9650.50,39502
,APARINDS,EQ,       143.15,                  1958349.95,13846
,APCOTEXIND,EQ,       115.50,                   372517.60,3240
,APLAPOLLO,EQ,       139.00,                   438984.70,3137
,APLLTD,EQ,       217.60,                 21238344.05,97495
,APOLLOTYRE,EQ,       100.90,               2902340073.10,29189768
,APPAPER,EQ,       277.25,                  9851439.05,35303
,APTECHT,EQ,        82.55,                109538216.85,1332564
