,02-Jan-2014
The Nifty witnessed an intraday movement of about 147 points.The closing index was 1.28 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 12129.45
, Traded Quantity (in Lakhs), 9075.38
, Number of Trades, 6177076
, Total Market Capitalisation (Rs. Crores), 6794410.6

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      6301.65,      6301.25,      6358.30,      6211.30,      6221.15,-80.5
,CNX IT,      9462.80,      9475.30,      9546.30,      9445.55,      9478.35,15.55
,CNX Nifty Junior,     12987.05,     12987.70,     13088.95,     12696.95,     12717.80,-269.25
,BANK Nifty,     11385.60,     11383.80,     11578.90,     11150.20,     11183.20,-202.4
,CNX Midcap,      8114.00,      8119.30,      8181.25,      7928.45,      7941.40,-172.6
,CNX 500,      4921.25,      4922.50,      4961.45,      4842.55,      4848.95,-72.3
,CNX 100,      6227.55,      6227.30,      6279.55,      6131.05,      6140.25,-87.3
,Nifty Midcap 50,      2322.05,      2323.90,      2344.05,      2255.20,      2263.10,-58.95
,CNX Realty,       189.15,       189.65,       191.55,       183.40,       183.75,-5.4
,CNX Infra,      2492.95,      2495.50,      2506.60,      2415.25,      2423.70,-69.25
,CNX Energy,      7931.70,      7947.25,      7999.00,      7792.40,      7809.60,-122.1
,CNX FMCG,     17050.45,     17036.60,     17159.15,     16703.00,     16719.60,-330.85
,CNX MNC,      6248.20,      6234.85,      6314.15,      6167.20,      6180.95,-67.25
,CNX Pharma,      7667.30,      7662.30,      7744.20,      7611.15,      7625.10,-42.2
,CNX PSE,      2642.40,      2650.25,      2664.50,      2588.15,      2591.90,-50.5
,CNX PSU Bank,      2573.30,      2577.65,      2644.30,      2510.75,      2521.45,-51.85
,CNX Service,      7723.20,      7726.55,      7811.55,      7630.40,      7645.75,-77.45
,India VIX,        15.58,        15.58,        16.97,        15.33,        16.55,.97
,CNX AUTO,      5292.65,      5289.55,      5326.35,      5241.55,      5253.55,-39.1
,CNX Metal,      2493.80,      2491.55,      2531.95,      2444.40,      2453.30,-40.5
,CNX Media,      1795.20,      1796.35,      1823.95,      1772.60,      1779.20,-16
,CNX Smallcap,      3461.60,      3471.05,      3506.05,      3370.30,      3375.30,-86.3
,CNX 200,      3162.90,      3163.15,      3189.10,      3113.20,      3117.85,-45.05
,CNX Dividend Oppt,      1622.90,      1625.05,      1635.95,      1591.85,      1593.65,-29.25
,CNX Commodities,      2306.80,      2307.30,      2320.10,      2255.50,      2261.25,-45.55
,CNX Consumption,      2590.00,      2588.65,      2602.75,      2542.10,      2544.65,-45.35
,CNX Finance,      4737.60,      4734.95,      4808.40,      4648.95,      4665.00,-72.6
,Nifty Dividend,        84.03,        84.03,        84.03,        84.03,        84.03,0
,LIX 15,      2659.00,      2659.45,      2698.50,      2614.10,      2621.90,-37.1

,ADVANCES,422
,DECLINES,980
,UNCHANGED,66

,Total securities that have hit their price bands today,155

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,      1765.05,      1742.60,-1.27,345.88
,AXISBANK,EQ,      1292.20,      1272.30,-1.54,337.66
,MARUTI,EQ,      1764.00,      1768.40,0.25,281.13
,ARVIND,EQ,       138.85,       144.45,4.03,266.48
,YESBANK,EQ,       374.45,       362.15,-3.28,229.77
,ICICIBANK,EQ,      1097.70,      1075.60,-2.01,226.06
,BANKBARODA,EQ,       657.35,       649.80,-1.15,210.35
,HDFC,EQ,       793.50,       791.10,-0.3,203.34
,INFY,EQ,      3468.00,      3480.55,0.36,191.79
,TCS,EQ,      2153.30,      2167.00,0.64,187.46
,APOLLOTYRE,EQ,       104.80,       102.75,-1.96,184.92
,PNB,EQ,       634.90,       611.20,-3.73,176.41
,MCDOWELL-N,EQ,      2608.05,      2613.30,0.2,174.67
,TATASTEEL,EQ,       425.90,       419.20,-1.57,171.18
,POWERGRID,EQ,        99.50,       101.90,2.41,169.63
,RANBAXY,EQ,       462.65,       462.55,-0.02,167.69
,LT,EQ,      1068.55,      1036.05,-3.04,162.94
,DLF,EQ,       170.10,       166.45,-2.15,158.42
,BHARTIARTL,EQ,       337.75,       328.70,-2.68,158.31
,AUROPHARMA,EQ,       391.70,       378.25,-3.43,158.07
,BANKINDIA,EQ,       243.15,       236.05,-2.92,157.79
,JPASSOCIAT,EQ,        55.50,        53.10,-4.32,157.31
,IDFC,EQ,       109.75,       104.55,-4.74,152.43
,MCX,EQ,       492.25,       486.70,-1.13,146.44
,ITC,EQ,       322.40,       314.95,-2.31,144.32

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,POWERGRID,EQ,       101.90,        99.50,2.41
,TCS,EQ,      2167.00,      2153.30,.64
,INFY,EQ,      3480.55,      3468.00,.36
,SUNPHARMA,EQ,       573.85,       572.35,.26
,MARUTI,EQ,      1768.40,      1764.00,.25

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,IDFC,EQ,       104.55,       109.75,-4.74
,JPASSOCIAT,EQ,        53.10,        55.50,-4.32
,PNB,EQ,       611.20,       634.90,-3.73
,TATAPOWER,EQ,        87.35,        90.40,-3.37
,BHEL,EQ,       169.70,       175.40,-3.25

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        31.20,                  1318311.80,41327
,3IINFOTECH,BE,         8.20,                 14174357.45,1681357
,3MINDIA,EQ,      3605.90,                  2256446.65,622
,A2ZMES,EQ,        13.60,                 27684047.70,2035652
,AARTIDRUGS,EQ,       218.00,                  1449974.80,6544
,AARTIIND,EQ,        96.55,                  1723576.85,17452
,AARVEEDEN,EQ,        47.35,                   352184.95,7257
,ABAN,EQ,       371.75,                568251422.90,1468241
,ABB,EQ,       672.50,                 40096307.25,58490
,ABBOTINDIA,EQ,      1649.65,                  3750900.35,2235
,ABCIL,EQ,       107.70,                  1463166.90,13093
,ABGSHIP,EQ,       263.70,                 37363920.55,135946
,ACCELYA,EQ,       717.05,                 39479539.00,53420
,ACE,EQ,        13.50,                  5679177.20,396801
,ACROPETAL,EQ,         6.20,                   486574.40,74387
,ADANIPOWER,EQ,        37.15,                284746812.05,7437487
,ADFFOODS,EQ,        50.60,                   871271.50,16652
,ADHUNIK,EQ,        32.65,                  2027428.55,60328
,ADORWELD,EQ,       134.45,                  4609028.00,33208
,ADSL,EQ,        18.25,                  2061443.60,113514
,ADVANIHOTR,EQ,        29.00,                    13050.00,450
,ADVANTA,EQ,       112.05,                  6636663.25,57687
,AEGISCHEM,EQ,       175.10,                 17059959.20,93379
,AFL,BE,        43.15,                   250351.25,5802
,AFTEK,EQ,         4.20,                   399658.50,95175
,AGCNET,EQ,        68.15,                   309915.05,4464
,AGRODUTCH,EQ,         1.65,                     2310.00,1400
,AHLEAST,EQ,       134.00,                     1340.00,10
,AHLUCONT,EQ,        26.15,                   341927.60,12688
,AHLWEST,EQ,        98.15,                     4907.50,50
,AHMEDFORGE,EQ,       109.80,                  3045377.45,27328
,AIAENG,EQ,       463.60,                 19757618.55,42174
,AIL,EQ,       366.05,                  6246566.95,16793
,AJANTPHARM,EQ,       929.45,                 19601868.10,20760
,AJMERA,EQ,        67.25,                 36805552.75,528020
,AKSHOPTFBR,EQ,        15.15,                   606629.65,39370
,AKZOINDIA,EQ,       865.20,                  4390475.90,5074
,ALBK,EQ,        95.05,                972204294.15,9801706
,ALCHEM,EQ,        46.55,                   207103.50,4405
,ALEMBICLTD,EQ,        14.85,                  5633931.35,369873
,ALKALI,EQ,        17.30,                    64511.30,3665
,ALKYLAMINE,EQ,       245.05,                   135899.25,525
,ALLCARGO,EQ,       125.20,                  8120909.50,62327
,ALLSEC,EQ,        20.75,                     4575.50,220
,ALOKTEXT,EQ,         8.15,                 29010869.70,3387886
,ALPA,BE,         9.10,                     3640.00,400
,ALPHAGEO,EQ,        66.95,                  1276400.80,18990
,ALPINEHOU,EQ,        23.50,                     4700.00,200
,ALPSINDUS,EQ,         2.95,                    55235.80,18724
,ALSTOMT&D,EQ,       202.05,                  9881941.05,48845
,AMARAJABAT,EQ,       334.75,                 32710087.10,96741
,AMARJOTHI,EQ,        77.00,                    31175.50,410
,AMBIKCO,EQ,       273.95,                    30105.00,110
,AMDIND,EQ,        13.00,                     5415.00,430
,AMRUTANJAN,EQ,       131.10,                  7334204.45,54480
,AMTEKAUTO,EQ,        73.05,                 20132749.45,271404
,AMTEKINDIA,EQ,        65.15,                  5892597.10,88335
,ANANTRAJ,EQ,        58.25,                152737153.25,2481152
,ANDHRABANK,EQ,        63.15,                372418928.90,5685896
,ANDHRACEMT,EQ,         5.00,                     8590.00,1700
,ANDHRSUGAR,EQ,       102.60,                  1837885.60,17792
,ANIKINDS,BE,        23.25,                    31315.00,1350
,ANKITMETAL,EQ,        11.90,                   221197.95,18602
,ANSALAPI,EQ,        21.35,                 11919458.40,529218
,ANSALHSG,EQ,        19.90,                  1608011.75,76728
,ANTGRAPHIC,EQ,          .25,                     6772.00,28108
,APARINDS,EQ,       147.05,                  6429402.60,42379
,APCOTEXIND,EQ,       118.55,                   349937.85,2886
,APLAPOLLO,EQ,       141.85,                   135126.90,943
,APLLTD,EQ,       210.15,                 12952984.75,60783
