,22-Jan-2014
The Nifty witnessed an intraday movement of about 62.5 points.The closing index was 0.4 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 10777.57
, Traded Quantity (in Lakhs), 5302.46
, Number of Trades, 5250848
, Total Market Capitalisation (Rs. Crores), 6841309.08

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      6313.80,      6309.05,      6349.95,      6287.45,      6338.95,25.15
,CNX IT,     10095.55,     10078.20,     10140.40,     10051.60,     10112.80,17.25
,CNX Nifty Junior,     12484.00,     12479.05,     12537.25,     12463.70,     12509.00,25
,BANK Nifty,     11171.50,     11164.25,     11248.35,     11094.80,     11207.35,35.85
,CNX Midcap,      7822.15,      7819.20,      7843.65,      7813.20,      7830.20,8.05
,CNX 500,      4886.70,      4884.05,      4911.15,      4872.65,      4903.95,17.25
,CNX 100,      6199.85,      6195.50,      6232.15,      6176.70,      6222.65,22.8
,Nifty Midcap 50,      2233.35,      2234.25,      2247.15,      2230.60,      2243.00,9.65
,CNX Realty,       171.95,       172.25,       173.75,       171.25,       173.20,1.25
,CNX Infra,      2323.80,      2326.25,      2338.20,      2321.00,      2329.30,5.5
,CNX Energy,      7711.30,      7710.60,      7785.85,      7685.95,      7775.50,64.2
,CNX FMCG,     17088.50,     17078.00,     17088.85,     16872.40,     17074.05,-14.45
,CNX MNC,      6114.80,      6111.80,      6149.05,      6093.95,      6141.35,26.55
,CNX Pharma,      7772.55,      7779.75,      7916.25,      7753.40,      7895.20,122.65
,CNX PSE,      2584.05,      2582.40,      2599.85,      2578.75,      2597.05,13
,CNX PSU Bank,      2437.90,      2431.40,      2440.60,      2409.35,      2433.25,-4.65
,CNX Service,      7811.45,      7805.75,      7856.45,      7780.00,      7837.70,26.25
,India VIX,        15.55,        15.55,        15.87,        14.92,        15.85,.3
,CNX AUTO,      5288.70,      5268.45,      5315.25,      5264.95,      5310.90,22.2
,CNX Metal,      2424.90,      2422.65,      2451.50,      2421.75,      2447.90,23
,CNX Media,      1777.90,      1777.20,      1803.10,      1768.55,      1790.90,13
,CNX Smallcap,      3362.55,      3362.70,      3389.75,      3362.00,      3382.70,20.15
,CNX 200,      3141.95,      3139.95,      3157.55,      3131.30,      3152.70,10.75
,CNX Dividend Oppt,      1581.60,      1580.75,      1584.65,      1574.80,      1583.25,1.65
,CNX Commodities,      2223.40,      2222.00,      2240.45,      2217.95,      2238.30,14.9
,CNX Consumption,      2516.40,      2516.05,      2526.10,      2510.70,      2524.20,7.8
,CNX Finance,      4684.50,      4683.15,      4712.45,      4653.85,      4696.65,12.15
,Nifty Dividend,        84.66,        85.58,        85.58,        85.58,        85.58,.92
,LIX 15,      2567.35,      2563.20,      2581.55,      2556.75,      2576.05,8.7

,ADVANCES,755
,DECLINES,661
,UNCHANGED,108

,Total securities that have hit their price bands today,243

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,JUSTDIAL,EQ,      1614.70,      1693.25,4.86,379.39
,AUROPHARMA,EQ,       435.50,       436.40,0.21,338.6
,INFY,EQ,      3758.35,      3765.90,0.2,318.47
,AXISBANK,EQ,      1188.55,      1188.85,0.03,281.41
,CAIRN,EQ,       324.00,       321.65,-0.73,278.15
,TCS,EQ,      2280.30,      2274.05,-0.27,271.63
,HCLTECH,EQ,      1440.15,      1444.75,0.32,258.68
,ICICIBANK,EQ,      1078.05,      1087.95,0.92,251.42
,ITC,EQ,       329.05,       327.35,-0.52,246.1
,HDFC,EQ,       838.15,       841.05,0.35,236.69
,LT,EQ,      1011.50,      1004.80,-0.66,217.68
,TATAMOTORS,EQ,       384.80,       386.10,0.34,215.67
,SUNPHARMA,EQ,       580.35,       597.45,2.95,201.42
,BIOCON,EQ,       482.45,       479.00,-0.72,191.59
,TATASTEEL,EQ,       383.60,       393.25,2.52,181.13
,RELIANCE,EQ,       863.05,       872.45,1.09,169.35
,BHARTIARTL,EQ,       304.90,       309.75,1.59,166.11
,SBIN,EQ,      1659.50,      1646.85,-0.76,161.81
,ASIANPAINT,EQ,       479.25,       472.60,-1.39,131.61
,M&MFIN,EQ,       266.70,       254.15,-4.71,123.12
,MCDOWELL-N,EQ,      2716.80,      2757.45,1.5,121.25
,WIPRO,EQ,       571.55,       577.95,1.12,120.93
,RANBAXY,EQ,       414.05,       416.20,0.52,119.94
,HDFCBANK,EQ,       676.10,       677.10,0.15,119.57
,ULTRACEMCO,EQ,       1699.75,       1694.70,-0.30,112.05

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SUNPHARMA,EQ,       597.45,       580.35,2.95
,TATASTEEL,EQ,       393.25,       383.60,2.52
,LUPIN,EQ,       926.95,       907.50,2.14
,BPCL,EQ,       343.95,       337.30,1.97
,HINDALCO,EQ,       115.20,       113.00,1.95

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ASIANPAINT,EQ,       472.60,       479.25,-1.39
,SBIN,EQ,      1646.85,      1659.50,-0.76
,CAIRN,EQ,       321.65,       324.00,-0.73
,ACC,EQ,      1023.65,      1031.05,-0.72
,GRASIM,EQ,      2585.65,      2603.30,-0.68

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.90,                  2333978.75,75952
,3IINFOTECH,BE,         8.40,                  2071563.95,245858
,3MINDIA,EQ,      3741.90,                  2173934.85,583
,A2ZMES,BE,        11.45,                   650408.30,57321
,AARTIDRUGS,EQ,       220.35,                  1280145.90,5827
,AARTIIND,EQ,        99.85,                   875481.60,8857
,AARVEEDEN,EQ,        46.05,                   244629.35,5270
,ABAN,EQ,       422.10,                376594685.45,887656
,ABB,EQ,       636.75,                 22895539.55,35711
,ABBOTINDIA,EQ,      1665.20,                  1639273.40,981
,ABCIL,EQ,       102.05,                   265658.95,2609
,ABGSHIP,EQ,       308.10,                448297562.65,1512821
,ACCELYA,EQ,       745.55,                  4100598.00,5486
,ACE,EQ,        14.15,                  3465657.05,244953
,ACROPETAL,BE,         5.95,                    43886.35,7349
,ADANIPOWER,EQ,        34.65,                 25553117.55,737485
,ADFFOODS,EQ,        48.70,                   162482.55,3339
,ADHUNIK,EQ,        29.55,                  1330081.90,45151
,ADORWELD,EQ,       127.95,                   581482.75,4531
,ADSL,EQ,        16.40,                    79721.45,4909
,ADVANIHOTR,EQ,        34.55,                    26516.85,775
,ADVANTA,EQ,       112.25,                  1485782.35,13202
,AEGISCHEM,EQ,       170.30,                  5396789.25,32150
,AFL,BE,        43.30,                   155530.40,3586
,AFTEK,EQ,         4.00,                   249551.55,63261
,AGCNET,EQ,        68.05,                    83760.80,1230
,AGRODUTCH,EQ,         2.40,                    35514.40,15018
,AHLUCONT,EQ,        23.80,                    14741.15,644
,AHLWEST,EQ,       101.10,                    18486.80,184
,AHMEDFORGE,EQ,       101.50,                   417400.95,4124
,AIAENG,EQ,       524.10,                100520740.70,191688
,AIL,EQ,       349.60,                  2077837.30,5956
,AJANTPHARM,EQ,       941.45,                 27475865.85,29166
,AJMERA,EQ,        59.70,                   886199.00,14711
,AKSHOPTFBR,EQ,        17.95,                 21165824.05,1221573
,AKZOINDIA,EQ,       834.45,                  1087549.15,1300
,ALBK,EQ,        90.45,                240185932.20,2651888
,ALCHEM,EQ,        44.45,                    63405.80,1413
,ALEMBICLTD,EQ,        14.50,                  3438819.30,235704
,ALICON,EQ,        74.45,                    99923.25,1335
,ALKALI,EQ,        16.35,                    37972.70,2306
,ALKYLAMINE,EQ,       224.65,                     6025.60,27
,ALLCARGO,EQ,       135.35,                   262791.55,1937
,ALLSEC,EQ,        32.35,                    21221.60,656
,ALOKTEXT,EQ,         8.05,                 16137782.05,1997950
,ALPA,BE,        10.35,                    11334.95,1057
,ALPHAGEO,BE,        73.75,                   254538.40,3473
,ALPSINDUS,BE,         3.15,                        3.15,1
,ALSTOMT&D,EQ,       190.00,                  9268581.10,48859
,AMARAJABAT,EQ,       331.95,                 41544964.95,125486
,AMARJOTHI,EQ,        77.20,                    22375.50,295
,AMBIKCO,EQ,       299.95,                  1579193.75,5265
,AMDIND,EQ,        12.55,                     4571.60,372
,AMRUTANJAN,EQ,       126.90,                  1815491.90,14258
,AMTEKAUTO,EQ,        69.45,                 59872819.85,857451
,AMTEKINDIA,EQ,        62.80,                  1118766.35,17839
,AMTL,EQ,        20.35,                     2035.00,100
,ANANTRAJ,EQ,        56.95,                224023887.80,3971911
,ANDHRABANK,EQ,        61.75,                 72477829.05,1181295
,ANDHRACEMT,EQ,         5.25,                     6879.00,1298
,ANDHRSUGAR,EQ,       101.25,                   242784.85,2408
,ANGIND,BE,         6.60,                     4164.60,631
,ANIKINDS,BE,        22.70,                    43058.50,1911
,ANKITMETAL,EQ,         8.95,                  2437633.20,261772
,ANSALAPI,EQ,        19.50,                  4743151.40,243006
,ANSALHSG,EQ,        18.45,                   313584.75,17114
,ANTGRAPHIC,EQ,          .20,                    10202.00,51010
,APARINDS,EQ,       142.25,                   647757.50,4562
,APCOTEXIND,EQ,       116.05,                   426700.85,3671
,APLAPOLLO,EQ,       148.00,                   157594.00,1048
