,23-Jan-2014
The Nifty witnessed an intraday movement of about 39.2 points.The closing index was 0.11 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 10406.51
, Traded Quantity (in Lakhs), 5094.99
, Number of Trades, 5413522
, Total Market Capitalisation (Rs. Crores), 6831364.04

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      6338.95,      6325.95,      6355.60,      6316.40,      6345.65,6.7
,CNX IT,     10112.80,     10116.60,     10123.95,     10008.55,     10086.35,-26.45
,CNX Nifty Junior,     12509.00,     12483.50,     12504.80,     12449.15,     12479.45,-29.55
,BANK Nifty,     11207.35,     11183.75,     11221.10,     11122.35,     11199.00,-8.35
,CNX Midcap,      7830.20,      7809.30,      7827.25,      7794.60,      7800.10,-30.1
,CNX 500,      4903.95,      4894.25,      4909.95,      4892.55,      4903.50,-.45
,CNX 100,      6222.65,      6209.90,      6234.55,      6201.05,      6226.05,3.4
,Nifty Midcap 50,      2243.00,      2237.50,      2247.55,      2231.25,      2232.45,-10.55
,CNX Realty,       173.20,       172.90,       173.30,       171.90,       172.80,-.4
,CNX Infra,      2329.30,      2328.50,      2360.80,      2328.50,      2352.70,23.4
,CNX Energy,      7775.50,      7716.45,      7754.00,      7712.10,      7733.60,-41.9
,CNX FMCG,     17074.05,     17036.50,     17158.20,     16984.85,     17113.85,39.8
,CNX MNC,      6141.35,      6129.65,      6155.20,      6121.70,      6134.20,-7.15
,CNX Pharma,      7895.20,      7902.80,      7957.35,      7899.10,      7921.45,26.25
,CNX PSE,      2597.05,      2590.30,      2592.50,      2582.50,      2587.25,-9.8
,CNX PSU Bank,      2433.25,      2419.75,      2436.75,      2416.50,      2428.70,-4.55
,CNX Service,      7837.70,      7826.70,      7865.35,      7801.40,      7848.95,11.25
,India VIX,        15.85,        15.85,        16.03,        15.14,        15.58,-.27
,CNX AUTO,      5310.90,      5302.20,      5306.50,      5248.10,      5256.05,-54.85
,CNX Metal,      2447.90,      2442.05,      2450.05,      2429.40,      2436.85,-11.05
,CNX Media,      1790.90,      1793.55,      1798.70,      1769.90,      1785.20,-5.7
,CNX Smallcap,      3382.70,      3368.10,      3385.60,      3355.15,      3358.05,-24.65
,CNX 200,      3152.70,      3146.45,      3157.45,      3142.60,      3153.25,.55
,CNX Dividend Oppt,      1583.25,      1579.05,      1579.05,      1573.60,      1574.90,-8.35
,CNX Commodities,      2238.30,      2231.20,      2234.70,      2226.15,      2227.65,-10.65
,CNX Consumption,      2524.20,      2522.05,      2522.30,      2508.95,      2520.50,-3.7
,CNX Finance,      4696.65,      4682.70,      4725.60,      4668.35,      4714.05,17.4
,Nifty Dividend,        85.58,        85.58,        85.58,        85.58,        85.58,0
,LIX 15,      2576.05,      2566.55,      2585.95,      2566.05,      2580.95,4.9

,ADVANCES,612
,DECLINES,825
,UNCHANGED,99

,Total securities that have hit their price bands today,208

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,LT,EQ,      1004.80,      1032.95,2.8,467.75
,INFY,EQ,      3765.90,      3792.50,0.71,373.64
,AXISBANK,EQ,      1188.85,      1216.00,2.28,361.63
,M&MFIN,EQ,       254.15,       239.80,-5.65,325.88
,HDFC,EQ,       841.05,       856.15,1.8,299.95
,RELIANCE,EQ,       872.45,       865.80,-0.76,272.65
,TCS,EQ,      2274.05,      2252.45,-0.95,258.31
,HCLTECH,EQ,      1444.75,      1411.70,-2.29,213.13
,ICICIBANK,EQ,      1087.95,      1079.45,-0.78,201.69
,AUROPHARMA,EQ,       436.40,       426.00,-2.38,182.05
,SUNPHARMA,EQ,       597.45,       609.35,1.99,179.6
,SBIN,EQ,      1646.85,      1658.30,0.7,152.71
,BAJAJ-AUTO,EQ,      1949.70,      1939.05,-0.55,150.69
,BHARTIARTL,EQ,       309.75,       314.65,1.58,149.17
,TATAMOTORS,EQ,       386.10,       383.60,-0.65,144.42
,ITC,EQ,       327.35,       328.95,0.49,137.7
,JUSTDIAL,EQ,      1693.25,      1666.15,-1.6,127.84
,TATASPONGE,EQ,       350.30,       405.20,15.67,122.44
,WIPRO,EQ,       577.95,       578.50,0.1,116.96
,BIOCON,EQ,       479.00,       451.15,-5.81,114.99
,DABUR,EQ,       160.80,       161.75,0.59,114.96
,TECHM,EQ,      1842.15,      1830.65,-0.62,112.67
,IDFC,EQ,       100.80,       101.05,0.25,109.96
,MCDOWELL-N,EQ,      2757.45,      2757.30,-0.01,107.04
,TATASTEEL,EQ,       393.25,       389.25,-1.02,97.26

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,LT,EQ,      1032.95,      1004.80,2.8
,AXISBANK,EQ,      1216.00,      1188.85,2.28
,GAIL,EQ,       350.95,       343.20,2.26
,JINDALSTEL,EQ,       267.00,       261.60,2.06
,SUNPHARMA,EQ,       609.35,       597.45,1.99

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,M&M,EQ,       890.10,       916.45,-2.88
,HCLTECH,EQ,      1411.70,      1444.75,-2.29
,ONGC,EQ,       285.10,       289.80,-1.62
,PNB,EQ,       609.90,       617.80,-1.28
,NTPC,EQ,       131.10,       132.65,-1.17

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.65,                  2021922.90,65938
,3IINFOTECH,BE,         8.35,                  2665918.05,318451
,3MINDIA,EQ,      3648.00,                  1703710.80,462
,A2ZMES,BE,        12.00,                  1413220.60,118021
,AARTIDRUGS,EQ,       220.40,                   923770.70,4151
,AARTIIND,EQ,        99.15,                   369370.95,3732
,AARVEEDEN,EQ,        45.55,                   168721.70,3695
,ABAN,EQ,       417.35,                197336077.90,470366
,ABB,EQ,       637.25,                 31282578.85,48735
,ABBOTINDIA,EQ,      1652.35,                  1076949.10,650
,ABCIL,EQ,       102.65,                   186411.70,1819
,ABGSHIP,EQ,       297.25,                479558893.25,1551219
,ACCELYA,EQ,       735.45,                  6915778.90,9316
,ACE,EQ,        13.90,                  1094653.30,78436
,ACROPETAL,BE,         6.20,                    40487.25,6609
,ADANIPOWER,EQ,        35.05,                 55011256.25,1571402
,ADFFOODS,EQ,        47.80,                   167058.10,3472
,ADHUNIK,EQ,        29.50,                   949196.85,31955
,ADORWELD,EQ,       127.90,                   462808.20,3592
,ADSL,EQ,        16.30,                    55025.60,3365
,ADVANIHOTR,EQ,        35.00,                    12071.30,351
,ADVANTA,EQ,       112.50,                  1284837.25,11366
,AEGISCHEM,EQ,       168.35,                  2846345.85,16690
,AFL,BE,        43.35,                   814687.55,18811
,AFTEK,EQ,         4.05,                   141667.10,34962
,AGCNET,EQ,        67.45,                   112075.35,1649
,AGRODUTCH,EQ,         2.40,                    36094.35,15225
,AHLEAST,EQ,       130.20,                    45563.40,351
,AHLUCONT,EQ,        23.00,                  1160922.75,50480
,AHLWEST,EQ,       103.60,                   360774.10,3506
,AHMEDFORGE,EQ,       101.15,                   341400.65,3348
,AIAENG,EQ,       521.40,                155271745.15,295805
,AICHAMP,BE,        16.00,                      800.00,50
,AIL,EQ,       347.65,                  1159953.40,3327
,AJANTPHARM,EQ,       939.70,                 57590071.95,60699
,AJMERA,EQ,        59.60,                   280742.20,4686
,AKSHOPTFBR,EQ,        17.20,                 11651427.95,635492
,AKZOINDIA,EQ,       817.65,                 10528461.15,12848
,ALBK,EQ,        90.30,                172552166.75,1911257
,ALCHEM,EQ,        44.35,                    49601.30,1116
,ALEMBICLTD,EQ,        14.25,                  1038666.75,72471
,ALICON,EQ,        72.45,                    89799.90,1234
,ALKALI,EQ,        16.20,                    11764.90,717
,ALKYLAMINE,EQ,       239.00,                   295975.90,1241
,ALLCARGO,EQ,       135.30,                   621362.10,4587
,ALLSEC,EQ,        33.95,                   214108.05,6309
,ALOKTEXT,EQ,         7.95,                 17570680.75,2203984
,ALPA,BE,        10.00,                     4981.95,500
,ALPHAGEO,BE,        77.40,                   376313.65,4893
,ALPSINDUS,BE,         3.00,                        3.00,1
,ALSTOMT&D,EQ,       192.10,                  3182057.50,16594
,AMARAJABAT,EQ,       339.20,                784087796.65,2276219
,AMARJOTHI,EQ,        77.00,                    70525.00,925
,AMBIKCO,EQ,       288.05,                    89984.85,311
,AMDIND,EQ,        12.95,                    76750.65,5963
,AMRUTANJAN,EQ,       126.55,                   716426.20,5661
,AMTEKAUTO,EQ,        67.25,                 60418283.90,879255
,AMTEKINDIA,EQ,        62.25,                  4245882.50,68409
,AMTL,EQ,        19.40,                       19.40,1
,ANANTRAJ,EQ,        54.55,                155541477.85,2827130
,ANDHRABANK,EQ,        61.45,                 48146386.85,782083
,ANDHRACEMT,EQ,         5.30,                    42320.30,7789
,ANDHRSUGAR,EQ,       100.70,                   363849.10,3587
,ANGIND,BE,         6.90,                     4607.00,680
,ANIKINDS,BE,        22.40,                    89325.30,4000
,ANKITMETAL,EQ,         9.65,                    89223.20,9411
,ANSALAPI,EQ,        19.40,                  2915959.80,149609
,ANSALHSG,EQ,        18.55,                    77624.40,4206
,APARINDS,EQ,       143.50,                  1141370.20,7986
,APCOTEXIND,EQ,       115.60,                   266147.15,2292
,APLAB,BE,        20.95,                    10570.00,500
