,30-Jan-2014
The Nifty witnessed an intraday movement of about 55.6 points.The closing index was 0.76 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 13966.85
, Traded Quantity (in Lakhs), 7448.11
, Number of Trades, 5771752
, Total Market Capitalisation (Rs. Crores), 6528962.64

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      6120.25,      6067.00,      6082.85,      6027.25,      6073.70,-46.55
,CNX IT,      9896.70,      9860.25,      9903.05,      9771.55,      9878.75,-17.95
,CNX Nifty Junior,     11960.80,     11852.55,     11852.55,     11704.25,     11729.65,-231.15
,BANK Nifty,     10437.75,     10287.85,     10314.25,     10101.20,     10153.15,-284.6
,CNX Midcap,      7474.10,      7415.20,      7419.95,      7346.70,      7371.55,-102.55
,CNX 500,      4720.60,      4680.90,      4680.90,      4645.25,      4675.10,-45.5
,CNX 100,      5999.20,      5946.70,      5950.60,      5902.90,      5943.00,-56.2
,Nifty Midcap 50,      2106.65,      2086.15,      2090.80,      2065.20,      2075.20,-31.45
,CNX Realty,       155.90,       153.05,       153.50,       149.85,       151.50,-4.4
,CNX Infra,      2238.55,      2216.65,      2233.75,      2212.75,      2229.70,-8.85
,CNX Energy,      7522.85,      7474.55,      7489.05,      7437.35,      7450.20,-72.65
,CNX FMCG,     16904.90,     16740.00,     16797.75,     16509.30,     16763.35,-141.55
,CNX MNC,      5856.55,      5813.30,      5815.20,      5755.70,      5790.80,-65.75
,CNX Pharma,      7716.20,      7703.05,      7705.30,      7619.25,      7683.45,-32.75
,CNX PSE,      2528.05,      2506.60,      2524.40,      2499.80,      2512.70,-15.35
,CNX PSU Bank,      2218.50,      2185.45,      2185.45,      2124.40,      2127.85,-90.65
,CNX Service,      7510.20,      7439.65,      7456.80,      7377.45,      7437.30,-72.9
,India VIX,        18.04,        18.04,        18.34,        17.07,        17.25,-.79
,CNX AUTO,      5010.90,      4994.50,      5046.25,      4963.60,      5021.25,10.35
,CNX Metal,      2312.70,      2284.85,      2289.40,      2237.40,      2252.00,-60.7
,CNX Media,      1681.30,      1663.75,      1675.90,      1651.30,      1655.15,-26.15
,CNX Smallcap,      3178.10,      3150.95,      3150.95,      3113.65,      3127.95,-50.15
,CNX 200,      3035.80,      3009.40,      3010.40,      2986.65,      3006.60,-29.2
,CNX Dividend Oppt,      1524.80,      1513.35,      1513.50,      1502.35,      1506.30,-18.5
,CNX Commodities,      2144.80,      2125.45,      2126.70,      2104.75,      2111.30,-33.5
,CNX Consumption,      2451.30,      2435.05,      2435.05,      2412.40,      2430.50,-20.8
,CNX Finance,      4463.80,      4399.75,      4418.40,      4349.70,      4384.35,-79.45
,Nifty Dividend,        86.21,        86.21,        86.21,        86.21,        86.21,0
,LIX 15,      2412.85,      2386.05,      2386.05,      2335.10,      2353.10,-59.75

,ADVANCES,339
,DECLINES,1082
,UNCHANGED,62

,Total securities that have hit their price bands today,217

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,MCDOWELL-N,EQ,      2621.50,      2442.10,-6.84,639.44
,HDFC,EQ,       825.15,       829.15,0.48,502.66
,ICICIBANK,EQ,      1001.40,       974.55,-2.68,487.59
,AUROPHARMA,EQ,       438.80,       455.55,3.82,465.81
,INFY,EQ,      3717.80,      3704.25,-0.36,331.3
,ITC,EQ,       325.00,       324.60,-0.12,328.47
,TATAMOTORS,EQ,       351.75,       361.75,2.84,322.04
,SBIN,EQ,      1573.65,      1516.60,-3.63,320.91
,BANKINDIA,EQ,       208.25,       185.90,-10.73,275.89
,MARUTI,EQ,      1673.85,      1635.90,-2.27,271.46
,RELIANCE,EQ,       836.60,       825.00,-1.39,266.67
,BHARTIARTL,EQ,       301.90,       308.65,2.24,261.26
,AXISBANK,EQ,      1140.25,      1108.80,-2.76,256.04
,TCS,EQ,      2209.80,      2217.60,0.35,245.16
,RANBAXY,EQ,       328.45,       323.15,-1.61,195.31
,TATASTEEL,EQ,       358.00,       346.55,-3.2,194.96
,HCLTECH,EQ,      1422.30,      1434.20,0.84,193.93
,LT,EQ,       993.15,       980.45,-1.28,189
,UPL,EQ,       194.25,       187.50,-3.47,184.31
,HDFCBANK,EQ,       645.45,       631.80,-2.11,180.83
,YESBANK,EQ,       320.80,       306.35,-4.5,178.93
,ONGC,EQ,       277.00,       272.20,-1.73,166.28
,SSLT,EQ,       193.60,       187.20,-3.31,159.08
,JUSTDIAL,EQ,      1495.60,      1386.95,-7.26,156.48
,POWERGRID,EQ,        95.70,        95.60,-0.1,152.32

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATAMOTORS,EQ,       361.75,       351.75,2.84
,BHARTIARTL,EQ,       308.65,       301.90,2.24
,BHEL,EQ,       173.20,       170.75,1.43
,GAIL,EQ,       350.30,       346.00,1.24
,HCLTECH,EQ,      1434.20,      1422.30,.84

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DLF,EQ,       134.65,       141.10,-4.57
,BANKBARODA,EQ,       531.35,       555.80,-4.4
,PNB,EQ,       517.60,       540.45,-4.23
,SBIN,EQ,      1516.60,      1573.65,-3.63
,HEROMOTOCO,EQ,      1998.10,      2071.50,-3.54

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.80,                  1605917.00,52105
,3IINFOTECH,BE,         7.00,                  4640816.15,663598
,3MINDIA,EQ,      3600.00,                   360600.00,100
,8KMILES,EQ,        98.20,                   450375.20,4599
,A2ZMES,BE,        10.45,                  1821093.95,173530
,AARTIDRUGS,EQ,       230.95,                  3052184.45,13235
,AARTIIND,EQ,        96.00,                  1372409.70,14198
,AARVEEDEN,EQ,        39.45,                    52019.45,1273
,ABAN,EQ,       375.45,                154797692.35,411690
,ABB,EQ,       579.15,                 45626555.30,78879
,ABBOTINDIA,EQ,      1650.60,                  2222809.55,1348
,ABCIL,EQ,        98.65,                    90123.95,913
,ABGSHIP,EQ,       277.20,                 28300562.55,103349
,ACCELYA,EQ,       717.95,                  7953372.85,10944
,ACE,EQ,        12.55,                  2375538.75,189309
,ACROPETAL,BE,         5.65,                    96280.35,17056
,ADANIPOWER,EQ,        32.05,                124739126.45,3849334
,ADFFOODS,EQ,        44.40,                   236747.55,5269
,ADHUNIK,EQ,        29.35,                  1159704.75,38983
,ADORWELD,EQ,       122.80,                   640393.10,5209
,ADSL,EQ,        15.45,                    97628.90,6388
,ADVANTA,EQ,       100.90,                  1448066.80,14261
,AEGISCHEM,EQ,       151.60,                  6854016.20,44964
,AFL,BE,        44.15,                  1745088.25,39526
,AFTEK,EQ,         3.75,                   104523.45,27877
,AGCNET,EQ,        61.60,                    77675.50,1228
,AGRODUTCH,EQ,         2.00,                     6873.65,3416
,AHLEAST,EQ,       126.35,                   131240.80,1033
,AHLUCONT,EQ,        22.10,                    39952.55,1801
,AHLWEST,EQ,       100.00,                    86940.35,869
,AHMEDFORGE,EQ,        97.25,                   319077.40,3244
,AIAENG,EQ,       508.00,                 41167696.60,82158
,AICHAMP,BE,        16.40,                     1246.40,76
,AIL,EQ,       326.25,                  1973087.75,6015
,AJANTPHARM,EQ,       930.20,                 48489090.60,52037
,AJMERA,EQ,        52.00,                   561287.30,10699
,AKSHOPTFBR,EQ,        15.05,                   599389.65,39719
,AKZOINDIA,EQ,       794.20,                  2475181.30,3122
,ALBK,EQ,        76.25,                179830861.25,2349908
,ALCHEM,EQ,        41.95,                   201550.30,4713
,ALEMBICLTD,EQ,        12.20,                  3413070.45,274764
,ALICON,EQ,        68.30,                   318095.10,4650
,ALKALI,EQ,        15.80,                     9709.20,609
,ALKYLAMINE,EQ,       237.85,                  1906279.20,8219
,ALLCARGO,EQ,       129.10,                   539261.30,4294
,ALLSEC,EQ,        34.65,                   439896.15,12932
,ALOKTEXT,EQ,         6.85,                 12864885.35,1894927
,ALPA,BE,         8.50,                      144.50,17
,ALPHAGEO,BE,        89.50,                   712176.50,7831
,ALPSINDUS,BE,         2.55,                      512.55,201
,ALSTOMT&D,EQ,       183.00,                  2298442.75,12543
,AMARAJABAT,EQ,       328.65,                 29462627.75,89398
,AMARJOTHI,EQ,        77.00,                    81220.00,1060
,AMDIND,EQ,        13.05,                     2368.00,179
,AMRUTANJAN,EQ,       120.65,                  2945587.30,24119
,AMTEKAUTO,EQ,        64.70,                 17057683.75,260966
,AMTEKINDIA,EQ,        56.20,                  1944611.10,34324
,ANANTRAJ,EQ,        49.25,                 38621740.40,797956
,ANDHRABANK,EQ,        54.10,                 81502900.45,1502253
,ANDHRACEMT,EQ,         4.90,                    12363.20,2474
,ANDHRSUGAR,EQ,        94.35,                   419011.55,4422
,ANIKINDS,BE,        21.90,                    16757.40,746
,ANKITMETAL,EQ,         8.05,                    13832.40,1678
,ANSALAPI,EQ,        18.70,                  1850242.40,99434
,ANSALHSG,EQ,        16.35,                   123773.55,7572
,ANTGRAPHIC,EQ,          .20,                      380.00,1900
,APARINDS,EQ,       133.60,                   889355.50,6682
,APCOTEXIND,EQ,       113.00,                   230273.55,2037
,APLAPOLLO,EQ,       146.40,                     2928.00,20
,APLLTD,EQ,       222.05,                 18029936.15,81145
,APOLLOTYRE,EQ,       108.15,                467932733.35,4371955
,APTECHT,EQ,        67.75,                  7199804.40,105708
,ARCHIDPLY,BE,         9.50,                    29663.75,3115
,ARCHIES,EQ,        17.35,                  2946124.65,167516
,ARIES,EQ,        48.00,                  1231220.70,25540
,ARIHANT,BE,        34.15,                      375.65,11
,AROGRANITE,EQ,        26.50,                     1288.00,48
,ARSHIYA,BE,        13.85,                   244015.75,17384
,ARSSINFRA,EQ,        20.55,                   654151.35,31634
,ARVIND,EQ,       137.35,                653767705.05,4723430
,ARVINDREM,EQ,        44.90,                  5059101.15,111236
,ASAHIINDIA,EQ,        42.50,                   339027.10,7921
,ASAHISONG,EQ,        68.75,                   251378.60,3652
,ASAL,EQ,        27.20,                     5440.00,200
