,20-Feb-2014
The Nifty witnessed an intraday movement of about 42.65 points.The closing index was 1 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 8962.28
, Traded Quantity (in Lakhs), 5050.65
, Number of Trades, 4582815
, Total Market Capitalisation (Rs. Crores), 6590103.35

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      6152.75,      6127.15,      6129.10,      6086.45,      6091.45,-61.3
,CNX IT,     10033.05,     10028.35,     10051.80,      9962.20,      9971.70,-61.35
,CNX Nifty Junior,     11977.15,     11906.20,     11992.05,     11899.25,     11944.45,-32.7
,BANK Nifty,     10609.60,     10515.30,     10525.70,     10419.10,     10428.30,-181.3
,CNX Midcap,      7616.60,      7586.05,      7629.80,      7568.95,      7603.85,-12.75
,CNX 500,      4752.90,      4733.10,      4739.70,      4713.95,      4716.35,-36.55
,CNX 100,      6027.55,      6000.90,      6006.95,      5969.60,      5974.00,-53.55
,Nifty Midcap 50,      2125.85,      2112.50,      2134.95,      2107.65,      2124.65,-1.2
,CNX Realty,       154.95,       154.05,       157.25,       153.75,       154.65,-.3
,CNX Infra,      2281.20,      2268.45,      2287.80,      2254.55,      2278.45,-2.75
,CNX Energy,      7492.10,      7463.35,      7483.85,      7423.55,      7435.45,-56.65
,CNX FMCG,     16500.70,     16448.45,     16495.60,     16320.00,     16336.10,-164.6
,CNX MNC,      5858.65,      5844.80,      5855.20,      5820.65,      5829.85,-28.8
,CNX Pharma,      7888.15,      7867.70,      7933.55,      7864.30,      7901.40,13.25
,CNX PSE,      2534.95,      2518.65,      2525.95,      2505.95,      2508.70,-26.25
,CNX PSU Bank,      2127.80,      2112.15,      2113.10,      2082.05,      2086.40,-41.4
,CNX Service,      7574.30,      7535.75,      7542.90,      7473.30,      7479.90,-94.4
,India VIX,        15.07,        15.07,        15.72,        14.27,        15.16,.09
,CNX AUTO,      5275.35,      5263.50,      5293.60,      5251.10,      5259.65,-15.7
,CNX Metal,      2241.65,      2227.00,      2230.40,      2208.05,      2214.65,-27
,CNX Media,      1664.75,      1654.35,      1684.25,      1654.20,      1670.40,5.65
,CNX Smallcap,      3219.50,      3205.25,      3228.30,      3195.25,      3208.30,-11.2
,CNX 200,      3055.05,      3041.85,      3046.15,      3028.05,      3030.15,-24.9
,CNX Dividend Oppt,      1520.65,      1512.70,      1516.50,      1504.60,      1505.85,-14.8
,CNX Commodities,      2125.90,      2115.55,      2118.60,      2101.15,      2106.20,-19.7
,CNX Consumption,      2441.60,      2432.55,      2443.20,      2426.50,      2428.45,-13.15
,CNX Finance,      4512.55,      4472.50,      4482.00,      4437.10,      4442.60,-69.95
,Nifty Dividend,        92.16,        92.16,        92.16,        92.16,        92.16,0
,LIX 15,      2405.05,      2389.30,      2396.25,      2376.80,      2383.30,-21.75

,ADVANCES,558
,DECLINES,851
,UNCHANGED,89

,Total securities that have hit their price bands today,225

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,      3753.40,      3711.25,-1.12,410.27
,TATAMOTORS,EQ,       391.50,       391.85,0.09,261.16
,AXISBANK,EQ,      1166.15,      1157.85,-0.71,226.22
,ICICIBANK,EQ,      1030.90,      1007.85,-2.24,191.02
,LT,EQ,      1031.30,      1034.65,0.32,180.68
,MCX,EQ,       543.10,       539.95,-0.58,179.73
,JPASSOCIAT,EQ,        39.30,        41.25,4.96,178.19
,TCS,EQ,      2197.95,      2189.35,-0.39,175
,APOLLOTYRE,EQ,       119.60,       124.10,3.76,170.76
,AUROPHARMA,EQ,       503.60,       493.00,-2.1,159.11
,TATASTEEL,EQ,       373.85,       366.75,-1.9,156.89
,SBIN,EQ,      1508.05,      1480.60,-1.82,154.03
,TATAELXSI,EQ,       497.45,       498.00,0.11,150.98
,RELIANCE,EQ,       812.25,       805.45,-0.84,148.52
,ITC,EQ,       316.65,       311.85,-1.52,142.53
,INDUSINDBK,EQ,       392.90,       384.50,-2.14,136.65
,HCLTECH,EQ,      1494.35,      1472.90,-1.44,136.19
,BHARTIARTL,EQ,       302.55,       296.90,-1.87,128.73
,MCDOWELL-N,EQ,      2353.70,      2364.30,0.45,126.76
,ADANIENT,EQ,       244.05,       245.20,0.47,124.76
,TATASPONGE,EQ,       376.50,       418.90,11.26,117.97
,BANKBARODA,EQ,       531.50,       513.80,-3.33,117.92
,YESBANK,EQ,       306.95,       301.90,-1.65,112.79
,HDFC,EQ,       805.80,       791.65,-1.76,112.73
,FINANTECH,EQ,       326.45,       340.35,4.26,111.79

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JPASSOCIAT,EQ,        41.25,        39.30,4.96
,DRREDDY,EQ,      2715.90,      2668.35,1.78
,TATAPOWER,EQ,        78.35,        77.40,1.23
,BAJAJ-AUTO,EQ,      1842.40,      1820.90,1.18
,DLF,EQ,       143.65,       143.15,.35

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BANKBARODA,EQ,       513.80,       531.50,-3.33
,KOTAKBANK,EQ,       669.75,       685.90,-2.35
,ICICIBANK,EQ,      1007.85,      1030.90,-2.24
,INDUSINDBK,EQ,       384.50,       392.90,-2.14
,GRASIM,EQ,      2431.00,      2482.70,-2.08

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.25,                  3396100.00,111713
,3IINFOTECH,BE,         6.65,                  1574998.40,236068
,3MINDIA,EQ,      3715.15,                  2746250.40,743
,8KMILES,EQ,       113.70,                  7808399.30,67533
,A2ZMES,BE,         9.90,                   355363.70,35974
,AARTIDRUGS,EQ,       215.75,                  1085493.35,5034
,AARTIIND,EQ,        89.10,                  1261831.80,14169
,AARVEEDEN,EQ,        34.10,                    19312.05,564
,ABAN,EQ,       508.70,                558606431.55,1094415
,ABB,EQ,       681.45,                662771196.75,969923
,ABBOTINDIA,EQ,      1629.95,                  1059286.20,650
,ABCIL,EQ,       109.05,                   398056.30,3653
,ABGSHIP,EQ,       273.50,                295248134.05,1035276
,ACCELYA,EQ,       652.20,                  6752094.55,10344
,ACE,EQ,        11.95,                   419826.60,35173
,ACROPETAL,BE,         4.70,                    54535.95,11569
,ADANIPOWER,EQ,        36.60,                175411740.70,4850075
,ADFFOODS,EQ,        41.95,                   451687.75,10810
,ADHUNIK,EQ,        29.00,                  2149514.30,73478
,ADORWELD,EQ,       127.80,                   566319.00,4370
,ADSL,EQ,        12.85,                    84292.00,6521
,ADVANIHOTR,EQ,        32.00,                    24861.00,765
,ADVANTA,EQ,       107.80,                   838049.70,7767
,AEGISCHEM,EQ,       146.45,                  1261346.25,8567
,AFL,BE,        44.50,                   278582.90,6261
,AFTEK,EQ,         3.15,                   118319.15,37478
,AGCNET,EQ,        47.90,                   245721.20,5117
,AGRITECH,BE,        24.70,                       24.70,1
,AGRODUTCH,BE,         1.50,                    12879.00,8586
,AHLEAST,EQ,       132.60,                   250634.55,1891
,AHLUCONT,EQ,        25.00,                    18750.00,750
,AHLWEST,EQ,       101.85,                     7654.55,78
,AHMEDFORGE,EQ,       105.80,                  1311564.60,12082
,AIAENG,EQ,       562.55,                  7352656.40,13008
,AICHAMP,BE,        14.20,                       85.20,6
,AIL,EQ,       322.65,                  2406571.80,7365
,AJANTPHARM,EQ,       980.50,                 98320186.20,99496
,AJMERA,EQ,        47.80,                  2523080.80,52408
,AKSHOPTFBR,EQ,        17.45,                  1238840.80,71439
,AKZOINDIA,EQ,       771.40,                   765895.15,993
,ALBK,EQ,        73.30,                127718282.55,1744073
,ALCHEM,EQ,        38.80,                    87087.45,2186
,ALEMBICLTD,EQ,        12.80,                  1573581.35,122356
,ALICON,EQ,        77.20,                   222383.35,2909
,ALKALI,EQ,        15.55,                    58515.50,3765
,ALKYLAMINE,EQ,       227.00,                   854705.85,3782
,ALLCARGO,EQ,       142.20,                   609735.80,4305
,ALLSEC,BE,        24.75,                    31567.30,1261
,ALOKTEXT,EQ,         6.50,                 15248903.55,2347651
,ALPA,BE,        10.40,                      520.00,50
,ALPHAGEO,BE,        99.20,                   129957.65,1329
,ALPINEHOU,BE,        24.00,                     2400.00,100
,ALSTOMT&D,EQ,       187.65,                  2147564.70,11324
,AMARAJABAT,EQ,       383.25,                132710795.40,345919
,AMBIKCO,EQ,       301.55,                   898533.20,2999
,AMDIND,EQ,        13.10,                    66713.80,4972
,AMRUTANJAN,EQ,       123.90,                   967215.90,7790
,AMTEKAUTO,EQ,        88.90,                 86946830.50,961873
,AMTEKINDIA,EQ,        64.05,                 20149922.50,312257
,AMTL,EQ,        17.50,                    33057.50,1889
,ANANTRAJ,EQ,        50.50,                 43018034.65,842025
,ANDHRABANK,EQ,        54.45,                 55946125.30,1026391
,ANDHRACEMT,EQ,         5.80,                    19933.50,3390
,ANDHRSUGAR,EQ,        89.05,                  1045624.45,11801
,ANGIND,BE,         6.65,                     3325.00,500
,ANIKINDS,BE,        19.80,                     2119.30,101
,ANKITMETAL,EQ,         7.35,                    33553.60,4563
,ANSALAPI,EQ,        18.70,                  1129303.05,59760
,ANSALHSG,EQ,        16.65,                   275459.30,16233
,ANTGRAPHIC,EQ,          .15,                        3.00,20
,APARINDS,EQ,       120.25,                  2797865.15,23067
