,26-Feb-2014
The Nifty witnessed an intraday movement of about 43.85 points.The closing index was 0.62 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 12219.74
, Traded Quantity (in Lakhs), 6326.3
, Number of Trades, 5375191
, Total Market Capitalisation (Rs. Crores), 6686554.61

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      6200.05,      6202.45,      6245.95,      6202.10,      6238.80,38.75
,CNX IT,     10162.90,     10167.10,     10212.60,     10155.30,     10200.85,37.95
,CNX Nifty Junior,     12047.80,     12062.95,     12085.55,     12018.80,     12035.55,-12.25
,BANK Nifty,     10666.75,     10659.20,     10758.65,     10659.20,     10730.40,63.65
,CNX Midcap,      7697.20,      7707.15,      7723.65,      7692.55,      7711.55,14.35
,CNX 500,      4793.90,      4796.90,      4819.40,      4796.90,      4816.40,22.5
,CNX 100,      6072.30,      6075.40,      6109.65,      6075.40,      6103.65,31.35
,Nifty Midcap 50,      2145.60,      2147.65,      2152.90,      2137.00,      2147.05,1.45
,CNX Realty,       154.60,       154.45,       155.10,       152.90,       154.00,-.6
,CNX Infra,      2283.55,      2284.65,      2297.70,      2281.40,      2293.20,9.65
,CNX Energy,      7437.45,      7443.20,      7469.10,      7416.10,      7452.30,14.85
,CNX FMCG,     16688.60,     16714.45,     16904.80,     16705.80,     16867.80,179.2
,CNX MNC,      5859.85,      5854.05,      5878.75,      5845.75,      5862.15,2.3
,CNX Pharma,      8001.75,      8034.25,      8125.85,      8031.50,      8085.30,83.55
,CNX PSE,      2502.55,      2501.45,      2517.45,      2486.60,      2511.45,8.9
,CNX PSU Bank,      2122.30,      2124.60,      2147.65,      2118.45,      2134.55,12.25
,CNX Service,      7587.70,      7593.00,      7634.10,      7593.00,      7624.90,37.2
,India VIX,13.9500,13.9500,14.1950,13.2375,13.9550,0.0050
,CNX AUTO,      5346.00,      5335.70,      5405.55,      5330.80,      5396.35,50.35
,CNX Metal,      2178.35,      2180.25,      2181.25,      2132.65,      2142.55,-35.8
,CNX Media,      1693.30,      1697.35,      1714.15,      1689.20,      1699.00,5.7
,CNX Smallcap,      3258.55,      3265.00,      3275.45,      3263.65,      3269.30,10.75
,CNX 200,      3079.95,      3081.70,      3097.90,      3081.70,      3095.45,15.5
,CNX Dividend Oppt,      1510.80,      1510.10,      1519.35,      1507.30,      1517.60,6.8
,CNX Commodities,      2114.45,      2114.50,      2117.35,      2094.85,      2103.80,-10.65
,CNX Consumption,      2450.95,      2452.80,      2463.60,      2451.00,      2459.05,8.1
,CNX Finance,      4539.75,      4543.25,      4576.90,      4543.25,      4570.75,31
,Nifty Dividend,        92.16,        92.16,        92.16,        92.16,        92.16,0
,LIX 15,      2415.00,      2413.75,      2421.05,      2401.00,      2405.35,-9.65

,ADVANCES,693
,DECLINES,749
,UNCHANGED,87

,Total securities that have hit their price bands today,227

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,      1506.00,      1520.40,0.96,483.61
,TCS,EQ,      2188.90,      2182.15,-0.31,421.38
,TATASTEEL,EQ,       360.55,       349.30,-3.12,355.19
,INFY,EQ,      3782.90,      3807.50,0.65,349.27
,TATAMOTORS,EQ,       398.50,       401.20,0.68,289.52
,POLARIS,EQ,       144.45,       164.45,13.85,286.87
,LT,EQ,      1087.90,      1096.65,0.8,278.25
,AUROPHARMA,EQ,       516.75,       512.30,-0.86,276.73
,ITC,EQ,       321.95,       328.75,2.11,260.07
,RELIANCE,EQ,       810.55,       810.70,0.02,252.53
,AXISBANK,EQ,      1236.75,      1239.25,0.2,232.21
,HCLTECH,EQ,      1548.95,      1572.65,1.53,225.31
,BHARTIARTL,EQ,       287.10,       288.20,0.38,209.95
,RELCAPITAL,EQ,       319.50,       308.00,-3.6,190.1
,ICICIBANK,EQ,      1031.10,      1036.45,0.52,189.44
,MCDOWELL-N,EQ,      2392.55,      2364.00,-1.19,187.73
,ONGC,EQ,       281.75,       283.45,0.6,180.36
,SSLT,EQ,       179.45,       175.00,-2.48,178
,HDFC,EQ,       811.40,       819.10,0.95,167.96
,WIPRO,EQ,       596.25,       603.05,1.14,165.52
,ABB,EQ,       676.80,       707.90,4.6,164.59
,TECHM,EQ,      1839.60,      1820.95,-1.01,155.09
,DRREDDY,EQ,      2769.15,      2833.20,2.31,152.86
,NTPC,EQ,       115.85,       115.45,-0.35,126.19
,SUNPHARMA,EQ,       619.05,       628.10,1.46,121.03

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,GAIL,EQ,       368.70,       356.70,3.36
,DRREDDY,EQ,      2833.20,      2769.15,2.31
,M&M,EQ,       964.70,       943.90,2.2
,ITC,EQ,       328.75,       321.95,2.11
,BHEL,EQ,       162.40,       159.70,1.69

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,NMDC,EQ,       126.90,       131.60,-3.57
,TATASTEEL,EQ,       349.30,       360.55,-3.12
,SSLT,EQ,       175.00,       179.45,-2.48
,TATAPOWER,EQ,        79.45,        80.95,-1.85
,INDUSINDBK,EQ,       395.80,       402.65,-1.7

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.30,                  3659622.60,120413
,3IINFOTECH,BE,         7.95,                  3826124.95,482604
,3MINDIA,EQ,      3699.25,                  2213611.65,599
,8KMILES,EQ,       111.65,                  3701859.00,32326
,A2ZMES,BE,        11.00,                  1495461.15,134315
,AARTIDRUGS,EQ,       246.10,                  8116984.75,33390
,AARTIIND,EQ,       107.45,                 31901966.05,300091
,AARVEEDEN,EQ,        34.40,                   218537.85,6242
,ABAN,EQ,       503.45,                388472954.15,767175
,ABB,EQ,       707.90,               1645874734.40,2284344
,ABBOTINDIA,EQ,      1693.95,                  6765860.10,3995
,ABCIL,EQ,       112.05,                   450975.25,4012
,ABGSHIP,EQ,       265.75,                 31635748.25,118335
,ACCELYA,EQ,       680.65,                  6622690.65,9715
,ACE,EQ,        12.00,                  2009033.40,166563
,ACROPETAL,BE,         4.65,                    63864.00,13663
,ADANIPOWER,EQ,        36.25,                161536314.50,4516053
,ADFFOODS,EQ,        42.00,                    64688.80,1529
,ADHUNIK,EQ,        29.10,                   770228.35,26338
,ADORWELD,EQ,       128.95,                   842583.10,6530
,ADSL,EQ,        13.65,                    99912.35,7295
,ADVANIHOTR,EQ,        34.00,                    89742.50,2660
,ADVANTA,EQ,       110.50,                 43859061.55,380402
,AEGISCHEM,EQ,       143.25,                  1351867.65,9518
,AFL,BE,        45.50,                   125792.50,2743
,AFTEK,EQ,         3.15,                   172186.60,55526
,AGCNET,EQ,        47.40,                   343471.40,7223
,AGRITECH,BE,        20.20,                      808.00,40
,AGRODUTCH,BE,         1.40,                     1400.00,1000
,AHLEAST,EQ,       136.00,                   376073.30,2846
,AHLUCONT,EQ,        29.30,                  4042062.70,137808
,AHLWEST,EQ,        95.25,                   154944.30,1633
,AHMEDFORGE,EQ,       105.10,                   909833.80,8668
,AIAENG,EQ,       555.20,                 29512879.00,53410
,AIL,EQ,       317.60,                  9576733.95,29647
,AJANTPHARM,EQ,      1020.55,                 97207441.70,95984
,AJMERA,EQ,        47.80,                   514024.55,10783
,AKSHOPTFBR,EQ,        17.70,                   820441.80,45775
,AKZOINDIA,EQ,       769.85,                  1051677.75,1364
,ALBK,EQ,        73.80,                 90301590.00,1222296
,ALCHEM,EQ,        41.70,                    91930.80,2196
,ALEMBICLTD,EQ,        12.90,                   754795.45,58118
,ALICON,EQ,        83.00,                   416212.70,5025
,ALKALI,EQ,        15.65,                     5560.25,353
,ALKYLAMINE,EQ,       225.00,                    24750.00,110
,ALLCARGO,EQ,       148.75,                  5451837.70,36682
,ALLSEC,BE,        25.55,                   306847.95,12345
,ALOKTEXT,EQ,         6.55,                  7912255.10,1205042
,ALPA,BE,        11.35,                    13630.00,1200
,ALPHAGEO,BE,        99.35,                   820610.25,8187
,ALPSINDUS,BE,         1.60,                     3235.20,2022
,ALSTOMT&D,EQ,       185.40,                 14315160.90,76361
,AMARAJABAT,EQ,       394.90,                 98466891.95,246361
,AMBIKCO,EQ,       293.75,                   583350.20,1967
,AMDIND,EQ,        13.45,                    94556.15,6805
,AMRUTANJAN,EQ,       123.05,                  2374285.35,19187
,AMTEKAUTO,EQ,        99.45,                267353956.45,2753217
,AMTEKINDIA,EQ,        64.05,                 20445077.00,319463
,AMTL,EQ,        17.50,                   127750.00,7300
,ANANTRAJ,EQ,        51.55,                 55112776.35,1078359
,ANDHRABANK,EQ,        55.65,                 98034582.85,1766994
,ANDHRACEMT,EQ,         5.75,                    27401.75,4980
,ANDHRSUGAR,EQ,        87.80,                   895603.05,10170
,ANGIND,BE,         6.15,                     1230.00,200
,ANIKINDS,BE,        20.00,                     7223.50,365
,ANKITMETAL,EQ,         7.15,                    13501.65,1898
,ANSALAPI,EQ,        18.75,                  2027922.45,107489
,ANSALHSG,EQ,        17.10,                   427877.80,25401
,ANTGRAPHIC,EQ,          .15,                     1036.00,5240
,APARINDS,EQ,       123.30,                   851165.50,6897
