,13-Mar-2014
The Nifty witnessed an intraday movement of about 84.8 points.The closing index was 0.37 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 14141.81
, Traded Quantity (in Lakhs), 6725.75
, Number of Trades, 6448200
, Total Market Capitalisation (Rs. Crores), 6926885.84

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      6516.90,      6491.75,      6561.45,      6476.65,      6493.10,-23.8
,CNX IT,      9877.60,      9539.30,      9637.85,      9433.15,      9462.70,-414.9
,CNX Nifty Junior,     12595.55,     12606.00,     12722.85,     12465.55,     12512.60,-82.95
,BANK Nifty,     12024.10,     12062.35,     12308.70,     12062.35,     12141.45,117.35
,CNX Midcap,      8114.15,      8133.75,      8190.85,      8031.85,      8055.85,-58.3
,CNX 500,      5028.70,      5016.60,      5063.65,      4995.85,      5007.20,-21.5
,CNX 100,      6377.50,      6357.35,      6423.50,      6334.75,      6351.45,-26.05
,Nifty Midcap 50,      2280.95,      2285.80,      2306.75,      2240.70,      2251.40,-29.55
,CNX Realty,       183.60,       184.05,       185.70,       175.80,       176.80,-6.8
,CNX Infra,      2485.20,      2486.75,      2511.05,      2466.70,      2473.85,-11.35
,CNX Energy,      7946.45,      7969.35,      8127.40,      7969.35,      8028.95,82.5
,CNX FMCG,     17299.35,     17321.55,     17508.70,     17304.30,     17352.05,52.7
,CNX MNC,      5928.20,      5927.15,      5978.60,      5894.45,      5914.50,-13.7
,CNX Pharma,      7786.60,      7816.85,      7822.60,      7674.00,      7690.25,-96.35
,CNX PSE,      2679.05,      2682.25,      2754.65,      2682.25,      2715.85,36.8
,CNX PSU Bank,      2365.95,      2373.95,      2434.90,      2361.35,      2374.35,8.4
,CNX Service,      7989.20,      7904.70,      8012.35,      7882.80,      7905.05,-84.15
,India VIX,17.0400,17.0400,17.0825,14.6500,16.8200,-0.2200
,CNX AUTO,      5482.40,      5520.30,      5568.55,      5488.60,      5509.35,26.95
,CNX Metal,      2230.65,      2236.00,      2264.15,      2210.10,      2218.15,-12.5
,CNX Media,      1815.70,      1810.65,      1815.70,      1773.70,      1776.70,-39
,CNX Smallcap,      3445.15,      3449.75,      3466.80,      3399.50,      3408.00,-37.15
,CNX 200,      3234.00,      3225.40,      3257.60,      3212.20,      3220.55,-13.45
,CNX Dividend Oppt,      1589.95,      1592.70,      1619.05,      1592.70,      1602.30,12.35
,CNX Commodities,      2230.90,      2236.60,      2266.50,      2226.45,      2232.90,2
,CNX Consumption,      2523.35,      2528.60,      2546.20,      2514.90,      2522.10,-1.25
,CNX Finance,      5009.70,      5025.45,      5115.45,      5025.45,      5063.80,54.1
,Nifty Dividend,        94.42,        94.42,        94.42,        94.42,        94.42,0
,LIX 15,      2585.70,      2598.55,      2628.15,      2556.95,      2570.35,-15.35

,ADVANCES,608
,DECLINES,850
,UNCHANGED,112

,Total securities that have hit their price bands today,185

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,      3671.30,      3357.60,-8.54,1726.14
,SBIN,EQ,      1645.10,      1652.10,0.43,490.62
,SUNPHARMA,EQ,       604.30,       572.95,-5.19,466.9
,ICICIBANK,EQ,      1211.65,      1220.00,0.69,401.35
,RELIANCE,EQ,       871.35,       879.55,0.94,349.29
,HDFC,EQ,       854.65,       865.40,1.26,304.99
,AXISBANK,EQ,      1397.90,      1381.15,-1.2,295.82
,YESBANK,EQ,       364.75,       361.35,-0.93,270.68
,BPCL,EQ,       412.90,       443.80,7.48,270.53
,LT,EQ,      1218.25,      1225.20,0.57,240.94
,L&TFH,EQ,        85.25,        79.15,-7.16,234.48
,DLF,EQ,       179.15,       168.35,-6.03,220.68
,TCS,EQ,      2179.45,      2149.55,-1.37,219.35
,HCLTECH,EQ,      1460.25,      1459.20,-0.07,215.22
,HDFCBANK,EQ,       725.55,       742.35,2.32,212.4
,TATASTEEL,EQ,       339.60,       336.85,-0.81,191.1
,DRREDDY,EQ,      2687.50,      2727.15,1.48,168.15
,HINDPETRO,EQ,       280.90,       290.80,3.52,164.26
,ONGC,EQ,       316.95,       324.15,2.27,161.75
,TATAMOTORS,EQ,       388.85,       388.00,-0.22,151.4
,PFC,EQ,       165.75,       175.05,5.61,138.68
,ITC,EQ,       341.00,       343.40,0.7,138.13
,MCDOWELL-N,EQ,      2469.20,      2495.30,1.06,134.92
,TECHM,EQ,      1802.75,      1780.55,-1.23,131.66
,HEROMOTOCO,EQ,      2061.60,      2100.45,1.88,124.52

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BPCL,EQ,       443.80,       412.90,7.48
,KOTAKBANK,EQ,       764.35,       744.85,2.62
,M&M,EQ,      1016.05,       991.25,2.5
,HDFCBANK,EQ,       742.35,       725.55,2.32
,ONGC,EQ,       324.15,       316.95,2.27

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INFY,EQ,      3357.60,      3671.30,-8.54
,DLF,EQ,       168.35,       179.15,-6.03
,SUNPHARMA,EQ,       572.95,       604.30,-5.19
,JPASSOCIAT,EQ,        46.65,        48.35,-3.52
,JINDALSTEL,EQ,       251.20,       258.60,-2.86

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.60,                  3010762.55,97616
,3IINFOTECH,EQ,         7.55,                 23211347.95,2905833
,3MINDIA,EQ,      3703.40,                  1884902.35,510
,8KMILES,EQ,       106.60,                   156033.25,1451
,A2ZMES,EQ,        10.50,                  3885845.00,363434
,AARTIDRUGS,EQ,       264.30,                  1695238.45,6390
,AARTIIND,EQ,       125.20,                 16874049.25,134408
,AARVEEDEN,EQ,        34.30,                    46665.30,1358
,ABAN,EQ,       479.35,                502367422.65,1027001
,ABB,EQ,       817.55,                439891722.55,544478
,ABBOTINDIA,EQ,      1691.00,                  4378513.10,2584
,ABCIL,EQ,       141.25,                 28044992.00,193321
,ABGSHIP,EQ,       249.05,                 66867394.70,265294
,ACCELYA,EQ,       687.45,                 18870352.25,27350
,ACE,EQ,        13.75,                  2027388.45,144021
,ACROPETAL,EQ,         4.25,                    53486.45,12475
,ADANIPOWER,EQ,        40.25,                151411471.75,3686551
,ADFFOODS,EQ,        41.80,                   551437.30,13002
,ADHUNIK,EQ,        38.35,                  6452181.35,170825
,ADORWELD,EQ,       137.15,                   454609.40,3286
,ADSL,EQ,        12.45,                    83957.70,6716
,ADVANIHOTR,EQ,        33.65,                    23555.00,700
,ADVANTA,EQ,       117.55,                 14788126.85,123802
,AEGISCHEM,EQ,       150.20,                  1580811.15,10447
,AFL,EQ,        43.90,                    17452.80,391
,AFTEK,EQ,         3.40,                   146801.20,42507
,AGCNET,EQ,        46.85,                   324155.90,6833
,AGRITECH,BE,        13.55,                      420.05,31
,AGRODUTCH,EQ,         1.55,                    14689.45,9581
,AHLEAST,EQ,       132.30,                    43033.75,325
,AHLUCONT,EQ,        32.90,                   624972.10,19096
,AHLWEST,EQ,        93.55,                    22814.75,244
,AHMEDFORGE,EQ,       108.55,                   770932.30,7005
,AIAENG,EQ,       559.90,                 13576330.70,24263
,AICHAMP,BE,        12.90,                      696.60,54
,AIL,EQ,       348.40,                 11688226.35,33284
,AJANTPHARM,EQ,       984.95,                 34664226.30,34482
,AJMERA,EQ,        48.85,                  1762445.20,35258
,AKSHOPTFBR,BE,        17.10,                   823991.50,49456
,AKZOINDIA,EQ,       775.15,                  7536290.45,9709
,ALBK,EQ,        81.30,                221396674.90,2666600
,ALCHEM,EQ,        40.95,                    61898.90,1506
,ALEMBICLTD,EQ,        14.70,                  4880909.50,327465
,ALICON,EQ,        79.20,                   124423.70,1596
,ALKALI,EQ,        15.50,                     8387.00,540
,ALKYLAMINE,EQ,       244.70,                   620328.25,2570
,ALLCARGO,EQ,       151.60,                   955950.60,6259
,ALLSEC,EQ,        31.55,                    37406.45,1180
,ALOKTEXT,EQ,         6.55,                 49373593.30,7381306
,ALPA,BE,        11.60,                    24266.00,2110
,ALPHAGEO,BE,       139.15,                   759225.35,5543
,ALPINEHOU,BE,        24.50,                      245.00,10
,ALPSINDUS,EQ,         1.35,                    18306.15,13379
,ALSTOMT&D,EQ,       207.75,                 24161544.65,112840
,AMARAJABAT,EQ,       373.75,                 49547463.45,133327
,AMARJOTHI,EQ,        70.20,                    14040.00,200
,AMBIKCO,EQ,       293.80,                   200505.90,684
,AMDIND,EQ,        12.60,                     4607.55,367
,AMRUTANJAN,EQ,       126.30,                  2649446.40,20968
,AMTEKAUTO,EQ,       106.90,                 19042297.00,178023
,AMTEKINDIA,EQ,        63.60,                  3368246.90,52463
,AMTL,EQ,        17.00,                    61183.05,3597
,ANANTRAJ,EQ,        55.35,                 45722142.75,802948
,ANDHRABANK,EQ,        58.05,                104984700.80,1774538
,ANDHRACEMT,EQ,         5.50,                    20334.25,3686
,ANDHRSUGAR,EQ,        98.60,                  8603076.25,86424
,ANGIND,BE,         6.00,                       18.05,3
,ANIKINDS,BE,        19.85,                    22250.90,1102
,ANKITMETAL,EQ,         7.00,                    42138.75,6022
,ANSALAPI,EQ,        18.50,                  2510920.25,133406
,ANSALHSG,EQ,        17.70,                   580531.35,33419
,ANTGRAPHIC,EQ,          .20,                         .20,1
,APARINDS,EQ,       129.60,                 16149849.85,124740
,APCOTEXIND,EQ,       112.15,                   360411.60,3221
,APLAB,BE,        26.80,                    18630.50,727
,APLAPOLLO,EQ,       180.55,                  1410966.55,7817
,APLLTD,EQ,       264.05,                171557763.05,642909
,APOLLOTYRE,EQ,       131.15,                858900200.75,6486900
,APTECHT,EQ,        71.35,                 19515984.70,265463
,ARCHIDPLY,BE,         9.50,                     1425.00,150
,ARCHIES,EQ,        15.80,                  1454827.80,91253
,ARIES,EQ,        56.70,                   735943.10,12767
,AROGRANITE,EQ,        25.85,                    15300.85,611
,ARROWTEX,EQ,         5.60,                    17404.35,3175
,ARSHIYA,EQ,        13.00,                  1607978.40,122948
,ARSSINFRA,EQ,        21.80,                  2985919.20,131968
,ARVIND,EQ,       145.10,                259844975.75,1739020
,ARVINDREM,EQ,        45.75,                  8009809.35,170617
,ASAHIINDIA,EQ,        55.10,                  7621713.30,134802
,ASAHISONG,EQ,        78.05,                   940010.60,11866
,ASAL,EQ,        31.80,                    18230.30,587
,ASHAPURMIN,EQ,        58.80,                 17421036.05,285942
,ASHIANA,EQ,        78.30,                   259365.40,3293
,ASHIMASYN,EQ,         3.00,                    23338.75,7503
,ASHOKA,EQ,        69.40,                   874255.75,12663
,ASHOKLEY,EQ,        17.45,                241486741.45,13495704
,ASIANHOTNR,EQ,       100.00,                    78404.80,791
,ASIANTILES,EQ,        28.00,                   169220.80,6042
,ASSAMCO,EQ,         4.45,                  1772510.85,390674
,ASTEC,EQ,        38.45,                   303964.90,7716
,ASTRAL,EQ,       407.50,                 25623556.55,62895
,ASTRAMICRO,EQ,        47.55,                  7953228.20,164387
