,25-Mar-2014
The Nifty witnessed an intraday movement of about 50.7 points.The closing index was 0.09 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 13394.44
, Traded Quantity (in Lakhs), 7029.73
, Number of Trades, 6058441
, Total Market Capitalisation (Rs. Crores), 7070099.9

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      6583.50,      6550.10,      6595.55,      6544.85,      6589.75,6.25
,CNX IT,      9365.05,      9308.50,      9366.40,      9280.35,      9300.60,-64.45
,CNX Nifty Junior,     12871.05,     12850.10,     12950.30,     12845.40,     12934.00,62.95
,BANK Nifty,     12408.15,     12403.65,     12523.70,     12394.30,     12450.00,41.85
,CNX Midcap,      8216.65,      8200.60,      8287.40,      8200.60,      8282.55,65.9
,CNX 500,      5091.20,      5071.05,      5105.35,      5071.05,      5102.75,11.55
,CNX 100,      6453.65,      6424.25,      6468.40,      6423.75,      6463.60,9.95
,Nifty Midcap 50,      2322.95,      2318.75,      2349.05,      2317.60,      2346.10,23.15
,CNX Realty,       176.95,       176.95,       179.80,       176.40,       179.35,2.4
,CNX Infra,      2495.00,      2496.60,      2531.60,      2495.05,      2529.35,34.35
,CNX Energy,      8124.00,      7958.70,      8056.30,      7936.45,      8045.15,-78.85
,CNX FMCG,     18088.60,     18041.15,     18244.85,     18041.15,     18209.80,121.2
,CNX MNC,      6132.30,      6120.40,      6183.65,      6117.70,      6174.15,41.85
,CNX Pharma,      7788.95,      7797.80,      7830.55,      7776.50,      7789.85,.9
,CNX PSE,      2733.45,      2703.90,      2771.45,      2703.40,      2767.25,33.8
,CNX PSU Bank,      2471.80,      2477.20,      2500.75,      2473.65,      2489.55,17.75
,CNX Service,      7949.85,      7928.20,      7986.25,      7927.30,      7961.80,11.95
,India VIX,16.5375,16.5375,17.1275,15.4150,16.9200,0.3825
,CNX AUTO,      5616.30,      5612.70,      5654.80,      5599.85,      5644.60,28.3
,CNX Metal,      2323.30,      2313.25,      2348.95,      2313.25,      2329.95,6.65
,CNX Media,      1843.75,      1842.60,      1850.55,      1826.95,      1841.20,-2.55
,CNX Smallcap,      3498.60,      3496.30,      3518.25,      3496.30,      3516.40,17.8
,CNX 200,      3272.15,      3258.30,      3281.00,      3257.75,      3278.90,6.75
,CNX Dividend Oppt,      1633.95,      1627.05,      1647.35,      1626.50,      1645.50,11.55
,CNX Commodities,      2277.75,      2261.50,      2282.25,      2261.15,      2279.15,1.4
,CNX Consumption,      2582.55,      2579.70,      2596.30,      2579.70,      2594.00,11.45
,CNX Finance,      5128.00,      5118.75,      5175.00,      5117.55,      5162.40,34.4
,Nifty Dividend,        94.96,        94.96,        94.96,        94.96,        94.96,0
,LIX 15,      2671.20,      2669.00,      2689.60,      2668.05,      2679.90,8.7
,CPSE Index,      1889.65,      1865.50,      1914.10,      1862.85,      1910.60,20.95

,ADVANCES,661
,DECLINES,820
,UNCHANGED,102

,Total securities that have hit their price bands today,193

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,       905.40,       879.30,-2.88,628.61
,APOLLOTYRE,EQ,       148.30,       156.75,5.7,463.18
,ICICIBANK,EQ,      1242.20,      1252.55,0.83,366.49
,INFY,EQ,      3275.80,      3254.40,-0.65,307.79
,LT,EQ,      1230.35,      1248.45,1.47,298.05
,SBIN,EQ,      1725.60,      1743.40,1.03,292.1
,INFRATEL,EQ,       197.90,       199.70,0.91,244.99
,TCS,EQ,      2152.60,      2146.65,-0.28,241.84
,AXISBANK,EQ,      1410.70,      1400.90,-0.69,236.81
,ONGC,EQ,       321.10,       319.90,-0.37,224.35
,HDFC,EQ,       860.25,       871.70,1.33,214.94
,ITC,EQ,       360.65,       362.80,0.6,209.53
,BHARTIARTL,EQ,       293.95,       294.85,0.31,201.75
,TATASTEEL,EQ,       363.10,       367.10,1.1,194.38
,HCLTECH,EQ,      1414.35,      1397.70,-1.18,176.9
,JPASSOCIAT,EQ,        49.05,        48.95,-0.2,158.36
,TATAMOTORS,EQ,       391.50,       390.85,-0.17,151.89
,YESBANK,EQ,       379.20,       379.55,0.09,151.87
,HDFCBANK,EQ,       750.65,       750.15,-0.07,151.33
,AUROPHARMA,EQ,       521.25,       529.25,1.53,145.68
,BHEL,EQ,       188.05,       196.55,4.52,145.43
,MCDOWELL-N,EQ,      2601.10,      2651.75,1.95,136.21
,DLF,EQ,       171.60,       177.60,3.5,135.08
,INDUSINDBK,EQ,       490.30,       486.10,-0.86,127.71
,BANKBARODA,EQ,       665.10,       664.25,-0.13,127.59

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHEL,EQ,       196.55,       188.05,4.52
,DLF,EQ,       177.60,       171.60,3.5
,HEROMOTOCO,EQ,      2190.20,      2120.00,3.31
,BPCL,EQ,       445.55,       434.00,2.66
,POWERGRID,EQ,       105.60,       103.20,2.33

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,RELIANCE,EQ,       879.30,       905.40,-2.88
,WIPRO,EQ,       548.50,       562.80,-2.54
,SSLT,EQ,       175.05,       178.35,-1.85
,M&M,EQ,       973.40,       987.80,-1.46
,AMBUJACEM,EQ,       183.40,       186.10,-1.45

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.20,                  5875113.50,194042
,3IINFOTECH,EQ,         7.20,                  4201777.85,599798
,3MINDIA,EQ,      3567.55,                   847449.85,236
,8KMILES,EQ,       106.95,                   993240.40,9288
,A2ZMES,EQ,         9.90,                  7291808.35,733993
,AARTIDRUGS,EQ,       266.60,                  1880406.80,7027
,AARTIIND,EQ,       124.45,                  4174246.70,33544
,AARVEEDEN,EQ,        34.15,                    64265.25,1886
,ABAN,EQ,       498.70,                501483508.80,997791
,ABB,EQ,       824.65,                522090233.75,632987
,ABBOTINDIA,EQ,      1685.35,                  2843274.15,1684
,ABCIL,EQ,       154.10,                  2189789.80,14194
,ABGSHIP,EQ,       252.00,                100410024.25,399318
,ACCELYA,EQ,       729.45,                  8131666.05,11139
,ACE,EQ,        13.60,                  1389298.95,101391
,ACROPETAL,EQ,         4.10,                    75801.05,17947
,ADANIPOWER,EQ,        42.15,                122103686.35,2898725
,ADFFOODS,EQ,        42.15,                   207335.30,4917
,ADHUNIK,EQ,        45.40,                 10978006.00,243414
,ADORWELD,EQ,       137.00,                   238164.55,1734
,ADSL,EQ,        12.00,                   299200.35,24456
,ADVANIHOTR,EQ,        35.00,                    90289.15,2621
,ADVANTA,EQ,       131.20,                 44264141.65,332785
,AEGISCHEM,EQ,       168.40,                 37136941.70,221351
,AFL,EQ,        43.95,                     7253.05,167
,AFTEK,EQ,         3.15,                   185495.00,58681
,AGCNET,EQ,        47.50,                   323647.15,6852
,AGRITECH,BE,         9.60,                     3609.60,376
,AGRODUTCH,EQ,         1.40,                    12947.20,9248
,AHLEAST,EQ,       136.05,                   465392.80,3493
,AHLUCONT,EQ,        40.05,                  6510663.25,166827
,AHLWEST,EQ,        93.30,                   142883.90,1532
,AHMEDFORGE,EQ,       131.35,                 26282337.75,198674
,AIAENG,EQ,       546.10,                  7709495.50,14136
,AIL,EQ,       388.70,                 33044122.40,85757
,AJANTPHARM,EQ,       985.10,                 91227562.55,92504
,AJMERA,EQ,        47.55,                   539126.10,11267
,AKSHOPTFBR,BE,        15.70,                   725554.00,45944
,AKZOINDIA,EQ,       874.60,                 11972010.50,13840
,ALBK,EQ,        82.80,                128140205.15,1550168
,ALCHEM,EQ,        39.90,                    71845.20,1795
,ALEMBICLTD,EQ,        15.75,                  4010929.85,253967
,ALICON,EQ,        86.40,                   198476.65,2304
,ALKALI,EQ,        15.80,                    46468.45,2975
,ALKYLAMINE,EQ,       245.35,                    51993.05,212
,ALLCARGO,EQ,       150.00,                   465650.50,3099
,ALLSEC,EQ,        31.80,                    39929.95,1268
,ALMONDZ,EQ,         6.05,                      719.95,119
,ALOKTEXT,EQ,         6.00,                 24759585.70,4104660
,ALPA,BE,        11.20,                     3320.00,300
,ALPHAGEO,BE,       168.55,                   433360.40,2584
,ALPINEHOU,BE,        24.00,                    12243.50,510
,ALPSINDUS,EQ,         1.30,                    21843.05,16259
,ALSTOMT&D,EQ,       229.10,                 36987089.00,161623
,AMARAJABAT,EQ,       366.95,                 53606376.45,146596
,AMARJOTHI,EQ,        66.90,                    37546.35,561
,AMBIKCO,EQ,       284.85,                 11237609.75,39428
,AMDIND,EQ,        12.20,                    34499.90,2823
,AMRUTANJAN,EQ,       126.35,                  1089220.25,8587
,AMTEKAUTO,EQ,       153.70,                418689903.05,2704538
,AMTEKINDIA,EQ,        86.25,                104147115.45,1181016
,AMTL,EQ,        17.50,                     9625.00,550
,ANANTRAJ,EQ,        54.60,                 31806881.80,579739
,ANDHRABANK,EQ,        58.65,                 48542475.15,824968
,ANDHRACEMT,EQ,         5.50,                    51378.20,9811
,ANDHRSUGAR,EQ,        96.60,                   401976.70,4161
,ANGIND,BE,         6.00,                      410.70,70
,ANIKINDS,BE,        19.20,                   117886.05,6099
,ANKITMETAL,EQ,         6.90,                     5452.60,794
,ANSALAPI,EQ,        17.90,                  1294030.95,72021
,ANSALHSG,EQ,        17.10,                   481239.60,28167
,ANTGRAPHIC,EQ,          .15,                      905.40,6036
