,26-Mar-2014
The Nifty witnessed an intraday movement of about 46.85 points.The closing index was 0.18 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 13496.77
, Traded Quantity (in Lakhs), 7834.07
, Number of Trades, 6548534
, Total Market Capitalisation (Rs. Crores), 7090428.03

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      6589.75,      6615.65,      6627.45,      6580.60,      6601.40,11.65
,CNX IT,      9300.60,      9318.95,      9321.80,      9209.90,      9222.90,-77.7
,CNX Nifty Junior,     12934.00,     12976.75,     13001.95,     12878.20,     12948.95,14.95
,BANK Nifty,     12450.00,     12529.45,     12570.60,     12469.15,     12518.35,68.35
,CNX Midcap,      8282.55,      8317.55,      8356.30,      8286.85,      8329.15,46.6
,CNX 500,      5102.75,      5121.90,      5132.20,      5097.05,      5114.70,11.95
,CNX 100,      6463.60,      6488.40,      6497.50,      6452.00,      6474.45,10.85
,Nifty Midcap 50,      2346.10,      2359.10,      2373.35,      2343.50,      2355.00,8.9
,CNX Realty,       179.35,       180.50,       183.85,       178.40,       179.20,-.15
,CNX Infra,      2529.35,      2540.55,      2559.95,      2538.85,      2549.45,20.1
,CNX Energy,      8045.15,      8067.85,      8184.65,      8067.85,      8117.65,72.5
,CNX FMCG,     18209.80,     18224.60,     18235.10,     17924.55,     18085.05,-124.75
,CNX MNC,      6174.15,      6192.65,      6263.55,      6192.65,      6252.75,78.6
,CNX Pharma,      7789.85,      7824.20,      7824.20,      7617.55,      7628.60,-161.25
,CNX PSE,      2767.25,      2777.15,      2811.60,      2776.75,      2789.75,22.5
,CNX PSU Bank,      2489.55,      2506.90,      2531.75,      2498.55,      2525.35,35.8
,CNX Service,      7961.80,      7994.75,      8001.60,      7930.05,      7952.90,-8.9
,India VIX,16.9200,16.9200,18.2525,15.7200,17.7650,0.8450
,CNX AUTO,      5644.60,      5682.80,      5725.25,      5682.00,      5694.35,49.75
,CNX Metal,      2329.95,      2345.50,      2398.65,      2345.50,      2391.55,61.6
,CNX Media,      1841.20,      1850.85,      1853.40,      1800.35,      1805.15,-36.05
,CNX Smallcap,      3516.40,      3530.10,      3553.95,      3515.15,      3529.75,13.35
,CNX 200,      3278.90,      3291.55,      3297.75,      3274.35,      3286.20,7.3
,CNX Dividend Oppt,      1645.50,      1652.10,      1660.80,      1649.25,      1657.45,11.95
,CNX Commodities,      2279.15,      2288.80,      2318.85,      2288.60,      2312.70,33.55
,CNX Consumption,      2594.00,      2601.60,      2606.55,      2584.25,      2592.10,-1.9
,CNX Finance,      5162.40,      5186.50,      5197.80,      5147.85,      5171.35,8.95
,Nifty Dividend,        94.96,        94.96,        94.96,        94.96,        94.96,0
,LIX 15,      2679.90,      2697.70,      2730.20,      2697.70,      2727.80,47.9
,CPSE Index,      1910.60,      1914.35,      1948.50,      1914.25,      1937.35,26.75

,ADVANCES,674
,DECLINES,801
,UNCHANGED,101

,Total securities that have hit their price bands today,207

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,YESBANK,EQ,       379.55,       401.75,5.85,513.73
,AXISBANK,EQ,      1400.90,      1430.10,2.08,393.88
,LT,EQ,      1248.45,      1275.80,2.19,358.55
,SBIN,EQ,      1743.40,      1767.50,1.38,356.75
,ITC,EQ,       362.80,       359.05,-1.03,347.9
,INFY,EQ,      3254.40,      3248.90,-0.17,344.07
,TCS,EQ,      2146.65,      2093.50,-2.48,337.12
,ICICIBANK,EQ,      1252.55,      1256.50,0.32,304.61
,TATAMOTORS,EQ,       390.85,       401.65,2.76,293.99
,RELIANCE,EQ,       879.30,       891.20,1.35,281.62
,MCDOWELL-N,EQ,      2651.75,      2600.35,-1.94,280.74
,BHARTIARTL,EQ,       294.85,       298.55,1.25,211.29
,SSLT,EQ,       175.05,       182.45,4.23,209.88
,TATASTEEL,EQ,       367.10,       374.80,2.1,208.59
,HDFC,EQ,       871.70,       866.40,-0.61,201.59
,IDFC,EQ,       111.75,       115.10,3,192.9
,HDFCBANK,EQ,       750.15,       746.05,-0.55,175.83
,HINDALCO,EQ,       120.75,       125.40,3.85,175.23
,HCLTECH,EQ,      1397.70,      1397.10,-0.04,166.1
,SUNPHARMA,EQ,       579.30,       566.60,-2.19,159.77
,ASHOKLEY,EQ,        20.30,        22.60,11.33,154.3
,ARVIND,EQ,       155.85,       165.50,6.19,150.71
,DLF,EQ,       177.60,       175.20,-1.35,146.38
,JPASSOCIAT,EQ,        48.95,        48.00,-1.94,136.05
,TECHM,EQ,      1828.80,      1815.35,-0.74,134.97

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SSLT,EQ,       182.45,       175.05,4.23
,HINDALCO,EQ,       125.40,       120.75,3.85
,JINDALSTEL,EQ,       278.60,       270.00,3.19
,IDFC,EQ,       115.10,       111.75,3
,TATAMOTORS,EQ,       401.65,       390.85,2.76

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DRREDDY,EQ,      2633.60,      2723.45,-3.3
,LUPIN,EQ,       936.75,       963.75,-2.8
,TCS,EQ,      2093.50,      2146.65,-2.48
,SUNPHARMA,EQ,       566.60,       579.30,-2.19
,JPASSOCIAT,EQ,        48.00,        48.95,-1.94

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.20,                  3488622.75,115296
,3IINFOTECH,EQ,         7.10,                  4777230.75,672791
,3MINDIA,EQ,      3612.35,                  1890527.90,525
,8KMILES,EQ,       101.25,                   729264.15,7084
,A2ZMES,EQ,         9.85,                  3093452.95,313844
,AARTIDRUGS,EQ,       261.85,                  1752870.35,6606
,AARTIIND,EQ,       120.50,                  4861154.95,39828
,AARVEEDEN,EQ,        34.05,                    16004.30,460
,ABAN,EQ,       499.75,                546184731.45,1084584
,ABB,EQ,       824.00,                154482087.35,186156
,ABBOTINDIA,EQ,      1721.35,                  3249773.45,1896
,ABCIL,EQ,       143.35,                  3895829.70,26321
,ABGSHIP,EQ,       246.50,                 29441538.05,118400
,ACCELYA,EQ,       723.20,                 14632880.35,19936
,ACE,EQ,        13.95,                  3076259.25,218803
,ACROPETAL,EQ,         3.80,                   211578.25,54324
,ADANIPOWER,EQ,        41.45,                 91593937.15,2186638
,ADFFOODS,EQ,        42.35,                   634672.20,15037
,ADHUNIK,EQ,        44.50,                  3358889.60,74911
,ADORWELD,EQ,       136.30,                   356113.40,2600
,ADSL,EQ,        11.35,                  1746929.40,152195
,ADVANIHOTR,EQ,        34.10,                    34100.00,1000
,ADVANTA,EQ,       128.05,                 11607726.75,89759
,AEGISCHEM,EQ,       168.00,                 35450892.70,206348
,AFL,EQ,        44.25,                    33714.15,766
,AFTEK,EQ,         3.10,                   197040.15,63559
,AGCNET,EQ,        48.40,                   490512.90,10173
,AGRITECH,BE,         9.15,                      475.80,52
,AGRODUTCH,EQ,         1.35,                    23310.05,16823
,AHLEAST,EQ,       138.75,                   889796.35,6477
,AHLUCONT,EQ,        42.15,                  9142011.60,214781
,AHLWEST,EQ,        93.70,                   108994.85,1186
,AHMEDFORGE,EQ,       122.20,                 10092844.50,79750
,AIAENG,EQ,       543.60,                 54514012.30,100190
,AICHAMP,BE,        14.15,                       14.15,1
,AIL,EQ,       388.70,                 13080488.05,33300
,AJANTPHARM,EQ,      1021.90,                 34421410.75,34225
,AJMERA,EQ,        47.95,                  2059410.10,42465
,AKSHOPTFBR,BE,        15.75,                   515121.25,32632
,AKZOINDIA,EQ,       886.00,                  9992472.05,11364
,ALBK,EQ,        83.60,                156082333.30,1864434
,ALCHEM,EQ,        39.20,                    66307.90,1663
,ALEMBICLTD,EQ,        15.50,                  5606185.90,355652
,ALICON,EQ,        83.00,                   255603.05,3076
,ALKALI,EQ,        15.70,                    23839.60,1531
,ALKYLAMINE,EQ,       250.00,                  1040000.00,4168
,ALLCARGO,EQ,       151.85,                   748794.15,4947
,ALLSEC,EQ,        30.85,                   208732.20,6830
,ALMONDZ,EQ,         5.75,                    11500.00,2000
,ALOKTEXT,EQ,         5.90,                 36013826.80,6100442
,ALPHAGEO,BE,       160.20,                  2481992.40,15482
,ALPINEHOU,BE,        24.65,                    10783.10,444
,ALPSINDUS,EQ,         1.35,                     2126.15,1621
,ALSTOMT&D,EQ,       225.00,                 14888838.75,65748
,AMARAJABAT,EQ,       386.55,                362254992.85,949837
,AMARJOTHI,EQ,        66.20,                    41044.00,620
,AMBIKCO,EQ,       283.90,                  1627734.60,5666
,AMDIND,EQ,        12.35,                    22103.50,1805
,AMLSTEEL,EQ,         4.00,                     4796.00,1199
,AMRUTANJAN,EQ,       124.50,                  3270428.70,26138
,AMTEKAUTO,EQ,       138.70,                366257719.90,2530702
,AMTEKINDIA,EQ,        80.35,                 46386451.95,558762
,AMTL,EQ,        17.50,                    47582.50,2719
,ANANTRAJ,EQ,        54.70,                 73566016.00,1327392
,ANDHRABANK,EQ,        59.35,                 78768918.90,1324703
,ANDHRACEMT,EQ,         5.50,                    47125.25,8585
,ANDHRSUGAR,EQ,        94.55,                  1899813.80,19831
,ANGIND,BE,         6.20,                    20006.00,3455
,ANIKINDS,BE,        19.10,                    39111.70,2037
,ANKITMETAL,EQ,         6.75,                   223600.50,33046
,ANSALAPI,EQ,        17.45,                  3738862.45,210242
