,29-Apr-2014
The Nifty witnessed an intraday movement of about 71.05 points.The closing index was 0.68 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 13950.41
, Traded Quantity (in Lakhs), 8501.06
, Number of Trades, 6570672
, Total Market Capitalisation (Rs. Crores), 7398687.84

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      6761.25,      6769.00,      6779.70,      6708.65,      6715.25,-46
,CNX IT,      9261.30,      9264.50,      9312.50,      9241.65,      9251.60,-9.7
,CNX Nifty Junior,     13900.30,     13944.05,     13981.80,     13741.60,     13766.10,-134.2
,BANK Nifty,     13081.55,     13107.55,     13124.30,     12897.35,     12910.55,-171
,CNX Midcap,      8956.60,      8975.50,      9009.15,      8886.75,      8899.60,-57
,CNX 500,      5321.50,      5330.05,      5338.30,      5283.25,      5286.05,-35.45
,CNX 100,      6674.90,      6684.50,      6694.25,      6621.00,      6626.80,-48.1
,Nifty Midcap 50,      2608.55,      2615.75,      2625.15,      2573.60,      2579.30,-29.25
,CNX Realty,       191.00,       191.15,       194.05,       188.95,       189.55,-1.45
,CNX Infra,      2697.30,      2713.40,      2714.35,      2667.90,      2675.50,-21.8
,CNX Energy,      8371.95,      8389.45,      8417.85,      8322.70,      8335.00,-36.95
,CNX FMCG,     17715.50,     17678.20,     17681.35,     17529.65,     17557.10,-158.4
,CNX MNC,      6422.10,      6438.45,      6438.45,      6319.10,      6332.35,-89.75
,CNX Pharma,      8122.25,      8147.70,      8169.00,      8065.85,      8106.50,-15.75
,CNX PSE,      2855.70,      2862.80,      2870.35,      2839.95,      2845.95,-9.75
,CNX PSU Bank,      3015.80,      3031.00,      3040.50,      2953.95,      2962.75,-53.05
,CNX Service,      8195.55,      8208.65,      8233.35,      8136.55,      8143.45,-52.1
,India VIX,31.3850,31.3850,32.4350,30.4925,31.0500,-0.3350
,CNX AUTO,      5907.55,      5914.60,      5931.35,      5838.60,      5844.25,-63.3
,CNX Metal,      2601.90,      2603.35,      2610.65,      2522.55,      2530.10,-71.8
,CNX Media,      1778.75,      1779.05,      1789.20,      1747.25,      1752.95,-25.8
,CNX Smallcap,      4003.65,      4018.00,      4050.25,      3993.40,      3999.25,-4.4
,CNX 200,      3403.55,      3408.75,      3414.00,      3376.70,      3379.60,-23.95
,CNX Dividend Oppt,      1722.65,      1724.75,      1727.25,      1703.70,      1705.80,-16.85
,CNX Commodities,      2442.30,      2448.10,      2453.85,      2414.80,      2417.50,-24.8
,CNX Consumption,      2650.85,      2656.10,      2658.30,      2621.55,      2624.20,-26.65
,CNX Finance,      5361.65,      5365.85,      5380.70,      5302.55,      5312.65,-49
,Nifty Dividend,          .32,          .32,          .32,          .32,          .32,0
,LIX 15,      2957.25,      2964.20,      2968.90,      2901.35,      2906.65,-50.6
,CPSE Index,      1987.95,      1991.25,      1995.35,      1974.30,      1981.40,-6.55

,ADVANCES,607
,DECLINES,877
,UNCHANGED,86

,Total securities that have hit their price bands today,228

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,WOCKPHARMA,EQ,       722.40,       809.80,12.1,861.82
,SBIN,EQ,      2106.20,      2065.80,-1.92,345.17
,UPL,EQ,       276.60,       275.15,-0.52,302.47
,LT,EQ,      1328.50,      1321.40,-0.53,295.6
,ICICIBANK,EQ,      1275.50,      1262.80,-1,287.1
,ADANIENT,EQ,       428.05,       433.70,1.32,286.57
,TATASTEEL,EQ,       425.80,       405.50,-4.77,282.35
,YESBANK,EQ,       463.25,       449.35,-3,275.44
,TCS,EQ,      2191.35,      2194.25,0.13,202.62
,SUNPHARMA,EQ,       636.65,       639.45,0.44,193.61
,INFY,EQ,      3178.05,      3177.75,-0.01,192.39
,AXISBANK,EQ,      1529.55,      1528.40,-0.08,182.84
,MCDOWELL-N,EQ,      2798.90,      2784.40,-0.52,181.64
,RELIANCE,EQ,       945.00,       940.30,-0.5,180.81
,IDEA,EQ,       140.60,       140.75,0.11,172.01
,JPASSOCIAT,EQ,        58.05,        57.30,-1.29,170.55
,RELCAPITAL,EQ,       372.00,       372.00,0,170.2
,UNITECH,EQ,        17.20,        17.30,0.58,168.86
,HDFC,EQ,       884.35,       887.40,0.34,158.64
,TECHM,EQ,      1825.25,      1846.30,1.15,148.86
,BHARTIARTL,EQ,       337.65,       335.00,-0.78,148.12
,ITC,EQ,       342.00,       340.30,-0.5,145.91
,DLF,EQ,       153.90,       153.75,-0.1,145.82
,HDIL,EQ,        74.60,        73.80,-1.07,139.53
,JISLJALEQS,EQ,        81.85,        86.00,5.07,138.42

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TECHM,EQ,      1846.30,      1825.25,1.15
,AMBUJACEM,EQ,       202.40,       200.10,1.15
,ACC,EQ,      1300.30,      1287.05,1.03
,GRASIM,EQ,      2669.55,      2643.35,.99
,BPCL,EQ,       460.45,       456.45,.88

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JINDALSTEL,EQ,       253.05,       273.65,-7.53
,TATASTEEL,EQ,       405.50,       425.80,-4.77
,HINDUNILVR,EQ,       562.45,       581.00,-3.19
,HINDALCO,EQ,       137.20,       141.25,-2.87
,TATAPOWER,EQ,        80.90,        82.95,-2.47

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        34.90,                  2879833.30,81139
,3IINFOTECH,EQ,         7.35,                  5131417.25,692734
,3MINDIA,EQ,      3878.35,                 53218936.90,12846
,8KMILES,EQ,       127.90,                 11996501.95,90884
,A2ZMES,EQ,        10.15,                  2996175.65,291577
,AARTIDRUGS,EQ,       361.35,                  6328562.95,17719
,AARTIIND,EQ,       131.05,                 18458606.15,138867
,AARVEEDEN,EQ,        41.00,                   238796.95,5768
,ABAN,EQ,       507.00,                420386287.15,819054
,ABB,EQ,       817.00,                 69482755.95,84935
,ABBOTINDIA,EQ,      1805.50,                  8245312.80,4573
,ABCIL,EQ,       179.85,                  6839086.80,37005
,ABGSHIP,EQ,       230.60,                 36985854.20,160209
,ACCELYA,EQ,       767.50,                 19597001.00,25615
,ACE,EQ,        19.50,                  9326407.80,471819
,ACROPETAL,EQ,         3.60,                   467550.05,127873
,ADANIPOWER,EQ,        51.10,                535943259.85,10312037
,ADFFOODS,EQ,        44.30,                   112411.50,2515
,ADHUNIK,EQ,        43.55,                  1152692.70,26212
,ADORWELD,EQ,       139.25,                   482389.55,3448
,ADSL,EQ,        13.25,                   190805.65,14324
,ADVANIHOTR,EQ,        36.00,                   213559.00,5950
,ADVANTA,EQ,       184.20,                285664953.35,1445302
,AEGISCHEM,EQ,       159.05,                  9026738.40,56436
,AFL,EQ,        42.65,                    18587.55,431
,AFTEK,EQ,         3.45,                   265681.70,76340
,AGCNET,EQ,        53.50,                   116694.60,2167
,AGRITECH,BE,         6.80,                     4083.00,585
,AGRODUTCH,EQ,         1.60,                     2816.00,1760
,AHLEAST,EQ,       146.00,                   301762.10,2060
,AHLUCONT,EQ,        76.80,                 33400630.30,440379
,AHLWEST,EQ,       102.55,                   793461.75,7715
,AHMEDFORGE,EQ,       147.50,                  5880750.75,39333
,AIAENG,EQ,       608.20,                 83206751.20,137743
,AICHAMP,BE,        13.45,                       80.70,6
,AIL,EQ,       407.70,                 31715018.70,77350
,AJANTPHARM,EQ,       994.35,                 57688896.50,57901
,AJMERA,BE,        59.20,                    94024.70,1588
,AKSHOPTFBR,BE,        16.30,                   312721.75,19410
,AKZOINDIA,EQ,       873.50,                  1336388.40,1529
,ALBK,EQ,        98.65,                389492522.35,3895134
,ALCHEM,EQ,        45.10,                   880583.55,20095
,ALEMBICLTD,EQ,        18.85,                 16382453.10,851946
,ALICON,EQ,        97.95,                   483037.40,4972
,ALKALI,EQ,        18.65,                    50406.30,2726
,ALKYLAMINE,EQ,       286.90,                   160463.85,557
,ALLCARGO,EQ,       147.90,                   957023.20,6324
,ALLSEC,EQ,        26.00,                   111873.05,4132
,ALMONDZ,BE,         7.30,                    74600.00,10000
,ALOKTEXT,EQ,         7.45,                 26456164.05,3497374
,ALPA,BE,         8.55,                    26464.05,3091
,ALPHAGEO,BE,       159.85,                   760623.60,4730
,ALPSINDUS,EQ,         1.60,                       80.00,50
,ALSTOMT&D,EQ,       266.25,                 11138318.20,41259
,AMARAJABAT,EQ,       415.90,                156826192.90,380210
,AMARJOTHI,EQ,        74.00,                    73274.50,1022
,AMBIKCO,EQ,       319.60,                  2234777.20,6790
,AMDIND,EQ,        13.65,                     3821.45,287
,AMRUTANJAN,EQ,       139.25,                  3020596.40,21468
,AMTEKAUTO,EQ,       179.85,                267397448.00,1479375
,AMTEKINDIA,EQ,        80.25,                  7339024.05,90962
,AMTL,EQ,        16.00,                     9241.50,595
,ANANTRAJ,EQ,        58.55,                 74251213.45,1254372
,ANDHRABANK,EQ,        66.20,                212607843.05,3170504
,ANDHRACEMT,EQ,         6.40,                   113271.25,17143
,ANDHRSUGAR,EQ,       114.50,                  6385703.50,55132
,ANIKINDS,BE,        22.75,                    38419.90,1701
,ANKITMETAL,EQ,         8.00,                  1126220.95,139750
,ANSALAPI,EQ,        23.45,                  6357025.35,267824
,ANSALHSG,EQ,        19.00,                   630720.90,32899
,ANTGRAPHIC,EQ,          .15,                      390.00,2600
