,20-Jun-2014
The Nifty witnessed an intraday movement of about 63.25 points.The closing index was 0.39 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 16064.94
, Traded Quantity (in Lakhs), 10348.55
, Number of Trades, 7448935
, Total Market Capitalisation (Rs. Crores), 8612332.53

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      7540.70,      7543.30,      7560.55,      7497.30,      7511.45,-29.25
,CNX IT,      9698.90,      9714.50,      9736.60,      9663.30,      9700.20,1.3
,CNX Nifty Junior,     15954.45,     15958.40,     16058.75,     15858.35,     15906.95,-47.5
,BANK Nifty,     15067.40,     15064.45,     15195.55,     14978.50,     14997.65,-69.75
,CNX Midcap,     10646.70,     10647.85,     10680.80,     10551.60,     10574.55,-72.15
,CNX 500,      6064.75,      6066.45,      6082.75,      6026.90,      6038.60,-26.15
,CNX 100,      7474.75,      7477.25,      7498.20,      7431.80,      7446.80,-27.95
,Nifty Midcap 50,      3213.65,      3205.00,      3233.35,      3174.20,      3186.65,-27
,CNX Realty,       252.80,       251.80,       256.50,       251.65,       255.45,2.65
,CNX Infra,      3271.00,      3272.15,      3283.55,      3246.70,      3256.65,-14.35
,CNX Energy,      9919.75,      9926.10,      9984.45,      9834.40,      9858.70,-61.05
,CNX FMCG,     17833.40,     17811.50,     17860.50,     17751.10,     17815.40,-18
,CNX MNC,      7488.20,      7446.30,      7491.20,      7421.60,      7436.85,-51.35
,CNX Pharma,      8119.00,      8113.45,      8148.60,      7997.25,      8043.70,-75.3
,CNX PSE,      3664.60,      3661.70,      3699.85,      3638.30,      3648.05,-16.55
,CNX PSU Bank,      3730.35,      3720.75,      3745.45,      3657.25,      3672.35,-58
,CNX Service,      9115.10,      9120.50,      9154.35,      9080.55,      9100.50,-14.6
,India VIX,18.7425,18.7425,19.2450,15.5925,18.8475,0.1050
,CNX AUTO,      6658.90,      6668.50,      6682.10,      6577.60,      6604.15,-54.75
,CNX Metal,      3298.85,      3287.80,      3339.10,      3266.70,      3273.35,-25.5
,CNX Media,      2006.25,      2006.95,      2041.50,      2001.25,      2025.50,19.25
,CNX Smallcap,      5185.80,      5187.90,      5208.35,      5095.90,      5109.60,-76.2
,CNX 200,      3842.25,      3843.30,      3853.30,      3818.45,      3826.40,-15.85
,CNX Dividend Oppt,      2039.45,      2036.35,      2048.10,      2022.65,      2025.40,-14.05
,CNX Commodities,      3024.80,      3016.70,      3046.75,      2995.85,      3000.75,-24.05
,CNX Consumption,      2892.95,      2886.35,      2905.45,      2882.05,      2889.10,-3.85
,CNX Finance,      6156.50,      6161.30,      6207.05,      6125.95,      6138.85,-17.65
,Nifty Dividend,        42.29,        42.29,        42.29,        42.29,        42.29,0
,LIX 15,      3466.05,      3454.20,      3496.45,      3444.30,      3458.80,-7.25
,CPSE Index,      2577.50,      2580.65,      2606.25,      2561.95,      2569.50,-8
,NI15,      4068.75,      4070.45,      4072.45,      4042.80,      4055.30,-13.45

,ADVANCES,591
,DECLINES,968
,UNCHANGED,46

,Total securities that have hit their price bands today,294

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ICICIBANK,EQ,      1411.75,      1396.85,-1.06,435.51
,SBIN,EQ,      2605.45,      2583.10,-0.86,400.13
,INFY,EQ,      3311.90,      3316.60,0.14,367.14
,ONGC,EQ,       420.75,       417.50,-0.77,353.75
,MCDOWELL-N,EQ,      2601.20,      2680.15,3.04,342.71
,UNITECH,EQ,        31.15,        33.30,6.9,331.05
,JPASSOCIAT,EQ,        72.75,        71.10,-2.27,318.82
,TATAMTRDVR,EQ,       316.75,       316.75,0,313.88
,RELIANCE,EQ,      1042.10,      1036.50,-0.54,305.75
,TATASTEEL,EQ,       519.45,       519.90,0.09,287.03
,RELCAPITAL,EQ,       616.35,       617.55,0.19,275.76
,BPCL,EQ,       564.45,       552.55,-2.11,239.8
,HDFC,EQ,       968.45,       969.05,0.06,237.74
,AXISBANK,EQ,      1841.80,      1866.35,1.33,217.89
,HCLTECH,EQ,      1458.60,      1443.95,-1,207.11
,TATAMOTORS,EQ,       438.60,       438.05,-0.13,207
,IFCI,EQ,        38.25,        39.70,3.79,205.14
,SSLT,EQ,       295.05,       291.85,-1.08,188.48
,ULTRACEMCO,EQ,      2755.40,      2727.45,-1.01,172
,LT,EQ,      1656.70,      1647.95,-0.53,163.44
,ITC,EQ,       336.25,       335.70,-0.16,150.57
,COALINDIA,EQ,       385.15,       386.35,0.31,148.56
,YESBANK,EQ,       538.25,       542.70,0.83,148.18
,NATCOPHARM,EQ,      1031.95,      1130.70,9.57,147.07
,HINDALCO,EQ,       167.75,       163.80,-2.35,146.77

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,MCDOWELL-N,EQ,      2680.15,      2601.20,3.04
,CAIRN,EQ,       372.00,       366.90,1.39
,AXISBANK,EQ,      1866.35,      1841.80,1.33
,BAJAJ-AUTO,EQ,      2179.80,      2160.25,.9
,POWERGRID,EQ,       132.30,       131.20,.84

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,M&M,EQ,      1143.95,      1176.10,-2.73
,TATAPOWER,EQ,       101.15,       103.95,-2.69
,HINDALCO,EQ,       163.80,       167.75,-2.35
,BPCL,EQ,       552.55,       564.45,-2.11
,NMDC,EQ,       173.50,       177.00,-1.98

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        34.85,                  3483202.55,100076
,3IINFOTECH,EQ,        11.70,                 51734493.25,4325142
,3MINDIA,EQ,      4472.05,                 18363876.85,4104
,8KMILES,EQ,       156.00,                   960733.75,6153
,A2ZMES,BE,        15.85,                  1653164.20,103876
,AARTIDRUGS,EQ,       545.25,                 20653986.95,38100
,AARTIIND,EQ,       199.95,                 17702931.45,88958
,AARVEEDEN,EQ,        43.15,                   289334.75,6560
,ABAN,EQ,       708.05,                516812024.85,724750
,ABB,EQ,      1030.20,                 42858406.60,41606
,ABBOTINDIA,EQ,      2008.35,                103291638.70,51819
,ABCIL,EQ,       165.65,                  2852896.60,17202
,ABGSHIP,EQ,       260.90,                 18115741.90,68708
,ACCELYA,EQ,       665.05,                  4794913.75,7211
,ACE,BE,        26.80,                  5474687.60,208084
,ACROPETAL,BE,         3.95,                   340952.00,86959
,ADANIPOWER,EQ,        58.80,                427082192.35,7229864
,ADFFOODS,EQ,        59.90,                  9352035.55,152025
,ADHUNIK,EQ,        50.50,                  1335794.10,26201
,ADORWELD,BE,       221.15,                   639755.10,2915
,ADSL,BE,        22.30,                  1215381.40,53931
,ADVANIHOTR,EQ,        38.65,                    76943.95,1996
,ADVANTA,EQ,       275.30,                 19536081.65,69759
,AEGISCHEM,EQ,       230.05,                 29980962.80,129843
,AFL,BE,        46.05,                    47021.90,1011
,AFTEK,BE,         7.60,                  1007773.60,132297
,AGARIND,EQ,       143.55,                   194327.60,1338
,AGCNET,EQ,        75.75,                   498061.20,6678
,AGRITECH,BE,         9.00,                    48967.00,5310
,AGRODUTCH,BE,         3.00,                     7053.00,2351
,AHLEAST,EQ,       202.05,                   718820.25,3507
,AHLUCONT,EQ,       101.40,                  2743251.15,26752
,AHLWEST,EQ,       109.90,                   348427.20,3124
,AHMEDFORGE,EQ,       346.60,                 28055395.90,80397
,AIAENG,EQ,       806.45,                 36388052.20,44826
,AICHAMP,BE,        15.25,                    23274.25,1665
,AIL,EQ,       551.00,                 89718845.05,157751
,AJANTPHARM,EQ,      1388.35,                132010167.90,95050
,AJMERA,EQ,        77.65,                   875572.85,11160
,AKSHOPTFBR,EQ,        21.85,                  3399818.75,151864
,AKZOINDIA,EQ,      1071.20,                 29228647.30,27061
,ALBK,EQ,       126.65,                664157825.75,5141645
,ALCHEM,EQ,        57.20,                   124300.20,2164
,ALEMBICLTD,EQ,        24.85,                 18557692.00,738645
,ALICON,EQ,       167.55,                  3197412.90,18822
,ALKALI,BE,        22.80,                   148262.30,6437
,ALKYLAMINE,EQ,       491.35,                   361689.45,734
,ALLCARGO,EQ,       204.05,                  3720751.30,18258
,ALLSEC,EQ,        32.85,                    55838.95,1665
,ALMONDZ,EQ,        10.45,                    17889.55,1685
,ALOKTEXT,EQ,        13.70,                316260495.10,22725332
,ALPA,BE,        10.10,                    31189.35,3301
,ALPHAGEO,BE,       251.60,                   802088.10,3149
,ALPSINDUS,BE,         2.30,                      763.60,332
,ALSTOMT&D,EQ,       327.20,                 50504108.00,154817
,AMARAJABAT,EQ,       481.65,                 59593525.75,123639
,AMARJOTHI,EQ,        82.70,                    65215.30,778
,AMBIKCO,EQ,       380.65,                  1656681.85,4326
,AMDIND,BE,        21.65,                   124194.20,5752
,AMLSTEEL,BE,         8.20,                    12669.00,1545
,AMRUTANJAN,EQ,       167.75,                  5097770.80,30384
,AMTEKAUTO,EQ,       237.80,                237131938.40,985066
,AMTEKINDIA,EQ,       105.55,                452080512.45,4133936
,AMTL,BE,        15.95,                     3822.50,250
,ANANTRAJ,EQ,        71.20,                 81673831.10,1122295
,ANDHRABANK,EQ,        94.90,                289542806.00,3005993
,ANDHRACEMT,BE,        10.55,                   160101.55,14940
,ANDHRSUGAR,EQ,       138.00,                  3964310.50,28430
,ANGIND,BE,        14.05,                    89485.80,6694
,ANIKINDS,BE,        31.75,                   119400.10,3856
,ANKITMETAL,EQ,         8.40,                   313352.15,36781
,ANSALAPI,BE,        34.45,                  3772150.20,108511
,ANSALHSG,EQ,        27.40,                   281894.75,10165
