,23-Jun-2014
The Nifty witnessed an intraday movement of about 93.2 points.The closing index was 0.24 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 15006.33
, Traded Quantity (in Lakhs), 9615.28
, Number of Trades, 7239537
, Total Market Capitalisation (Rs. Crores), 8637460.7

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      7511.45,      7514.00,      7534.80,      7441.60,      7493.35,-18.1
,CNX IT,      9700.20,      9671.55,      9695.30,      9518.35,      9548.20,-152
,CNX Nifty Junior,     15906.95,     15955.60,     16031.90,     15875.20,     15969.85,62.9
,BANK Nifty,     14997.65,     15014.20,     15148.00,     14940.35,     15076.35,78.7
,CNX Midcap,     10574.55,     10597.25,     10663.85,     10566.95,     10647.85,73.3
,CNX 500,      6038.60,      6044.40,      6065.70,      6001.25,      6037.95,-.65
,CNX 100,      7446.80,      7452.25,      7474.50,      7388.10,      7435.75,-11.05
,Nifty Midcap 50,      3186.65,      3196.80,      3224.60,      3183.15,      3218.40,31.75
,CNX Realty,       255.45,       256.10,       258.00,       253.15,       256.05,.6
,CNX Infra,      3256.65,      3258.30,      3282.80,      3236.45,      3268.05,11.4
,CNX Energy,      9858.70,      9877.40,     10012.65,      9804.65,      9965.40,106.7
,CNX FMCG,     17815.40,     17824.80,     17824.80,     17029.15,     17114.10,-701.3
,CNX MNC,      7436.85,      7449.05,      7477.65,      7406.35,      7458.85,22
,CNX Pharma,      8043.70,      8065.00,      8105.05,      8027.45,      8082.15,38.45
,CNX PSE,      3648.05,      3655.95,      3720.95,      3642.65,      3705.00,56.95
,CNX PSU Bank,      3672.35,      3674.60,      3741.00,      3651.05,      3715.00,42.65
,CNX Service,      9100.50,      9099.75,      9118.75,      9028.10,      9078.90,-21.6
,India VIX,18.8475,18.8475,19.5350,17.8150,18.9625,0.1150
,CNX AUTO,      6604.15,      6615.65,      6671.75,      6601.15,      6651.90,47.75
,CNX Metal,      3273.35,      3271.05,      3326.25,      3271.05,      3309.70,36.35
,CNX Media,      2025.50,      2030.00,      2051.65,      2028.10,      2045.95,20.45
,CNX Smallcap,      5109.60,      5124.60,      5170.00,      5113.55,      5158.20,48.6
,CNX 200,      3826.40,      3829.50,      3842.70,      3800.55,      3824.50,-1.9
,CNX Dividend Oppt,      2025.40,      2026.90,      2040.55,      2017.75,      2035.80,10.4
,CNX Commodities,      3000.75,      3001.85,      3038.60,      2997.20,      3031.40,30.65
,CNX Consumption,      2889.10,      2893.75,      2901.05,      2869.70,      2882.80,-6.3
,CNX Finance,      6138.85,      6150.10,      6176.10,      6111.15,      6152.90,14.05
,Nifty Dividend,        42.29,        42.29,        42.29,        42.29,        42.29,0
,LIX 15,      3458.80,      3460.80,      3492.00,      3452.65,      3476.15,17.35
,CPSE Index,      2569.50,      2576.25,      2621.95,      2568.40,      2610.95,41.45
,NI15,      4055.30,      4054.65,      4057.75,      3989.05,      4007.15,-48.15

,ADVANCES,782
,DECLINES,745
,UNCHANGED,69

,Total securities that have hit their price bands today,314

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ITC,EQ,       335.70,       314.95,-6.18,684.79
,SBIN,EQ,      2583.10,      2600.20,0.66,465.78
,ONGC,EQ,       417.50,       437.60,4.81,367.4
,RELIANCE,EQ,      1036.50,      1037.95,0.14,349.08
,UNITECH,EQ,        33.30,        33.80,1.5,335.18
,ICICIBANK,EQ,      1396.85,      1414.20,1.24,300.27
,CEATLTD,EQ,       585.55,       660.60,12.82,286.14
,INFY,EQ,      3316.60,      3232.55,-2.53,256.84
,HDFC,EQ,       969.05,       971.00,0.2,250.08
,JPASSOCIAT,EQ,        71.10,        70.85,-0.35,241.44
,RELINFRA,EQ,       726.65,       706.30,-2.8,224.34
,LT,EQ,      1647.95,      1657.15,0.56,221.68
,RELCAPITAL,EQ,       617.55,       618.80,0.2,211.13
,AXISBANK,EQ,      1866.35,      1882.95,0.89,200.54
,TATASTEEL,EQ,       519.90,       526.90,1.35,178.82
,SSLT,EQ,       291.85,       296.85,1.71,164.68
,TATAMOTORS,EQ,       438.05,       435.60,-0.56,164.17
,BPCL,EQ,       552.55,       556.65,0.74,154.46
,TATAMTRDVR,EQ,       316.75,       310.40,-2,151.49
,TATAGLOBAL,EQ,       162.35,       167.95,3.45,150.25
,BHARTIARTL,EQ,       338.75,       341.55,0.83,149.85
,HINDALCO,EQ,       163.80,       165.30,0.92,144.85
,TCS,EQ,      2292.40,      2268.85,-1.03,143.34
,CANBK,EQ,       422.50,       434.90,2.93,141.53
,HDIL,EQ,        90.00,        88.55,-1.61,131.26

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ONGC,EQ,       437.60,       417.50,4.81
,JINDALSTEL,EQ,       327.30,       318.60,2.73
,HEROMOTOCO,EQ,      2583.45,      2521.00,2.48
,BHEL,EQ,       244.35,       238.80,2.32
,ACC,EQ,      1471.00,      1438.60,2.25

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ITC,EQ,       314.95,       335.70,-6.18
,KOTAKBANK,EQ,       895.05,       930.80,-3.84
,MCDOWELL-N,EQ,      2594.95,      2680.15,-3.18
,INFY,EQ,      3232.55,      3316.60,-2.53
,HCLTECH,EQ,      1419.05,      1443.95,-1.72

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        34.50,                  2561366.70,73479
,3IINFOTECH,EQ,        11.70,                 34151985.40,2924908
,3MINDIA,EQ,      4441.05,                  1088444.90,244
,8KMILES,EQ,       162.75,                  7618270.70,47462
,A2ZMES,BE,        15.65,                  1595619.40,101402
,AARTIDRUGS,EQ,       556.75,                 27270665.95,48877
,AARTIIND,EQ,       194.65,                 18499944.50,94615
,AARVEEDEN,EQ,        44.10,                    98933.00,2250
,ABAN,EQ,       730.70,                740618233.90,1022297
,ABB,EQ,      1047.30,                 74255006.75,71562
,ABBOTINDIA,EQ,      1987.45,                 27180512.55,13569
,ABCIL,EQ,       163.80,                   931433.55,5688
,ABGSHIP,EQ,       260.80,                  9085051.60,34714
,ACCELYA,EQ,       657.55,                  6554772.75,9948
,ACE,BE,        28.10,                 15622216.00,557194
,ACROPETAL,BE,         3.80,                   172140.70,44987
,ADANIPOWER,EQ,        58.95,                242967363.45,4120158
,ADFFOODS,EQ,        58.70,                  6494301.45,109660
,ADHUNIK,EQ,        50.55,                  1761608.10,34960
,ADORWELD,BE,       218.80,                   463291.30,2128
,ADSL,BE,        21.65,                   257070.45,11818
,ADVANIHOTR,EQ,        41.00,                   139891.75,3515
,ADVANTA,EQ,       279.65,                 28410486.35,100449
,AEGISCHEM,EQ,       247.00,                 78325005.10,322993
,AFL,BE,        48.25,                    57046.00,1195
,AFTEK,BE,         7.85,                  1130768.55,152184
,AGARIND,EQ,       141.60,                   297498.50,2111
,AGCNET,EQ,        75.45,                   770634.90,10013
,AGRITECH,BE,         8.60,                    15551.00,1810
,AGRODUTCH,BE,         3.15,                     7906.50,2510
,AHLEAST,EQ,       205.35,                   628329.90,3024
,AHLUCONT,EQ,       100.50,                  2201479.70,21805
,AHLWEST,EQ,       105.85,                    98965.25,921
,AHMEDFORGE,EQ,       333.45,                 30404032.30,90883
,AIAENG,EQ,       815.90,                 48144994.95,58841
,AICHAMP,BE,        16.00,                     3228.00,203
,AIL,EQ,       533.75,                 42307902.55,76892
,AJANTPHARM,EQ,      1443.95,                139184869.10,97931
,AJMERA,EQ,        77.20,                   806073.70,10501
,AKSHOPTFBR,EQ,        21.95,                  2221190.05,100383
,AKZOINDIA,EQ,      1079.90,                  6917130.45,6433
,ALBK,EQ,       132.85,                705836153.80,5408235
,ALCHEM,EQ,        57.60,                   211361.95,3666
,ALEMBICLTD,EQ,        24.60,                 12370840.85,501194
,ALICON,EQ,       167.40,                  1788170.10,10609
,ALKALI,BE,        22.75,                   150453.25,6852
,ALKYLAMINE,EQ,       498.70,                   496490.65,1006
,ALLCARGO,EQ,       206.55,                   861671.95,4103
,ALLSEC,EQ,        33.00,                    37975.15,1158
,ALMONDZ,EQ,        10.50,                    27749.30,2713
,ALOKTEXT,EQ,        14.35,                550584655.70,39004352
,ALPA,BE,        10.10,                     5252.00,520
,ALPHAGEO,BE,       247.95,                   277243.15,1098
,ALPINEHOU,BE,        23.50,                     1833.00,78
,ALPSINDUS,BE,         2.20,                     2420.00,1100
,ALSTOMT&D,EQ,       315.30,                 16726556.55,51722
,AMARAJABAT,EQ,       479.00,                 16056202.10,33547
,AMARJOTHI,EQ,        83.50,                   130601.00,1525
,AMBIKCO,EQ,       378.20,                   492083.90,1301
,AMDIND,BE,        22.40,                   250180.10,11340
,AMLSTEEL,BE,         7.80,                     1372.80,176
,AMRUTANJAN,EQ,       169.75,                  3022603.20,17936
,AMTEKAUTO,EQ,       243.65,                593594809.00,2437830
,AMTEKINDIA,EQ,       100.15,                267543456.50,2631230
,AMTL,BE,        15.20,                     1520.00,100
,ANANTRAJ,EQ,        71.45,                 64968850.80,908442
,ANDHRABANK,EQ,        96.80,                274267338.55,2852030
,ANDHRACEMT,BE,        10.30,                   273534.85,26598
,ANDHRSUGAR,EQ,       147.15,                 38885838.50,264096
,ANGIND,BE,        14.75,                    69812.50,4750
,ANIKINDS,BE,        31.00,                    13980.00,450
,ANKITMETAL,EQ,         8.45,                   276009.85,32517
