,09-Jul-2014
The Nifty witnessed an intraday movement of about 98.45 points.The closing index was 0.5 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 19558.77
, Traded Quantity (in Lakhs), 11894.55
, Number of Trades, 8725669
, Total Market Capitalisation (Rs. Crores), 8706715.3

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      7623.20,      7637.95,      7650.10,      7551.65,      7585.00,-38.2
,CNX IT,     10019.70,     10041.35,     10082.70,      9867.35,      9903.30,-116.4
,CNX Nifty Junior,     16237.50,     16226.90,     16345.85,     15893.05,     16035.80,-201.7
,BANK Nifty,     14997.50,     15008.25,     15093.45,     14827.10,     14931.10,-66.4
,CNX Midcap,     10952.35,     10950.65,     10987.35,     10712.50,     10780.25,-172.1
,CNX 500,      6152.30,      6159.20,      6169.05,      6076.20,      6104.00,-48.3
,CNX 100,      7564.00,      7575.75,      7593.90,      7481.10,      7517.85,-46.15
,Nifty Midcap 50,      3228.65,      3228.15,      3251.35,      3126.50,      3154.00,-74.65
,CNX Realty,       247.70,       248.05,       250.20,       240.45,       243.90,-3.8
,CNX Infra,      3302.00,      3315.90,      3328.45,      3221.95,      3262.00,-40
,CNX Energy,      9664.15,      9695.35,      9784.90,      9542.55,      9694.95,30.8
,CNX FMCG,     17818.35,     17849.35,     18043.75,     17808.60,     17961.05,142.7
,CNX MNC,      7732.40,      7761.20,      7761.20,      7634.60,      7657.95,-74.45
,CNX Pharma,      8799.25,      8819.45,      8836.80,      8639.65,      8717.15,-82.1
,CNX PSE,      3645.45,      3653.95,      3696.65,      3572.05,      3643.30,-2.15
,CNX PSU Bank,      3650.15,      3659.80,      3693.60,      3593.00,      3629.55,-20.6
,CNX Service,      9283.30,      9287.05,      9317.60,      9184.40,      9214.25,-69.05
,India VIX,19.1800,19.1800,19.3050,18.0100,18.1875,-0.9925
,CNX AUTO,      7034.50,      7036.85,      7036.85,      6792.25,      6852.00,-182.5
,CNX Metal,      3250.05,      3249.75,      3283.45,      3193.10,      3231.35,-18.7
,CNX Media,      2062.10,      2054.85,      2074.80,      2029.60,      2037.45,-24.65
,CNX Smallcap,      5228.10,      5202.30,      5243.60,      5064.95,      5102.90,-125.2
,CNX 200,      3894.35,      3899.85,      3908.70,      3848.20,      3866.60,-27.75
,CNX Dividend Oppt,      2037.00,      2039.00,      2048.50,      2003.95,      2020.15,-16.85
,CNX Commodities,      2960.20,      2963.65,      2993.25,      2912.85,      2954.10,-6.1
,CNX Consumption,      2955.25,      2954.95,      2963.85,      2908.15,      2921.85,-33.4
,CNX Finance,      6232.05,      6226.10,      6267.90,      6157.25,      6202.50,-29.55
,Nifty Dividend,        53.84,        56.05,        56.05,        56.05,        56.05,2.21
,LIX 15,      3509.20,      3511.25,      3521.00,      3450.60,      3473.25,-35.95
,CPSE Index,      2578.45,      2576.85,      2605.40,      2523.05,      2566.50,-11.95
,NI15,      4206.85,      4216.60,      4221.10,      4152.35,      4169.20,-37.65

,ADVANCES,337
,DECLINES,1217
,UNCHANGED,51

,Total securities that have hit their price bands today,402

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ITC,EQ,       335.80,       341.50,1.7,574.07
,SBIN,EQ,      2575.20,      2582.25,0.27,470.95
,ICICIBANK,EQ,      1411.20,      1403.05,-0.58,405.9
,LT,EQ,      1672.55,      1651.65,-1.25,403.92
,ABAN,EQ,       882.65,       809.25,-8.32,375.54
,INFY,EQ,      3342.15,      3310.35,-0.95,344.19
,RELIANCE,EQ,       995.05,      1000.95,0.59,341.07
,RELINFRA,EQ,       749.40,       749.85,0.06,334.03
,SSLT,EQ,       296.30,       294.40,-0.64,330.68
,IRB,EQ,       245.00,       236.40,-3.51,330.38
,JPASSOCIAT,EQ,        66.05,        65.55,-0.76,325.38
,KSCL,EQ,       798.30,       788.95,-1.17,298.5
,RELCAPITAL,EQ,       608.15,       591.10,-2.8,287.86
,ONGC,EQ,       396.70,       404.95,2.08,273.38
,TATASTEEL,EQ,       513.55,       518.35,0.93,269.37
,HCLTECH,EQ,      1478.15,      1473.20,-0.33,268.32
,MCX,EQ,       678.70,       687.70,1.33,268.16
,UNITECH,EQ,        28.20,        28.35,0.53,264.94
,HDFC,EQ,      1022.20,      1015.40,-0.67,247.2
,IDFC,EQ,       137.05,       139.45,1.75,242.61
,HDIL,EQ,        92.75,        89.60,-3.4,236.2
,AXISBANK,EQ,      1888.25,      1873.60,-0.78,223.91
,PFC,EQ,       297.10,       290.25,-2.31,220.2
,COALINDIA,EQ,       377.40,       365.70,-3.1,209.17
,YESBANK,EQ,       525.95,       513.15,-2.43,207.03

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ONGC,EQ,       404.95,       396.70,2.08
,BPCL,EQ,       582.85,       571.35,2.01
,IDFC,EQ,       139.45,       137.05,1.75
,ITC,EQ,       341.50,       335.80,1.7
,ACC,EQ,      1435.55,      1418.55,1.2

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JINDALSTEL,EQ,       297.20,       309.90,-4.1
,COALINDIA,EQ,       365.70,       377.40,-3.1
,M&M,EQ,      1178.55,      1214.50,-2.96
,TATAPOWER,EQ,       102.85,       105.95,-2.93
,MARUTI,EQ,      2516.45,      2589.65,-2.83

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        33.65,                  3065454.95,90840
,3IINFOTECH,BE,         9.85,                 10398685.55,1047368
,3MINDIA,EQ,      4879.05,                  3585767.10,724
,8KMILES,EQ,       172.15,                   496822.75,2912
,A2ZMES,EQ,        25.05,                 35800784.15,1436557
,AARTIDRUGS,EQ,       529.05,                  5636842.20,10645
,AARTIIND,EQ,       214.85,                 37289010.20,172441
,AARVEEDEN,EQ,        46.35,                   133791.15,2766
,ABAN,EQ,       809.25,               3755393033.15,4359071
,ABB,EQ,      1050.60,                 47921642.10,45845
,ABBOTINDIA,EQ,      2184.30,                 21011830.75,9582
,ABCIL,EQ,       202.85,                  9180481.85,44620
,ABGSHIP,EQ,       259.65,                 13142133.15,50497
,ACCELYA,EQ,       705.35,                  6512272.90,9134
,ACE,EQ,        28.05,                  9470085.80,332808
,ACROPETAL,EQ,         3.90,                   280720.90,72771
,ADANIPOWER,EQ,        57.70,                765059017.05,13100351
,ADFFOODS,EQ,        62.00,                  4924912.85,79343
,ADHUNIK,EQ,        50.70,                  5507740.20,107881
,ADORWELD,BE,       225.05,                  1688486.10,7512
,ADSL,EQ,        20.75,                   696677.05,33226
,ADVANIHOTR,EQ,        45.50,                    53320.50,1187
,ADVANTA,BE,       269.40,                  3767806.50,14055
,AEGISCHEM,EQ,       244.00,                 16318521.15,67166
,AFL,EQ,        47.00,                    60559.15,1300
,AFTEK,BE,         7.15,                   497299.20,70832
,AGARIND,EQ,       136.50,                   210213.65,1539
,AGCNET,EQ,        66.75,                   488229.90,7257
,AGRITECH,BE,         9.70,                    82477.35,8299
,AGRODUTCH,BE,         3.45,                     6917.25,2005
,AHLEAST,EQ,       250.30,                   362406.60,1448
,AHLUCONT,EQ,       105.05,                  8126887.00,74728
,AHLWEST,EQ,       114.95,                   127480.90,1093
,AHMEDFORGE,EQ,       281.50,                 73945365.45,258724
,AIAENG,EQ,       746.85,                 49194596.70,64002
,AIL,EQ,       531.05,                 41254324.35,77942
,AJANTPHARM,EQ,      1489.70,                 62596471.55,41824
,AJMERA,EQ,        73.55,                   612410.80,8288
,AKSHOPTFBR,EQ,        21.10,                  3072274.05,141016
,AKZOINDIA,EQ,      1069.95,                 18147851.40,16925
,ALBK,EQ,       124.40,                852175702.90,6643411
,ALCHEM,EQ,        52.95,                   190145.15,3560
,ALEMBICLTD,EQ,        22.85,                 24986263.80,1084674
,ALICON,EQ,       168.10,                  2111773.80,12480
,ALKALI,EQ,        22.55,                    83192.20,3679
,ALKYLAMINE,EQ,       567.00,                  2366469.75,4152
,ALLCARGO,EQ,       237.05,                 23407728.65,98346
,ALLSEC,EQ,        28.90,                    40377.50,1388
,ALMONDZ,EQ,         9.15,                    63593.20,6895
,ALOKTEXT,EQ,        12.95,                348086942.30,26782601
,ALPA,BE,         9.10,                     6079.70,667
,ALPHAGEO,EQ,       240.00,                   576575.70,2401
,ALPSINDUS,BE,         2.35,                       75.20,32
,ALSTOMT&D,EQ,       324.95,                 18798990.30,57890
,AMARAJABAT,EQ,       466.05,                 79806893.45,167768
,AMARJOTHI,EQ,        79.45,                    32284.05,406
,AMBIKCO,EQ,       374.75,                  1438825.35,3821
,AMDIND,BE,        21.60,                   117443.90,5316
,AMRUTANJAN,EQ,       165.95,                  7160741.00,42793
,AMTEKAUTO,EQ,       219.05,                581510486.55,2625035
,AMTEKINDIA,BE,        90.80,                 40515364.80,446680
,AMTL,EQ,        18.60,                    60565.35,3287
,ANANTRAJ,EQ,        65.05,                 96593760.80,1461459
,ANDHRABANK,EQ,        89.55,                530757836.90,5841850
,ANDHRACEMT,EQ,         9.65,                   499451.75,51096
,ANDHRSUGAR,EQ,       137.50,                  3954115.30,28609
,ANGIND,BE,        16.40,                    49288.00,3095
,ANIKINDS,BE,        34.85,                    94156.25,2725
,ANKITMETAL,EQ,         9.30,                  8523596.90,908945
,ANSALAPI,EQ,        36.55,                 13892725.45,377752
,ANSALHSG,EQ,        28.55,                  1147038.60,40847
,ANTGRAPHIC,BE,          .25,                     4720.00,21600
,APARINDS,EQ,       273.55,                 24607365.40,87830
,APCOTEXIND,EQ,       172.75,                  1039748.10,6006
,APLAB,BE,        49.80,                    13068.20,279
,APLAPOLLO,EQ,       297.70,                  1126672.10,3785
,APLLTD,EQ,       305.90,                 99914092.05,324816
,APOLLOTYRE,EQ,       183.00,               1178173963.70,6298112
,APTECHT,EQ,        90.25,                 40206801.65,441826
,ARCHIDPLY,EQ,        15.45,                    79765.40,5164
,ARCHIES,EQ,        21.45,                 19296566.40,879379
,ARCOTECH,EQ,       312.90,                  3159583.80,10080
,ARIES,EQ,        84.10,                 13684544.50,159531
,ARIHANT,BE,        44.00,                     3124.00,71
,AROGRANITE,EQ,        42.85,                   584306.50,13650
,ARROWTEX,EQ,        10.30,                    87194.35,8546
,ARSHIYA,BE,        24.65,                   780984.45,31564
,ARSSINFRA,BE,        62.80,                  5002132.25,79375
,ARVIND,EQ,       222.85,                734567476.30,3270183
,ARVINDREM,EQ,        38.20,                 34433983.40,898188
,ASAHIINDIA,EQ,        84.65,                  7517142.05,88672
,ASAHISONG,EQ,       109.25,                  1526141.95,13753
,ASAL,EQ,        46.90,                   131001.35,2744
,ASHAPURMIN,EQ,        73.90,                 17574416.80,234538
,ASHIANA,EQ,       119.25,                  1843929.20,15460
,ASHIMASYN,BE,         7.95,                   166180.95,21208
,ASHOKA,EQ,       140.75,                  3959062.05,28266
,ASHOKLEY,EQ,        33.05,                689159148.00,20463767
,ASIANHOTNR,EQ,       143.45,                   180668.05,1258
,ASIANTILES,BE,        68.40,                   826258.75,12288
,ASIL,BE,         1.15,                      115.00,100
,ASSAMCO,EQ,         5.65,                  5610614.65,987451
,ASTEC,EQ,        54.55,                  3655114.70,68832
,ASTRAL,EQ,       672.60,                  5078011.95,7465
,ASTRAMICRO,EQ,       132.70,                211096881.05,1603569
,ASTRAZEN,EQ,      1151.05,                 15696243.20,13557
,ATFL,EQ,       580.80,                  5119866.00,8934
,ATLANTA,EQ,        61.50,                  9202864.15,148332
,ATLASCYCLE,EQ,       252.05,                  7851051.20,30569
,ATNINTER,BE,          .90,                      461.70,513
,ATUL,EQ,       978.45,                 62294204.45,63268
,ATULAUTO,EQ,       502.30,                  4197633.90,8146
,AURIONPRO,EQ,       198.95,                  6433313.10,32239
,AUROPHARMA,EQ,       677.90,               1710021943.95,2447225
,AUSOMENT,BE,         9.80,                      980.00,100
,AUSTRAL,BE,         1.15,                   166428.40,144091
,AUTOAXLES,EQ,       572.40,                 18925347.90,31314
,AUTOIND,EQ,        86.80,                 12879827.35,145577
,AUTOLITIND,EQ,        25.70,                    18226.30,707
,AVANTI,EQ,       679.55,                  4461897.50,6498
,AVTNPL,EQ,        41.50,                  4810784.30,113151
,AXIS-IT&T,EQ,        81.55,                 15129237.75,179571
,AXISGOLD,EQ,      2652.15,                   252805.90,95
,BAFNAPHARM,EQ,        34.35,                  1031901.20,30179
,BAGFILMS,EQ,         4.00,                   313242.10,78036
,BAJAJCORP,EQ,       238.55,                 15117230.25,63661
,BAJAJELEC,EQ,       339.90,                 33390926.10,99232
,BAJAJHIND,EQ,        26.80,                 92365382.15,3399361
,BAJFINANCE,EQ,      2180.15,                 51195686.20,23079
,BALAJITELE,EQ,        65.25,                 16058819.05,242522
,BALAMINES,EQ,        67.75,                  3099568.80,45868
,BALKRISIND,EQ,       694.00,                137858294.55,197885
,BALLARPUR,EQ,        17.00,                 37762379.05,2178274
,BALMLAWRIE,EQ,       516.45,                 33105212.95,63387
,BALPHARMA,EQ,        58.05,                  5631014.30,97960
,BALRAMCHIN,EQ,        80.15,                 33617383.55,421156
,BANARBEADS,EQ,        31.25,                      654.50,20
,BANARISUG,EQ,      1027.00,                   540186.25,523
,BANCOINDIA,EQ,       128.25,                 24325313.40,185401
,BANG,EQ,        13.25,                     2729.50,208
,BANKBEES,EQ,      1500.02,                  1769055.16,1173
,BANSWRAS,BE,        74.45,                    70250.30,928
,BARTRONICS,EQ,        13.25,                  1180002.35,88674
,BASF,EQ,       851.55,                  4090347.60,4757
,BASML,EQ,       133.60,                   215854.55,1586
,BATAINDIA,EQ,      1233.70,                139831369.00,111864
,BAYERCROP,EQ,      1772.80,                  7970819.25,4521
,BBL,EQ,       731.15,                  4382780.45,5948
,BBTC,EQ,       128.40,                 10675111.70,81267
,BEARDSELL,EQ,        62.00,                     1550.00,25
,BECREL,BE,         6.75,                     7737.50,1150
,BEDMUTHA,EQ,        17.95,                   482352.95,26761
,BEL,EQ,      1960.60,                628134384.10,311999
,BEML,BE,       736.25,                 30933990.45,41909
,BEPL,EQ,        19.50,                   248669.50,12680
,BERGEPAINT,EQ,       303.35,                 78471161.30,256431
,BFINVEST,EQ,        75.55,                  1488215.95,19376
,BFUTILITIE,EQ,       612.10,                 61328287.85,98252
,BGLOBAL,BE,         7.55,                    17365.00,2300
,BGRENERGY,EQ,       200.70,                 66639697.75,328408
,BHAGYNAGAR,EQ,        17.80,                  1273796.60,71636
,BHARATGEAR,EQ,        61.60,                  5051377.30,82421
,BHARATRAS,EQ,       371.45,                    45278.60,121
,BHARTISHIP,BE,        39.00,                   815183.50,21012
,BHUSANSTL,EQ,       398.75,                 22958844.20,57589
,BIL,EQ,       353.65,                  6167368.90,17633
,BILENERGY,BE,         2.35,                    44503.50,19210
,BILPOWER,BE,         2.85,                    69511.00,24316
,BIMETAL,EQ,       288.00,                   254752.90,897
,BINANIIND,EQ,       147.85,                 16518433.80,108763
,BINDALAGRO,EQ,        34.55,                  5222020.40,147754
,BIOCON,EQ,       498.40,                487503210.60,972180
,BIRLACORPN,EQ,       380.10,                 11137205.50,29238
,BIRLACOT,BE,          .15,                  3788978.80,24782575
,BIRLAERIC,BE,        59.80,                  2700993.60,45165
,BIRLAMONEY,EQ,        19.75,                   322381.70,16537
,BLBLIMITED,BE,         3.95,                     6045.00,1600
,BLISSGVS,EQ,        48.85,                  3378224.10,69060
,BLKASHYAP,EQ,         9.90,                   887661.45,89822
,BLUECHIP,BE,          .55,                     1100.00,2000
,BLUEDART,EQ,      4015.45,                  6626820.15,1625
,BLUESTARCO,EQ,       292.20,                 15918553.85,54712
,BLUESTINFO,EQ,       163.75,                  2363328.30,14287
,BODALCHEM,EQ,        43.60,                  1367950.00,31375
,BODHTREE,BE,        19.00,                     7638.00,402
,BOMDYEING,EQ,        70.40,                111898633.25,1548419
,BPL,EQ,        17.25,                   447314.60,25776
,BRANDHOUSE,BE,         2.80,                    78014.00,28088
,BRFL,EQ,       155.35,                  3474211.00,22392
,BRIGADE,EQ,       118.20,                  3029460.75,25732
,BRITANNIA,EQ,       997.65,                140529367.35,137616
,BROADCAST,BE,         5.25,                     1050.00,200
,BROOKS,EQ,        30.40,                  6664997.80,209838
,BSELINFRA,BE,         3.35,                   118141.80,35210
,BSL,EQ,        29.50,                   298130.65,10123
,BSLGOLDETF,EQ,      2653.65,                    96148.35,36
,BSLIMITED,EQ,        35.90,                 21064241.35,586685
,BSLNIFTY,EQ,        72.00,                      792.00,11
,BURNPUR,EQ,        13.10,                  1483863.90,112825
,BUTTERFLY,EQ,       288.85,                   532029.85,1849
,BVCL,BE,        12.80,                    66085.75,5106
,CADILAHC,EQ,      1141.40,                 72628734.15,63569
,CALSOFT,BE,         7.90,                      790.00,100
,CANDC,BE,        41.60,                    44260.10,1056
,CANFINHOME,EQ,       426.15,                 24322224.70,56835
,CANTABIL,EQ,        23.60,                    23509.70,1009
,CAPF,EQ,       210.55,                 67434410.65,318216
,CAPLIPOINT,EQ,       253.90,                  1251795.45,4935
,CARBORUNIV,EQ,       181.55,                  5768498.20,31516
,CAREERP,EQ,       126.40,                   194384.70,1534
,CARERATING,EQ,      1138.65,                 65262241.05,57226
,CASTROLIND,EQ,       337.70,                275845432.80,811586
,CCCL,BE,         6.95,                   892499.30,128527
,CCL,EQ,        67.90,                 36139957.15,526614
,CEATLTD,EQ,       603.20,                429207689.75,698084
,CEBBCO,BE,        21.25,                   775643.75,36490
,CELEBRITY,BE,        15.45,                    84883.75,5425
,CELESTIAL,EQ,        25.00,                  1269595.45,52026
,CENTENKA,EQ,       171.40,                  5635880.25,32437
,CENTEXT,BE,         1.80,                    12212.50,6950
,CENTRALBK,EQ,        70.60,                100234431.75,1403115
,CENTUM,EQ,       314.75,                  6714971.55,21513
,CENTURYPLY,EQ,        82.35,                 47289728.15,576174
,CENTURYTEX,EQ,       582.90,                432144670.45,737642
,CERA,EQ,      1248.55,                  8173208.95,6455
,CEREBRAINT,BE,         9.05,                    38262.50,4250
,CESC,EQ,       696.15,                380893862.85,536584
,CGCL,EQ,       170.60,                   306816.45,1798
,CHAMBLFERT,EQ,        56.65,                 93946729.10,1620847
,CHEMFALKAL,EQ,        91.60,                   590278.45,6452
,CHENNPETRO,EQ,        90.30,                 22374105.05,247086
,CHOLAFIN,EQ,       414.85,                 18323912.40,44331
,CHROMATIC,EQ,         4.60,                   246306.10,53941
,CIMMCO,BE,        44.90,                  1708049.65,39076
,CINELINE,EQ,        14.25,                   217087.40,14689
,CINEVISTA,BE,         3.80,                    12760.80,3316
,CLASSIC,BE,         3.90,                    13539.40,3407
,CLNINDIA,EQ,       884.90,                 16875514.65,18984
,CLUTCHAUTO,EQ,        20.10,                   254402.45,12424
,CMAHENDRA,EQ,       199.90,                 17584036.70,88000
,CMC,EQ,      1979.25,                 49008006.80,24803
,CNOVAPETRO,EQ,        23.15,                     3415.00,150
,COMPUAGE,EQ,       126.60,                  5439641.15,42118
,COMPUSOFT,EQ,        13.60,                   432529.95,31229
,CONSOFINVT,BE,        44.00,                    80209.20,1820
,CORDSCABLE,BE,        25.75,                    42603.10,1640
,COREEDUTEC,EQ,        16.40,                  5811503.85,350036
,COROENGG,EQ,        60.65,                  1006777.10,16461
,COROMANDEL,EQ,       247.20,                 63262953.70,255428
,CORPBANK,EQ,       380.50,                 14056232.75,36584
,COSMOFILMS,EQ,        72.40,                  2073123.85,28424
,COUNCODOS,EQ,         2.10,                     8129.00,4102
,COX&KINGS,EQ,       242.30,                 92227763.40,370324
,CPSEETF,EQ,        25.63,                 90336643.21,3513727
,CREATIVEYE,EQ,         4.75,                    12542.50,2647
,CRESTANI,BZ,         3.75,                        3.75,1
,CRISIL,EQ,      1911.35,                106838900.35,54132
,CUB,EQ,        74.15,                 35700445.60,481670
,CUBEXTUB,BE,         7.95,                      397.50,50
,CURATECH,BE,        17.90,                      447.50,25
,CYBERMEDIA,BE,         8.90,                     1112.50,125
,CYBERTECH,EQ,        34.55,                   457723.55,13216
,CYIENT,EQ,       330.05,                  2551740.15,7723
,DAAWAT,EQ,       120.00,                  2805010.10,23367
,DALMIABHA,BE,       467.50,                 16642684.70,36568
,DALMIAREF,BE,       112.85,                   389440.65,3382
,DALMIASUG,EQ,        24.00,                   490244.30,20049
,DATAMATICS,EQ,        53.90,                  3658481.25,66513
,DBCORP,EQ,       315.05,                 40026301.15,126977
,DBREALTY,BE,        87.90,                 12485834.50,141428
,DBSTOCKBRO,EQ,        65.85,                  1653814.00,25073
,DCBBANK,EQ,        79.15,                 79209649.80,999338
,DCM,EQ,        96.95,                  5196127.25,52709
,DCMSHRIRAM,EQ,       152.55,                 32369253.10,209720
,DCW,EQ,        25.40,                 72228522.00,2792758
,DECOLIGHT,EQ,         2.60,                   121524.00,46740
,DEEPAKFERT,EQ,       157.95,                 28753797.10,180861
,DEEPAKNTR,EQ,        83.20,                  4497684.65,54207
,DEEPIND,EQ,        76.25,                  6819653.05,89895
,DELTACORP,EQ,        84.15,                115302493.00,1357185
,DEN,EQ,       214.45,                100105599.40,465782
,DENABANK,EQ,        74.85,                179624933.90,2348576
,DENORA,EQ,       140.00,                   149923.15,1058
,DHAMPURSUG,EQ,        58.70,                  7316471.75,122980
,DHANBANK,EQ,        51.80,                 61165404.15,1173443
,DHANUKA,EQ,       433.35,                 20529827.65,47864
,DHARSUGAR,BE,        33.55,                    56100.30,1617
,DHFL,EQ,       375.75,                265831776.15,697406
,DHUNINV,EQ,        76.00,                    61487.55,816
,DIAPOWER,EQ,       105.00,                 20591000.60,193964
,DICIND,EQ,       448.70,                  1675042.70,3722
,DIGJAM,EQ,         7.70,                   456272.55,58888
,DISHMAN,EQ,       127.10,                 71168154.40,552231
,DISHTV,EQ,        57.80,                584726900.40,9910588
,DLINKINDIA,BE,        64.80,                 24153706.50,379517
,DOLPHINOFF,EQ,       110.50,                 12000263.30,105459
,DONEAR,BE,        17.85,                    53291.70,2969
,DPSCLTD,EQ,        15.05,                   356591.05,23352
,DPTL,EQ,       135.75,                  2030086.85,14912
,DQE,EQ,        28.65,                  2898829.80,99695
,DRDATSONS,EQ,        12.75,                 10254053.20,795890
,DREDGECORP,EQ,       441.45,                 84973389.40,189322
,DSKULKARNI,EQ,        67.65,                  2394001.65,35421
,DUNCANSLTD,BE,        26.30,                   201148.30,7690
,DWARKESH,EQ,        42.15,                   562107.60,13289
,DYNAMATECH,BE,      1674.20,                  9474126.20,5518
,DYNATECH,BE,          .70,                      922.70,1361
,EASTSILK,BE,         3.50,                     3577.00,1022
,EASUNREYRL,EQ,        79.95,                  1633781.75,20217
,ECEIND,EQ,       111.15,                    43929.45,397
,ECLERX,EQ,      1221.10,                 45682194.45,37422
,ECLFINANCE,N7,      1010.00,                   134180.00,133
,ECLFINANCE,N5,      1008.95,                  1676980.77,1663
,ECLFINANCE,N2,      1060.01,                    21200.20,20
,ECLFINANCE,N3,      1012.77,                   215075.94,213
,EDELWEISS,BE,        59.45,                 41901882.90,684482
,EDL,EQ,        49.00,                  1155103.10,23414
,EDUCOMP,BE,        36.40,                 13178643.90,356952
,EICHERMOT,EQ,      8189.05,                205264713.30,24934
,EIDPARRY,EQ,       200.05,                 30639329.05,153897
,EIHAHOTELS,EQ,       179.65,                   300162.85,1671
,EIHOTEL,EQ,        90.05,                 11614364.80,129695
,EIMCOELECO,BE,       375.00,                   537204.50,1416
,EKC,EQ,        18.20,                  1774745.05,96829
,ELDERPHARM,EQ,       197.25,                 21457316.60,107033
,ELECON,EQ,        58.05,                 12119208.75,205442
,ELECTCAST,EQ,        30.05,                 20739154.30,672971
,ELECTHERM,EQ,        31.15,                    77556.40,2522
,ELFORGE,BE,         5.15,                    10800.90,2096
,ELGIEQUIP,EQ,       123.35,                 10585255.85,85346
,ELGIRUBCO,EQ,        33.55,                   619380.00,17813
,ELNET,BE,        56.00,                    53609.20,956
,EMAMIINFRA,EQ,        26.10,                   328733.15,12649
,EMAMILTD,EQ,       518.80,                 97519525.90,188579
,EMCO,BE,        41.75,                  6416940.35,153982
,EMKAY,BE,        37.50,                   270025.00,7192
,EMMBI,EQ,        15.05,                   221546.55,14538
,EMPEESUG,BE,         7.00,                    77421.85,10901
,ENERGYDEV,EQ,        22.40,                    97009.35,4309
,ENGINERSIN,EQ,       302.90,                160044733.35,526856
,ENIL,EQ,       417.10,                  1924840.35,4526
,ENTEGRA,BE,         6.45,                       32.25,5
,EON,EQ,        23.80,                     9439.00,400
,ERAINFRA,EQ,        23.45,                  6550139.05,276947
,EROSMEDIA,EQ,       213.20,                 70354177.55,329911
,ESABINDIA,BE,       650.25,                   376136.10,573
