,10-Jul-2014
The Nifty witnessed an intraday movement of about 252 points.The closing index was 0.23 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 25924.52
, Traded Quantity (in Lakhs), 15811.17
, Number of Trades, 10412833
, Total Market Capitalisation (Rs. Crores), 8714349.43

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      7585.00,      7589.50,      7731.05,      7479.05,      7567.75,-17.25
,CNX IT,      9903.30,      9906.65,     10002.65,      9753.10,      9816.20,-87.1
,CNX Nifty Junior,     16035.80,     16034.30,     16515.20,     15703.95,     16137.80,102
,BANK Nifty,     14931.10,     14940.00,     15371.05,     14621.95,     14821.70,-109.4
,CNX Midcap,     10780.25,     10779.35,     11100.35,     10543.45,     10845.60,65.35
,CNX 500,      6104.00,      6105.95,      6233.05,      6008.20,      6105.20,1.2
,CNX 100,      7517.85,      7521.55,      7670.00,      7406.95,      7510.25,-7.6
,Nifty Midcap 50,      3154.00,      3154.60,      3279.20,      3053.30,      3169.65,15.65
,CNX Realty,       243.90,       244.00,       268.40,       238.80,       255.45,11.55
,CNX Infra,      3262.00,      3281.05,      3365.90,      3167.45,      3270.95,8.95
,CNX Energy,      9694.95,      9704.70,      9927.20,      9467.50,      9706.30,11.35
,CNX FMCG,     17961.05,     17921.35,     18212.55,     17773.85,     18000.20,39.15
,CNX MNC,      7657.95,      7653.35,      7791.75,      7531.20,      7666.40,8.45
,CNX Pharma,      8717.15,      8677.95,      8837.70,      8578.85,      8714.85,-2.3
,CNX PSE,      3643.30,      3654.40,      3756.30,      3542.80,      3666.80,23.5
,CNX PSU Bank,      3629.55,      3630.80,      3760.05,      3510.60,      3591.80,-37.75
,CNX Service,      9214.25,      9221.75,      9399.95,      9075.00,      9183.75,-30.5
,India VIX,18.1875,18.1875,18.1875,15.4100,15.9650,-2.2225
,CNX AUTO,      6852.00,      6854.65,      7022.30,      6754.95,      6796.50,-55.5
,CNX Metal,      3231.35,      3238.75,      3356.65,      3157.10,      3258.40,27.05
,CNX Media,      2037.45,      2028.00,      2073.75,      2018.25,      2044.65,7.2
,CNX Smallcap,      5102.90,      5101.35,      5312.75,      4985.10,      5176.05,73.15
,CNX 200,      3866.60,      3868.15,      3948.00,      3806.80,      3864.90,-1.7
,CNX Dividend Oppt,      2020.15,      2020.00,      2065.05,      1975.55,      2020.85,.7
,CNX Commodities,      2954.10,      2960.05,      3041.60,      2891.60,      2971.65,17.55
,CNX Consumption,      2921.85,      2919.80,      2951.65,      2871.45,      2904.95,-16.9
,CNX Finance,      6202.50,      6205.10,      6384.40,      6095.90,      6202.40,-.1
,Nifty Dividend,        56.05,        56.05,        56.05,        56.05,        56.05,0
,LIX 15,      3473.25,      3479.25,      3595.30,      3407.05,      3481.45,8.2
,CPSE Index,      2566.50,      2569.60,      2653.30,      2509.05,      2597.40,30.9
,NI15,      4169.20,      4160.45,      4203.45,      4130.75,      4142.60,-26.6

,ADVANCES,952
,DECLINES,564
,UNCHANGED,64

,Total securities that have hit their price bands today,406

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,      2582.25,      2545.70,-1.42,962.84
,ITC,EQ,       341.50,       342.15,0.19,930.85
,IDFC,EQ,       139.45,       151.55,8.68,828.3
,RELCAPITAL,EQ,       591.10,       605.55,2.44,637
,LT,EQ,      1651.65,      1654.75,0.19,577.5
,ICICIBANK,EQ,      1403.05,      1389.00,-1,540.6
,UNITECH,EQ,        28.35,        28.15,-0.71,495.19
,DLF,EQ,       204.00,       222.40,9.02,493.52
,INFY,EQ,      3310.35,      3292.70,-0.53,472.58
,IRB,EQ,       236.40,       246.25,4.17,451.53
,RELINFRA,EQ,       749.85,       764.95,2.01,425.58
,RELIANCE,EQ,      1000.95,       997.20,-0.37,425.39
,ABAN,EQ,       809.25,       736.65,-8.97,420.42
,ONGC,EQ,       404.95,       404.00,-0.23,407.57
,JPASSOCIAT,EQ,        65.55,        64.95,-0.92,378.12
,YESBANK,EQ,       513.15,       528.85,3.06,368.42
,HDIL,EQ,        89.60,        94.40,5.36,365.45
,PFC,EQ,       290.25,       302.55,4.24,361.22
,TATASTEEL,EQ,       518.35,       521.40,0.59,358.28
,AXISBANK,EQ,      1873.60,      1862.05,-0.62,332.59
,CANBK,EQ,       412.20,       414.00,0.44,269.99
,BANKINDIA,EQ,       281.65,       280.30,-0.48,267.09
,LICHSGFIN,EQ,       315.30,       325.30,3.17,260.93
,HDFC,EQ,      1015.40,      1022.85,0.73,252.79
,MCDOWELL-N,EQ,      2295.90,      2347.50,2.25,245.73

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DLF,EQ,       222.40,       204.00,9.02
,IDFC,EQ,       151.55,       139.45,8.68
,HINDALCO,EQ,       176.25,       170.55,3.34
,TATAPOWER,EQ,       105.90,       102.85,2.97
,MCDOWELL-N,EQ,      2347.50,      2295.90,2.25

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HEROMOTOCO,EQ,      2439.10,      2537.90,-3.89
,TECHM,EQ,      2021.45,      2067.35,-2.22
,BHARTIARTL,EQ,       334.05,       341.50,-2.18
,TCS,EQ,      2351.80,      2398.15,-1.93
,INDUSINDBK,EQ,       536.15,       543.90,-1.42

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        33.55,                  2615090.75,77560
,3IINFOTECH,BE,        10.10,                 13694209.30,1378730
,3MINDIA,EQ,      4845.95,                  1750264.35,363
,8KMILES,EQ,       177.20,                   381502.85,2155
,A2ZMES,EQ,        26.30,                  5442180.10,206927
,AARTIDRUGS,EQ,       531.90,                  6394851.80,12118
,AARTIIND,EQ,       206.35,                 44316179.10,210984
,AARVEEDEN,EQ,        47.00,                   157493.35,3356
,ABAN,EQ,       736.65,               4204164243.15,5633124
,ABB,EQ,      1062.55,                105627217.75,99591
,ABBOTINDIA,EQ,      2131.30,                  2915165.80,1354
,ABCIL,EQ,       201.85,                  5702324.45,28103
,ABGSHIP,EQ,       258.70,                 15948215.40,61733
,ACCELYA,EQ,       705.30,                  7949589.80,11215
,ACE,EQ,        28.75,                 15821414.15,543699
,ACROPETAL,EQ,         4.00,                   202669.10,51927
,ADANIPOWER,EQ,        59.50,               1210636361.90,20394362
,ADFFOODS,EQ,        62.90,                  5233103.00,84037
,ADHUNIK,EQ,        50.45,                  5841753.15,115288
,ADORWELD,BE,       229.25,                   504114.00,2277
,ADSL,EQ,        21.25,                   632240.40,29963
,ADVANIHOTR,EQ,        44.05,                    15350.80,348
,ADVANTA,BE,       272.15,                  3283483.50,11970
,AEGISCHEM,EQ,       244.15,                  8835424.65,35887
,AFL,EQ,        45.85,                   125420.40,2738
,AFTEK,BE,         7.00,                   373589.50,53771
,AGARIND,EQ,       130.70,                   172656.45,1307
,AGCNET,EQ,        68.15,                    85666.30,1276
,AGRITECH,BE,         9.25,                    16718.00,1769
,AGRODUTCH,BE,         3.30,                     4158.00,1260
,AHLEAST,EQ,       252.25,                 10006966.85,39974
,AHLUCONT,EQ,       105.85,                 13536616.10,127602
,AHLWEST,EQ,       114.50,                   377600.45,3235
,AHMEDFORGE,EQ,       278.50,                136222243.35,485742
,AIAENG,EQ,       728.55,                135304378.35,181337
,AICHAMP,BE,        16.70,                    10170.00,600
,AIL,EQ,       528.60,                 22205014.90,42077
,AJANTPHARM,EQ,      1445.55,                 69274674.90,48085
,AJMERA,EQ,        77.80,                  2393198.20,30888
,AKSHOPTFBR,EQ,        22.15,                  2551933.75,115454
,AKZOINDIA,EQ,      1074.30,                  7910224.20,7371
,ALBK,EQ,       122.50,               1036734483.20,8332832
,ALCHEM,EQ,        53.80,                   325481.75,6014
,ALEMBICLTD,EQ,        23.75,                 17341840.15,738697
,ALICON,EQ,       167.75,                  1689976.05,10299
,ALKALI,EQ,        22.60,                    42271.40,1876
,ALKYLAMINE,EQ,       570.00,                  2046615.30,3545
,ALLCARGO,EQ,       240.70,                  8308814.70,35175
,ALLSEC,EQ,        28.95,                    46259.95,1603
,ALMONDZ,EQ,         9.95,                    40106.50,4340
,ALOKTEXT,EQ,        13.20,                326029638.10,24541566
,ALPA,BE,         9.55,                     3002.50,330
,ALPHAGEO,EQ,       241.65,                  1250594.35,5218
,ALPINEHOU,BE,        23.65,                       23.65,1
,ALPSINDUS,BE,         2.25,                     1200.25,529
,ALSTOMT&D,EQ,       335.35,                 23603400.90,71512
,AMARAJABAT,EQ,       467.60,                 85268837.40,184135
,AMARJOTHI,EQ,        79.00,                    38235.50,484
,AMBIKCO,EQ,       369.85,                  1529271.60,4104
,AMDIND,BE,        22.50,                   163567.25,7447
,AMRUTANJAN,EQ,       167.75,                  4963204.60,29892
,AMTEKAUTO,EQ,       236.90,                666326441.50,2868836
,AMTEKINDIA,BE,        92.40,                 24550541.20,267034
,AMTL,EQ,        18.85,                    44048.25,2348
,ANANTRAJ,EQ,        65.60,                231742031.15,3458891
,ANDHRABANK,EQ,        89.60,                886008993.90,9900669
,ANDHRACEMT,EQ,         9.65,                   393916.10,40112
,ANDHRSUGAR,EQ,       139.95,                  3507556.95,25152
,ANGIND,BE,        16.00,                    36445.35,2248
,ANIKINDS,BE,        33.25,                    79031.30,2343
,ANKITMETAL,EQ,         9.00,                  8159372.35,886185
,ANSALAPI,EQ,        37.65,                 18695910.55,498483
