,11-Jul-2014
The Nifty witnessed an intraday movement of about 178.65 points.The closing index was 1.43 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 19323.63
, Traded Quantity (in Lakhs), 11383.57
, Number of Trades, 8162321
, Total Market Capitalisation (Rs. Crores), 8544954.47

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      7567.75,      7584.10,      7625.85,      7447.20,      7459.60,-108.15
,CNX IT,      9816.20,      9992.15,     10050.60,      9889.65,      9933.55,117.35
,CNX Nifty Junior,     16137.80,     16129.30,     16264.40,     15591.65,     15657.30,-480.5
,BANK Nifty,     14821.70,     14796.90,     14918.85,     14406.65,     14447.20,-374.5
,CNX Midcap,     10845.60,     10853.60,     10932.70,     10461.95,     10495.60,-350
,CNX 500,      6105.20,      6116.00,      6153.55,      5981.45,      5991.70,-113.5
,CNX 100,      7510.25,      7523.45,      7567.05,      7372.15,      7385.80,-124.45
,Nifty Midcap 50,      3169.65,      3168.95,      3195.70,      3013.80,      3028.70,-140.95
,CNX Realty,       255.45,       257.55,       263.75,       239.95,       241.65,-13.8
,CNX Infra,      3270.95,      3275.10,      3302.20,      3115.35,      3135.95,-135
,CNX Energy,      9706.30,      9686.00,      9732.40,      9424.25,      9443.20,-263.1
,CNX FMCG,     18000.20,     18082.35,     18306.05,     18029.15,     18100.25,100.05
,CNX MNC,      7666.40,      7645.50,      7722.35,      7587.20,      7631.35,-35.05
,CNX Pharma,      8714.85,      8668.85,      8916.60,      8641.90,      8819.05,104.2
,CNX PSE,      3666.80,      3665.55,      3678.00,      3518.15,      3528.05,-138.75
,CNX PSU Bank,      3591.80,      3575.55,      3590.40,      3391.65,      3406.20,-185.6
,CNX Service,      9183.75,      9221.65,      9278.15,      9035.05,      9050.85,-132.9
,India VIX,15.9650,15.9650,16.0225,14.8450,15.7225,-0.2425
,CNX AUTO,      6796.50,      6803.90,      6856.10,      6706.50,      6722.50,-74
,CNX Metal,      3258.40,      3257.90,      3266.70,      3125.85,      3135.00,-123.4
,CNX Media,      2044.65,      2045.35,      2072.05,      2027.35,      2058.90,14.25
,CNX Smallcap,      5176.05,      5198.90,      5249.85,      4969.95,      4986.00,-190.05
,CNX 200,      3864.90,      3871.95,      3895.20,      3789.10,      3796.65,-68.25
,CNX Dividend Oppt,      2020.85,      2019.95,      2031.15,      1968.10,      1972.05,-48.8
,CNX Commodities,      2971.65,      2969.95,      2981.75,      2876.95,      2883.75,-87.9
,CNX Consumption,      2904.95,      2903.65,      2928.25,      2882.85,      2892.85,-12.1
,CNX Finance,      6202.40,      6188.10,      6226.10,      6000.50,      6019.60,-182.8
,Nifty Dividend,        56.05,        56.89,        56.89,        56.89,        56.89,.84
,LIX 15,      3481.45,      3484.00,      3512.75,      3378.50,      3388.45,-93
,CPSE Index,      2597.40,      2599.65,      2610.00,      2497.85,      2504.05,-93.35
,NI15,      4142.60,      4163.10,      4198.55,      4149.15,      4178.65,36.05

,ADVANCES,232
,DECLINES,1316
,UNCHANGED,39

,Total securities that have hit their price bands today,420

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,      3292.70,      3326.65,1.03,662.42
,SBIN,EQ,      2545.70,      2425.25,-4.73,570.05
,LT,EQ,      1654.75,      1574.35,-4.86,466.72
,IDFC,EQ,       151.55,       148.60,-1.95,428.39
,RELIANCE,EQ,       997.20,       966.50,-3.08,397.74
,DLF,EQ,       222.40,       209.35,-5.87,394.26
,SSLT,EQ,       294.40,       292.45,-0.66,392.88
,RELCAPITAL,EQ,       605.55,       559.95,-7.53,376.82
,UNITECH,EQ,        28.15,        25.00,-11.19,328.74
,ITC,EQ,       342.15,       345.90,1.1,321.28
,ICICIBANK,EQ,      1389.00,      1356.60,-2.33,313.97
,TATASTEEL,EQ,       521.40,       501.90,-3.74,310.69
,RELINFRA,EQ,       764.95,       718.65,-6.05,309.75
,ABAN,EQ,       736.65,       749.30,1.72,295.25
,HDIL,EQ,        94.40,        89.75,-4.93,288.76
,IRB,EQ,       246.25,       243.60,-1.08,284.99
,JPASSOCIAT,EQ,        64.95,        61.80,-4.85,270.26
,ONGC,EQ,       404.00,       396.15,-1.94,259.85
,KOTAKBANK,EQ,       866.45,       858.35,-0.93,243.92
,BHEL,EQ,       243.75,       223.25,-8.41,234.67
,SUNPHARMA,EQ,       726.25,       744.05,2.45,231.73
,MCDOWELL-N,EQ,      2347.50,      2295.10,-2.23,224.92
,HDFC,EQ,      1022.85,       989.65,-3.25,216.63
,PFC,EQ,       302.55,       271.00,-10.43,213.2
,RCOM,EQ,       126.35,       123.05,-2.61,209.76

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SUNPHARMA,EQ,       744.05,       726.25,2.45
,HCLTECH,EQ,      1501.40,      1472.40,1.97
,DRREDDY,EQ,      2700.70,      2650.65,1.89
,TCS,EQ,      2394.45,      2351.80,1.81
,HINDUNILVR,EQ,       641.85,       631.85,1.58

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHEL,EQ,       223.25,       243.75,-8.41
,NMDC,EQ,       160.80,       173.10,-7.11
,JINDALSTEL,EQ,       280.05,       300.55,-6.82
,DLF,EQ,       209.35,       222.40,-5.87
,HINDALCO,EQ,       166.75,       176.25,-5.39

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        33.15,                  3088876.75,92784
,3IINFOTECH,BE,         9.60,                  6662222.20,683846
,3MINDIA,EQ,      4851.10,                  2823334.60,585
,8KMILES,EQ,       161.10,                  1713264.70,10456
,A2ZMES,EQ,        27.60,                  2805264.00,101640
,AARTIDRUGS,EQ,       511.50,                  6776861.30,12916
,AARTIIND,EQ,       193.25,                 23088563.95,116026
,AARVEEDEN,EQ,        48.55,                  2097566.15,40735
,ABAN,EQ,       749.30,               2952454604.75,3919362
,ABB,EQ,      1049.75,                126883519.05,120697
,ABBOTINDIA,EQ,      2090.85,                  3083373.65,1453
,ABCIL,EQ,       191.35,                  2875603.25,14450
,ABGSHIP,EQ,       251.15,                  9177124.10,35989
,ACCELYA,EQ,       696.95,                 19085460.95,26703
,ACE,EQ,        28.70,                 17530301.85,587406
,ACROPETAL,EQ,         3.80,                   463475.85,121198
,ADANIPOWER,EQ,        56.45,                573191499.95,9840050
,ADFFOODS,EQ,        59.35,                  3765284.20,62075
,ADHUNIK,EQ,        48.15,                  3084932.30,62654
,ADORWELD,BE,       220.00,                  1282371.50,5824
,ADSL,EQ,        20.20,                   597808.05,28812
,ADVANIHOTR,EQ,        42.20,                    52619.20,1203
,ADVANTA,BE,       270.05,                  2398102.25,8912
,AEGISCHEM,EQ,       247.30,                 17336145.70,70390
,AFL,EQ,        44.50,                    61155.15,1346
,AFTEK,BE,         6.65,                   384004.65,57027
,AGARIND,EQ,       128.20,                   271671.35,2115
,AGCNET,EQ,        65.45,                   940496.35,14080
,AGRITECH,BE,         9.10,                   147680.90,15891
,AGRODUTCH,BE,         3.15,                     1275.75,405
,AHLEAST,EQ,       239.15,                    38613.45,159
,AHLUCONT,EQ,        99.75,                  6406643.95,62243
,AHLWEST,EQ,       111.15,                    80757.45,698
,AHMEDFORGE,EQ,       273.70,                104966108.25,378519
,AIAENG,EQ,       727.25,                127175369.00,174668
,AIL,EQ,       530.95,                 39773918.80,74924
,AJANTPHARM,EQ,      1433.10,                 61316994.10,41803
,AJMERA,EQ,        72.40,                   990855.75,13128
,AKSHOPTFBR,EQ,        21.45,                  2338891.00,106034
,AKZOINDIA,EQ,      1069.85,                 21563162.65,20156
,ALBK,EQ,       114.90,                897060153.85,7624023
,ALCHEM,EQ,        51.95,                   378031.05,7195
,ALEMBICLTD,EQ,        22.35,                 11949105.75,516507
,ALICON,EQ,       162.55,                  1557342.70,9400
,ALKALI,EQ,        21.50,                   123283.10,5657
,ALKYLAMINE,EQ,       580.15,                  1303892.05,2236
,ALLCARGO,EQ,       228.70,                  9875097.75,42166
,ALLSEC,EQ,        27.55,                    35511.70,1273
,ALMONDZ,EQ,         9.40,                    10130.90,1076
,ALOKTEXT,EQ,        12.05,                362978408.20,29183543
,ALPA,BE,         9.10,                    64635.30,7080
,ALPHAGEO,EQ,       230.05,                  1530734.95,6543
,ALSTOMT&D,EQ,       330.15,                 11487210.95,34542
,AMARAJABAT,EQ,       461.70,                 20374571.35,43718
,AMARJOTHI,EQ,        80.00,                    23600.00,295
,AMBIKCO,EQ,       363.30,                  1417943.40,3834
,AMDIND,BE,        22.25,                    32003.25,1451
,AMRUTANJAN,EQ,       156.85,                  5300989.65,32621
,AMTEKAUTO,EQ,       243.30,                768945734.50,3188936
,AMTEKINDIA,BE,        91.50,                 29474580.35,316259
,AMTL,EQ,        19.20,                    92257.80,4987
,ANANTRAJ,EQ,        60.45,                147890581.10,2310578
,ANDHRABANK,EQ,        82.05,                592614422.95,6978007
,ANDHRACEMT,EQ,         9.65,                   612635.35,63779
,ANDHRSUGAR,EQ,       134.50,                  6320778.15,46097
,ANGIND,BE,        15.55,                    52012.00,3240
,ANIKINDS,BE,        31.70,                    53484.30,1648
,ANKITMETAL,EQ,         8.60,                  2011839.40,223419
,ANSALAPI,EQ,        36.25,                 26996472.70,733858
,ANSALHSG,EQ,        27.45,                  1186692.80,41811
,ANTGRAPHIC,BE,          .25,                      100.00,400
,APARINDS,EQ,       258.35,                  9789395.50,36604
,APCOTEXIND,EQ,       165.65,                   527292.00,3135
