,21-Jul-2014
The Nifty witnessed an intraday movement of about 48.1 points.The closing index was 0.26 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 14273.8
, Traded Quantity (in Lakhs), 7228.96
, Number of Trades, 6263790
, Total Market Capitalisation (Rs. Crores), 8849929.65

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      7663.90,      7701.65,      7722.10,      7674.00,      7684.20,20.3
,CNX IT,      9946.95,      9998.65,     10018.20,      9892.40,      9912.40,-34.55
,CNX Nifty Junior,     16385.05,     16449.60,     16536.55,     16346.65,     16381.05,-4
,BANK Nifty,     15389.35,     15510.00,     15554.90,     15355.35,     15385.95,-3.4
,CNX Midcap,     10998.40,     11035.10,     11097.80,     10966.90,     10987.20,-11.2
,CNX 500,      6184.55,      6213.05,      6234.80,      6193.50,      6200.30,15.75
,CNX 100,      7608.70,      7645.10,      7667.65,      7616.20,      7625.60,16.9
,Nifty Midcap 50,      3213.75,      3227.65,      3250.25,      3198.50,      3207.10,-6.65
,CNX Realty,       252.45,       252.80,       256.15,       250.00,       250.90,-1.55
,CNX Infra,      3312.15,      3319.50,      3333.90,      3286.25,      3292.45,-19.7
,CNX Energy,      9605.40,      9696.60,      9753.65,      9625.45,      9639.40,34
,CNX FMCG,     18109.45,     18151.85,     18329.80,     18133.80,     18313.10,203.65
,CNX MNC,      7756.90,      7767.65,      7824.45,      7755.00,      7767.95,11.05
,CNX Pharma,      8829.40,      8864.05,      8887.20,      8811.85,      8831.90,2.5
,CNX PSE,      3625.60,      3627.20,      3653.30,      3601.25,      3606.90,-18.7
,CNX PSU Bank,      3618.00,      3623.15,      3663.20,      3565.45,      3577.25,-40.75
,CNX Service,      9325.30,      9376.70,      9403.60,      9326.20,      9338.35,13.05
,India VIX,15.0950,15.0950,15.5050,13.6250,14.8975,-0.1975
,CNX AUTO,      6986.70,      7009.95,      7035.55,      6965.75,      6987.70,1
,CNX Metal,      3350.00,      3356.65,      3378.15,      3326.90,      3341.40,-8.6
,CNX Media,      2067.75,      2074.50,      2106.75,      2072.80,      2096.60,28.85
,CNX Smallcap,      5220.30,      5242.25,      5294.40,      5231.65,      5241.80,21.5
,CNX 200,      3914.20,      3932.15,      3945.00,      3917.50,      3922.50,8.3
,CNX Dividend Oppt,      2018.25,      2022.35,      2035.65,      2016.15,      2018.45,.2
,CNX Commodities,      3001.95,      3008.35,      3021.60,      2992.80,      2999.25,-2.7
,CNX Consumption,      2923.60,      2931.65,      2945.50,      2931.65,      2941.20,17.6
,CNX Finance,      6298.25,      6339.75,      6373.95,      6312.60,      6326.15,27.9
,Nifty Dividend,        61.76,        62.94,        62.94,        62.94,        62.94,1.18
,LIX 15,      3611.70,      3622.40,      3636.00,      3591.45,      3604.40,-7.3
,CPSE Index,      2535.70,      2535.45,      2560.00,      2519.85,      2524.80,-10.9
,NI15,      4187.65,      4207.55,      4217.35,      4193.35,      4201.70,14.05

,ADVANCES,936
,DECLINES,609
,UNCHANGED,70

,Total securities that have hit their price bands today,316

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,MCX,EQ,       786.50,       848.40,7.87,839.42
,RELIANCE,EQ,       976.75,       997.65,2.14,388.97
,SBIN,EQ,      2562.50,      2523.20,-1.53,326.71
,INFY,EQ,      3251.55,      3200.70,-1.56,299.59
,HDFC,EQ,       983.00,      1010.30,2.78,297.94
,ICICIBANK,EQ,      1480.45,      1482.60,0.15,293.85
,TATASTEEL,EQ,       563.00,       562.70,-0.05,248.15
,CENTURYTEX,EQ,       579.25,       633.85,9.43,235.69
,AXISBANK,EQ,      1995.80,      2023.35,1.38,232.37
,HINDALCO,EQ,       184.60,       183.85,-0.41,232
,IDFC,EQ,       163.95,       160.70,-1.98,226.6
,RELCAPITAL,EQ,       591.50,       600.90,1.59,216.39
,LT,EQ,      1686.50,      1670.25,-0.96,211.55
,KOTAKBANK,EQ,       935.85,       941.20,0.57,206.83
,HDFCBANK,EQ,       832.45,       827.45,-0.6,205.04
,ITC,EQ,       344.10,       349.85,1.67,182.96
,CANBK,EQ,       412.00,       401.15,-2.63,173.49
,HDIL,EQ,        97.40,        93.85,-3.64,171.34
,IRB,EQ,       266.60,       265.90,-0.26,165.21
,ABAN,EQ,       747.20,       776.90,3.97,157.16
,RELINFRA,EQ,       766.75,       766.50,-0.03,145.05
,DLF,EQ,       221.00,       214.80,-2.81,143.18
,JPASSOCIAT,EQ,        67.85,        66.80,-1.55,134.81
,ADANIPORTS,EQ,       288.30,       288.10,-0.07,129.65
,PFC,EQ,       270.00,       269.75,-0.09,127.5

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INDUSINDBK,EQ,       559.75,       542.35,3.21
,HDFC,EQ,      1010.30,       983.00,2.78
,ASIANPAINT,EQ,       593.65,       580.45,2.27
,RELIANCE,EQ,       997.65,       976.75,2.14
,GRASIM,EQ,      3407.85,      3337.10,2.12

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DLF,EQ,       214.80,       221.00,-2.81
,IDFC,EQ,       160.70,       163.95,-1.98
,TATAPOWER,EQ,       103.85,       105.85,-1.89
,GAIL,EQ,       437.80,       445.05,-1.63
,INFY,EQ,      3200.70,      3251.55,-1.56

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        32.95,                  2143121.60,64896
,3IINFOTECH,BE,         9.85,                  3743178.25,381065
,3MINDIA,EQ,      4782.05,                  1591445.20,335
,8KMILES,EQ,       184.60,                  1945515.35,10673
,A2ZMES,EQ,        30.20,                  3252026.60,107683
,AARTIDRUGS,EQ,       627.95,                 19666588.10,31743
,AARTIIND,EQ,       216.50,                  6593151.85,30392
,AARVEEDEN,EQ,        51.45,                   453577.70,8728
,ABAN,EQ,       776.90,               1571601355.70,2026091
,ABB,EQ,      1096.55,                 77915731.15,70856
,ABBOTINDIA,EQ,      2134.40,                  2324237.85,1089
,ABCIL,EQ,       219.15,                  5393820.60,24306
,ABGSHIP,EQ,       264.25,                 34835337.05,129800
,ACCELYA,EQ,       707.05,                  6321286.25,8907
,ACE,EQ,        32.70,                 12303037.55,371550
,ACROPETAL,EQ,         3.60,                   341700.40,95230
,ADANIPOWER,EQ,        60.40,                396617225.40,6495258
,ADFFOODS,EQ,        59.60,                  7478734.05,122827
,ADHUNIK,EQ,        49.70,                  3560921.55,71721
,ADORWELD,BE,       242.65,                  1106298.70,4660
,ADSL,EQ,        20.70,                  1969860.75,94939
,ADVANIHOTR,EQ,        87.50,                  5793368.10,65905
,ADVANTA,BE,       276.40,                  1544451.85,5529
,AEGISCHEM,EQ,       290.35,                 23851094.95,82282
,AFL,EQ,        45.60,                    42919.40,944
,AFTEK,BE,         6.65,                   205378.55,30980
,AGARIND,EQ,        94.65,                  3797629.40,38559
,AGCNET,EQ,        66.50,                   340568.10,5140
,AGRITECH,BE,         8.30,                    21820.00,2545
,AGRODUTCH,BE,         2.80,                    33727.30,12753
,AHLEAST,EQ,       232.00,                    84250.10,363
,AHLUCONT,EQ,       144.55,                 74766216.80,523331
,AHLWEST,EQ,       113.30,                    41594.90,364
,AHMEDFORGE,EQ,       277.50,                 40270958.60,144036
,AIAENG,EQ,       716.55,                192503025.65,268632
,AIL,EQ,       551.85,                 36620180.20,66270
,AJANTPHARM,EQ,      1508.95,                 59026882.10,39378
,AJMERA,EQ,        77.35,                   134023.00,1731
,AKSHOPTFBR,EQ,        22.40,                  1934107.35,86089
,AKZOINDIA,EQ,      1112.40,                 13793570.35,12398
,ALBK,EQ,       121.80,                351553987.80,2852313
,ALCHEM,EQ,        56.35,                   444342.25,8018
,ALEMBICLTD,EQ,        26.40,                 35603430.80,1379501
,ALICON,EQ,       179.40,                  1066410.15,5895
,ALKALI,EQ,        22.15,                   127861.75,5820
,ALKYLAMINE,EQ,       602.90,                  1549799.85,2587
,ALLCARGO,EQ,       248.10,                 10074183.00,40545
,ALLSEC,EQ,        26.35,                   180530.55,6710
,ALMONDZ,EQ,        10.00,                    41098.35,4119
,ALOKTEXT,EQ,        13.95,                331017534.00,24058475
,ALPA,BE,        10.00,                    39480.00,3948
,ALPHAGEO,EQ,       251.85,                   632832.30,2499
,ALPSINDUS,BE,         2.05,                      932.75,455
,ALSTOMT&D,EQ,       334.65,                 14487612.95,43408
,AMARAJABAT,EQ,       479.40,                 48504199.65,100994
,AMARJOTHI,EQ,        80.10,                    54087.95,677
,AMBIKCO,EQ,       411.05,                  1209924.35,2922
,AMDIND,BE,        22.40,                    66713.85,3010
,AMLSTEEL,BE,         7.25,                        7.25,1
,AMRUTANJAN,EQ,       175.00,                  4827406.65,27469
,AMTEKAUTO,EQ,       243.20,                213907551.15,879200
,AMTEKINDIA,BE,        96.75,                 11011998.55,114031
,AMTL,EQ,        15.85,                    11732.50,720
,ANANTRAJ,EQ,        65.70,                 57678148.20,869564
,ANDHRABANK,EQ,        86.70,                185570226.65,2115798
,ANDHRACEMT,EQ,         9.70,                   150119.45,15728
,ANDHRSUGAR,EQ,       144.50,                  5373050.15,37551
,ANGIND,BE,        14.30,                    30779.75,2150
,ANIKINDS,BE,        31.90,                    67945.10,2056
,ANKITMETAL,EQ,         8.55,                  1739763.60,203887
,ANSALAPI,EQ,        42.95,                 16483053.65,387123
,ANSALHSG,EQ,        31.55,                  8018919.90,250943
