,23-Jul-2014
The Nifty witnessed an intraday movement of about 56.3 points.The closing index was 0.36 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 16186.88
, Traded Quantity (in Lakhs), 8638.44
, Number of Trades, 6983291
, Total Market Capitalisation (Rs. Crores), 8933806.06

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      7767.85,      7794.90,      7809.20,      7752.90,      7795.75,27.9
,CNX IT,     10086.65,     10120.00,     10325.50,     10120.00,     10306.85,220.2
,CNX Nifty Junior,     16461.30,     16514.50,     16545.40,     16296.15,     16393.60,-67.7
,BANK Nifty,     15427.35,     15513.45,     15626.90,     15398.70,     15463.00,35.65
,CNX Midcap,     10995.50,     11021.15,     11048.05,     10870.10,     10949.85,-45.65
,CNX 500,      6251.35,      6272.95,      6283.60,      6226.80,      6261.10,9.75
,CNX 100,      7701.80,      7728.40,      7742.25,      7678.00,      7720.75,18.95
,Nifty Midcap 50,      3205.30,      3218.20,      3226.60,      3158.60,      3197.20,-8.1
,CNX Realty,       251.85,       253.00,       254.15,       248.05,       252.10,.25
,CNX Infra,      3305.45,      3319.95,      3327.10,      3282.25,      3302.35,-3.1
,CNX Energy,      9793.90,      9827.95,      9840.55,      9713.35,      9796.15,2.25
,CNX FMCG,     18450.90,     18493.40,     18547.30,     18357.05,     18483.15,32.25
,CNX MNC,      7794.00,      7826.25,      7840.05,      7737.25,      7752.80,-41.2
,CNX Pharma,      8920.30,      8961.50,      8968.00,      8871.05,      8925.65,5.35
,CNX PSE,      3629.20,      3641.60,      3653.85,      3604.30,      3624.05,-5.15
,CNX PSU Bank,      3567.75,      3591.55,      3646.35,      3563.30,      3591.85,24.1
,CNX Service,      9453.20,      9489.70,      9534.00,      9465.90,      9516.70,63.5
,India VIX,14.6400,14.6400,15.0950,12.4650,14.6900,0.0500
,CNX AUTO,      7019.40,      7032.25,      7050.45,      6960.50,      7033.00,13.6
,CNX Metal,      3373.05,      3386.75,      3400.55,      3344.55,      3362.20,-10.85
,CNX Media,      2099.25,      2101.85,      2101.95,      2065.85,      2076.05,-23.2
,CNX Smallcap,      5232.40,      5253.20,      5267.30,      5159.75,      5198.45,-33.95
,CNX 200,      3956.85,      3970.60,      3978.55,      3941.80,      3965.00,8.15
,CNX Dividend Oppt,      2025.90,      2034.40,      2040.85,      2018.05,      2029.35,3.45
,CNX Commodities,      3021.15,      3030.10,      3035.55,      2988.00,      3004.95,-16.2
,CNX Consumption,      2969.25,      2977.70,      2979.30,      2955.55,      2974.90,5.65
,CNX Finance,      6388.10,      6413.35,      6440.15,      6367.85,      6385.75,-2.35
,Nifty Dividend,        62.94,        63.62,        63.62,        63.62,        63.62,.68
,LIX 15,      3621.95,      3635.50,      3649.45,      3586.25,      3613.00,-8.95
,CPSE Index,      2554.10,      2563.60,      2575.00,      2533.85,      2541.55,-12.55
,NI15,      4245.90,      4262.40,      4296.30,      4255.65,      4292.40,46.5

,ADVANCES,581
,DECLINES,956
,UNCHANGED,75

,Total securities that have hit their price bands today,298

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ICICIBANK,EQ,      1483.25,      1506.00,1.53,617.87
,INFY,EQ,      3233.70,      3349.45,3.58,490.48
,SBIN,EQ,      2524.20,      2540.35,0.64,397.9
,YESBANK,EQ,       545.95,       536.55,-1.72,391.46
,AXISBANK,EQ,      2016.30,      2000.05,-0.81,349.37
,HINDALCO,EQ,       188.25,       193.75,2.92,325.22
,RELIANCE,EQ,      1030.95,      1033.25,0.22,323.13
,TCS,EQ,      2532.40,      2586.15,2.12,265.89
,HDFC,EQ,      1041.05,      1037.05,-0.38,237.44
,TATASTEEL,EQ,       562.20,       554.55,-1.36,234.77
,TATAMOTORS,EQ,       486.70,       484.85,-0.38,226.97
,IDEA,EQ,       146.75,       149.05,1.57,209.66
,LT,EQ,      1654.95,      1653.55,-0.08,199.43
,BANKBARODA,EQ,       832.00,       853.65,2.6,192.14
,ITC,EQ,       352.90,       353.65,0.21,181.65
,UNITECH,EQ,        26.15,        27.50,5.16,179.75
,BHARTIARTL,EQ,       354.15,       354.35,0.06,178.92
,IRB,EQ,       257.45,       262.45,1.94,166.16
,COALINDIA,EQ,       387.55,       384.80,-0.71,165.75
,HDFCBANK,EQ,       839.85,       836.30,-0.42,164.89
,SUNTV,EQ,       461.30,       426.45,-7.55,164.02
,RELCAPITAL,EQ,       597.05,       590.10,-1.16,161.51
,HDIL,EQ,        91.80,        92.40,0.65,156.46
,ONGC,EQ,       408.90,       405.30,-0.88,153.57
,IDFC,EQ,       161.15,       157.80,-2.08,152.86

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INFY,EQ,      3349.45,      3233.70,3.58
,BPCL,EQ,       600.25,       582.75,3
,HINDALCO,EQ,       193.75,       188.25,2.92
,BANKBARODA,EQ,       853.65,       832.00,2.6
,WIPRO,EQ,       570.90,       558.75,2.17

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,AMBUJACEM,EQ,       215.85,       223.10,-3.25
,ULTRACEMCO,EQ,      2451.80,      2520.65,-2.73
,ACC,EQ,      1453.85,      1489.05,-2.36
,IDFC,EQ,       157.80,       161.15,-2.08
,KOTAKBANK,EQ,       932.80,       949.20,-1.73

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        33.65,                  1274849.65,37431
,3IINFOTECH,BE,         9.85,                  3670914.35,370413
,3MINDIA,EQ,      4801.75,                  1333885.85,278
,8KMILES,EQ,       183.35,                   210372.20,1164
,A2ZMES,EQ,        33.25,                 32075997.65,968108
,AARTIDRUGS,EQ,       609.60,                  7346766.55,11991
,AARTIIND,EQ,       227.95,                 19972022.40,88298
,AARVEEDEN,EQ,        50.25,                   196825.50,3877
,ABAN,EQ,       770.75,                554392263.90,715647
,ABB,EQ,      1081.75,                329071888.55,299817
,ABBOTINDIA,EQ,      2095.60,                  1630984.55,775
,ABCIL,EQ,       205.75,                  3880521.75,18655
,ABGSHIP,EQ,       261.05,                 12410169.15,47295
,ACCELYA,EQ,       703.90,                  4344918.75,6167
,ACE,EQ,        30.95,                  4142575.40,132842
,ACROPETAL,EQ,         3.65,                   118779.35,32666
,ADANIPOWER,EQ,        59.20,                267696879.30,4498746
,ADFFOODS,EQ,        59.05,                  2824825.75,47763
,ADHUNIK,EQ,        47.60,                  7350572.50,152963
,ADORWELD,BE,       230.05,                   732360.00,3199
,ADSL,EQ,        20.75,                   425981.55,20382
,ADVANIHOTR,EQ,        75.70,                  2737196.10,36080
,ADVANTA,BE,       304.50,                 17036971.30,56572
,AEGISCHEM,EQ,       287.10,                  7839499.55,27341
,AFL,EQ,        46.05,                   166397.10,3600
,AFTEK,BE,         6.45,                   272474.40,42361
,AGARIND,EQ,        98.80,                  3833863.75,38754
,AGCNET,EQ,        65.50,                   161181.05,2451
,AGRITECH,BE,         8.35,                     2738.80,331
,AGRODUTCH,BE,         2.60,                    10111.40,3889
,AHLEAST,EQ,       226.05,                   179506.40,794
,AHLUCONT,EQ,       143.30,                 14933490.15,102780
,AHLWEST,EQ,       116.35,                   549356.55,4871
,AHMEDFORGE,EQ,       273.70,                 51909708.50,188011
,AIAENG,EQ,       717.70,                258346273.65,358855
,AIL,EQ,       557.90,                 85606018.70,151478
,AJANTPHARM,EQ,      1590.85,                121705587.90,77215
,AJMERA,EQ,        74.05,                   388454.30,5236
,AKSHOPTFBR,EQ,        21.25,                  1705995.90,79285
,AKZOINDIA,EQ,      1137.00,                 20298205.45,17941
,ALBK,EQ,       120.75,                347172202.05,2861367
,ALCHEM,EQ,        55.40,                   134095.95,2417
,ALEMBICLTD,EQ,        28.15,                 67499046.30,2431813
,ALICON,EQ,       174.80,                  2326328.15,13271
,ALKALI,EQ,        23.15,                   127427.15,5564
,ALKYLAMINE,EQ,       599.10,                   318130.50,536
,ALLCARGO,EQ,       240.65,                 13137378.20,53057
,ALLSEC,EQ,        26.95,                   243644.75,9070
,ALMONDZ,EQ,        12.00,                   154250.50,13003
,ALOKTEXT,EQ,        13.55,                271623861.80,19951693
,ALPA,BE,        11.00,                    55649.00,5059
,ALPHAGEO,EQ,       270.15,                  2013470.70,7428
,ALPSINDUS,BE,         2.05,                    14146.85,6913
,ALSTOMT&D,EQ,       355.45,                149108921.85,415591
,AMARAJABAT,EQ,       488.75,                 43065432.45,88414
,AMARJOTHI,EQ,        81.20,                    63964.00,786
,AMBIKCO,EQ,       426.00,                  2114436.55,4938
,AMDIND,BE,        23.00,                    48437.05,2092
,AMRUTANJAN,EQ,       176.80,                  8562222.45,47992
,AMTEKAUTO,EQ,       242.85,                175985120.25,724710
,AMTEKINDIA,BE,        91.50,                 19887834.95,220165
,AMTL,EQ,        15.95,                     4685.00,300
,ANANTRAJ,EQ,        65.20,                 95417232.15,1450394
,ANDHRABANK,EQ,        85.65,                259539986.70,3008675
,ANDHRACEMT,EQ,         9.45,                   269507.55,28435
,ANDHRSUGAR,EQ,       144.35,                  4652745.90,32138
,ANGIND,BE,        14.50,                    50665.00,3505
,ANIKINDS,BE,        33.40,                    45596.80,1402
,ANKITMETAL,EQ,         8.05,                  2955844.20,360623
,ANSALAPI,EQ,        41.10,                  9060467.25,219510
,ANSALHSG,EQ,        32.75,                 16342538.70,503750
,ANTGRAPHIC,BE,          .20,                     3450.00,14301
,APARINDS,EQ,       372.80,                627711873.85,1719019
,APCOTEXIND,EQ,       186.25,                  1807268.40,9600
,APLAB,BE,        47.00,                      984.00,21
,APLAPOLLO,EQ,       335.00,                  4536821.15,13511
,APLLTD,EQ,       344.25,                 88318388.30,251335
,APOLLOTYRE,EQ,       184.90,                671271306.10,3676219
,APTECHT,EQ,        91.60,                 32136176.65,346906
,ARCHIDPLY,EQ,        17.30,                   189583.95,10999
,ARCHIES,EQ,        20.85,                  1109189.45,52949
,ARCOTECH,EQ,       331.00,                  4018971.65,12148
,ARIES,EQ,        89.95,                  3364501.65,37224
,ARIHANT,BE,        40.15,                       40.15,1
,AROGRANITE,EQ,        41.90,                   194557.60,4604
,ARROWTEX,EQ,         9.05,                    13704.80,1503
,ARSHIYA,BE,        30.65,                  3043570.95,98909
,ARSSINFRA,BE,        57.95,                  2584279.10,45165
,ARVIND,EQ,       236.10,                474722991.80,2020284
,ARVINDREM,EQ,        30.20,                 45606255.80,1484744
,ASAHIINDIA,EQ,        87.00,                  4852040.75,55489
,ASAHISONG,EQ,       112.90,                  1414575.35,12623
,ASAL,EQ,        45.25,                   105413.50,2366
,ASHAPURMIN,EQ,        73.80,                  8851723.65,118216
,ASHIANA,EQ,       133.20,                  1163085.90,8740
,ASHIMASYN,BE,         8.00,                   348652.90,43407
,ASHOKA,EQ,       148.45,                 13918787.55,93484
,ASHOKLEY,EQ,        33.55,                539471902.50,15983808
,ASIANHOTNR,EQ,       164.05,                   719473.40,4383
,ASIANTILES,BE,        74.80,                  1386542.35,18973
,ASSAMCO,EQ,         5.80,                  2590028.75,441598
,ASTEC,EQ,        56.05,                   443431.35,7940
,ASTRAL,EQ,       666.50,                  4068593.55,6092
,ASTRAMICRO,EQ,       138.55,                 79372855.25,570184
,ASTRAZEN,EQ,      1134.10,                  3182210.35,2802
,ATFL,EQ,       564.35,                   759517.90,1341
,ATLANTA,EQ,        63.40,                  9799010.25,153187
,ATLASCYCLE,EQ,       291.75,                 55678056.10,188676
,ATNINTER,BE,          .55,                     7160.00,13655
,ATUL,EQ,      1218.30,                870630503.55,742941
,ATULAUTO,EQ,       535.40,                  2043961.85,3812
,AURIONPRO,EQ,       244.95,                 30574153.20,127131
,AUROPHARMA,EQ,       719.90,                554107619.45,772185
,AUSTRAL,BE,         1.15,                   162764.95,145463
,AUTOAXLES,EQ,       609.05,                  5316019.75,8864
,AUTOIND,EQ,        86.25,                  8178293.45,93616
,AUTOLITIND,EQ,        25.50,                   176140.10,6900
,AVANTI,EQ,       788.95,                 15307468.80,19578
,AVTNPL,EQ,        44.85,                  3488401.30,76918
,AXIS-IT&T,EQ,       110.40,                 16515553.60,146881
,AXISBANK,IL,      2040.00,                270392490.00,131165
,AXISGOLD,EQ,      2642.30,                  2607825.15,988
,BAFNAPHARM,EQ,        31.35,                  4287975.90,131329
,BAGFILMS,EQ,         3.70,                   384525.45,102798
