,04-Aug-2014
The Nifty witnessed an intraday movement of about 72.75 points.The closing index was 1.07 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 15101.6
, Traded Quantity (in Lakhs), 7286.18
, Number of Trades, 6099624
, Total Market Capitalisation (Rs. Crores), 8815014.21

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      7602.60,      7639.55,      7694.80,      7622.05,      7683.65,81.05
,CNX IT,     10155.30,     10192.35,     10383.60,     10160.20,     10370.15,214.85
,CNX Nifty Junior,     16175.25,     16223.65,     16401.00,     16223.65,     16377.15,201.9
,BANK Nifty,     15127.80,     15242.25,     15326.15,     15128.10,     15242.35,114.55
,CNX Midcap,     10763.35,     10792.10,     10891.75,     10792.10,     10876.95,113.6
,CNX 500,      6111.70,      6138.20,      6183.60,      6136.60,      6175.70,64
,CNX 100,      7542.45,      7577.00,      7635.70,      7569.90,      7624.85,82.4
,Nifty Midcap 50,      3125.55,      3137.60,      3187.10,      3137.60,      3179.40,53.85
,CNX Realty,       239.70,       241.55,       244.00,       239.55,       242.10,2.4
,CNX Infra,      3121.75,      3140.20,      3181.35,      3135.95,      3172.10,50.35
,CNX Energy,      9270.25,      9311.75,      9410.00,      9285.55,      9393.80,123.55
,CNX FMCG,     18565.30,     18721.05,     18802.80,     18619.10,     18779.45,214.15
,CNX MNC,      7810.25,      7813.30,      7924.30,      7813.30,      7910.90,100.65
,CNX Pharma,      9179.70,      9204.50,      9255.80,      9138.95,      9160.25,-19.45
,CNX PSE,      3468.60,      3481.25,      3530.35,      3479.05,      3521.20,52.6
,CNX PSU Bank,      3521.70,      3538.75,      3566.45,      3521.35,      3556.05,34.35
,CNX Service,      9349.75,      9398.80,      9455.40,      9363.05,      9436.70,86.95
,India VIX,15.2200,15.2200,15.4725,14.3075,14.8150,-0.4050
,CNX AUTO,      6847.15,      6860.40,      6947.10,      6854.95,      6936.65,89.5
,CNX Metal,      3227.55,      3232.60,      3298.80,      3232.60,      3284.00,56.45
,CNX Media,      1995.15,      1996.55,      2018.45,      1990.35,      1997.20,2.05
,CNX Smallcap,      4984.20,      5019.10,      5054.55,      5013.85,      5042.80,58.6
,CNX 200,      3873.55,      3890.65,      3919.85,      3887.80,      3914.45,40.9
,CNX Dividend Oppt,      1992.35,      2000.55,      2015.40,      1996.50,      2012.20,19.85
,CNX Commodities,      2885.20,      2891.80,      2933.15,      2891.80,      2925.20,40
,CNX Consumption,      2994.00,      3003.60,      3024.85,      2999.95,      3021.95,27.95
,CNX Finance,      6260.95,      6299.10,      6310.50,      6236.85,      6277.55,16.6
,Nifty Dividend,        72.44,        72.44,        72.44,        72.44,        72.44,0
,LIX 15,      3497.05,      3512.85,      3560.90,      3512.85,      3551.35,54.3
,CPSE Index,      2431.50,      2434.25,      2456.90,      2431.35,      2451.55,20.05
,NI15,      4305.65,      4323.55,      4361.45,      4309.35,      4355.70,50.05

,ADVANCES,1061
,DECLINES,469
,UNCHANGED,71

,Total securities that have hit their price bands today,277

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,      3341.30,      3465.55,3.72,562.92
,LT,EQ,      1468.70,      1493.95,1.72,402.52
,HDFC,EQ,      1039.65,      1027.20,-1.2,352.99
,SBIN,EQ,      2437.20,      2461.40,0.99,342.52
,TATAMOTORS,EQ,       440.00,       446.60,1.5,331.22
,RELIANCE,EQ,       976.30,       985.00,0.89,329.78
,ICICIBANK,EQ,      1475.65,      1491.40,1.07,312.19
,TATASTEEL,EQ,       548.75,       551.85,0.56,304.62
,BHARTIARTL,EQ,       380.05,       376.90,-0.83,246.57
,IDEA,EQ,       157.85,       163.60,3.64,230.79
,TCS,EQ,      2516.40,      2526.05,0.38,230.22
,SYNDIBANK,EQ,       144.30,       134.35,-6.9,229.32
,HCLTECH,EQ,      1515.25,      1555.00,2.62,199.19
,M&M,EQ,      1174.15,      1185.50,0.97,193.25
,BANKBARODA,EQ,       893.60,       898.55,0.55,190.58
,MCDOWELL-N,EQ,      2330.45,      2393.40,2.7,184.9
,HINDALCO,EQ,       184.30,       190.90,3.58,177.44
,RELCAPITAL,EQ,       578.60,       582.20,0.62,173.76
,JPASSOCIAT,EQ,        59.50,        61.90,4.03,170.89
,DLF,EQ,       200.75,       201.00,0.12,170.85
,POWERGRID,EQ,       129.80,       132.45,2.04,170.24
,TECHM,EQ,      2127.25,      2167.10,1.87,164.11
,ABAN,EQ,       765.65,       794.40,3.75,152.03
,HDFCBANK,EQ,       815.45,       813.00,-0.3,149.66
,ITC,EQ,       349.55,       354.50,1.42,146.52

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BPCL,EQ,       600.40,       577.35,3.99
,INFY,EQ,      3465.55,      3341.30,3.72
,HINDALCO,EQ,       190.90,       184.30,3.58
,NMDC,EQ,       175.55,       169.75,3.42
,JINDALSTEL,EQ,       275.05,       267.15,2.96

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HDFC,EQ,      1027.20,      1039.65,-1.2
,SUNPHARMA,EQ,       761.70,       768.80,-0.92
,BHARTIARTL,EQ,       376.90,       380.05,-0.83
,CIPLA,EQ,       440.80,       442.50,-0.38
,HDFCBANK,EQ,       813.00,       815.45,-0.3

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        31.50,                  2138992.00,67940
,3IINFOTECH,BE,         9.05,                  2482957.95,274702
,3MINDIA,EQ,      5411.80,                 30224757.05,5612
,8KMILES,EQ,       170.10,                   483893.60,2785
,A2ZMES,EQ,        30.65,                 12021617.95,390075
,AARTIDRUGS,EQ,       631.50,                  3490651.05,5536
,AARTIIND,EQ,       225.45,                 16334646.95,73130
,AARVEEDEN,EQ,        47.75,                   125560.15,2582
,ABAN,EQ,       794.40,               1520304386.70,1935422
,ABB,EQ,      1039.85,                 35696103.65,34319
,ABBOTINDIA,EQ,      2059.90,                  2140065.55,1034
,ABCIL,EQ,       212.40,                  1973030.25,9440
,ABGSHIP,EQ,       253.30,                  7257067.20,28645
,ACCELYA,EQ,       730.55,                 25295193.15,34984
,ACE,EQ,        27.85,                  4873926.15,174440
,ACROPETAL,EQ,         3.65,                    64740.90,17764
,ADANIPOWER,EQ,        56.20,                135127593.45,2411692
,ADFFOODS,EQ,        55.55,                   798430.55,14414
,ADHUNIK,EQ,        44.90,                   674944.30,15028
,ADORWELD,BE,       204.05,                   264542.95,1303
,ADSL,EQ,        19.00,                   419944.05,22323
,ADVANIHOTR,EQ,        76.40,                   292757.75,3812
,ADVANTA,BE,       315.15,                  6500565.20,20614
,AEGISCHEM,EQ,       354.50,                262265216.60,751164
,AFL,EQ,        42.05,                   240330.20,5670
,AFTEK,BE,         6.50,                   262262.00,40348
,AGARIND,EQ,        86.00,                   130763.10,1532
,AGCNET,EQ,        63.75,                    72658.90,1146
,AGRITECH,BE,         8.20,                     5392.10,665
,AGRODUTCH,BE,         2.55,                    21112.50,8247
,AHLEAST,EQ,       212.15,                   213902.30,987
,AHLUCONT,EQ,       145.60,                  4251277.05,29219
,AHLWEST,EQ,       116.85,                    46931.85,415
,AHMEDFORGE,EQ,       289.45,                137074653.60,478095
,AIAENG,EQ,       769.60,                423081941.25,550183
,AIL,EQ,       524.45,                  7442863.65,14162
,AJANTPHARM,EQ,      1739.85,                139701297.10,80672
,AJMERA,EQ,        67.35,                   185064.45,2719
,AKSHOPTFBR,EQ,        18.65,                  2353489.10,124022
,AKZOINDIA,EQ,      1020.35,                  7627220.75,7461
,ALBK,EQ,       122.00,                443344889.45,3654790
,ALCHEM,EQ,        53.45,                    47712.45,899
,ALEMBICLTD,EQ,        27.95,                 24836943.50,901975
,ALICON,EQ,       147.50,                  1813634.90,12039
,ALKALI,EQ,        20.60,                    11929.25,572
,ALKYLAMINE,EQ,       619.90,                   459883.75,743
,ALLCARGO,EQ,       252.60,                 13005515.45,51833
,ALLSEC,EQ,        25.50,                    42422.90,1653
,ALMONDZ,EQ,        10.95,                    12875.00,1200
,ALOKTEXT,EQ,        11.55,                168155356.05,14252600
,ALPA,BE,        11.15,                    42131.25,3715
,ALPHAGEO,EQ,       310.25,                  4250335.40,14053
,ALPSINDUS,BE,         1.90,                     7720.00,4000
,ALSTOMT&D,EQ,       330.70,                  9108076.30,27622
,AMARAJABAT,EQ,       485.95,                 87014442.85,177842
,AMARJOTHI,EQ,        81.00,                    99577.25,1228
,AMBIKCO,EQ,       449.75,                   724124.15,1608
,AMDIND,BE,        23.95,                   266623.70,11245
,AMRUTANJAN,EQ,       173.25,                  2780510.60,15953
,AMTEKAUTO,EQ,       264.75,                295392116.70,1122235
,AMTEKINDIA,BE,        94.50,                 15378379.80,165036
,AMTL,EQ,        14.75,                    24293.60,1646
,ANANTRAJ,EQ,        62.35,                 50345306.85,806790
,ANDHRABANK,EQ,        81.15,                366137816.20,4561789
,ANDHRACEMT,EQ,         9.70,                   735554.80,77419
,ANDHRSUGAR,EQ,       144.40,                  1895912.20,13103
,ANGIND,BE,        14.75,                    13561.30,926
,ANIKINDS,BE,        31.00,                    24361.20,789
,ANKITMETAL,EQ,         7.35,                   316915.05,42622
,ANSALAPI,EQ,        37.70,                  2992254.70,79040
,ANSALHSG,EQ,        32.45,                  2261514.35,69101
,ANTGRAPHIC,BE,          .20,                     2000.00,10000
