,08-Aug-2014
The Nifty witnessed an intraday movement of about 52.35 points.The closing index was 1.06 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 13807.42
, Traded Quantity (in Lakhs), 7286.13
, Number of Trades, 6522332
, Total Market Capitalisation (Rs. Crores), 8669990.27

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      7649.25,      7588.70,      7592.45,      7540.10,      7568.55,-80.7
,CNX IT,     10342.95,     10327.20,     10384.70,     10293.15,     10318.25,-24.7
,CNX Nifty Junior,     16329.10,     16189.10,     16189.10,     15963.05,     16037.35,-291.75
,BANK Nifty,     14986.85,     14831.75,     14858.95,     14709.10,     14765.75,-221.1
,CNX Midcap,     10829.95,     10742.05,     10742.05,     10602.75,     10644.85,-185.1
,CNX 500,      6153.50,      6104.05,      6104.05,      6051.35,      6072.65,-80.85
,CNX 100,      7592.50,      7531.65,      7531.65,      7476.45,      7504.10,-88.4
,Nifty Midcap 50,      3156.80,      3128.90,      3128.90,      3064.90,      3078.90,-77.9
,CNX Realty,       245.10,       241.65,       241.65,       234.50,       234.95,-10.15
,CNX Infra,      3141.55,      3112.45,      3112.45,      3063.30,      3075.00,-66.55
,CNX Energy,      9418.80,      9322.85,      9322.85,      9223.75,      9264.60,-154.2
,CNX FMCG,     18522.10,     18450.70,     18568.25,     18386.60,     18534.60,12.5
,CNX MNC,      7942.60,      7898.15,      7898.20,      7777.75,      7798.35,-144.25
,CNX Pharma,      9115.45,      9044.85,      9162.55,      8997.15,      9130.60,15.15
,CNX PSE,      3535.25,      3497.50,      3497.50,      3439.50,      3452.55,-82.7
,CNX PSU Bank,      3493.65,      3454.25,      3466.75,      3412.50,      3435.80,-57.85
,CNX Service,      9348.20,      9280.35,      9292.55,      9228.60,      9258.70,-89.5
,India VIX,14.1375,14.1375,15.1800,13.0250,14.6175,0.4800
,CNX AUTO,      7015.90,      6944.30,      6944.55,      6867.65,      6918.65,-97.25
,CNX Metal,      3258.95,      3226.95,      3226.95,      3138.20,      3150.10,-108.85
,CNX Media,      1976.30,      1960.65,      1962.40,      1921.30,      1932.80,-43.5
,CNX Smallcap,      5031.85,      4980.65,      4980.65,      4881.90,      4897.25,-134.6
,CNX 200,      3898.95,      3867.60,      3867.60,      3837.00,      3850.70,-48.25
,CNX Dividend Oppt,      2011.95,      1993.40,      1993.40,      1972.65,      1980.55,-31.4
,CNX Commodities,      2929.35,      2899.75,      2899.75,      2846.30,      2852.60,-76.75
,CNX Consumption,      3019.45,      2999.40,      3002.35,      2978.50,      2995.90,-23.55
,CNX Finance,      6204.80,      6144.80,      6154.85,      6103.40,      6131.40,-73.4
,Nifty Dividend,        73.70,        74.77,        74.77,        74.77,        74.77,1.07
,LIX 15,      3519.75,      3484.30,      3484.75,      3432.80,      3440.85,-78.9
,CPSE Index,      2464.45,      2438.75,      2438.75,      2403.40,      2412.10,-52.35
,NI15,      4346.05,      4318.10,      4344.10,      4316.20,      4337.90,-8.15

,ADVANCES,296
,DECLINES,1262
,UNCHANGED,47

,Total securities that have hit their price bands today,310

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,      2436.10,      2417.95,-0.75,793.86
,ICICIBANK,EQ,      1444.85,      1437.15,-0.53,386.59
,LT,EQ,      1481.90,      1442.80,-2.64,314.45
,TATASTEEL,EQ,       555.80,       537.70,-3.26,306.14
,TATAMOTORS,EQ,       442.00,       432.90,-2.06,278.05
,SSLT,EQ,       284.65,       267.80,-5.92,240.87
,AUROPHARMA,EQ,       715.05,       722.15,0.99,212.84
,RELIANCE,EQ,       989.30,       980.50,-0.89,203.99
,BHARTIARTL,EQ,       365.80,       374.00,2.24,199.7
,YESBANK,EQ,       532.20,       521.30,-2.05,189.13
,HINDALCO,EQ,       189.10,       183.95,-2.72,182.66
,TCS,EQ,      2469.80,      2478.70,0.36,181.99
,WOCKPHARMA,EQ,       694.40,       697.55,0.45,181.54
,JPASSOCIAT,EQ,        60.35,        58.25,-3.48,169.11
,INFY,EQ,      3507.35,      3482.65,-0.7,166.31
,UNITECH,EQ,        27.45,        25.95,-5.46,161.74
,DLF,EQ,       202.85,       194.10,-4.31,154.78
,HDIL,EQ,        97.00,        93.70,-3.4,154.24
,M&M,EQ,      1249.40,      1229.35,-1.6,152.01
,AXISBANK,EQ,       381.10,       371.00,-2.65,151.94
,HDFC,EQ,      1026.85,      1026.95,0.01,149.75
,HDFCBANK,EQ,       811.50,       796.15,-1.89,148.84
,RELINFRA,EQ,       748.25,       716.60,-4.23,134.2
,IDEA,EQ,       159.65,       159.95,0.19,132.44
,DRREDDY,EQ,      2755.30,      2782.25,0.98,128.97

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHARTIARTL,EQ,       374.00,       365.80,2.24
,DRREDDY,EQ,      2782.25,      2755.30,.98
,HCLTECH,EQ,      1532.80,      1518.25,.96
,ITC,EQ,       348.55,       346.25,.66
,CIPLA,EQ,       436.70,       434.95,.4

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SSLT,EQ,       267.80,       284.65,-5.92
,DLF,EQ,       194.10,       202.85,-4.31
,BHEL,EQ,       220.90,       230.85,-4.31
,TATAPOWER,EQ,        91.35,        94.90,-3.74
,IDFC,EQ,       144.45,       149.45,-3.35

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        31.10,                  1569300.55,50441
,3IINFOTECH,EQ,         8.70,                  7974418.10,904908
,3MINDIA,EQ,      5369.45,                  2947288.95,550
,8KMILES,EQ,       198.75,                 42542945.30,223506
,A2ZMES,BE,        25.15,                   581493.15,23121
,AARTIDRUGS,EQ,       699.75,                 25357706.45,35849
,AARTIIND,EQ,       247.85,                 45242015.60,185306
,AARVEEDEN,EQ,        46.65,                   104257.50,2236
,ABAN,EQ,       754.15,                421531971.05,555915
,ABB,EQ,      1014.95,                 43456732.95,42838
,ABBOTINDIA,EQ,      2072.20,                  1092969.10,529
,ABCIL,EQ,       196.65,                  1722562.30,8732
,ABGSHIP,EQ,       245.95,                  8640097.05,35041
,ACCELYA,EQ,       643.55,                 20096539.15,31133
,ACE,EQ,        27.15,                  3948397.75,144373
,ACROPETAL,EQ,         4.25,                  1011930.80,240689
,ADANIPOWER,EQ,        53.30,                226244190.00,4204973
,ADFFOODS,EQ,        57.00,                  2669138.05,46745
,ADHUNIK,EQ,        45.55,                  1544678.90,33627
,ADORWELD,EQ,       206.70,                   264921.05,1269
,ADSL,EQ,        18.20,                   485376.90,26603
,ADVANIHOTR,EQ,        75.00,                   559955.80,7459
,ADVANTA,EQ,       303.90,                  6735994.65,22138
,AEGISCHEM,EQ,       346.65,                 11533420.55,33452
,AFL,EQ,        41.00,                   257444.45,6331
,AFTEK,BE,         6.15,                   244654.75,39640
,AGARIND,EQ,        82.70,                   436294.25,5310
,AGCNET,EQ,        62.15,                   325067.05,5234
,AGRITECH,BE,         7.80,                    11653.00,1460
,AGRODUTCH,EQ,         2.25,                    28938.80,12246
,AHLEAST,EQ,       202.80,                   106147.60,523
,AHLUCONT,EQ,       134.05,                  2788991.65,20326
,AHLWEST,EQ,       107.75,                    57361.05,531
,AHMEDFORGE,EQ,       274.70,                 33821356.15,123199
,AIAENG,EQ,       771.10,                422452064.50,542221
,AIL,EQ,       514.95,                 11743502.25,22673
,AJANTPHARM,EQ,      1516.75,                 91319281.65,59636
,AJMERA,EQ,        65.90,                  5140073.65,78835
,AKSHOPTFBR,EQ,        17.35,                  1707935.30,97489
,AKZOINDIA,EQ,      1017.20,                  4721456.30,4647
,ALBK,EQ,       118.60,                838274740.70,7049987
,ALCHEM,EQ,        51.85,                   214907.55,4126
,ALEMBICLTD,EQ,        26.10,                 13328158.15,504000
,ALICON,EQ,       140.55,                  1359148.10,9637
,ALKALI,EQ,        20.15,                   152366.45,7749
,ALKYLAMINE,EQ,       636.40,                  1374461.15,2163
,ALLCARGO,EQ,       239.70,                 18248898.35,73714
,ALLSEC,EQ,        24.90,                   127501.50,5032
,ALMONDZ,EQ,        10.00,                     7830.00,783
,ALOKTEXT,EQ,        10.80,                154713935.85,14126904
,ALPHAGEO,EQ,       307.50,                  3765900.90,12324
,ALPSINDUS,EQ,         1.80,                    21826.75,12118
,ALSTOMT&D,EQ,       325.50,                 17733138.20,54100
,AMARAJABAT,EQ,       522.80,                110884344.30,211977
,AMARJOTHI,EQ,        79.20,                    81361.90,1048
,AMBIKCO,EQ,       441.30,                  6511567.90,14539
,AMDIND,EQ,        22.65,                    62043.50,2711
,AMRUTANJAN,EQ,       175.65,                  5342585.45,30310
,AMTEKAUTO,EQ,       233.35,                433357628.00,1855533
,AMTEKINDIA,EQ,        92.80,                 27715403.55,294645
,AMTL,EQ,        14.00,                     7084.70,501
,ANANTRAJ,EQ,        60.45,                 83296761.15,1374931
,ANDHRABANK,EQ,        76.00,                250181744.15,3273897
,ANDHRACEMT,EQ,         9.85,                   111552.60,11463
,ANDHRSUGAR,EQ,       138.75,                  2145903.25,15349
,ANGIND,BE,        14.10,                    94685.05,6762
,ANIKINDS,BE,        31.10,                    16907.00,530
,ANKITMETAL,EQ,         7.15,                   272691.20,38237
,ANSALAPI,EQ,        36.50,                  4989687.55,135938
,ANSALHSG,EQ,        29.50,                  1515448.40,50482
,APARINDS,EQ,       312.90,                 34694595.95,109518
,APCOTEXIND,EQ,       288.40,                 24837256.75,85148
,APLAB,BE,        43.35,                     4335.00,100
,APLAPOLLO,EQ,       335.05,                 46531118.70,136425
