,18-Aug-2014
The Nifty witnessed an intraday movement of about 101.3 points.The closing index was 1.06 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 14876.05
, Traded Quantity (in Lakhs), 7930.06
, Number of Trades, 6862435
, Total Market Capitalisation (Rs. Crores), 8963893.42

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      7791.70,      7785.25,      7880.50,      7779.20,      7874.25,82.55
,CNX IT,     10468.25,     10459.70,     10465.65,     10395.95,     10418.70,-49.55
,CNX Nifty Junior,     16360.40,     16325.40,     16631.60,     16325.40,     16622.40,262
,BANK Nifty,     15089.65,     15099.70,     15465.05,     15068.35,     15439.75,350.1
,CNX Midcap,     10809.85,     10780.20,     10995.70,     10780.20,     10988.25,178.4
,CNX 500,      6215.65,      6208.90,      6298.35,      6208.90,      6294.10,78.45
,CNX 100,      7715.05,      7707.15,      7808.60,      7705.15,      7802.90,87.85
,Nifty Midcap 50,      3103.05,      3094.30,      3173.05,      3094.30,      3170.15,67.1
,CNX Realty,       231.85,       230.25,       235.75,       229.60,       234.95,3.1
,CNX Infra,      3092.90,      3089.15,      3164.55,      3089.15,      3158.50,65.6
,CNX Energy,      9520.05,      9520.30,      9750.70,      9516.55,      9719.25,199.2
,CNX FMCG,     18972.70,     18934.35,     18968.10,     18712.70,     18886.55,-86.15
,CNX MNC,      7991.70,      7985.05,      8106.75,      7985.05,      8095.55,103.85
,CNX Pharma,      9433.60,      9395.80,      9579.15,      9395.80,      9564.55,130.95
,CNX PSE,      3530.75,      3531.30,      3642.80,      3531.30,      3633.80,103.05
,CNX PSU Bank,      3394.55,      3376.50,      3480.20,      3376.50,      3469.95,75.4
,CNX Service,      9490.80,      9487.50,      9589.40,      9456.40,      9580.50,89.7
,India VIX,13.2200,13.2200,14.1950,11.9775,13.5025,0.2825
,CNX AUTO,      7270.65,      7274.65,      7396.80,      7274.65,      7387.80,117.15
,CNX Metal,      3224.65,      3207.65,      3281.05,      3207.65,      3271.85,47.2
,CNX Media,      1867.10,      1886.75,      1906.85,      1872.50,      1903.95,36.85
,CNX Smallcap,      4861.65,      4852.80,      5002.10,      4852.80,      4998.85,137.2
,CNX 200,      3949.20,      3944.70,      3999.25,      3944.70,      3996.45,47.25
,CNX Dividend Oppt,      1999.20,      1996.55,      2029.65,      1996.55,      2027.65,28.45
,CNX Commodities,      2932.10,      2924.55,      2990.35,      2924.55,      2986.55,54.45
,CNX Consumption,      3026.10,      3028.45,      3057.55,      3027.95,      3055.20,29.1
,CNX Finance,      6356.65,      6355.60,      6459.10,      6329.50,      6453.30,96.65
,Nifty Dividend,        79.29,        79.29,        79.29,        79.29,        79.29,0
,LIX 15,      3528.75,      3520.00,      3621.05,      3520.00,      3617.00,88.25
,CPSE Index,      2459.05,      2459.20,      2530.80,      2457.90,      2525.95,66.9
,NI15,      4438.85,      4435.25,      4442.50,      4421.20,      4434.30,-4.55

,ADVANCES,1118
,DECLINES,426
,UNCHANGED,62

,Total securities that have hit their price bands today,347

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ICICIBANK,EQ,      1479.65,      1530.70,3.45,584.3
,TATAMOTORS,EQ,       484.60,       503.80,3.96,427.41
,LT,EQ,      1484.10,      1516.00,2.15,398.39
,SBIN,EQ,      2362.50,      2421.20,2.48,397.03
,TATAMTRDVR,EQ,       330.30,       348.65,5.56,387.1
,ONGC,EQ,       410.10,       431.30,5.17,363.68
,INFY,EQ,      3612.55,      3559.80,-1.46,302.74
,M&M,EQ,      1321.85,      1326.05,0.32,263.21
,VOLTAS,EQ,       221.20,       237.40,7.32,261.83
,TATASTEEL,EQ,       541.70,       546.45,0.88,254.14
,AXISBANK,EQ,       377.80,       394.70,4.47,218.45
,IDEA,EQ,       156.95,       161.05,2.61,212.32
,HDFC,EQ,      1124.30,      1112.55,-1.05,203.75
,YESBANK,EQ,       540.85,       559.40,3.43,182.02
,RELIANCE,EQ,      1002.95,      1013.05,1.01,176.56
,TCS,EQ,      2499.75,      2487.60,-0.49,170.67
,HINDALCO,EQ,       178.60,       182.25,2.04,169.34
,BPCL,EQ,       613.35,       648.50,5.73,163.69
,ITC,EQ,       356.85,       350.65,-1.74,162.46
,CIPLA,EQ,       448.60,       471.05,5,154.98
,UNITECH,EQ,        22.70,        22.90,0.88,147.94
,HDFCBANK,EQ,       826.70,       832.35,0.68,139.21
,JSWSTEEL,EQ,      1274.00,      1275.85,0.15,137.44
,BHEL,EQ,       212.95,       222.10,4.3,136.82
,HDIL,EQ,        90.25,        94.55,4.76,136.36

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BPCL,EQ,       648.50,       613.35,5.73
,ONGC,EQ,       431.30,       410.10,5.17
,CIPLA,EQ,       471.05,       448.60,5
,AXISBANK,EQ,       394.70,       377.80,4.47
,BHEL,EQ,       222.10,       212.95,4.3

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ITC,EQ,       350.65,       356.85,-1.74
,INFY,EQ,      3559.80,      3612.55,-1.46
,HDFC,EQ,      1112.55,      1124.30,-1.05
,HCLTECH,EQ,      1523.05,      1538.00,-0.97
,TCS,EQ,      2487.60,      2499.75,-0.49

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        31.20,                  2093278.15,67060
,3IINFOTECH,EQ,         8.70,                 17634749.90,1977033
,3MINDIA,EQ,      5468.10,                 18532663.65,3345
,8KMILES,EQ,       237.20,                143382789.80,572418
,A2ZMES,BE,        29.60,                  1219934.40,41214
,AARTIDRUGS,EQ,       691.70,                  8076255.85,11617
,AARTIIND,EQ,       266.60,                 22445729.95,84607
,AARVEEDEN,EQ,        45.30,                   262728.85,5799
,ABAN,EQ,       751.10,                738210549.30,993051
,ABB,EQ,       997.05,                 23499119.30,23515
,ABBOTINDIA,EQ,      2380.40,                 35860162.90,15095
,ABCIL,EQ,       201.90,                  7822300.55,39021
,ABGSHIP,EQ,       228.30,                 50285011.30,226299
,ACCELYA,EQ,       633.00,                  6531512.85,10317
,ACE,EQ,        28.40,                  3061563.30,109214
,ACROPETAL,EQ,         3.55,                   249432.15,70532
,ADANIPOWER,EQ,        54.00,                164542654.90,3048744
,ADFFOODS,EQ,        57.85,                  1732840.30,29859
,ADHUNIK,EQ,        47.65,                  1661106.25,35409
,ADORWELD,EQ,       200.45,                   574529.25,2871
,ADSL,EQ,        16.80,                  1220785.45,71902
,ADVANIHOTR,EQ,        74.00,                   135117.45,1819
,ADVANTA,EQ,       299.65,                  3578487.85,11899
,AEGISCHEM,EQ,       333.15,                  9340788.60,28073
,AFL,EQ,        49.15,                   622025.85,12425
,AFTEK,BE,         6.05,                   180405.10,30086
,AGARIND,EQ,        91.45,                   321433.65,3563
,AGCNET,EQ,        61.35,                   117382.70,1932
,AGRITECH,BE,         7.35,                     6758.25,920
,AGRODUTCH,EQ,         2.30,                    26678.10,12028
,AHLEAST,EQ,       198.60,                   419165.30,2074
,AHLUCONT,EQ,       151.60,                 19479955.40,124965
,AHLWEST,EQ,       109.25,                    79568.50,730
,AHMEDFORGE,EQ,       275.55,                 59140543.55,217998
,AIAENG,EQ,       838.40,                329691393.55,389300
,AICHAMP,BE,        16.60,                     1660.00,100
,AIL,EQ,       515.05,                  8538456.50,16781
,AJANTPHARM,EQ,      1559.20,                194177128.80,126016
,AJMERA,EQ,        67.10,                   192989.05,2886
,AKSHOPTFBR,EQ,        16.05,                  2246297.80,139949
,AKZOINDIA,EQ,      1046.35,                  4548375.45,4332
,ALBK,EQ,       122.00,                308995337.15,2553736
,ALCHEM,EQ,        43.10,                   607046.45,13986
,ALEMBICLTD,EQ,        26.75,                  9898719.10,372526
,ALICON,EQ,       133.90,                  1038355.45,7587
,ALKALI,EQ,        18.70,                    72999.10,3870
,ALKYLAMINE,EQ,       609.80,                   783992.50,1277
,ALLCARGO,EQ,       240.70,                  2987446.90,12412
,ALLSEC,EQ,        22.75,                   135980.90,5898
,ALMONDZ,EQ,        11.85,                    42897.00,3620
,ALOKTEXT,EQ,        12.30,                402836082.95,33363737
,ALPA,BE,         9.80,                    21037.50,2150
,ALPHAGEO,EQ,       415.40,                 49481421.25,120501
,ALPSINDUS,EQ,         1.70,                    27936.70,16701
,ALSTOMT&D,EQ,       329.70,                  7924744.55,24290
,AMARAJABAT,EQ,       576.75,                314531625.95,552776
,AMARJOTHI,EQ,        79.90,                   148610.20,1945
,AMBIKCO,EQ,       499.65,                  5858009.75,11643
,AMDIND,EQ,        25.45,                   856782.00,33650
,AMLSTEEL,BE,         5.50,                      682.50,125
,AMRUTANJAN,EQ,       194.45,                  9313552.65,48170
,AMTEKAUTO,EQ,       243.70,                 99686452.45,409212
,AMTEKINDIA,EQ,        91.60,                 11971216.65,129463
,AMTL,EQ,        14.00,                    34982.85,2630
,ANANTRAJ,EQ,        59.60,                 43625092.05,734630
,ANDHRABANK,EQ,        74.75,                190874743.75,2571944
,ANDHRACEMT,EQ,         8.95,                   296319.10,33668
,ANDHRSUGAR,EQ,       142.20,                  2610910.15,18349
,ANGIND,BE,        16.10,                    13765.50,855
,ANKITMETAL,EQ,         6.25,                  1572234.85,248852
,ANSALAPI,EQ,        36.95,                  5495275.55,148580
,ANSALHSG,EQ,        30.10,                  1784373.95,59759
,ANTGRAPHIC,BE,          .20,                      320.80,1604
,APARINDS,EQ,       318.85,                 24715084.70,77603
,APCOTEXIND,EQ,       296.90,                  6770618.45,22654
,APLAPOLLO,EQ,       345.85,                  4398794.90,12731
,APLLTD,EQ,       357.30,                 42742906.50,120267
,APOLLOTYRE,EQ,       170.05,                764823110.95,4548097
,APTECHT,EQ,        84.90,                 16593426.45,195738
,ARCHIDPLY,EQ,        16.85,                   116332.55,7272
,ARCHIES,EQ,        18.75,                   898908.85,47598
,ARCOTECH,EQ,       365.75,                  5600214.05,15306
,ARIES,EQ,        78.60,                  1567946.70,19788
,AROGRANITE,EQ,        51.20,                   241384.95,4778
,ARROWTEX,EQ,         8.80,                    15950.35,1691
,ARSHIYA,BE,        23.10,                  2237636.20,96726
,ARSSINFRA,EQ,        46.50,                  7226201.55,153752
,ARVIND,EQ,       232.85,                357176865.40,1534236
,ARVINDREM,EQ,        43.00,                112822468.85,2606394
,ASAHIINDIA,EQ,        83.70,                  2552702.60,30168
,ASAHISONG,EQ,       133.45,                  7320844.35,54969
