,04-Sep-2014
The Nifty witnessed an intraday movement of about 53.9 points.The closing index was 0.23 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 17161.3
, Traded Quantity (in Lakhs), 10767.4
, Number of Trades, 7456259
, Total Market Capitalisation (Rs. Crores), 9276773.15

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8114.60,      8114.20,      8114.80,      8060.90,      8095.95,-18.65
,CNX IT,     11005.10,     11025.85,     11025.85,     10921.65,     10960.45,-44.65
,CNX Nifty Junior,     17386.05,     17354.40,     17374.90,     17184.80,     17358.35,-27.7
,BANK Nifty,     16110.00,     16102.90,     16114.75,     15926.65,     16033.55,-76.45
,CNX Midcap,     11509.55,     11504.55,     11545.60,     11410.55,     11535.70,26.15
,CNX 500,      6517.70,      6515.60,      6515.60,      6465.55,      6501.95,-15.75
,CNX 100,      8058.75,      8056.25,      8056.25,      8001.85,      8041.10,-17.65
,Nifty Midcap 50,      3263.70,      3259.80,      3266.20,      3207.25,      3261.95,-1.75
,CNX Realty,       233.75,       230.75,       230.80,       221.15,       224.40,-9.35
,CNX Infra,      3246.00,      3245.70,      3245.70,      3182.15,      3213.75,-32.25
,CNX Energy,      9874.05,      9861.70,      9873.70,      9761.60,      9852.00,-22.05
,CNX FMCG,     19171.05,     19166.75,     19313.45,     19133.05,     19205.95,34.9
,CNX MNC,      8300.70,      8288.45,      8313.20,      8262.60,      8286.60,-14.1
,CNX Pharma,     10333.10,     10339.65,     10420.40,     10308.70,     10381.05,47.95
,CNX PSE,      3707.95,      3703.65,      3704.40,      3666.10,      3695.90,-12.05
,CNX PSU Bank,      3564.35,      3555.10,      3558.10,      3507.35,      3524.05,-40.3
,CNX Service,      9888.15,      9892.10,      9892.10,      9811.95,      9865.95,-22.2
,India VIX,13.3925,13.3925,13.6150,12.3975,13.0775,-0.3150
,CNX AUTO,      7850.85,      7849.80,      7873.55,      7803.75,      7856.15,5.3
,CNX Metal,      3176.15,      3164.65,      3182.10,      3107.25,      3125.40,-50.75
,CNX Media,      1942.30,      1938.05,      1948.15,      1917.65,      1943.35,1.05
,CNX Smallcap,      5150.00,      5143.35,      5151.00,      5050.80,      5108.70,-41.3
,CNX 200,      4133.55,      4132.10,      4132.10,      4102.10,      4123.80,-9.75
,CNX Dividend Oppt,      2075.70,      2073.85,      2085.25,      2063.55,      2082.70,7
,CNX Commodities,      3008.60,      3003.25,      3007.00,      2961.95,      2991.85,-16.75
,CNX Consumption,      3199.65,      3193.55,      3207.75,      3179.50,      3200.65,1
,CNX Finance,      6574.70,      6577.05,      6578.60,      6528.75,      6573.95,-.75
,Nifty Dividend,        82.65,        83.51,        83.51,        83.51,        83.51,.86
,LIX 15,      3688.75,      3675.30,      3675.40,      3631.05,      3648.85,-39.9
,CPSE Index,      2589.55,      2587.10,      2594.25,      2562.60,      2579.20,-10.35
,NI15,      4664.05,      4666.85,      4681.45,      4658.80,      4674.75,10.7

,ADVANCES,536
,DECLINES,1016
,UNCHANGED,47

,Total securities that have hit their price bands today,317

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,JPASSOCIAT,EQ,        45.70,        37.65,-17.61,776.06
,ICICIBANK,EQ,      1580.80,      1571.65,-0.58,451.88
,TATAMOTORS,EQ,       522.60,       513.00,-1.84,400.63
,TVSMOTOR,EQ,       205.05,       223.75,9.12,346.35
,DLF,EQ,       182.90,       167.50,-8.42,341.2
,ARVIND,EQ,       304.25,       324.15,6.54,312.71
,SBIN,EQ,      2505.00,      2486.15,-0.75,309.13
,INFY,EQ,      3734.25,      3708.75,-0.68,289.12
,TATASTEEL,EQ,       526.00,       509.05,-3.22,286.68
,HDFC,EQ,      1062.70,      1080.20,1.65,256
,MCDOWELL-N,EQ,      2401.05,      2392.45,-0.36,255.74
,BHEL,EQ,       236.85,       227.05,-4.14,243.46
,BHARTIARTL,EQ,       404.50,       404.50,0,242.66
,TCS,EQ,      2606.40,      2584.75,-0.83,220.76
,RELIANCE,EQ,      1031.25,      1025.90,-0.52,219.1
,ITC,EQ,       348.90,       350.40,0.43,205.42
,HDIL,EQ,        98.85,        94.80,-4.1,200.09
,CIPLA,EQ,       553.20,       552.30,-0.16,198.27
,JINDALSTEL,EQ,       238.10,       228.75,-3.93,194.2
,UPL,EQ,       342.85,       369.35,7.73,188.69
,LT,EQ,      1598.20,      1589.95,-0.52,181.45
,IDEA,EQ,       172.30,       167.75,-2.64,180.32
,COALINDIA,EQ,       376.10,       379.05,0.78,166.9
,ADANIPORTS,EQ,       289.10,       289.30,0.07,164.01
,YESBANK,EQ,       624.35,       619.15,-0.83,157.25

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BAJAJ-AUTO,EQ,      2301.90,      2225.85,3.42
,HEROMOTOCO,EQ,      2824.60,      2766.00,2.12
,NTPC,EQ,       142.45,       139.70,1.97
,HDFC,EQ,      1080.20,      1062.70,1.65
,POWERGRID,EQ,       134.15,       132.75,1.05

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DLF,EQ,       167.50,       182.90,-8.42
,BHEL,EQ,       227.05,       236.85,-4.14
,JINDALSTEL,EQ,       228.75,       238.10,-3.93
,TATASTEEL,EQ,       509.05,       526.00,-3.22
,HINDALCO,EQ,       169.50,       175.10,-3.2

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        31.95,                  3028085.55,94219
,3IINFOTECH,EQ,         8.65,                  7046168.85,811236
,3MINDIA,EQ,      5923.10,                  1531595.85,258
,8KMILES,EQ,       336.45,                 15733061.50,46729
,A2ZMES,BE,        25.15,                  3854766.25,151994
,AARTIDRUGS,EQ,       731.25,                  5585195.90,7623
,AARTIIND,EQ,       300.45,                 92525043.80,307005
,AARVEEDEN,EQ,        49.10,                   319300.90,6421
,ABAN,EQ,       744.25,                736361367.50,992119
,ABB,EQ,      1066.30,                131913586.35,124372
,ABBOTINDIA,EQ,      2603.90,                  4808586.75,1856
,ABCIL,EQ,       265.20,                  7210596.70,27196
,ABGSHIP,EQ,       229.20,                 17258501.45,74790
,ACCELYA,EQ,       696.65,                 14155171.30,20354
,ACE,EQ,        32.10,                 10477241.90,324089
,ACROPETAL,EQ,         3.65,                    58725.05,15888
,ADANIPOWER,EQ,        49.35,                290699892.55,5912000
,ADFFOODS,EQ,        64.70,                  7886250.10,121098
,ADHUNIK,EQ,        42.80,                  1531358.60,35906
,ADORWELD,EQ,       200.75,                   628463.25,3130
,ADSL,EQ,        22.95,                  1726946.20,76503
,ADVANIHOTR,EQ,        73.00,                   430033.80,5878
,ADVANTA,EQ,       317.40,                 19018682.85,62331
,AEGISCHEM,EQ,       362.60,                 68442498.75,186828
,AFL,EQ,        59.65,                   981465.85,16345
,AFTEK,BE,         5.90,                   399996.20,68238
,AGARIND,EQ,        87.00,                    20799.00,238
,AGCNET,EQ,        60.85,                   190702.95,3151
,AGRITECH,BE,         7.05,                     7735.50,1088
,AGRODUTCH,EQ,         2.50,                    24545.00,9998
,AHLEAST,EQ,       195.60,                   591908.10,3012
,AHLUCONT,EQ,       146.05,                  7981081.30,54742
,AHLWEST,EQ,       114.00,                   362753.65,3188
,AHMEDFORGE,EQ,       368.50,                137672380.15,376766
,AIAENG,EQ,       986.90,                179512132.90,183290
,AIL,EQ,       510.75,                 18003558.90,35027
,AJANTPHARM,EQ,      1611.65,                 39867948.05,24670
,AJMERA,EQ,        66.70,                  1026834.85,15261
,AKSHOPTFBR,EQ,        20.05,                  2882202.00,144400
,AKZOINDIA,EQ,      1246.90,                 39100072.05,31263
,ALBK,EQ,       115.70,                311185192.40,2682859
,ALCHEM,EQ,        44.30,                   102900.70,2332
,ALEMBICLTD,EQ,        43.35,                108536364.30,2481696
,ALICON,EQ,       164.35,                  1596220.35,9635
,ALKALI,EQ,        19.85,                   389868.80,19445
,ALKYLAMINE,EQ,       734.90,                  8893194.90,12273
,ALLCARGO,EQ,       241.05,                  1349445.95,5600
,ALLSEC,EQ,        21.85,                    64578.55,2990
,ALMONDZ,EQ,        19.90,                  2698864.95,130526
,ALOKTEXT,EQ,        12.40,                149943739.20,12140663
,ALPA,BE,        10.05,                    36711.50,3900
,ALPHAGEO,EQ,       366.65,                  3837720.30,10289
,ALPINEHOU,BE,        21.50,                    10750.00,500
,ALPSINDUS,EQ,         1.80,                    15050.60,8368
,ALSTOMT&D,EQ,       334.95,                 14199586.55,42682
,AMARAJABAT,EQ,       598.10,                136504296.35,231545
,AMARJOTHI,EQ,        79.00,                    20450.20,252
,AMBIKCO,EQ,       469.55,                  1566928.45,3336
,AMDIND,EQ,        25.15,                   299717.15,11904
,AMRUTANJAN,EQ,       243.00,                 61848696.80,258462
,AMTEKAUTO,EQ,       238.95,                226142669.65,943645
,AMTEKINDIA,EQ,       106.50,                 51250890.15,481944
,AMTL,EQ,        13.60,                     4239.50,319
,ANANTRAJ,EQ,        55.20,                 49069486.65,878123
,ANDHRABANK,EQ,        73.15,                120309544.75,1638917
,ANDHRACEMT,EQ,         9.00,                   691178.40,75079
,ANDHRSUGAR,EQ,       144.80,                  3106344.35,21288
,ANGIND,EQ,        19.25,                   153740.25,8026
,ANIKINDS,BE,        31.75,                    38072.50,1200
,ANKITMETAL,EQ,         6.00,                   385874.00,63900
,ANSALAPI,EQ,        33.25,                  4230131.10,126918
,ANSALHSG,EQ,        31.20,                  1689837.90,53937
