,12-Sep-2014
The Nifty witnessed an intraday movement of about 42.7 points.The closing index was 0.24 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 17279.12
, Traded Quantity (in Lakhs), 10505.4
, Number of Trades, 7688139
, Total Market Capitalisation (Rs. Crores), 9418212.94

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8085.70,      8087.05,      8114.30,      8071.60,      8105.50,19.8
,CNX IT,     10965.95,     10987.00,     11017.70,     10918.70,     10958.50,-7.45
,CNX Nifty Junior,     17573.50,     17591.10,     17634.95,     17540.70,     17609.60,36.1
,BANK Nifty,     16204.15,     16208.00,     16278.65,     16145.70,     16254.15,50
,CNX Midcap,     11866.95,     11893.45,     11924.10,     11864.45,     11916.30,49.35
,CNX 500,      6554.75,      6559.80,      6579.30,      6548.45,      6572.70,17.95
,CNX 100,      8047.30,      8049.65,      8075.15,      8034.15,      8066.50,19.2
,Nifty Midcap 50,      3360.20,      3363.25,      3371.55,      3341.25,      3360.65,.45
,CNX Realty,       227.00,       226.70,       228.50,       226.30,       226.80,-.2
,CNX Infra,      3241.60,      3240.30,      3257.00,      3209.15,      3219.30,-22.3
,CNX Energy,      9816.25,      9808.90,      9858.05,      9733.25,      9757.25,-59
,CNX FMCG,     19330.50,     19316.25,     19557.15,     19314.70,     19472.50,142
,CNX MNC,      8434.25,      8418.25,      8509.15,      8418.25,      8500.35,66.1
,CNX Pharma,     10283.55,     10261.30,     10375.80,     10125.10,     10353.10,69.55
,CNX PSE,      3686.70,      3689.25,      3712.25,      3658.70,      3667.80,-18.9
,CNX PSU Bank,      3665.30,      3668.15,      3721.80,      3641.45,      3714.05,48.75
,CNX Service,      9873.15,      9879.55,      9904.95,      9850.70,      9892.85,19.7
,India VIX,12.5175,12.5175,12.6200,11.3975,12.3650,-0.1525
,CNX AUTO,      7932.25,      7944.55,      8014.95,      7944.55,      8009.80,77.55
,CNX Metal,      3164.10,      3161.85,      3175.75,      3137.05,      3158.50,-5.6
,CNX Media,      1957.70,      1953.35,      1963.20,      1942.20,      1954.35,-3.35
,CNX Smallcap,      5301.55,      5319.70,      5340.40,      5291.15,      5299.85,-1.7
,CNX 200,      4143.40,      4145.50,      4158.15,      4137.25,      4153.95,10.55
,CNX Dividend Oppt,      2095.65,      2097.35,      2107.85,      2091.60,      2104.35,8.7
,CNX Commodities,      2997.65,      2995.30,      3006.95,      2973.65,      2983.00,-14.65
,CNX Consumption,      3214.15,      3212.80,      3242.05,      3212.80,      3239.00,24.85
,CNX Finance,      6569.05,      6572.85,      6603.25,      6555.95,      6593.85,24.8
,Nifty Dividend,        86.07,        86.07,        86.07,        86.07,        86.07,0
,LIX 15,      3709.70,      3710.15,      3727.30,      3693.45,      3723.25,13.55
,CPSE Index,      2580.50,      2588.40,      2605.00,      2571.65,      2577.40,-3.1
,NI15,      4653.30,      4651.60,      4691.15,      4645.25,      4682.05,28.75

,ADVANCES,863
,DECLINES,710
,UNCHANGED,51

,Total securities that have hit their price bands today,300

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SUNPHARMA,EQ,       822.30,       806.10,-1.97,607.79
,SBIN,EQ,      2603.10,      2630.40,1.05,427.23
,CIPLA,EQ,       575.20,       612.75,6.53,270.91
,TATAMOTORS,EQ,       514.35,       517.20,0.55,237.48
,MOTHERSUMI,EQ,       438.95,       436.65,-0.52,231.77
,TATASTEEL,EQ,       517.60,       515.95,-0.32,227.92
,EXIDEIND,EQ,       164.60,       175.05,6.35,207.9
,RELIANCE,EQ,      1019.40,      1015.60,-0.37,203.11
,ARVIND,EQ,       325.15,       335.75,3.26,199.94
,BHARATFORG,EQ,       922.05,       894.00,-3.04,198.89
,ITC,EQ,       351.20,       355.65,1.27,193.07
,LT,EQ,      1595.15,      1578.70,-1.03,191.42
,HDFC,EQ,      1037.85,      1050.30,1.2,189.42
,ICICIBANK,EQ,      1565.85,      1564.40,-0.09,180.63
,LOVABLE,EQ,       400.75,       427.70,6.72,180.36
,WOCKPHARMA,EQ,       838.60,       851.95,1.59,179.58
,INFY,EQ,      3684.15,      3669.90,-0.39,179.26
,BHARTIARTL,EQ,       406.05,       414.00,1.96,171.04
,SSLT,EQ,       286.65,       290.30,1.27,168.84
,AUROPHARMA,EQ,       864.15,       896.15,3.7,162.9
,RANBAXY,EQ,       622.45,       609.90,-2.02,156.71
,TCS,EQ,      2598.35,      2607.60,0.36,156.05
,OFSS,EQ,      3695.15,      3937.15,6.55,155.49
,IDEA,EQ,       170.80,       173.90,1.81,149.97
,JPASSOCIAT,EQ,        36.60,        35.55,-2.87,143.11

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,CIPLA,EQ,       612.75,       575.20,6.53
,LUPIN,EQ,      1359.00,      1319.05,3.03
,ASIANPAINT,EQ,       671.80,       656.60,2.31
,BANKBARODA,EQ,       944.60,       923.90,2.24
,PNB,EQ,       984.35,       965.35,1.97

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDALCO,EQ,       168.60,       173.00,-2.54
,CAIRN,EQ,       325.25,       332.70,-2.24
,SUNPHARMA,EQ,       806.10,       822.30,-1.97
,POWERGRID,EQ,       135.15,       137.85,-1.96
,ULTRACEMCO,EQ,      2639.35,      2686.55,-1.76

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        34.25,                  3358045.35,99920
,3IINFOTECH,EQ,         9.00,                  9981990.75,1101080
,3MINDIA,EQ,      6393.10,                 11904918.00,1870
,8KMILES,EQ,       329.95,                 12303061.90,36671
,A2ZMES,EQ,        26.95,                  5020176.15,185720
,AARTIDRUGS,EQ,       787.55,                 15567141.85,19651
,AARTIIND,EQ,       299.20,                 29071793.50,98140
,AARVEEDEN,EQ,        55.25,                  1202021.95,21519
,ABAN,EQ,       746.50,                550383513.05,731171
,ABB,EQ,      1149.70,                 62245991.95,53805
,ABBOTINDIA,EQ,      3339.45,                 52431366.25,15663
,ABCIL,EQ,       287.35,                 11585943.15,39962
,ABGSHIP,EQ,       245.70,                 63438438.15,255494
,ACCELYA,EQ,       704.10,                 26988454.20,38923
,ACE,EQ,        36.90,                 24922780.70,670119
,ACROPETAL,EQ,         4.05,                   234401.20,58226
,ADANIPOWER,EQ,        50.40,                134215793.05,2644138
,ADFFOODS,EQ,        70.40,                  9850435.15,140146
,ADHUNIK,EQ,        43.30,                  3169649.00,74704
,ADORWELD,EQ,       262.20,                  6389892.05,24909
,ADSL,EQ,        22.90,                  1360401.50,59598
,ADVANIHOTR,EQ,        73.00,                   226847.25,3105
,ADVANTA,EQ,       340.50,                 92642056.50,280408
,AEGISCHEM,EQ,       374.55,                 15033022.10,40082
,AFL,EQ,        73.20,                  2341299.15,31355
,AFTEK,BE,         5.95,                   355368.25,59850
,AGARIND,EQ,       109.25,                 16075750.25,150740
,AGCNET,EQ,        64.20,                   423652.65,6625
,AGRITECH,BE,         7.20,                     6770.40,942
,AGRODUTCH,EQ,         3.75,                   118211.25,31523
,AHLEAST,EQ,       198.55,                    84086.10,422
,AHLUCONT,EQ,       193.35,                 17800286.20,91651
,AHLWEST,EQ,       111.80,                  1178604.00,10552
,AHMEDFORGE,EQ,       430.45,                205604005.55,475269
,AIAENG,EQ,      1003.65,                178201641.35,177023
,AIL,EQ,       510.40,                 11324544.20,22031
,AJANTPHARM,EQ,      1745.65,                115422076.15,66428
,AJMERA,EQ,        71.00,                  1113934.15,15677
,AKSHOPTFBR,EQ,        21.75,                 25861497.25,1199525
,AKZOINDIA,EQ,      1316.85,                 48889787.95,37466
,ALBK,EQ,       122.05,                367708614.30,3048383
,ALCHEM,EQ,        48.20,                   335857.50,7017
,ALEMBICLTD,EQ,        49.80,                174605156.70,3649722
,ALICON,EQ,       172.50,                  4032502.70,23164
,ALKALI,EQ,        24.25,                   106751.90,4318
,ALKYLAMINE,EQ,       398.90,                 18665064.60,47541
,ALLCARGO,EQ,       241.70,                  9916029.75,40517
,ALLSEC,EQ,        25.35,                   276224.70,11429
,ALMONDZ,EQ,        19.45,                   219242.25,11120
,ALOKTEXT,EQ,        12.75,                140211532.35,10886363
,ALPA,BE,         9.90,                   110408.45,11357
,ALPHAGEO,EQ,       501.60,                 43139838.65,86322
,ALPINEHOU,BE,        21.75,                    11952.50,550
,ALPSINDUS,EQ,         2.40,                     8479.20,3533
,ALSTOMT&D,EQ,       350.55,                 14754570.75,42146
,AMARAJABAT,EQ,       651.75,                924024405.15,1427688
,AMARJOTHI,EQ,        91.95,                   100152.90,1107
,AMBIKCO,EQ,       550.45,                  2612996.25,4731
,AMDIND,EQ,        29.05,                   878642.75,30156
,AMRUTANJAN,EQ,       311.80,                 59395655.90,188594
,AMTEKAUTO,EQ,       255.15,                481186485.10,1867096
,AMTEKINDIA,EQ,       117.55,                132624540.55,1119452
,AMTL,EQ,        15.00,                    81282.50,5498
,ANANTRAJ,EQ,        57.20,                 42787026.30,738025
,ANDHRABANK,EQ,        76.40,                184775254.00,2434606
,ANDHRACEMT,EQ,        11.80,                  2634973.40,225032
,ANDHRSUGAR,EQ,       151.20,                  6780243.65,44299
,ANGIND,EQ,        25.45,                  1723427.50,69127
,ANIKINDS,BE,        32.55,                   129777.30,3921
,ANKITMETAL,EQ,         7.30,                  2870735.75,400434
,ANSALAPI,EQ,        34.75,                  5789348.70,165720
,ANSALHSG,EQ,        33.70,                  3462289.25,101122
,ANTGRAPHIC,BE,          .25,                     5062.25,23729
,APARINDS,EQ,       398.90,                 65166919.80,164232
,APCOTEXIND,EQ,       376.50,                 12896861.05,33852
,APLAB,BE,        41.95,                    15709.75,405
,APLAPOLLO,EQ,       320.60,                  2102840.15,6554
,APLLTD,EQ,       430.50,                178455048.65,418631
,APOLLOTYRE,EQ,       207.35,               1164497312.30,5559477
,APTECHT,EQ,        95.35,                 55275877.60,572911
,ARCHIDPLY,EQ,        23.55,                  1624591.35,70059
,ARCHIES,EQ,        26.75,                 53528874.60,2049556
,ARCOTECH,EQ,       364.25,                  6132301.90,16824
,ARIES,EQ,       103.95,                  8458021.50,80497
,ARIHANT,EQ,        39.00,                     1950.00,50
,AROGRANITE,EQ,        68.70,                  4683646.00,71181
,ARROWTEX,EQ,        10.65,                   109461.20,10356
,ARSHIYA,BE,        22.60,                   660455.40,29382
,ARSSINFRA,EQ,        45.30,                  2044682.55,45214
,ARVIND,EQ,       335.75,               1999384019.90,6039253
,ARVINDREM,EQ,        62.90,                130900031.45,2059273
,ASAHIINDIA,EQ,       105.10,                  6676861.00,62749
,ASAHISONG,EQ,       177.10,                  4462044.80,25056
,ASAL,EQ,        65.05,                   669952.10,10358
,ASHAPURMIN,EQ,        71.30,                  7994719.90,110684
,ASHIANA,EQ,       151.50,                  2383031.80,15670
,ASHIMASYN,EQ,        10.70,                   239234.00,22231
,ASHOKA,EQ,       141.50,                 26738488.25,188453
,ASHOKLEY,EQ,        41.35,                614440074.15,14749038
,ASIANHOTNR,EQ,       142.20,                   578548.25,4046
,ASIANTILES,BE,       115.40,                  3464200.80,29765
,ASSAMCO,EQ,         5.35,                  9652070.45,1771799
,ASTEC,EQ,        76.25,                  6325937.50,82769
,ASTRAL,EQ,       840.65,                 12495307.10,15067
,ASTRAMICRO,EQ,       125.65,                 73940520.45,583358
,ASTRAZEN,EQ,       951.80,                 23757055.35,24813
,ATFL,EQ,       669.20,                  7999183.50,11969
,ATLANTA,EQ,        71.90,                 20144640.95,279873
,ATLASCYCLE,EQ,       287.85,                 10894085.10,37487
,ATNINTER,EQ,          .60,                    15593.50,26142
,ATUL,EQ,      1357.50,                 68570086.70,50047
,ATULAUTO,EQ,       419.05,                147672295.55,346044
,AURIONPRO,EQ,       296.85,                  8261392.15,27640
,AUROPHARMA,EQ,       896.15,               1628983831.30,1850188
,AUSOMENT,BE,        19.40,                     1008.80,52
,AUSTRAL,EQ,          .80,                   131912.75,165978
,AUTOAXLES,EQ,       688.15,                  6122848.05,8933
,AUTOIND,EQ,       103.60,                135712135.10,1273283
,AUTOLITIND,EQ,        33.60,                  3871517.50,116263
,AVANTI,EQ,      1528.15,                 22967108.90,14873
,AVTNPL,EQ,        54.30,                 39438007.70,735556
,AXIS-IT&T,EQ,       128.10,                 10520168.25,81176
,AXISBANK,IL,       426.00,                 17265938.00,40413
,AXISGOLD,EQ,      2585.70,                   694031.15,268
,BAFNAPHARM,EQ,        37.00,                  2124421.60,57447
,BAGFILMS,EQ,         4.30,                  3245688.00,777553
,BAJAJCORP,EQ,       282.00,                 28267255.10,99640
,BAJAJELEC,EQ,       277.55,                 51829743.95,185920
,BAJAJHIND,EQ,        22.60,                 32516891.50,1430269
