,15-Sep-2014
The Nifty witnessed an intraday movement of about 47.3 points.The closing index was 0.78 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 15971.77
, Traded Quantity (in Lakhs), 10500.22
, Number of Trades, 7646767
, Total Market Capitalisation (Rs. Crores), 9378543.04

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8105.50,      8070.35,      8077.30,      8030.00,      8042.00,-63.5
,CNX IT,     10958.50,     10959.85,     10960.70,     10856.60,     10868.15,-90.35
,CNX Nifty Junior,     17609.60,     17569.65,     17629.40,     17461.80,     17552.10,-57.5
,BANK Nifty,     16254.15,     16158.65,     16239.70,     16106.05,     16167.55,-86.6
,CNX Midcap,     11916.30,     11879.15,     11983.50,     11836.25,     11944.75,28.45
,CNX 500,      6572.70,      6547.25,      6556.45,      6518.05,      6540.10,-32.6
,CNX 100,      8066.50,      8034.05,      8035.10,      7993.30,      8008.90,-57.6
,Nifty Midcap 50,      3360.65,      3343.95,      3383.70,      3332.85,      3367.25,6.6
,CNX Realty,       226.80,       225.65,       227.70,       223.95,       227.15,.35
,CNX Infra,      3219.30,      3197.70,      3209.70,      3177.20,      3198.00,-21.3
,CNX Energy,      9757.25,      9687.85,      9713.40,      9650.90,      9664.35,-92.9
,CNX FMCG,     19472.50,     19450.75,     19452.10,     19286.40,     19362.20,-110.3
,CNX MNC,      8500.35,      8488.30,      8496.50,      8434.85,      8480.75,-19.6
,CNX Pharma,     10353.10,     10358.70,     10459.00,     10357.15,     10428.10,75
,CNX PSE,      3667.80,      3641.60,      3660.40,      3634.00,      3645.55,-22.25
,CNX PSU Bank,      3714.05,      3690.50,      3762.95,      3662.50,      3732.85,18.8
,CNX Service,      9892.85,      9855.75,      9855.75,      9795.50,      9816.70,-76.15
,India VIX,12.3650,12.3650,13.3625,12.0375,13.2550,0.8900
,CNX AUTO,      8009.80,      7972.35,      8006.35,      7934.30,      7984.65,-25.15
,CNX Metal,      3158.50,      3136.20,      3142.20,      3100.90,      3107.90,-50.6
,CNX Media,      1954.35,      1949.80,      1989.25,      1944.90,      1980.90,26.55
,CNX Smallcap,      5299.85,      5289.30,      5351.55,      5259.20,      5330.10,30.25
,CNX 200,      4153.95,      4137.65,      4139.40,      4117.30,      4129.35,-24.6
,CNX Dividend Oppt,      2104.35,      2095.30,      2111.05,      2084.25,      2102.65,-1.7
,CNX Commodities,      2983.00,      2965.10,      2967.45,      2940.60,      2945.95,-37.05
,CNX Consumption,      3239.00,      3230.85,      3235.35,      3210.40,      3229.40,-9.6
,CNX Finance,      6593.85,      6565.10,      6576.10,      6528.75,      6553.25,-40.6
,Nifty Dividend,        86.07,        86.07,        86.07,        86.07,        86.07,0
,LIX 15,      3723.25,      3699.60,      3705.70,      3675.35,      3688.75,-34.5
,CPSE Index,      2577.40,      2558.40,      2568.15,      2549.80,      2556.85,-20.55
,NI15,      4682.05,      4674.40,      4676.20,      4650.05,      4662.20,-19.85

,ADVANCES,852
,DECLINES,731
,UNCHANGED,48

,Total securities that have hit their price bands today,308

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,      2630.40,      2623.25,-0.27,457.24
,YESBANK,EQ,       633.00,       600.25,-5.17,259.73
,CIPLA,EQ,       612.75,       630.25,2.86,252.02
,SUNPHARMA,EQ,       806.10,       795.30,-1.34,251.45
,WOCKPHARMA,EQ,       851.95,       865.80,1.63,233.51
,INFY,EQ,      3669.90,      3641.30,-0.78,225.69
,ICICIBANK,EQ,      1564.40,      1553.35,-0.71,210.44
,RELIANCE,EQ,      1015.60,      1002.75,-1.27,200.83
,TATASTEEL,EQ,       515.95,       507.70,-1.6,197.92
,GSFC,EQ,        94.70,       107.25,13.25,193.76
,HDFC,EQ,      1050.30,      1034.10,-1.54,187.69
,APOLLOTYRE,EQ,       207.35,       209.95,1.25,157.85
,UNITECH,EQ,        22.90,        24.15,5.46,155.48
,TATAMOTORS,EQ,       517.20,       512.40,-0.93,152.28
,MOTHERSUMI,EQ,       436.65,       439.15,0.57,149.68
,ITC,EQ,       355.65,       351.70,-1.11,148.97
,TCS,EQ,      2607.60,      2558.30,-1.89,148
,ESCORTS,EQ,       147.75,       154.25,4.4,141.99
,BANKBARODA,EQ,       944.60,       949.50,0.52,141.46
,EXIDEIND,EQ,       175.05,       178.65,2.06,140.78
,MCDOWELL-N,EQ,      2295.35,      2357.90,2.73,139.84
,HINDALCO,EQ,       168.60,       163.60,-2.97,138.17
,BHARTIARTL,EQ,       414.00,       411.55,-0.59,134.12
,PNB,EQ,       984.35,       999.65,1.55,132.61
,ARVIND,EQ,       335.75,       334.15,-0.48,126.46

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,LUPIN,EQ,      1415.90,      1359.00,4.19
,CIPLA,EQ,       630.25,       612.75,2.86
,MCDOWELL-N,EQ,      2357.90,      2295.35,2.73
,PNB,EQ,       999.65,       984.35,1.55
,HEROMOTOCO,EQ,      2799.65,      2758.55,1.49

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JINDALSTEL,EQ,       225.05,       236.15,-4.7
,HINDALCO,EQ,       163.60,       168.60,-2.97
,KOTAKBANK,EQ,      1046.10,      1069.15,-2.16
,ULTRACEMCO,EQ,      2589.15,      2639.35,-1.9
,TCS,EQ,      2558.30,      2607.60,-1.89

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        33.55,                  2525306.95,74885
,3IINFOTECH,EQ,         9.25,                 11873467.75,1281145
,3MINDIA,EQ,      6362.60,                  6682269.85,1049
,8KMILES,EQ,       347.60,                 26252377.85,75664
,A2ZMES,EQ,        28.25,                  8745028.20,316140
,AARTIDRUGS,EQ,       766.50,                 10781541.50,14085
,AARTIIND,EQ,       301.15,                 27933277.15,92593
,AARVEEDEN,EQ,        57.30,                   707838.60,12565
,ABAN,EQ,       735.80,                369055077.15,499763
,ABB,EQ,      1150.35,                 42461186.10,36866
,ABBOTINDIA,EQ,      3256.30,                 16298603.55,4972
,ABCIL,EQ,       285.95,                  9819226.05,34593
,ABGSHIP,EQ,       258.30,                300420317.30,1155826
,ACCELYA,EQ,       695.50,                 60368547.85,86712
,ACE,EQ,        35.95,                  9018693.85,249193
,ACROPETAL,EQ,         4.20,                   340101.20,81685
,ADANIPOWER,EQ,        50.50,                169993539.45,3388386
,ADFFOODS,EQ,        72.60,                 14056926.40,194478
,ADHUNIK,EQ,        42.05,                  1541316.45,36379
,ADORWELD,EQ,       258.80,                  1815454.05,6975
,ADSL,EQ,        23.05,                   870046.15,38533
,ADVANIHOTR,EQ,        73.05,                    59415.50,811
,ADVANTA,EQ,       335.45,                 16267013.80,48182
,AEGISCHEM,EQ,       375.95,                 18915920.80,50147
,AFL,EQ,        76.10,                  1492127.45,19717
,AFTEK,BE,         6.20,                   786504.15,133993
,AGARIND,EQ,       105.95,                  4191715.65,39151
,AGCNET,EQ,        62.05,                   375730.35,6047
,AGRITECH,BE,         7.55,                     7664.25,1055
,AGRODUTCH,EQ,         3.90,                    96307.55,24901
,AHLEAST,EQ,       201.10,                   293139.75,1466
,AHLUCONT,EQ,       184.35,                  6855652.45,36675
,AHLWEST,EQ,       110.85,                   145740.10,1316
,AHMEDFORGE,EQ,       428.25,                132391710.75,308368
,AIAENG,EQ,       971.15,                 88572276.35,90814
,AICHAMP,BE,        16.60,                      846.60,51
,AIL,EQ,       517.90,                 18097997.25,35260
,AJANTPHARM,EQ,      1716.20,                 38415397.05,22341
,AJMERA,EQ,        70.55,                  1878966.70,26848
,AKSHOPTFBR,EQ,        20.95,                 24759837.85,1146970
,AKZOINDIA,EQ,      1313.00,                 73248482.35,54795
,ALBK,EQ,       125.40,                555071606.40,4464630
,ALCHEM,EQ,        49.70,                   648100.30,13300
,ALEMBICLTD,EQ,        54.75,                301255983.35,5690617
,ALICON,EQ,       172.65,                  3632195.00,21102
,ALKALI,EQ,        23.80,                   219597.35,9079
,ALKYLAMINE,EQ,       400.90,                  3569611.90,8857
,ALLCARGO,EQ,       238.05,                  6403621.60,26727
,ALLSEC,EQ,        28.25,                   816191.70,29613
,ALMONDZ,EQ,        19.55,                    75355.75,3809
,ALOKTEXT,EQ,        13.65,                666503801.00,49056686
,ALPA,BE,         9.50,                   208532.20,21946
,ALPHAGEO,EQ,       526.65,                 28506066.50,54528
,ALPINEHOU,BE,        21.50,                     6310.00,300
,ALPSINDUS,EQ,         2.45,                   245133.60,98682
,ALSTOMT&D,EQ,       358.15,                 47423815.35,132835
,AMARAJABAT,EQ,       628.85,                147439303.60,232814
,AMARJOTHI,EQ,        91.80,                   336995.00,3688
,AMBIKCO,EQ,       542.10,                  7386902.15,13533
,AMDIND,EQ,        29.20,                  1021063.90,34678
,AMLSTEEL,EQ,         3.75,                       26.10,7
,AMRUTANJAN,EQ,       321.15,                156239342.50,485659
,AMTEKAUTO,EQ,       258.10,                224721352.30,865515
,AMTEKINDIA,EQ,       115.70,                 51077944.60,438344
,AMTL,EQ,        14.95,                    84055.00,5850
,ANANTRAJ,EQ,        56.75,                 34824547.65,612390
,ANDHRABANK,EQ,        78.50,                487756256.50,6212663
,ANDHRACEMT,EQ,        11.75,                  1872429.00,159504
,ANDHRSUGAR,EQ,       151.35,                  7492072.50,49285
,ANGIND,EQ,        26.70,                   335006.60,12548
,ANIKINDS,BE,        33.20,                     8302.50,250
,ANKITMETAL,EQ,         7.55,                  3722281.40,494152
,ANSALAPI,EQ,        34.15,                  5526766.85,161391
,ANSALHSG,EQ,        33.90,                  3048048.55,89532
,ANTGRAPHIC,BE,          .25,                    34055.00,139450
,APARINDS,EQ,       424.00,                156310422.80,370803
,APCOTEXIND,EQ,       363.90,                  9738055.85,26283
,APLAB,BE,        42.95,                    20829.50,520
,APLAPOLLO,EQ,       319.40,                   545376.15,1703
,APLLTD,EQ,       438.15,                128971029.00,297878
,APOLLOTYRE,EQ,       209.95,               1578546892.15,7577182
,APTECHT,EQ,        94.75,                 26630334.10,280274
,ARCHIDPLY,EQ,        25.90,                  2370680.60,93820
,ARCHIES,EQ,        29.90,                124269975.00,4201696
,ARCOTECH,EQ,       362.00,                  6571002.45,18154
,ARIES,EQ,       107.75,                 19173956.85,176320
,ARIHANT,EQ,        42.20,                    46210.70,1191
,AROGRANITE,EQ,        73.05,                  5989763.45,82214
,ARROWTEX,EQ,        10.35,                    61685.00,6081
,ARSHIYA,BE,        21.65,                   877711.50,39908
,ARSSINFRA,EQ,        45.30,                  2700349.25,59655
,ARVIND,EQ,       334.15,               1264617806.95,3782361
,ARVINDREM,EQ,        63.15,                146519687.45,2310408
,ASAHIINDIA,EQ,       103.25,                  4961241.40,48254
,ASAHISONG,EQ,       176.35,                  5823715.70,32900
