,23-Sep-2014
The Nifty witnessed an intraday movement of about 151.65 points.The closing index was 1.58 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 18291.27
, Traded Quantity (in Lakhs), 9842.91
, Number of Trades, 7981738
, Total Market Capitalisation (Rs. Crores), 9227729.2

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8146.30,      8144.40,      8159.75,      8008.10,      8017.55,-128.75
,CNX IT,     11173.15,     11172.25,     11309.35,     11066.00,     11088.05,-85.1
,CNX Nifty Junior,     17362.05,     17377.15,     17440.30,     16964.65,     16995.05,-367
,BANK Nifty,     16194.55,     16194.40,     16240.55,     15894.55,     15902.85,-291.7
,CNX Midcap,     11703.35,     11703.80,     11760.60,     11470.25,     11481.10,-222.25
,CNX 500,      6576.60,      6577.70,      6591.50,      6459.05,      6464.80,-111.8
,CNX 100,      8083.80,      8083.25,      8099.70,      7940.65,      7949.65,-134.15
,Nifty Midcap 50,      3274.75,      3270.20,      3287.65,      3181.10,      3186.70,-88.05
,CNX Realty,       227.05,       226.45,       227.30,       214.25,       215.00,-12.05
,CNX Infra,      3164.05,      3155.20,      3165.00,      3095.55,      3100.40,-63.65
,CNX Energy,      9565.65,      9577.05,      9591.10,      9334.40,      9350.70,-214.95
,CNX FMCG,     19904.85,     19892.25,     20046.80,     19779.05,     19830.05,-74.8
,CNX MNC,      8491.50,      8496.60,      8535.55,      8428.65,      8446.10,-45.4
,CNX Pharma,     10484.95,     10552.25,     10552.25,     10241.50,     10266.45,-218.5
,CNX PSE,      3594.15,      3602.20,      3606.75,      3508.85,      3514.65,-79.5
,CNX PSU Bank,      3684.40,      3691.35,      3696.00,      3586.15,      3593.90,-90.5
,CNX Service,      9946.85,      9943.65,      9994.95,      9798.40,      9809.65,-137.2
,India VIX,11.5650,11.5650,12.8725,11.0800,12.4100,0.8450
,CNX AUTO,      8153.50,      8153.95,      8165.65,      7980.40,      7991.10,-162.4
,CNX Metal,      3036.20,      3032.95,      3036.30,      2956.10,      2962.45,-73.75
,CNX Media,      2012.30,      2005.40,      2026.50,      1970.40,      1974.90,-37.4
,CNX Smallcap,      5240.30,      5241.00,      5270.30,      5099.35,      5103.15,-137.15
,CNX 200,      4156.60,      4156.50,      4166.00,      4081.60,      4085.85,-70.75
,CNX Dividend Oppt,      2101.65,      2101.30,      2104.60,      2064.85,      2068.40,-33.25
,CNX Commodities,      2905.65,      2906.20,      2910.80,      2846.10,      2851.05,-54.6
,CNX Consumption,      3266.05,      3265.50,      3274.65,      3222.75,      3225.90,-40.15
,CNX Finance,      6595.65,      6591.70,      6604.90,      6481.70,      6488.60,-107.05
,Nifty Dividend,        87.15,        87.15,        87.15,        87.15,        87.15,0
,LIX 15,      3695.90,      3695.90,      3711.05,      3620.60,      3627.00,-68.9
,CPSE Index,      2502.40,      2509.35,      2512.75,      2426.10,      2431.25,-71.15
,NI15,      4778.80,      4782.60,      4794.50,      4720.90,      4725.45,-53.35

,ADVANCES,315
,DECLINES,1256
,UNCHANGED,47

,Total securities that have hit their price bands today,286

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SHARDACROP,EQ,       156.00,       230.95,48.04,635.04
,ICICIBANK,EQ,      1578.85,      1538.50,-2.56,599.92
,INFY,EQ,      3650.60,      3607.10,-1.19,591.22
,SBIN,EQ,      2601.55,      2556.20,-1.74,502.22
,RELIANCE,EQ,       991.55,       965.85,-2.59,395.24
,TATAMOTORS,EQ,       540.05,       517.80,-4.12,393.99
,NBCC,EQ,       706.15,       738.15,4.53,343.29
,ITC,EQ,       370.75,       370.80,0.01,338.56
,CIPLA,EQ,       612.90,       584.30,-4.67,316.42
,HCLTECH,EQ,      1699.35,      1724.45,1.48,291.88
,SUNPHARMA,EQ,       798.35,       780.60,-2.22,283.83
,TCS,EQ,      2721.80,      2688.20,-1.23,279.8
,LT,EQ,      1533.20,      1495.75,-2.44,244.79
,HDFC,EQ,      1079.15,      1066.15,-1.2,217.35
,UNITECH,EQ,        24.55,        21.95,-10.59,209.55
,DLF,EQ,       166.70,       155.50,-6.72,204.42
,TATASTEEL,EQ,       500.90,       485.60,-3.05,196.22
,SSLT,EQ,       283.25,       280.35,-1.02,177
,M&M,EQ,      1372.35,      1347.60,-1.8,171.66
,DRREDDY,EQ,      3211.70,      3199.10,-0.39,151.93
,RELINFRA,EQ,       641.70,       636.40,-0.83,150.2
,TATAMTRDVR,EQ,       379.10,       361.75,-4.58,149.78
,ONGC,EQ,       419.10,       407.30,-2.82,147.91
,ADANIENT,EQ,       497.30,       485.20,-2.43,147.35
,NTPC,EQ,       136.45,       136.90,0.33,142.89

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HCLTECH,EQ,      1724.45,      1699.35,1.48
,NTPC,EQ,       136.90,       136.45,.33
,WIPRO,EQ,       582.70,       581.50,.21
,TECHM,EQ,      2473.80,      2469.20,.19
,HINDUNILVR,EQ,       742.05,       741.70,.05

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DLF,EQ,       155.50,       166.70,-6.72
,CIPLA,EQ,       584.30,       612.90,-4.67
,TATAMOTORS,EQ,       517.80,       540.05,-4.12
,HINDALCO,EQ,       157.15,       162.20,-3.11
,TATASTEEL,EQ,       485.60,       500.90,-3.05

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        31.50,                  1894156.55,59780
,3IINFOTECH,EQ,         8.50,                  8136827.60,929476
,3MINDIA,EQ,      6400.80,                  7851584.15,1217
,8KMILES,EQ,       452.15,                 59453726.70,130897
,A2ZMES,EQ,        24.75,                  4200689.30,166276
,AARTIDRUGS,EQ,       775.75,                 11924770.15,15230
,AARTIIND,EQ,       298.80,                 43561803.90,144976
,AARVEEDEN,EQ,        51.00,                   284430.75,5551
,ABAN,EQ,       669.75,                424482282.55,624046
,ABB,EQ,      1204.40,                 45702520.25,37400
,ABBOTINDIA,EQ,      3251.80,                 15830824.65,4862
,ABCIL,EQ,       297.55,                 11276811.70,36953
,ABGSHIP,EQ,       244.50,                 56036490.70,221569
,ACCELYA,EQ,       729.30,                 28911737.85,39187
,ACE,EQ,        35.30,                 66443213.35,1785829
,ACROPETAL,EQ,         5.85,                  3788406.70,656150
,ADANIPOWER,EQ,        47.70,                251304457.60,5131354
,ADFFOODS,EQ,        79.90,                 86258784.25,1043837
,ADHUNIK,EQ,        41.20,                  2932082.85,70668
,ADORWELD,EQ,       235.00,                  1274871.30,5420
,ADSL,EQ,        22.30,                  1189651.40,51247
,ADVANIHOTR,EQ,        72.00,                    32855.70,455
,ADVANTA,EQ,       321.65,                  9217877.35,28331
,AEGISCHEM,EQ,       366.45,                 18741065.95,50221
,AFL,EQ,        69.70,                   783027.10,11122
,AFTEK,BE,         6.15,                   723682.35,112608
,AGARIND,EQ,        91.65,                    56571.00,613
,AGCNET,EQ,        65.75,                   804738.55,11762
,AGRITECH,BE,         7.35,                     5158.00,710
,AGRODUTCH,EQ,         3.25,                    71983.45,21973
,AHLEAST,EQ,       191.05,                   405885.85,2101
,AHLUCONT,EQ,       171.85,                  3011846.25,17170
,AHLWEST,EQ,       109.00,                   399090.95,3633
,AHMEDFORGE,EQ,       409.15,                152327912.85,363456
,AIAENG,EQ,       905.20,                 32827506.70,35760
,AICHAMP,BE,        16.80,                      840.00,50
,AIL,EQ,       488.80,                  6458678.70,13137
,AJANTPHARM,EQ,      1802.95,                202039170.35,112041
,AJMERA,EQ,       121.95,                 56672845.45,454068
,AKSHOPTFBR,EQ,        19.70,                  8451500.55,412342
,AKZOINDIA,EQ,      1250.85,                 15349489.60,12154
,ALBK,EQ,       116.05,                322127998.50,2720091
,ALCHEM,EQ,        53.70,                   358935.15,6582
,ALEMBICLTD,EQ,        63.65,                162300185.60,2412009
,ALICON,EQ,       163.85,                  1517475.05,9117
,ALKALI,EQ,        23.00,                   213611.60,9057
,ALKYLAMINE,EQ,       401.50,                  4154603.70,10202
,ALLCARGO,EQ,       240.20,                 13367635.35,55033
,ALLSEC,EQ,        24.95,                   176777.60,6900
,ALMONDZ,EQ,        18.55,                   253851.75,13405
,ALOKTEXT,EQ,        12.10,                181544508.25,14681855
,ALPA,BE,        11.70,                    31578.30,2699
,ALPHAGEO,EQ,       484.20,                 15191159.05,30206
,ALPSINDUS,EQ,         2.10,                     3525.10,1600
,ALSTOMT&D,EQ,       337.45,                 46185187.30,136394
,AMARAJABAT,EQ,       636.80,                109913182.80,173340
,AMARJOTHI,EQ,        88.00,                    97487.10,1102
,AMBIKCO,EQ,       490.20,                  6076252.30,12006
,AMDIND,EQ,        27.40,                   588628.35,20595
,AMLSTEEL,EQ,         4.70,                       42.30,9
,AMRUTANJAN,EQ,       285.10,                 26307606.90,89952
,AMTEKAUTO,EQ,       232.00,                 82756282.20,351141
,AMTEKINDIA,EQ,       102.15,                 57540844.40,557515
,AMTL,EQ,        15.85,                      412.15,26
,ANANTRAJ,EQ,        57.10,                 87194430.40,1478074
,ANDHRABANK,EQ,        74.85,                246138236.75,3202960
,ANDHRACEMT,EQ,        10.90,                  1299209.70,116319
,ANDHRSUGAR,EQ,       143.65,                  1620389.20,11144
,ANGIND,EQ,        27.60,                   298940.60,10487
,ANKITMETAL,EQ,         8.40,                  2815666.55,317355
,ANSALAPI,EQ,        33.95,                  2994204.90,86397
,ANSALHSG,EQ,        31.85,                  1796720.20,55789
,ANTGRAPHIC,BE,          .25,                    36850.00,179500
