,08-Oct-2014
The Nifty witnessed an intraday movement of about 54.15 points.The closing index was 0.12 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 14551.94
, Traded Quantity (in Lakhs), 7339.46
, Number of Trades, 6515906
, Total Market Capitalisation (Rs. Crores), 9041047.43

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      7852.40,      7828.75,      7869.90,      7815.75,      7842.70,-9.7
,CNX IT,     11428.60,     11380.85,     11380.85,     10985.75,     11043.40,-385.2
,CNX Nifty Junior,     16694.40,     16662.60,     16767.05,     16622.90,     16686.15,-8.25
,BANK Nifty,     15180.25,     15130.35,     15371.80,     15130.35,     15344.00,163.75
,CNX Midcap,     11246.90,     11224.35,     11292.15,     11188.15,     11226.35,-20.55
,CNX 500,      6324.85,      6308.70,      6341.80,      6296.00,      6316.65,-8.2
,CNX 100,      7789.30,      7767.10,      7808.45,      7753.80,      7780.55,-8.75
,Nifty Midcap 50,      3101.30,      3093.85,      3120.80,      3085.15,      3112.15,10.85
,CNX Realty,       199.55,       198.95,       203.25,       198.90,       202.55,3
,CNX Infra,      2975.65,      2962.10,      3011.45,      2962.10,      3004.10,28.45
,CNX Energy,      9109.05,      9091.25,      9280.10,      9091.25,      9251.20,142.15
,CNX FMCG,     19542.25,     19531.25,     19712.05,     19530.40,     19586.95,44.7
,CNX MNC,      8281.95,      8250.40,      8293.85,      8216.50,      8238.95,-43
,CNX Pharma,     10564.95,     10557.55,     10557.55,     10171.95,     10202.35,-362.6
,CNX PSE,      3463.20,      3457.45,      3526.00,      3457.45,      3518.95,55.75
,CNX PSU Bank,      3278.25,      3251.45,      3333.80,      3251.45,      3322.55,44.3
,CNX Service,      9646.70,      9614.05,      9655.35,      9543.85,      9582.05,-64.65
,India VIX,14.4625,14.4625,14.8475,13.6750,14.1125,-0.3500
,CNX AUTO,      7828.25,      7846.35,      7893.70,      7826.45,      7870.75,42.5
,CNX Metal,      2772.45,      2747.80,      2816.00,      2736.40,      2805.45,33
,CNX Media,      1992.55,      1982.80,      1997.35,      1967.85,      1992.70,.15
,CNX Smallcap,      4893.00,      4879.40,      4918.60,      4856.40,      4881.15,-11.85
,CNX 200,      3997.70,      3986.85,      4008.65,      3978.75,      3992.85,-4.85
,CNX Dividend Oppt,      2011.25,      2005.80,      2028.55,      2005.80,      2022.05,10.8
,CNX Commodities,      2737.75,      2729.50,      2780.30,      2729.20,      2773.70,35.95
,CNX Consumption,      3204.80,      3197.70,      3214.45,      3190.90,      3199.05,-5.75
,CNX Finance,      6208.95,      6193.45,      6270.35,      6193.45,      6252.15,43.2
,Nifty Dividend,        87.15,        87.15,        87.15,        87.15,        87.15,0
,LIX 15,      3440.05,      3426.15,      3458.75,      3422.15,      3451.65,11.6
,CPSE Index,      2402.10,      2392.65,      2429.90,      2389.10,      2426.30,24.2
,NI15,      4769.35,      4758.70,      4759.35,      4681.10,      4689.95,-79.4

,ADVANCES,672
,DECLINES,862
,UNCHANGED,64

,Total securities that have hit their price bands today,205

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,      3831.30,      3650.15,-4.73,937.99
,TECHM,EQ,      2514.10,      2396.20,-4.69,327.76
,SBIN,EQ,      2366.40,      2411.25,1.9,325.89
,TATASTEEL,EQ,       440.15,       456.15,3.64,300.32
,ICICIBANK,EQ,      1429.65,      1448.55,1.32,276.57
,TCS,EQ,      2731.35,      2683.20,-1.76,263.03
,LT,EQ,      1414.80,      1447.25,2.29,247.2
,APOLLOTYRE,EQ,       208.60,       215.25,3.19,242.96
,BHARTIARTL,EQ,       403.40,       399.70,-0.92,240.7
,SUNPHARMA,EQ,       835.95,       800.80,-4.2,231.23
,RELIANCE,EQ,       926.15,       936.70,1.14,210.19
,ITC,EQ,       362.75,       365.70,0.81,203.34
,TATAMOTORS,EQ,       504.95,       509.00,0.8,199.65
,HDFC,EQ,      1017.80,      1014.65,-0.31,198.91
,HCLTECH,EQ,      1729.20,      1673.10,-3.24,182.57
,AUROPHARMA,EQ,       996.75,       953.45,-4.34,179.93
,DLF,EQ,       141.60,       148.85,5.12,175.26
,CIPLA,EQ,       602.20,       585.65,-2.75,168.24
,HINDPETRO,EQ,       485.05,       511.95,5.55,156.67
,BHEL,EQ,       197.45,       202.10,2.36,154.74
,SSLT,EQ,       258.50,       257.20,-0.5,152.2
,ONGC,EQ,       396.75,       406.15,2.37,151.98
,BPCL,EQ,       650.55,       674.70,3.71,144.81
,HINDALCO,EQ,       148.25,       148.80,0.37,140.15
,WIPRO,EQ,       618.50,       593.55,-4.03,139.73

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DLF,EQ,       148.85,       141.60,5.12
,INDUSINDBK,EQ,       623.10,       599.50,3.94
,BPCL,EQ,       674.70,       650.55,3.71
,TATASTEEL,EQ,       456.15,       440.15,3.64
,ONGC,EQ,       406.15,       396.75,2.37

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INFY,EQ,      3650.15,      3831.30,-4.73
,TECHM,EQ,      2396.20,      2514.10,-4.69
,DRREDDY,EQ,      2966.20,      3099.30,-4.29
,SUNPHARMA,EQ,       800.80,       835.95,-4.2
,WIPRO,EQ,       593.55,       618.50,-4.03

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.45,                  1505724.00,49421
,3IINFOTECH,EQ,         8.00,                  4816351.40,599607
,3MINDIA,EQ,      6186.55,                  4693637.80,755
,8KMILES,EQ,       543.55,                 80746460.50,154473
,A2ZMES,EQ,        22.80,                  2529418.45,110012
,AARTIDRUGS,EQ,       748.30,                  3926611.70,5213
,AARTIIND,EQ,       283.35,                  5606605.45,19736
,AARVEEDEN,EQ,        47.60,                    39538.70,824
,ABAN,EQ,       556.80,                673737744.65,1206096
,ABB,EQ,      1073.65,                 47491522.35,43523
,ABBOTINDIA,EQ,      3196.00,                  4132554.35,1288
,ABCIL,EQ,       258.00,                  5173907.65,19771
,ABGSHIP,EQ,       221.50,                 20610795.15,92831
,ACCELYA,EQ,       725.65,                 19635682.70,27224
,ACE,EQ,        31.35,                  3894420.10,124157
,ACROPETAL,EQ,         4.35,                   302283.30,69408
,ADANIPOWER,EQ,        42.65,                117973307.00,2786287
,ADFFOODS,EQ,        66.00,                  3332509.30,50352
,ADHUNIK,EQ,        36.95,                   353088.40,9498
,ADORWELD,EQ,       217.65,                   216237.60,997
,ADSL,EQ,        17.95,                   395196.00,21838
,ADVANIHOTR,EQ,        72.10,                   255030.10,3516
,ADVANTA,EQ,       316.70,                  9327053.35,29340
,AEGISCHEM,EQ,       349.95,                  4252270.20,12238
,AFL,EQ,        67.50,                   178712.50,2663
,AFTEK,BE,         5.50,                   682181.00,121288
,AGARIND,EQ,        97.50,                   285395.95,2925
,AGCNET,EQ,        70.10,                   610194.75,8853
,AGRITECH,BE,         6.85,                      276.00,40
,AGRODUTCH,EQ,         3.30,                    10744.80,3006
,AHLEAST,EQ,       186.00,                    44457.55,239
,AHLUCONT,EQ,       150.05,                  8279965.95,54669
,AHLWEST,EQ,       104.75,                    11030.75,105
,AHMEDFORGE,EQ,       398.60,                140627580.95,356409
,AIAENG,EQ,       918.00,                 34565047.55,37312
,AIL,EQ,       460.80,                 44500871.00,96031
,AJANTPHARM,EQ,      1675.25,                 62582860.70,37104
,AJMERA,EQ,       145.20,                 18590737.05,124734
,AKSHOPTFBR,EQ,        17.75,                  1014408.95,56541
,AKZOINDIA,EQ,      1237.15,                 11558958.60,9289
,ALBK,EQ,        96.35,                329261337.05,3419458
,ALCHEM,EQ,        45.45,                    90710.85,2010
,ALEMBICLTD,EQ,        52.95,                 61507518.40,1168236
,ALICON,EQ,       163.05,                  1270069.95,7760
,ALKALI,EQ,        21.00,                    77037.45,3556
,ALKYLAMINE,EQ,       361.35,                   739564.05,2030
,ALLCARGO,EQ,       235.95,                 10501866.95,45068
,ALLSEC,EQ,        23.00,                    67748.65,2897
,ALMONDZ,EQ,        16.40,                   100612.50,6062
,ALOKTEXT,EQ,        12.70,                164914681.90,12896044
,ALPA,BE,        14.50,                    30160.00,2080
,ALPHAGEO,EQ,       480.05,                  4114340.10,8499
,ALPSINDUS,EQ,         2.00,                    12758.95,6403
,ALSTOMT&D,EQ,       328.10,                232950776.60,710675
,AMARAJABAT,EQ,       567.95,                107294030.25,187594
,AMARJOTHI,EQ,        79.90,                   228238.50,2850
,AMBIKCO,EQ,       463.40,                  1394419.10,3010
,AMDIND,EQ,        26.55,                   189294.80,7033
,AMLSTEEL,EQ,         6.70,                    11462.30,1793
,AMRUTANJAN,EQ,       272.35,                 28668360.30,104711
,AMTEKAUTO,EQ,       192.70,                 92817136.10,482451
,AMTEKINDIA,EQ,        93.20,                 10630082.00,114150
,AMTL,EQ,        13.10,                    29566.35,2262
,ANANTRAJ,EQ,        52.65,                 37521631.10,710067
,ANDHRABANK,EQ,        65.15,                208209223.40,3205304
,ANDHRACEMT,EQ,         9.80,                   303582.25,30913
,ANDHRSUGAR,EQ,       140.20,                   946058.15,6720
,ANGIND,EQ,        25.55,                   434070.05,16839
,ANIKINDS,BE,        34.00,                    83847.30,2410
,ANKITMETAL,EQ,         7.50,                   101847.10,13666
,ANSALAPI,EQ,        30.95,                  1142426.75,36821
,ANSALHSG,EQ,        29.50,                  1130540.95,37754
