,10-Oct-2014
The Nifty witnessed an intraday movement of about 75.6 points.The closing index was 1.26 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 15857.3
, Traded Quantity (in Lakhs), 7613.54
, Number of Trades, 6689112
, Total Market Capitalisation (Rs. Crores), 9042991.3

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      7960.55,      7911.00,      7924.05,      7848.45,      7859.95,-100.6
,CNX IT,     11065.15,     11065.00,     11365.20,     11001.65,     11311.25,246.1
,CNX Nifty Junior,     17009.15,     16921.70,     16922.25,     16672.60,     16701.25,-307.9
,BANK Nifty,     15741.20,     15603.45,     15628.75,     15439.35,     15453.80,-287.4
,CNX Midcap,     11407.90,     11354.65,     11377.00,     11218.05,     11230.80,-177.1
,CNX 500,      6416.40,      6377.95,      6386.80,      6323.35,      6330.35,-86.05
,CNX 100,      7902.45,      7854.55,      7865.35,      7785.50,      7796.15,-106.3
,Nifty Midcap 50,      3175.85,      3152.90,      3169.25,      3107.50,      3114.90,-60.95
,CNX Realty,       207.85,       204.90,       208.80,       203.45,       205.25,-2.6
,CNX Infra,      3078.75,      3048.95,      3052.05,      2998.50,      3017.60,-61.15
,CNX Energy,      9369.00,      9308.70,      9380.25,      9202.05,      9307.05,-61.95
,CNX FMCG,     19621.75,     19544.75,     19574.00,     19058.60,     19083.70,-538.05
,CNX MNC,      8348.90,      8301.85,      8305.15,      8165.20,      8175.85,-173.05
,CNX Pharma,     10325.00,     10283.50,     10405.20,     10212.80,     10330.10,5.1
,CNX PSE,      3568.20,      3547.25,      3558.45,      3509.30,      3521.40,-46.8
,CNX PSU Bank,      3422.25,      3384.30,      3432.05,      3353.75,      3380.05,-42.2
,CNX Service,      9739.35,      9683.70,      9739.20,      9648.45,      9666.20,-73.15
,India VIX,13.1550,13.1550,14.4550,12.4450,14.3300,1.1750
,CNX AUTO,      7957.60,      7907.20,      7907.20,      7710.90,      7732.35,-225.25
,CNX Metal,      2866.85,      2834.95,      2834.95,      2740.20,      2748.80,-118.05
,CNX Media,      2065.40,      2051.50,      2051.50,      2021.10,      2034.20,-31.2
,CNX Smallcap,      4978.00,      4937.05,      4962.00,      4891.45,      4912.95,-65.05
,CNX 200,      4056.30,      4031.50,      4038.25,      3996.40,      4001.60,-54.7
,CNX Dividend Oppt,      2051.90,      2038.90,      2040.85,      2012.15,      2020.35,-31.55
,CNX Commodities,      2816.55,      2797.75,      2797.75,      2743.35,      2749.05,-67.5
,CNX Consumption,      3234.75,      3216.00,      3218.20,      3174.25,      3177.70,-57.05
,CNX Finance,      6410.75,      6357.30,      6357.30,      6266.40,      6272.30,-138.45
,Nifty Dividend,        87.15,        87.15,        87.15,        87.15,        87.15,0
,LIX 15,      3532.40,      3498.40,      3498.40,      3447.45,      3457.60,-74.8
,CPSE Index,      2464.40,      2448.35,      2458.55,      2422.30,      2431.80,-32.6
,NI15,      4720.70,      4708.50,      4754.70,      4691.75,      4720.45,-.25

,ADVANCES,397
,DECLINES,1137
,UNCHANGED,55

,Total securities that have hit their price bands today,174

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,      3646.80,      3888.65,6.63,2204.99
,TATAMOTORS,EQ,       520.60,       492.70,-5.36,370.71
,ABAN,EQ,       569.10,       621.70,9.24,361.7
,RELIANCE,EQ,       954.65,       960.65,0.63,337.82
,TCS,EQ,      2706.05,      2678.50,-1.02,315.86
,SBIN,EQ,      2479.55,      2451.20,-1.14,307.96
,BHEL,EQ,       219.05,       221.60,1.16,272.01
,TECHM,EQ,      2336.45,      2339.05,0.11,265.49
,APOLLOTYRE,EQ,       215.45,       220.45,2.32,257.2
,ICICIBANK,EQ,      1488.40,      1458.95,-1.98,240.96
,LT,EQ,      1486.90,      1461.70,-1.69,240.11
,WIPRO,EQ,       587.25,       584.70,-0.43,231.88
,TATASTEEL,EQ,       467.55,       448.05,-4.17,222.72
,SSLT,EQ,       261.85,       249.75,-4.62,185.58
,DLF,EQ,       152.85,       152.65,-0.13,184.89
,HCLTECH,EQ,      1695.50,      1737.50,2.48,179.22
,HINDALCO,EQ,       157.85,       150.15,-4.88,153.17
,JPASSOCIAT,EQ,        30.00,        29.80,-0.67,141.8
,AUROPHARMA,EQ,       948.95,       938.60,-1.09,138.93
,HDFC,EQ,      1042.65,      1006.40,-3.48,136.22
,SUNPHARMA,EQ,       814.75,       821.35,0.81,134.89
,CIPLA,EQ,       591.70,       592.40,0.12,134.68
,HEROMOTOCO,EQ,      2818.95,      2841.00,0.78,133.94
,RELINFRA,EQ,       585.70,       582.10,-0.61,126.05
,ITC,EQ,       365.50,       353.10,-3.39,122.56

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INFY,EQ,      3888.65,      3646.80,6.63
,HCLTECH,EQ,      1737.50,      1695.50,2.48
,ASIANPAINT,EQ,       663.25,       655.15,1.24
,BHEL,EQ,       221.60,       219.05,1.16
,SUNPHARMA,EQ,       821.35,       814.75,.81

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JINDALSTEL,EQ,       155.90,       165.70,-5.91
,TATAMOTORS,EQ,       492.70,       520.60,-5.36
,NMDC,EQ,       152.00,       160.60,-5.35
,HINDALCO,EQ,       150.15,       157.85,-4.88
,SSLT,EQ,       249.75,       261.85,-4.62

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.30,                  2166122.80,71402
,3IINFOTECH,EQ,         8.00,                  6820592.65,846182
,3MINDIA,EQ,      6166.80,                  2701950.75,435
,8KMILES,EQ,       599.20,                  5547992.80,9259
,A2ZMES,EQ,        22.55,                  1597044.70,70317
,AARTIDRUGS,EQ,       743.90,                  3839693.00,5125
,AARTIIND,EQ,       274.45,                 11632743.10,42050
,AARVEEDEN,EQ,        47.30,                    59923.30,1252
,ABAN,EQ,       621.70,               3617022099.85,5882157
,ABB,EQ,      1055.20,                 21254152.70,19930
,ABBOTINDIA,EQ,      3175.40,                  3056440.20,960
,ABCIL,EQ,       258.20,                  6405258.10,24538
,ABGSHIP,EQ,       220.65,                 26644336.50,120355
,ACCELYA,EQ,       736.95,                 34139263.50,45584
,ACE,EQ,        31.50,                  5958636.65,188040
,ACROPETAL,EQ,         4.45,                   349881.75,79493
,ADANIPOWER,EQ,        42.90,                116056597.30,2689135
,ADFFOODS,EQ,        69.55,                 16007787.65,232298
,ADHUNIK,EQ,        39.60,                  1440037.35,36273
,ADORWELD,EQ,       224.75,                   727246.45,3232
,ADSL,EQ,        18.20,                   725322.80,39738
,ADVANIHOTR,EQ,        72.20,                   671534.85,9235
,ADVANTA,EQ,       317.20,                  3927169.50,12498
,AEGISCHEM,EQ,       344.50,                  6940681.50,20044
,AFL,EQ,        67.15,                   319334.30,4699
,AFTEK,BE,         5.50,                   325210.65,58068
,AGARIND,EQ,        96.35,                   165725.80,1728
,AGCNET,EQ,        72.95,                   538843.20,7381
,AGRITECH,BE,         7.00,                      140.00,20
,AGRODUTCH,EQ,         3.20,                     4682.80,1384
,AHLEAST,EQ,       190.40,                   126332.60,668
,AHLUCONT,EQ,       155.25,                  1634899.30,10461
,AHLWEST,EQ,       105.05,                      210.10,2
,AHMEDFORGE,EQ,       400.45,                132017889.35,324751
,AIAENG,EQ,       928.45,                 27094223.20,29149
,AICHAMP,BE,        16.05,                      321.00,20
,AIL,EQ,       469.90,                 21357432.20,45911
,AJANTPHARM,EQ,      1700.65,                 33676404.95,19826
,AJMERA,EQ,       160.05,                 26066011.60,165275
,AKSHOPTFBR,EQ,        17.70,                  1331609.30,75017
,AKZOINDIA,EQ,      1269.50,                 36426573.35,28384
,ALBK,EQ,        99.80,                421388946.65,4210627
,ALCHEM,EQ,        45.20,                   116742.30,2570
,ALEMBICLTD,EQ,        51.50,                 29967142.45,571623
,ALICON,EQ,       161.85,                   844834.10,5255
,ALKALI,EQ,        20.90,                    48793.15,2352
,ALKYLAMINE,EQ,       365.25,                   261456.20,718
,ALLCARGO,EQ,       241.70,                  4632151.00,19318
,ALLSEC,EQ,        23.50,                   324661.50,13870
,ALMONDZ,EQ,        16.95,                    10674.50,640
,ALOKTEXT,EQ,        12.35,                112879140.15,9044853
,ALPA,BE,        15.95,                    33191.95,2081
,ALPHAGEO,EQ,       562.45,                 58659828.95,107006
,ALPINEHOU,BE,        21.50,                     1075.00,50
,ALPSINDUS,EQ,         2.25,                     5948.00,2806
,ALSTOMT&D,EQ,       332.15,                 14141107.60,42330
,AMARAJABAT,EQ,       580.40,                 75208563.30,129603
,AMARJOTHI,EQ,        81.85,                   411403.30,5009
,AMBIKCO,EQ,       473.10,                  2062890.00,4360
,AMDIND,EQ,        26.80,                   334209.25,12333
,AMLSTEEL,EQ,         7.35,                     4295.90,594
,AMRUTANJAN,EQ,       268.65,                 15910834.85,58685
,AMTEKAUTO,EQ,       190.70,                 97982038.10,507751
,AMTEKINDIA,EQ,       100.25,                118540895.55,1148768
,AMTL,EQ,        13.30,                    35939.55,2701
,ANANTRAJ,EQ,        52.50,                 70995166.80,1340574
,ANDHRABANK,EQ,        66.20,                272573771.40,4097371
,ANDHRACEMT,EQ,         9.80,                   282818.60,28788
,ANDHRSUGAR,EQ,       139.25,                  1915191.55,13644
,ANGIND,EQ,        26.80,                  1110324.50,39394
,ANIKINDS,BE,        32.65,                    45444.95,1401
,ANKITMETAL,EQ,         7.20,                   178991.75,24524
,ANSALAPI,EQ,        30.35,                  2322720.00,75750
