,14-Oct-2014
The Nifty witnessed an intraday movement of about 102.55 points.The closing index was 0.26 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 15753.56
, Traded Quantity (in Lakhs), 8277.27
, Number of Trades, 7270848
, Total Market Capitalisation (Rs. Crores), 9063932.57

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      7884.25,      7923.25,      7928.00,      7825.45,      7864.00,-20.25
,CNX IT,     11437.00,     11474.80,     11474.80,     11336.65,     11350.30,-86.7
,CNX Nifty Junior,     16783.70,     16856.45,     16939.70,     16754.90,     16837.05,53.35
,BANK Nifty,     15677.50,     15790.95,     15843.70,     15560.25,     15751.55,74.05
,CNX Midcap,     11284.60,     11323.85,     11355.75,     11249.10,     11269.70,-14.9
,CNX 500,      6352.40,      6380.20,      6384.55,      6319.35,      6339.90,-12.5
,CNX 100,      7822.40,      7860.40,      7867.00,      7771.70,      7808.95,-13.45
,Nifty Midcap 50,      3131.70,      3152.30,      3161.30,      3118.30,      3132.40,.7
,CNX Realty,       201.80,       196.15,       196.15,       182.00,       183.60,-18.2
,CNX Infra,      3012.25,      3027.90,      3040.65,      3004.65,      3020.55,8.3
,CNX Energy,      9316.45,      9414.70,      9415.10,      9285.30,      9303.05,-13.4
,CNX FMCG,     18942.40,     18947.80,     19010.10,     18745.35,     18869.60,-72.8
,CNX MNC,      8170.25,      8183.20,      8215.70,      8022.90,      8175.20,4.95
,CNX Pharma,     10186.15,     10160.05,     10295.50,     10160.05,     10206.30,20.15
,CNX PSE,      3531.95,      3538.95,      3553.15,      3511.35,      3534.05,2.1
,CNX PSU Bank,      3436.60,      3466.65,      3513.70,      3440.85,      3485.30,48.7
,CNX Service,      9769.15,      9820.55,      9829.40,      9700.65,      9763.70,-5.45
,India VIX,14.5000,14.5000,15.3025,12.9325,14.5925,0.0925
,CNX AUTO,      7720.70,      7770.10,      7770.75,      7678.50,      7690.55,-30.15
,CNX Metal,      2784.45,      2791.75,      2810.45,      2670.85,      2786.30,1.85
,CNX Media,      2028.05,      2027.35,      2052.35,      2016.65,      2027.50,-.55
,CNX Smallcap,      4938.75,      4957.70,      4977.85,      4928.65,      4934.25,-4.5
,CNX 200,      4015.90,      4034.45,      4038.40,      3990.25,      4007.20,-8.7
,CNX Dividend Oppt,      2028.25,      2035.40,      2044.20,      2020.60,      2034.95,6.7
,CNX Commodities,      2761.45,      2775.50,      2780.55,      2715.75,      2753.20,-8.25
,CNX Consumption,      3166.20,      3179.50,      3185.15,      3162.05,      3169.75,3.55
,CNX Finance,      6346.50,      6385.45,      6395.00,      6288.15,      6352.05,5.55
,Nifty Dividend,        87.15,        87.15,        87.15,        87.15,        87.15,0
,LIX 15,      3492.80,      3502.30,      3528.25,      3437.45,      3501.70,8.9
,CPSE Index,      2446.85,      2450.00,      2465.40,      2434.55,      2449.75,2.9
,NI15,      4702.40,      4712.30,      4716.00,      4683.50,      4690.30,-12.1
,NIFTY PR 2X LEV,      3397.55,      3430.40,      3433.15,      3347.00,      3379.30,-18.25
,NIFTY PR 1X INV,       467.90,       465.70,       471.40,       465.50,       469.20,1.3
,NIFTY TR 2X LEV,      3879.05,      3916.60,      3919.70,      3821.35,      3858.25,-20.8
,NIFTY TR 1X INV,       437.75,       435.70,       441.10,       435.50,       439.00,1.25

,ADVANCES,653
,DECLINES,890
,UNCHANGED,59

,Total securities that have hit their price bands today,165

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,DLF,EQ,       146.90,       104.95,-28.56,967.57
,SSLT,EQ,       249.85,       249.55,-0.12,545.18
,SBIN,EQ,      2485.45,      2523.55,1.53,437.02
,RELIANCE,EQ,       957.90,       961.25,0.35,421.67
,INFY,EQ,      3942.55,      3918.30,-0.62,336.73
,TCS,EQ,      2716.55,      2699.20,-0.64,319.61
,ICICIBANK,EQ,      1477.90,      1478.05,0.01,302.8
,TATASTEEL,EQ,       457.75,       456.05,-0.37,264.3
,LICHSGFIN,EQ,       319.60,       333.50,4.35,245.66
,BFUTILITIE,EQ,       648.20,       679.25,4.79,226.44
,LT,EQ,      1445.80,      1439.90,-0.41,214.16
,SINTEX,EQ,        86.90,        83.90,-3.45,212.16
,HDFC,EQ,      1017.80,      1004.05,-1.35,205.47
,NBCC,EQ,       675.25,       736.05,9,201.43
,AXISBANK,EQ,       386.90,       397.10,2.64,194.99
,TATAMOTORS,EQ,       496.25,       488.00,-1.66,188.69
,ITC,EQ,       350.55,       347.00,-1.01,180.21
,HINDALCO,EQ,       151.10,       151.00,-0.07,178.91
,TECHM,EQ,      2368.00,      2372.10,0.17,175.35
,HDFCBANK,EQ,       876.80,       868.35,-0.96,158.09
,APOLLOTYRE,EQ,       221.60,       216.45,-2.32,153.38
,BHEL,EQ,       218.20,       226.00,3.57,147.52
,ONGC,EQ,       406.75,       402.15,-1.13,132.69
,INDUSINDBK,EQ,       634.95,       649.75,2.33,128.43
,HCLTECH,EQ,      1755.80,      1723.00,-1.87,123.4

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHEL,EQ,       226.00,       218.20,3.57
,BAJAJ-AUTO,EQ,      2412.00,      2348.80,2.69
,AXISBANK,EQ,       397.10,       386.90,2.64
,INDUSINDBK,EQ,       649.75,       634.95,2.33
,TATAPOWER,EQ,        86.95,        85.15,2.11

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DLF,EQ,       104.95,       146.90,-28.56
,BPCL,EQ,       656.30,       671.75,-2.3
,CAIRN,EQ,       284.10,       289.85,-1.98
,HCLTECH,EQ,      1723.00,      1755.80,-1.87
,TATAMOTORS,EQ,       488.00,       496.25,-1.66

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.30,                  1797912.95,59124
,3IINFOTECH,EQ,         7.85,                  4288035.45,539831
,3MINDIA,EQ,      6066.60,                  1624326.40,267
,8KMILES,EQ,       660.60,                 82626209.75,126515
,A2ZMES,EQ,        19.60,                  9139389.85,453174
,AARTIDRUGS,EQ,       744.15,                  1834267.50,2457
,AARTIIND,EQ,       279.70,                  4638323.60,16413
,AARVEEDEN,EQ,        48.10,                   220037.40,4596
,ABAN,EQ,       591.90,                772753519.10,1282011
,ABB,EQ,      1052.85,                 43549373.95,40834
,ABBOTINDIA,EQ,      3059.00,                  4736804.40,1534
,ABCIL,EQ,       258.50,                  2899755.10,11160
,ABGSHIP,EQ,       233.35,                165254038.25,697399
,ACCELYA,EQ,       755.70,                 21429950.35,28523
,ACE,EQ,        30.50,                  5394286.70,172550
,ACROPETAL,EQ,         4.25,                    94193.35,21870
,ADANIPOWER,EQ,        43.25,                116354864.05,2677394
,ADFFOODS,EQ,        66.25,                  3926647.25,58742
,ADHUNIK,EQ,        40.30,                  1176434.45,29440
,ADORWELD,EQ,       224.35,                   298837.80,1335
,ADSL,EQ,        17.70,                   413915.05,23119
,ADVANIHOTR,EQ,        72.10,                    11965.60,166
,ADVANTA,EQ,       324.80,                  5392017.00,16748
,AEGISCHEM,EQ,       342.80,                  2982473.10,8640
,AFL,EQ,        66.90,                   157185.15,2348
,AFTEK,BE,         5.20,                    86639.15,16583
,AGARIND,EQ,        89.00,                   765286.20,8309
,AGCNET,EQ,        70.70,                   402108.25,5688
,AGRITECH,BE,         6.85,                     3452.75,515
,AGRODUTCH,EQ,         3.35,                    26905.90,8195
,AHLEAST,EQ,       187.95,                   141362.45,745
,AHLUCONT,EQ,       153.55,                   804030.60,5230
,AHLWEST,EQ,       105.40,                   124279.00,1178
,AHMEDFORGE,EQ,       402.85,                 66863878.50,164771
,AIAENG,EQ,       923.40,                 15796784.50,17089
,AIL,EQ,       468.35,                  6868385.85,14611
,AJANTPHARM,EQ,      1687.60,                 38934353.75,23023
,AJMERA,EQ,       145.40,                  8501309.15,58278
,AKSHOPTFBR,EQ,        17.80,                  1563109.30,87200
,AKZOINDIA,EQ,      1290.60,                 81352865.30,62722
,ALBK,EQ,       102.85,                378804640.80,3664951
,ALCHEM,EQ,        44.00,                    83468.55,1905
,ALEMBICLTD,EQ,        51.75,                 26576233.90,503614
,ALICON,EQ,       160.00,                  1023240.80,6373
,ALKALI,EQ,        22.30,                   548146.45,24128
,ALKYLAMINE,EQ,       370.15,                  1187540.60,3176
,ALLCARGO,EQ,       240.75,                  4784687.30,19750
,ALLSEC,EQ,        23.65,                   152472.65,6558
,ALMONDZ,EQ,        17.55,                   161212.45,8773
,ALOKTEXT,EQ,        12.05,                 71000013.35,5842828
,ALPA,BE,        17.50,                    57155.00,3266
,ALPHAGEO,EQ,       548.20,                 10288271.70,18348
,ALPINEHOU,BE,        21.50,                     8600.00,400
,ALPSINDUS,EQ,         2.10,                      420.00,200
,ALSTOMT&D,EQ,       340.85,                 20685739.95,60063
,AMARAJABAT,EQ,       582.10,                 25858250.80,44399
,AMARJOTHI,EQ,        79.50,                  1164740.90,14460
,AMBIKCO,EQ,       457.05,                   747478.00,1623
,AMDIND,EQ,        27.45,                   564131.45,20707
,AMRUTANJAN,EQ,       278.30,                 41471787.30,147374
,AMTEKAUTO,EQ,       181.75,                 53356466.55,291203
,AMTEKINDIA,EQ,        98.55,                 42985965.65,432592
,AMTL,EQ,        13.00,                     1278.75,100
,ANANTRAJ,EQ,        52.00,                 26799020.05,507897
,ANDHRABANK,EQ,        69.10,                296985299.35,4287668
,ANDHRACEMT,EQ,         9.70,                   211338.45,21636
,ANDHRSUGAR,EQ,       136.70,                  2049839.85,14938
,ANGIND,EQ,        27.30,                    88125.15,3295
,ANIKINDS,BE,        32.50,                    26788.00,836
,ANKITMETAL,EQ,         7.20,                   403183.40,56123
,ANSALAPI,EQ,        29.80,                  1582388.20,52716
,ANSALHSG,EQ,        29.45,                   541457.45,18489
,ANTGRAPHIC,BE,          .20,                     1432.35,7812
,APARINDS,EQ,       383.65,                 48515551.15,125109
,APCOTEXIND,EQ,       338.20,                  5598745.20,16195
,APLAPOLLO,EQ,       307.85,                  2349517.05,7650
,APLLTD,EQ,       399.55,                 63221576.15,155944
,APOLLOTYRE,EQ,       216.45,               1533819130.60,6937630
,APTECHT,EQ,        81.35,                 11684923.15,142890
