,23-Oct-2014
The Nifty witnessed an intraday movement of about 22.9 points.The closing index was 0.23 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 2600.27
, Traded Quantity (in Lakhs), 1813.07
, Number of Trades, 1341108
, Total Market Capitalisation (Rs. Crores), 9199994.17

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      7995.90,      8027.70,      8031.75,      8008.85,      8014.55,18.65
,CNX IT,     10767.40,     10776.00,     10787.25,     10757.90,     10781.20,13.8
,CNX Nifty Junior,     17162.55,     17262.75,     17283.55,     17235.50,     17250.40,87.85
,BANK Nifty,     16444.70,     16508.40,     16524.90,     16444.05,     16470.05,25.35
,CNX Midcap,     11432.80,     11508.35,     11525.35,     11497.70,     11522.90,90.1
,CNX 500,      6436.55,      6468.25,      6469.85,      6457.40,      6463.25,26.7
,CNX 100,      7942.95,      7976.75,      7981.10,      7960.00,      7964.80,21.85
,Nifty Midcap 50,      3198.65,      3217.20,      3219.30,      3207.80,      3212.60,13.95
,CNX Realty,       192.50,       193.90,       193.95,       192.35,       192.80,.3
,CNX Infra,      3154.10,      3171.75,      3171.75,      3155.55,      3159.80,5.7
,CNX Energy,      9351.15,      9408.45,      9413.40,      9388.70,      9401.75,50.6
,CNX FMCG,     19120.90,     19183.45,     19245.60,     19172.45,     19225.05,104.15
,CNX MNC,      8436.20,      8459.15,      8476.30,      8433.10,      8447.45,11.25
,CNX Pharma,     10452.45,     10514.05,     10521.60,     10493.35,     10504.35,51.9
,CNX PSE,      3648.25,      3672.70,      3672.70,      3656.75,      3660.30,12.05
,CNX PSU Bank,      3571.00,      3591.55,      3593.15,      3570.35,      3575.70,4.7
,CNX Service,      9874.90,      9904.85,      9911.05,      9879.15,      9886.85,11.95
,India VIX,13.0300,13.0300,13.1150,11.8450,12.8625,-0.1675
,CNX AUTO,      7991.10,      8024.25,      8030.90,      7988.45,      8000.90,9.8
,CNX Metal,      2824.25,      2845.70,      2845.70,      2830.05,      2832.80,8.55
,CNX Media,      2119.80,      2129.00,      2134.75,      2115.90,      2118.65,-1.15
,CNX Smallcap,      4941.70,      4979.55,      4999.10,      4979.55,      4997.35,55.65
,CNX 200,      4076.40,      4095.05,      4097.20,      4086.95,      4090.10,13.7
,CNX Dividend Oppt,      2098.20,      2109.10,      2109.90,      2105.70,      2108.10,9.9
,CNX Commodities,      2790.50,      2812.65,      2812.65,      2803.25,      2804.90,14.4
,CNX Consumption,      3256.60,      3271.70,      3272.75,      3261.90,      3269.30,12.7
,CNX Finance,      6602.65,      6630.80,      6634.15,      6610.10,      6616.80,14.15
,Nifty Dividend,        91.91,        91.91,        91.91,        91.91,        91.91,0
,LIX 15,      3556.65,      3577.70,      3577.70,      3559.75,      3561.90,5.25
,CPSE Index,      2526.40,      2541.35,      2543.10,      2531.90,      2535.65,9.25
,NI15,      4656.25,      4678.70,      4679.50,      4669.00,      4676.65,20.4
,NIFTY PR 2X LEV,      3485.40,      3512.30,      3513.45,      3496.40,      3500.80,15.4
,NIFTY PR 1X INV,       462.10,       460.35,       461.40,       460.30,       461.10,-1
,NIFTY TR 2X LEV,      3983.05,      4013.80,      4015.15,      3995.60,      4000.65,17.6
,NIFTY TR 1X INV,       432.15,       430.55,       431.50,       430.45,       431.25,-.9

,ADVANCES,1193
,DECLINES,255
,UNCHANGED,54

,Total securities that have hit their price bands today,141

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,TATAMETALI,EQ,       153.15,       170.70,11.46,117.69
,JINDALSTEL,EQ,       160.15,       165.80,3.53,81.19
,WIPRO,EQ,       583.65,       560.25,-4.01,65.81
,SBIN,EQ,      2575.25,      2578.55,0.13,61.33
,SINTEX,EQ,        87.05,        89.55,2.87,59.07
,RELIANCE,EQ,       945.65,       952.70,0.75,53.83
,LT,EQ,      1553.75,      1558.45,0.3,49.13
,FINANTECH,EQ,       180.45,       196.30,8.78,39.26
,TCS,EQ,      2451.85,      2465.35,0.55,38.51
,ICICIBANK,EQ,      1571.00,      1575.35,0.28,34.93
,ESCORTS,EQ,       162.75,       166.35,2.21,33.85
,MCDOWELL-N,EQ,      2593.95,      2605.95,0.46,31.76
,SNOWMAN,EQ,        99.85,       101.60,1.75,31.76
,MCX,EQ,       788.90,       806.30,2.21,31.07
,INFY,EQ,      3796.05,      3805.05,0.24,30.93
,TATASTEEL,EQ,       457.15,       459.10,0.43,30.46
,ASHOKLEY,EQ,        44.50,        45.75,2.81,30.34
,HEROMOTOCO,EQ,      3115.50,      3110.05,-0.17,29.75
,TATAMOTORS,EQ,       519.15,       515.65,-0.67,28
,ONGC,EQ,       399.45,       403.45,1,27.33
,AXISBANK,EQ,       424.45,       423.75,-0.16,26.7
,DLF,EQ,       120.15,       119.95,-0.17,22.63
,AUROPHARMA,EQ,       968.25,       964.35,-0.4,21.77
,DHFL,EQ,       358.80,       370.60,3.29,20.82
,HDFCBANK,EQ,       893.65,       896.45,0.31,20.13

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JINDALSTEL,EQ,       165.80,       160.15,3.53
,BAJAJ-AUTO,EQ,      2529.70,      2494.90,1.39
,ULTRACEMCO,EQ,      2433.25,      2401.20,1.33
,ASIANPAINT,EQ,       652.45,       644.00,1.31
,TECHM,EQ,      2359.25,      2334.75,1.05

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,WIPRO,EQ,       560.25,       583.65,-4.01
,TATAMOTORS,EQ,       515.65,       519.15,-0.67
,ZEEL,EQ,       337.50,       339.70,-0.65
,BHEL,EQ,       240.40,       241.70,-0.54
,MARUTI,EQ,      3165.50,      3177.20,-0.37

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        31.30,                   563533.20,17929
,3IINFOTECH,EQ,         7.55,                  1128384.35,149265
,3MINDIA,EQ,      6181.10,                  4811021.75,781
,8KMILES,EQ,       770.10,                 24099299.75,31405
,A2ZMES,EQ,        21.10,                   202433.40,9594
,AARTIDRUGS,EQ,       694.35,                  5551026.05,7988
,AARTIIND,EQ,       274.30,                  2260942.25,8224
,AARVEEDEN,EQ,        47.65,                    71885.00,1500
,ABAN,EQ,       598.00,                 81337654.50,135900
,ABB,EQ,      1122.30,                 22284501.70,19845
,ABBOTINDIA,EQ,      3104.45,                  2672090.90,862
,ABCIL,EQ,       260.90,                  3393523.45,13030
,ABGSHIP,EQ,       226.35,                  3275730.90,14480
,ACCELYA,EQ,       789.80,                  9107124.25,11478
,ACE,EQ,        30.70,                  3284058.15,107936
,ACROPETAL,EQ,         4.20,                   155572.20,37041
,ADANIPOWER,EQ,        45.90,                 52688928.70,1149098
,ADFFOODS,EQ,        66.30,                  2878448.30,43497
,ADHUNIK,EQ,        40.55,                    78168.90,1935
,ADORWELD,EQ,       228.25,                   335423.80,1476
,ADSL,EQ,        18.10,                    82350.15,4536
,ADVANTA,EQ,       317.60,                  1794905.90,5691
,AEGISCHEM,EQ,       346.10,                  3922314.30,11382
,AFL,EQ,        64.50,                    21595.95,331
,AFTEK,BE,         4.75,                    63803.25,13475
,AGARIND,EQ,        90.60,                    47017.50,517
,AGCNET,EQ,        67.85,                    45142.15,679
,AGRODUTCH,EQ,         3.15,                    10672.10,3422
,AHLEAST,EQ,       177.45,                    63348.35,358
,AHLUCONT,EQ,       153.30,                  2110198.45,13636
,AHLWEST,EQ,       107.00,                    17345.00,160
,AHMEDFORGE,EQ,       386.70,                 25191302.55,65363
,AIAENG,EQ,       907.80,                  3619190.90,3987
,AIL,EQ,       491.65,                  3996899.80,8105
,AJANTPHARM,EQ,      1821.90,                  9997766.30,5473
,AJMERA,EQ,       137.25,                   799181.90,5801
,AKSHOPTFBR,EQ,        17.45,                   341466.45,19535
,AKZOINDIA,EQ,      1331.15,                 27026947.45,20424
,ALBK,EQ,       107.35,                 34786103.55,323834
,ALCHEM,EQ,        42.45,                   194372.45,4560
,ALEMBICLTD,EQ,        46.55,                  2584269.80,55516
,ALICON,EQ,       162.45,                   557892.25,3407
,ALKALI,EQ,        21.60,                    31363.45,1455
,ALKYLAMINE,EQ,       378.60,                   445950.75,1180
,ALLCARGO,EQ,       238.45,                  3498807.70,14695
,ALLSEC,EQ,        22.75,                    15554.50,696
,ALMONDZ,EQ,        20.20,                   278863.40,13757
,ALOKTEXT,EQ,        12.00,                 34720805.00,2889532
,ALPA,BE,        16.95,                   277521.00,16370
,ALPHAGEO,EQ,       538.00,                  4201202.15,7819
,ALSTOMT&D,EQ,       367.50,                  4493288.00,12200
,AMARAJABAT,EQ,       628.05,                 11626305.10,18475
,AMBIKCO,EQ,       448.00,                   583511.25,1303
,AMDIND,EQ,        26.10,                    56977.80,2192
,AMLSTEEL,EQ,         8.80,                       96.80,11
,AMRUTANJAN,EQ,       290.55,                 14868827.65,51208
,AMTEKAUTO,EQ,       169.35,                 81110475.10,479967
,AMTEKINDIA,EQ,        94.65,                  8321464.65,87839
,AMTL,EQ,        14.40,                    38812.40,2700
,ANANTRAJ,EQ,        49.95,                  5912779.40,118369
,ANDHRABANK,EQ,        75.60,                 31492448.85,415776
,ANDHRACEMT,EQ,         9.80,                   167193.00,17077
,ANDHRSUGAR,EQ,       136.00,                  1115935.05,8213
,ANGIND,EQ,        29.20,                     2918.35,99
,ANIKINDS,BE,        30.95,                      561.85,19
,ANKITMETAL,EQ,         7.05,                    42086.85,5995
,ANSALAPI,EQ,        29.25,                  1759638.10,60711
,ANSALHSG,EQ,        29.15,                   172150.30,5851
,ANTGRAPHIC,BE,          .20,                      229.25,1000
,APARINDS,EQ,       388.95,                 17093716.25,44128
,APCOTEXIND,EQ,       351.60,                  1473119.50,4195
,APLAPOLLO,EQ,       319.65,                  1135916.90,3556
,APLLTD,EQ,       422.95,                 36173572.95,85350
,APOLLOTYRE,EQ,       219.10,                 99346779.65,452486
,APTECHT,EQ,        79.15,                  3595173.55,45501
,ARCHIDPLY,EQ,        24.80,                   226853.50,9225
,ARCHIES,EQ,        28.50,                  2729063.85,96133
,ARCOTECH,EQ,       379.90,                  6404017.20,16960
