,29-Oct-2014
The Nifty witnessed an intraday movement of about 45.7 points.The closing index was 0.78 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 15775.38
, Traded Quantity (in Lakhs), 7863.94
, Number of Trades, 6904045
, Total Market Capitalisation (Rs. Crores), 9263836.79

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8027.60,      8077.05,      8097.95,      8052.25,      8090.45,62.85
,CNX IT,     10737.25,     10767.40,     10929.15,     10767.40,     10912.30,175.05
,CNX Nifty Junior,     17211.80,     17294.75,     17350.75,     17247.10,     17306.35,94.55
,BANK Nifty,     16667.00,     16770.20,     16770.20,     16596.25,     16634.05,-32.95
,CNX Midcap,     11536.95,     11590.50,     11624.00,     11548.55,     11590.00,53.05
,CNX 500,      6465.15,      6500.65,      6518.05,      6487.40,      6513.75,48.6
,CNX 100,      7973.15,      8020.65,      8039.15,      7997.50,      8032.80,59.65
,Nifty Midcap 50,      3194.40,      3211.40,      3224.00,      3188.20,      3203.00,8.6
,CNX Realty,       185.85,       187.05,       192.00,       186.85,       191.65,5.8
,CNX Infra,      3174.45,      3198.95,      3198.95,      3163.20,      3179.40,4.95
,CNX Energy,      9308.25,      9354.20,      9404.50,      9326.20,      9396.75,88.5
,CNX FMCG,     18967.40,     19089.50,     19218.20,     19004.00,     19199.60,232.2
,CNX MNC,      8397.60,      8434.95,      8491.55,      8374.60,      8477.25,79.65
,CNX Pharma,     10676.30,     10746.85,     10755.05,     10600.55,     10652.05,-24.25
,CNX PSE,      3682.45,      3704.85,      3707.15,      3674.35,      3689.95,7.5
,CNX PSU Bank,      3663.65,      3689.90,      3689.90,      3614.50,      3632.10,-31.55
,CNX Service,      9947.20,      9997.50,     10000.95,      9946.35,      9990.05,42.85
,India VIX,13.3225,13.3225,13.5950,12.5400,13.0050,-0.3175
,CNX AUTO,      7972.85,      8046.20,      8115.55,      8033.95,      8103.70,130.85
,CNX Metal,      2819.25,      2828.90,      2902.20,      2824.45,      2896.10,76.85
,CNX Media,      2105.85,      2113.55,      2138.45,      2102.05,      2128.20,22.35
,CNX Smallcap,      4989.55,      5020.35,      5050.55,      5015.40,      5031.55,42
,CNX 200,      4092.20,      4115.90,      4125.60,      4104.60,      4122.70,30.5
,CNX Dividend Oppt,      2098.00,      2113.25,      2115.70,      2103.00,      2109.30,11.3
,CNX Commodities,      2792.65,      2805.10,      2835.65,      2801.65,      2832.95,40.3
,CNX Consumption,      3235.60,      3259.20,      3271.80,      3252.85,      3268.35,32.75
,CNX Finance,      6688.40,      6727.00,      6727.00,      6653.70,      6681.20,-7.2
,Nifty Dividend,        91.91,        92.67,        92.67,        92.67,        92.67,.76
,LIX 15,      3574.70,      3596.60,      3625.95,      3581.80,      3621.70,47
,CPSE Index,      2549.40,      2563.35,      2567.95,      2546.50,      2561.85,12.45
,NI15,      4661.20,      4689.85,      4706.15,      4679.20,      4703.30,42.1
,NIFTY PR 2X LEV,      3511.10,      3553.55,      3571.20,      3531.90,      3565.30,54.2
,NIFTY PR 1X INV,       460.50,       457.75,       459.20,       456.60,       457.00,-3.5
,NIFTY TR 2X LEV,      4012.45,      4061.55,      4081.70,      4036.75,      4074.95,62.5
,NIFTY TR 1X INV,       430.65,       428.05,       429.40,       427.00,       427.35,-3.3

,ADVANCES,866
,DECLINES,656
,UNCHANGED,88

,Total securities that have hit their price bands today,181

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,      2656.75,      2643.75,-0.49,460.76
,INFY,EQ,      3788.25,      3881.45,2.46,396.55
,RELIANCE,EQ,       934.05,       951.60,1.88,379.16
,TATASTEEL,EQ,       451.20,       471.70,4.54,318.99
,ICICIBANK,EQ,      1601.25,      1605.85,0.29,305.47
,TCS,EQ,      2478.60,      2506.05,1.11,302.38
,DLF,EQ,       111.30,       118.15,6.15,252.9
,HEROMOTOCO,EQ,      3035.05,      3037.85,0.09,249.97
,SRF,EQ,       673.20,       805.45,19.64,245.6
,ORIENTBANK,EQ,       278.30,       267.00,-4.06,236.6
,SUNPHARMA,EQ,       838.65,       830.40,-0.98,231.78
,TATAMOTORS,EQ,       508.65,       526.20,3.45,228.33
,JUSTDIAL,EQ,      1358.90,      1463.00,7.66,211.7
,DRREDDY,EQ,      3081.10,      3045.60,-1.15,211.26
,HDFC,EQ,      1049.65,      1048.60,-0.1,209.07
,HCLTECH,EQ,      1501.15,      1512.00,0.72,198.34
,HINDALCO,EQ,       147.70,       156.90,6.23,196.95
,CIPLA,EQ,       646.15,       656.90,1.66,194.48
,TECHM,EQ,      2371.25,      2396.95,1.08,189.33
,SSLT,EQ,       250.65,       255.35,1.88,184.53
,HDFCBANK,EQ,       895.30,       891.55,-0.42,176.5
,ITC,EQ,       350.15,       354.45,1.23,162.72
,ONGC,EQ,       391.70,       392.80,0.28,162.11
,AUROPHARMA,EQ,       971.55,       957.80,-1.42,159.8
,BHEL,EQ,       255.30,       254.65,-0.25,150.78

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDALCO,EQ,       156.90,       147.70,6.23
,DLF,EQ,       118.15,       111.30,6.15
,TATASTEEL,EQ,       471.70,       451.20,4.54
,JINDALSTEL,EQ,       156.85,       150.55,4.18
,TATAMOTORS,EQ,       526.20,       508.65,3.45

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,PNB,EQ,       904.80,       921.60,-1.82
,BANKBARODA,EQ,       906.30,       919.70,-1.46
,DRREDDY,EQ,      3045.60,      3081.10,-1.15
,NTPC,EQ,       146.25,       147.75,-1.02
,SUNPHARMA,EQ,       830.40,       838.65,-0.98

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.85,                  1689655.55,54443
,3IINFOTECH,EQ,         7.30,                  6171511.75,837696
,3MINDIA,EQ,      6085.95,                  1362107.35,223
,8KMILES,EQ,       765.90,                101394962.30,132394
,A2ZMES,EQ,        22.00,                  6387857.05,290268
,AARTIDRUGS,EQ,       696.60,                  4052392.55,5860
,AARTIIND,EQ,       276.55,                  4613850.00,16848
,AARVEEDEN,EQ,        46.55,                    34406.85,745
,ABAN,EQ,       594.30,                443224730.65,744125
,ABB,EQ,      1166.10,                249006584.10,215113
,ABBOTINDIA,EQ,      3103.75,                  4797395.55,1539
,ABCIL,EQ,       268.30,                  9125932.40,34394
,ABGSHIP,EQ,       224.70,                 29753696.90,132206
,ACCELYA,EQ,       823.20,                 25287482.30,30430
,ACE,EQ,        32.85,                  5815549.15,176731
,ACROPETAL,EQ,         4.30,                   326815.25,73898
,ADANIPOWER,EQ,        46.05,                112962056.20,2459468
,ADFFOODS,EQ,        67.90,                  7354155.15,109599
,ADHUNIK,EQ,        39.20,                   497297.00,12617
,ADORWELD,EQ,       232.85,                   603330.00,2616
,ADSL,EQ,        17.75,                   439281.35,24472
,ADVANIHOTR,EQ,        71.00,                    95810.00,1350
,ADVANTA,EQ,       306.20,                  5250163.85,17078
,AEGISCHEM,EQ,       352.50,                  8671206.35,24225
,AFL,EQ,        68.75,                  1225906.25,18032
,AFTEK,BE,         5.35,                   447449.85,83416
,AGARIND,EQ,        90.80,                    30430.25,326
,AGCNET,EQ,        67.00,                   585694.35,8688
,AGRITECH,BE,         6.45,                     4442.25,705
,AGRODUTCH,EQ,         3.10,                    32082.80,10618
,AHLEAST,EQ,       180.05,                    40253.25,223
,AHLUCONT,EQ,       150.15,                 38408308.40,247675
,AHLWEST,EQ,       105.80,                    13653.95,129
,AHMEDFORGE,EQ,       387.85,                 38175079.65,97753
,AIAENG,EQ,       946.30,                101482713.50,108083
,AICHAMP,BE,        17.00,                     1734.00,102
,AIL,EQ,       485.50,                 40723902.25,84155
,AJANTPHARM,EQ,      1813.45,                 83656094.50,45827
,AJMERA,EQ,       126.30,                  1937956.10,15214
,AKSHOPTFBR,EQ,        17.25,                  1144379.60,66038
,AKZOINDIA,EQ,      1301.50,                 17149645.70,13100
,ALBK,EQ,       107.00,                202890214.70,1889958
,ALCHEM,EQ,        42.50,                   110882.75,2589
,ALEMBICLTD,EQ,        47.65,                 27169987.75,568100
,ALICON,EQ,       173.30,                  2911960.15,16731
,ALKALI,EQ,        20.95,                    21785.30,1031
,ALKYLAMINE,EQ,       353.50,                  3157399.05,8809
,ALLCARGO,EQ,       238.55,                  4685749.50,19515
,ALLSEC,EQ,        24.25,                   274036.15,11322
,ALMONDZ,EQ,        18.45,                   175384.55,9467
,ALOKTEXT,EQ,        11.90,                 63164533.25,5292514
,ALPA,BE,        19.50,                    50719.50,2601
,ALPHAGEO,EQ,       566.45,                 11302737.25,19977
,ALPSINDUS,EQ,         1.75,                        1.75,1
,ALSTOMT&D,EQ,       366.60,                 10003243.80,27067
,AMARAJABAT,EQ,       653.00,                 91064736.55,138766
,AMARJOTHI,EQ,        76.75,                   317685.45,4231
,AMBIKCO,EQ,       471.30,                  1320894.30,2825
,AMDIND,EQ,        27.40,                   353009.05,12924
,AMRUTANJAN,EQ,       295.10,                 37195103.15,123974
,AMTEKAUTO,EQ,       166.35,                 79088915.85,474018
,AMTEKINDIA,EQ,        93.55,                 28063510.45,299200
,AMTL,EQ,        15.05,                      803.60,52
,ANANTRAJ,EQ,        52.25,                 35378436.05,679478
,ANDHRABANK,EQ,        76.50,                184220502.20,2398307
,ANDHRACEMT,EQ,         9.55,                   192103.00,20120
,ANDHRSUGAR,EQ,       134.90,                   924762.40,6856
,ANGIND,EQ,        27.10,                    11729.95,430
,ANIKINDS,BE,        29.90,                    39271.60,1319
,ANKITMETAL,EQ,         7.00,                   153958.95,21756
,ANSALAPI,EQ,        32.00,                  3796364.10,119622
,ANSALHSG,EQ,        31.70,                  2018901.95,63006
,ANTGRAPHIC,BE,          .20,                     1260.00,6300
,APARINDS,EQ,       381.15,                  9328958.90,24358
,APCOTEXIND,EQ,       351.50,                  1815881.65,5127
,APLAB,BE,        37.70,                     2154.00,60
,APLAPOLLO,EQ,       309.45,                    57920.25,187
,APLLTD,EQ,       406.70,                 42933794.30,104913
,APOLLOTYRE,EQ,       216.70,                765716671.65,3507504
