,24-Nov-2014
The Nifty witnessed an intraday movement of about 43.85 points.The closing index was 0.62 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 15665.44
, Traded Quantity (in Lakhs), 7508.16
, Number of Trades, 6964765
, Total Market Capitalisation (Rs. Crores), 9697898.68

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8477.35,      8490.95,      8534.65,      8490.80,      8530.15,52.8
,CNX IT,     11596.95,     11659.70,     11825.85,     11659.70,     11809.85,212.9
,CNX Nifty Junior,     18509.65,     18582.15,     18630.65,     18522.35,     18570.75,61.1
,BANK Nifty,     18056.30,     18128.60,     18313.10,     18119.65,     18281.95,225.65
,CNX Midcap,     12253.95,     12300.35,     12349.55,     12273.20,     12297.90,43.95
,CNX 500,      6847.30,      6863.60,      6890.30,      6858.10,      6880.80,33.5
,CNX 100,      8443.00,      8459.55,      8495.95,      8455.90,      8491.80,48.8
,Nifty Midcap 50,      3362.70,      3380.65,      3394.85,      3373.80,      3385.70,23
,CNX Realty,       210.65,       211.50,       215.45,       211.50,       214.90,4.25
,CNX Infra,      3292.80,      3295.50,      3308.30,      3278.90,      3297.15,4.35
,CNX Energy,      9486.25,      9482.70,      9514.30,      9396.25,      9420.55,-65.7
,CNX FMCG,     20304.85,     20181.10,     20303.70,     20181.10,     20289.45,-15.4
,CNX MNC,      8871.85,      8908.65,      8941.75,      8870.15,      8878.00,6.15
,CNX Pharma,     11189.55,     11214.35,     11244.00,     11127.10,     11138.10,-51.45
,CNX PSE,      3666.35,      3664.65,      3684.15,      3658.50,      3665.85,-.5
,CNX PSU Bank,      4062.65,      4090.45,      4111.40,      4072.75,      4101.15,38.5
,CNX Service,     10696.70,     10726.55,     10825.75,     10726.55,     10816.90,120.2
,India VIX,13.8525,13.8525,13.8525,9.3475,13.0175,-0.8350
,CNX AUTO,      8378.80,      8386.60,      8439.10,      8364.60,      8393.70,14.9
,CNX Metal,      2796.35,      2829.50,      2867.30,      2829.50,      2841.20,44.85
,CNX Media,      2306.45,      2307.95,      2346.75,      2307.95,      2340.75,34.3
,CNX Smallcap,      5229.90,      5257.35,      5271.85,      5207.80,      5211.80,-18.1
,CNX 200,      4338.20,      4347.65,      4365.65,      4345.20,      4361.80,23.6
,CNX Dividend Oppt,      2169.35,      2171.15,      2180.35,      2171.15,      2172.90,3.55
,CNX Commodities,      2807.00,      2819.15,      2838.15,      2819.15,      2825.60,18.6
,CNX Consumption,      3400.80,      3400.15,      3409.70,      3392.65,      3407.50,6.7
,CNX Finance,      7281.20,      7298.40,      7370.35,      7296.10,      7355.30,74.1
,Nifty Dividend,        95.24,        95.24,        95.24,        95.24,        95.24,0
,LIX 15,      3852.45,      3873.95,      3901.50,      3873.95,      3880.85,28.4
,CPSE Index,      2546.20,      2554.05,      2564.90,      2548.05,      2555.00,8.8
,NI15,      4919.85,      4923.95,      4958.00,      4920.90,      4954.25,34.4
,NIFTY PR 2X LEV,      3894.35,      3904.40,      3944.40,      3904.40,      3940.45,46.1
,NIFTY PR 1X INV,       437.85,       437.45,       437.45,       435.20,       435.40,-2.45
,NIFTY TR 2X LEV,      4453.15,      4464.65,      4510.35,      4464.65,      4505.85,52.7
,NIFTY TR 1X INV,       409.35,       408.95,       408.95,       406.85,       407.05,-2.3

,ADVANCES,708
,DECLINES,841
,UNCHANGED,71

,Total securities that have hit their price bands today,169

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,      4146.15,      4275.10,3.11,586.86
,SBIN,EQ,       305.50,       308.85,1.1,574.19
,ICICIBANK,EQ,      1730.70,      1773.30,2.46,435.94
,RELIANCE,EQ,       997.70,       985.35,-1.24,280.26
,HDFC,EQ,      1134.40,      1136.70,0.2,280.04
,TCS,EQ,      2622.15,      2657.70,1.36,257.04
,LT,EQ,      1666.30,      1669.85,0.21,226.15
,ITC,EQ,       376.15,       374.95,-0.32,214.08
,M&M,EQ,      1246.70,      1250.65,0.32,213.65
,TATASTEEL,EQ,       462.90,       476.60,2.96,206.73
,SUNPHARMA,EQ,       841.00,       835.80,-0.62,206.66
,TATAMOTORS,EQ,       531.00,       526.40,-0.87,198.82
,KOTAKBANK,EQ,      1199.15,      1199.75,0.05,198.77
,HEROMOTOCO,EQ,      3028.35,      3078.70,1.66,187.69
,HINDALCO,EQ,       160.30,       165.65,3.34,175.17
,HDFCBANK,EQ,       932.85,       945.20,1.32,171.95
,AXISBANK,EQ,       476.95,       478.15,0.25,170.71
,RANBAXY,EQ,       617.45,       622.15,0.76,159.34
,YESBANK,EQ,       703.00,       698.65,-0.62,153.82
,DLF,EQ,       140.40,       147.50,5.06,151.78
,SSLT,EQ,       237.60,       235.80,-0.76,149
,CROMPGREAV,EQ,       195.95,       203.95,4.08,140.57
,RELCAPITAL,EQ,       502.60,       503.60,0.2,131.81
,INGVYSYABK,EQ,       816.90,       812.10,-0.59,131.49
,WOCKPHARMA,EQ,       817.90,       847.25,3.59,128.91

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DLF,EQ,       147.50,       140.40,5.06
,JINDALSTEL,EQ,       149.00,       142.95,4.23
,TATAPOWER,EQ,        91.80,        88.10,4.2
,HINDALCO,EQ,       165.65,       160.30,3.34
,INFY,EQ,      4275.10,      4146.15,3.11

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,POWERGRID,EQ,       142.45,       146.55,-2.8
,CIPLA,EQ,       618.15,       627.05,-1.42
,RELIANCE,EQ,       985.35,       997.70,-1.24
,ACC,EQ,      1451.25,      1464.95,-0.94
,TATAMOTORS,EQ,       526.40,       531.00,-0.87

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.75,                  1213620.10,39716
,3IINFOTECH,EQ,         7.80,                  7908888.65,999516
,3MINDIA,EQ,      6410.95,                 28075604.30,4300
,8KMILES,EQ,       551.35,                 22838124.10,40388
,A2ZMES,EQ,        20.45,                  4351181.45,208722
,AARTIDRUGS,EQ,       802.95,                  4395910.10,5408
,AARTIIND,EQ,       284.85,                 15544892.50,53765
,AARVEEDEN,EQ,        46.45,                   319304.60,6693
,ABAN,EQ,       601.45,               1157228813.25,1940480
,ABB,EQ,      1120.45,                 67660428.70,60487
,ABBOTINDIA,EQ,      3405.70,                 20650771.65,6013
,ABCIL,EQ,       240.95,                  4154524.85,17108
,ABGSHIP,EQ,       233.05,                 16327976.70,70063
,ACCELYA,EQ,       910.30,                 13841436.15,15088
,ACE,EQ,        39.30,                  8710796.50,219855
,ACROPETAL,BE,         4.10,                   242726.85,60889
,ADANIPOWER,EQ,        46.55,                237148296.35,5113896
,ADFFOODS,EQ,        63.15,                  5076814.25,79385
,ADHUNIK,EQ,        30.60,                  1006737.00,32683
,ADORWELD,EQ,       229.45,                   714536.95,3095
,ADSL,EQ,        21.65,                  3189041.30,149134
,ADVANIHOTR,EQ,        69.10,                    40207.80,582
,ADVANTA,EQ,       364.90,                 22721013.95,61699
,AEGISCHEM,EQ,       451.80,                 38243349.85,82807
,AFL,EQ,       118.30,                   696787.00,5890
,AFTEK,BE,         4.25,                   357045.15,82399
,AGARIND,EQ,       107.45,                   662166.05,6088
,AGCNET,EQ,        82.60,                   391645.90,4676
,AGRITECH,BE,         7.20,                    27652.85,4021
,AGRODUTCH,EQ,         2.70,                    35965.15,13135
,AHLEAST,EQ,       183.95,                   284119.20,1564
,AHLUCONT,EQ,       179.95,                 39822919.95,221091
,AHLWEST,EQ,       118.45,                   102076.90,857
,AHMEDFORGE,EQ,       452.45,                501146164.80,1031926
,AIAENG,EQ,      1149.55,                 30784381.00,26841
,AICHAMP,BE,        16.05,                     4269.30,266
,AIL,EQ,       603.05,                 49176573.40,80938
,AJANTPHARM,EQ,      2370.35,                 80825973.35,34129
,AJMERA,EQ,       116.90,                  1118358.65,9411
,AKSHOPTFBR,EQ,        18.35,                 13166260.70,707739
,AKZOINDIA,EQ,      1287.30,                 18501862.80,14329
,ALBK,EQ,       118.40,                252545643.20,2131345
,ALCHEM,EQ,        38.50,                    54618.10,1414
,ALEMBICLTD,EQ,        45.70,                 12788952.75,277423
,ALICON,EQ,       234.40,                 14384335.45,60602
,ALKALI,EQ,        22.80,                   180474.00,7778
,ALKYLAMINE,EQ,       376.50,                  1366419.55,3632
,ALLCARGO,EQ,       334.65,                128478896.25,384299
,ALLSEC,EQ,        25.20,                   132542.75,5188
,ALMONDZ,EQ,        16.40,                   280889.90,16755
,ALOKTEXT,EQ,        11.15,                 57593902.45,5139287
,ALPA,BE,        14.95,                   337435.45,22675
,ALPHAGEO,EQ,       531.85,                 26601055.35,49744
,ALPINEHOU,BE,        23.50,                     4700.00,200
,ALPSINDUS,EQ,         1.50,                     1012.25,655
,ALSTOMT&D,EQ,       450.45,                262983122.95,586489
,AMARAJABAT,EQ,       744.05,                164190838.35,221853
,AMARJOTHI,EQ,        74.55,                   292776.00,3905
,AMBIKCO,EQ,       497.10,                  3221495.70,6471
,AMDIND,EQ,        25.00,                   288537.25,11337
,AMLSTEEL,BE,         7.25,                      159.50,22
,AMRUTANJAN,EQ,       424.20,                417256706.75,973275
,AMTEKAUTO,EQ,       207.80,                374103437.65,1772750
,AMTEKINDIA,EQ,        91.85,                 79272824.40,850441
,AMTL,EQ,        14.35,                    38159.00,2678
,ANANTRAJ,EQ,        53.25,                 60792770.55,1121209
,ANDHRABANK,EQ,        83.15,                326812299.30,3902118
,ANDHRACEMT,EQ,         9.10,                   287084.95,31174
,ANDHRSUGAR,EQ,       127.55,                  1756831.45,13730
,ANGIND,EQ,        37.20,                  8113775.00,232728
,ANIKINDS,BE,        29.75,                    35366.05,1203
,ANKITMETAL,EQ,         5.95,                   116643.30,19811
,ANSALAPI,EQ,        31.05,                  4127604.70,134058
,ANSALHSG,EQ,        31.15,                  1011893.90,32248
,ANTGRAPHIC,BE,          .20,                     3065.60,14328
,APARINDS,EQ,       415.95,                  9796815.65,23353
,APCOTEXIND,EQ,       441.95,                  8763728.95,19468
,APLAPOLLO,EQ,       325.40,                   395577.50,1211
,APLLTD,EQ,       439.85,                 28281669.65,64328
