,26-Nov-2014
The Nifty witnessed an intraday movement of about 61.65 points.The closing index was 0.15 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 15425.13
, Traded Quantity (in Lakhs), 7868.77
, Number of Trades, 6999867
, Total Market Capitalisation (Rs. Crores), 9623360.82

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8463.10,      8450.30,      8500.30,      8438.65,      8475.75,12.65
,CNX IT,     11790.00,     11769.20,     11804.75,     11714.85,     11770.40,-19.6
,CNX Nifty Junior,     18291.00,     18231.85,     18349.40,     18210.65,     18283.80,-7.2
,BANK Nifty,     18037.05,     17914.35,     18128.15,     17890.85,     17975.95,-61.1
,CNX Midcap,     12124.35,     12102.35,     12209.10,     12078.45,     12180.45,56.1
,CNX 500,      6810.45,      6799.40,      6843.20,      6792.75,      6825.45,15
,CNX 100,      8415.75,      8400.80,      8450.90,      8390.80,      8425.90,10.15
,Nifty Midcap 50,      3313.85,      3305.75,      3353.15,      3296.35,      3340.50,26.65
,CNX Realty,       207.35,       206.20,       217.55,       204.60,       215.65,8.3
,CNX Infra,      3243.90,      3240.20,      3264.65,      3229.95,      3243.35,-.55
,CNX Energy,      9418.65,      9398.65,      9458.25,      9395.55,      9424.40,5.75
,CNX FMCG,     19701.90,     19786.25,     20044.90,     19767.35,     19957.20,255.3
,CNX MNC,      8824.35,      8805.05,      8865.20,      8793.50,      8852.45,28.1
,CNX Pharma,     11179.60,     11209.10,     11225.60,     11131.85,     11154.45,-25.15
,CNX PSE,      3651.75,      3645.50,      3689.45,      3645.50,      3675.35,23.6
,CNX PSU Bank,      4011.15,      4006.60,      4057.60,      3988.85,      4027.50,16.35
,CNX Service,     10734.50,     10695.80,     10757.65,     10664.40,     10718.45,-16.05
,India VIX,13.5250,13.5250,13.5375,10.6075,12.9850,-0.5400
,CNX AUTO,      8301.85,      8287.80,      8344.05,      8244.25,      8333.75,31.9
,CNX Metal,      2802.65,      2799.90,      2835.15,      2791.80,      2831.00,28.35
,CNX Media,      2354.50,      2328.55,      2328.55,      2293.45,      2300.25,-54.25
,CNX Smallcap,      5099.90,      5095.75,      5162.15,      5095.75,      5139.50,39.6
,CNX 200,      4319.00,      4311.50,      4339.45,      4305.80,      4326.75,7.75
,CNX Dividend Oppt,      2141.20,      2136.50,      2158.15,      2136.05,      2151.15,9.95
,CNX Commodities,      2793.30,      2790.10,      2819.80,      2788.80,      2811.95,18.65
,CNX Consumption,      3382.10,      3374.75,      3387.60,      3367.80,      3380.35,-1.75
,CNX Finance,      7294.25,      7261.80,      7331.10,      7230.15,      7287.80,-6.45
,Nifty Dividend,        95.24,        95.24,        95.24,        95.24,        95.24,0
,LIX 15,      3828.50,      3821.95,      3852.30,      3804.30,      3841.30,12.8
,CPSE Index,      2554.70,      2550.55,      2583.50,      2550.55,      2572.15,17.45
,NI15,      4927.15,      4929.55,      4948.35,      4921.00,      4943.45,16.3
,NIFTY PR 2X LEV,      3877.60,      3865.00,      3910.60,      3854.35,      3888.35,10.75
,NIFTY PR 1X INV,       438.95,       439.70,       440.30,       437.10,       438.40,-.55
,NIFTY TR 2X LEV,      4434.00,      4419.55,      4471.70,      4407.40,      4446.25,12.25
,NIFTY TR 1X INV,       410.35,       411.05,       411.60,       408.65,       409.80,-.55

,ADVANCES,928
,DECLINES,574
,UNCHANGED,78

,Total securities that have hit their price bands today,156

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ITC,EQ,       355.40,       363.40,2.25,518.02
,ICICIBANK,EQ,      1737.25,      1710.40,-1.55,484.34
,INFY,EQ,      4303.20,      4300.45,-0.06,425.55
,SBIN,EQ,       304.45,       306.25,0.59,341.05
,DLF,EQ,       141.95,       152.15,7.19,322.79
,RELIANCE,EQ,       993.00,       987.05,-0.6,296.9
,RELCAPITAL,EQ,       480.70,       501.75,4.38,287.6
,HDFC,EQ,      1146.45,      1158.45,1.05,254.74
,TATAMOTORS,EQ,       521.85,       519.95,-0.36,238.67
,LT,EQ,      1636.80,      1631.00,-0.35,237.47
,HDFCBANK,EQ,       953.55,       951.30,-0.24,213.23
,TCS,EQ,      2636.00,      2627.30,-0.33,208.39
,AXISBANK,EQ,       470.75,       470.30,-0.1,174.68
,GUJRATGAS,EQ,       530.65,       620.70,16.97,173.52
,YESBANK,EQ,       678.30,       683.55,0.77,173.09
,ZEEL,EQ,       393.85,       375.90,-4.56,167.53
,BHEL,EQ,       265.50,       271.10,2.11,166.71
,TATASTEEL,EQ,       464.45,       466.25,0.39,164.7
,RELINFRA,EQ,       586.50,       599.15,2.16,158.09
,KOTAKBANK,EQ,      1160.55,      1160.45,-0.01,158.03
,MRF,EQ,     31714.25,     32989.70,4.02,155.47
,BHARTIARTL,EQ,       403.60,       393.35,-2.54,148.57
,BAJAJ-AUTO,EQ,      2644.00,      2614.45,-1.12,147.11
,ONGC,EQ,       386.45,       385.90,-0.14,141.38
,LICHSGFIN,EQ,       405.20,       401.35,-0.95,139.16

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DLF,EQ,       152.15,       141.95,7.19
,GAIL,EQ,       490.55,       477.25,2.79
,SSLT,EQ,       241.10,       235.40,2.42
,GRASIM,EQ,      3566.20,      3486.90,2.27
,ITC,EQ,       363.40,       355.40,2.25

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ZEEL,EQ,       375.90,       393.85,-4.56
,BHARTIARTL,EQ,       393.35,       403.60,-2.54
,JINDALSTEL,EQ,       143.60,       146.85,-2.21
,ICICIBANK,EQ,      1710.40,      1737.25,-1.55
,HCLTECH,EQ,      1633.15,      1657.55,-1.47

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.85,                  2283953.35,73875
,3IINFOTECH,EQ,         7.75,                  5539781.65,724994
,3MINDIA,EQ,      6342.30,                  6588624.05,1037
,8KMILES,EQ,       567.15,                 58914668.05,107632
,A2ZMES,EQ,        19.75,                  1526340.75,77286
,AARTIDRUGS,EQ,       795.60,                  2405548.50,3043
,AARTIIND,EQ,       280.50,                 22928775.55,82198
,AARVEEDEN,EQ,        44.85,                   792560.70,17547
,ABAN,EQ,       597.70,                442444443.75,743770
,ABB,EQ,      1095.50,                 20840082.30,19013
,ABBOTINDIA,EQ,      3374.00,                  8371490.80,2471
,ABCIL,EQ,       233.25,                  3035697.15,13165
,ABGSHIP,EQ,       230.55,                 30098451.60,130280
,ACCELYA,EQ,       891.35,                  4872762.30,5481
,ACE,EQ,        39.05,                  7966465.50,202616
,ACROPETAL,BE,         4.00,                    56289.00,14205
,ADANIPOWER,EQ,        46.10,                160249475.15,3485988
,ADFFOODS,EQ,        62.60,                  8825345.50,139340
,ADHUNIK,EQ,        28.85,                  1565055.50,53655
,ADORWELD,EQ,       219.80,                  1225322.30,5592
,ADSL,EQ,        20.35,                   360437.70,17805
,ADVANIHOTR,EQ,        69.55,                   141835.20,2033
,ADVANTA,EQ,       366.50,                 26456617.80,70798
,AEGISCHEM,EQ,       443.40,                 55364892.15,125314
,AFL,EQ,       122.65,                 17264952.70,139786
,AFTEK,BE,         4.15,                   153819.40,37864
,AGARIND,EQ,       105.20,                   252120.60,2393
,AGCNET,EQ,        83.35,                   174745.75,2108
,AGRITECH,BE,         6.65,                     5100.35,754
,AGRODUTCH,EQ,         2.50,                     5445.85,2253
,AHLEAST,EQ,       178.35,                   523777.90,2963
,AHLUCONT,EQ,       181.85,                 14393834.35,79451
,AHLWEST,EQ,       112.00,                   130007.15,1152
,AHMEDFORGE,EQ,       420.55,                239836055.85,567514
,AIAENG,EQ,      1147.05,                102855275.55,87333
,AIL,EQ,       582.35,                 64725659.60,111134
,AJANTPHARM,EQ,      2268.35,                 65152054.05,28603
,AJMERA,EQ,       114.75,                   533994.75,4634
,AKSHOPTFBR,EQ,        17.75,                  7267519.70,408635
,AKZOINDIA,EQ,      1266.40,                  8645358.35,6806
,ALBK,EQ,       114.15,                192662467.85,1689178
,ALCHEM,EQ,        37.10,                   171008.00,4592
,ALEMBICLTD,EQ,        44.00,                 10742210.60,243622
,ALICON,EQ,       233.65,                  5194639.05,22447
,ALKALI,EQ,        22.00,                    21944.25,998
,ALKYLAMINE,EQ,       363.85,                  2267127.60,6260
,ALLCARGO,EQ,       327.85,                 41280437.20,125986
,ALLSEC,EQ,        24.85,                    80806.10,3273
,ALMONDZ,EQ,        17.05,                  1270824.70,74082
,ALOKTEXT,EQ,        10.75,                 66863576.95,6235283
,ALPA,BE,        14.35,                    54810.50,3813
,ALPHAGEO,EQ,       518.90,                  6502373.75,12524
,ALPSINDUS,EQ,         1.65,                     1815.00,1100
,ALSTOMT&D,EQ,       470.70,                 91770871.45,196857
,AMARAJABAT,EQ,       749.10,                148076041.95,197008
,AMARJOTHI,EQ,        78.00,                    37591.00,497
,AMBIKCO,EQ,       494.20,                  1073906.40,2182
,AMDIND,EQ,        23.90,                   222346.45,9435
,AMRUTANJAN,EQ,       458.60,                567271351.20,1243800
,AMTEKAUTO,EQ,       198.90,                647087944.75,3240152
,AMTEKINDIA,EQ,        86.80,                 36961309.70,422726
,AMTL,EQ,        13.90,                     7165.75,515
,ANANTRAJ,EQ,        54.60,                303898462.75,5692729
,ANDHRABANK,EQ,        79.90,                402184242.80,5025304
,ANDHRACEMT,EQ,         9.10,                   362311.55,40170
,ANDHRSUGAR,EQ,       125.50,                   863526.90,6875
,ANGIND,EQ,        38.95,                  5012711.75,128659
,ANIKINDS,BE,        29.95,                    14660.00,500
,ANKITMETAL,EQ,         5.85,                    52625.65,9022
,ANSALAPI,EQ,        32.15,                  7616944.15,241415
,ANSALHSG,EQ,        31.45,                  2728815.60,88029
,ANTGRAPHIC,BE,          .20,                     2551.00,12755
,APARINDS,EQ,       410.25,                 23675914.85,57914
,APCOTEXIND,EQ,       443.70,                  7356897.25,16572
,APLAPOLLO,EQ,       326.20,                  2921656.90,9035
,APLLTD,EQ,       419.75,                 41329312.20,98040
,APOLLOTYRE,EQ,       223.70,                588211986.45,2635380
,APTECHT,EQ,        79.05,                 18538715.65,232957
,ARCHIDPLY,EQ,        37.85,                  3643615.50,96677
