,16-Dec-2014
The Nifty witnessed an intraday movement of about 136.75 points.The closing index was 1.85 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 18260.22
, Traded Quantity (in Lakhs), 10239.33
, Number of Trades, 8483269
, Total Market Capitalisation (Rs. Crores), 9203335.65

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8219.60,      8172.60,      8189.35,      8052.60,      8067.60,-152
,CNX IT,     10727.75,     10694.25,     10972.65,     10694.25,     10891.60,163.85
,CNX Nifty Junior,     18055.60,     17954.00,     18013.20,     17500.10,     17560.35,-495.25
,BANK Nifty,     18372.65,     18249.00,     18308.95,     17776.35,     17830.55,-542.1
,CNX Midcap,     12133.55,     12065.65,     12114.10,     11798.05,     11825.55,-308
,CNX 500,      6667.55,      6630.25,      6643.75,      6513.10,      6525.20,-142.35
,CNX 100,      8193.85,      8147.10,      8164.55,      8014.95,      8031.05,-162.8
,Nifty Midcap 50,      3246.55,      3224.40,      3243.65,      3139.95,      3150.35,-96.2
,CNX Realty,       202.25,       201.10,       201.40,       193.25,       194.05,-8.2
,CNX Infra,      2974.05,      2951.30,      2964.25,      2916.80,      2923.95,-50.1
,CNX Energy,      8498.45,      8443.60,      8481.20,      8312.10,      8338.35,-160.1
,CNX FMCG,     20865.30,     20723.60,     20730.80,     20158.15,     20225.35,-639.95
,CNX MNC,      8885.85,      8849.25,      8852.90,      8593.30,      8618.15,-267.7
,CNX Pharma,     11097.55,     11024.35,     11086.05,     10764.50,     10784.75,-312.8
,CNX PSE,      3433.25,      3403.05,      3420.20,      3354.80,      3368.05,-65.2
,CNX PSU Bank,      4181.70,      4151.60,      4194.65,      3980.90,      4001.75,-179.95
,CNX Service,     10369.00,     10320.00,     10350.60,     10187.05,     10208.70,-160.3
,India VIX,14.0200,14.0200,16.5550,12.5725,16.3075,2.2875
,CNX AUTO,      8260.75,      8205.90,      8246.65,      8085.85,      8109.50,-151.25
,CNX Metal,      2617.20,      2595.35,      2605.95,      2492.50,      2506.15,-111.05
,CNX Media,      2318.90,      2303.10,      2316.05,      2280.75,      2292.85,-26.05
,CNX Smallcap,      5114.75,      5087.70,      5099.45,      4913.55,      4927.35,-187.4
,CNX 200,      4219.85,      4195.40,      4205.15,      4123.45,      4132.00,-87.85
,CNX Dividend Oppt,      2137.30,      2122.85,      2129.55,      2079.80,      2085.35,-51.95
,CNX Commodities,      2627.45,      2609.35,      2619.45,      2550.25,      2557.75,-69.7
,CNX Consumption,      3352.35,      3331.80,      3335.90,      3282.90,      3289.25,-63.1
,CNX Finance,      7358.40,      7320.55,      7326.95,      7101.50,      7123.00,-235.4
,Nifty Dividend,        95.24,        97.89,        97.89,        97.89,        97.89,2.65
,LIX 15,      3669.80,      3640.20,      3668.90,      3581.05,      3590.25,-79.55
,CPSE Index,      2419.35,      2398.45,      2405.00,      2347.85,      2356.80,-62.55
,NI15,      4825.00,      4799.60,      4818.65,      4775.75,      4784.60,-40.4
,NIFTY PR 2X LEV,      3640.10,      3597.60,      3612.10,      3492.05,      3504.60,-135.5
,NIFTY PR 1X INV,       453.60,       456.30,       462.85,       455.40,       462.05,8.45
,NIFTY TR 2X LEV,      4162.40,      4115.85,      4132.40,      3995.10,      4009.45,-152.95
,NIFTY TR 1X INV,       424.00,       426.45,       432.60,       425.60,       431.85,7.85

,ADVANCES,184
,DECLINES,1371
,UNCHANGED,47

,Total securities that have hit their price bands today,141

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,      1924.80,      1938.00,0.69,863.45
,SBIN,EQ,       310.55,       295.60,-4.81,630.87
,ICICIBANK,EQ,       345.25,       330.70,-4.21,495.97
,RELIANCE,EQ,       878.80,       864.60,-1.62,416.28
,TCS,EQ,      2358.65,      2443.05,3.58,405.17
,ITC,EQ,       392.55,       380.60,-3.04,345.25
,YESBANK,EQ,       708.55,       690.95,-2.48,339.93
,DRREDDY,EQ,      3355.65,      3142.35,-6.36,329.38
,HDFC,EQ,      1124.30,      1086.85,-3.33,296.9
,LT,EQ,      1501.20,      1483.35,-1.19,279.71
,AXISBANK,EQ,       476.75,       472.00,-1,268.68
,LICHSGFIN,EQ,       435.40,       396.15,-9.01,259.56
,JETAIRWAYS,EQ,       373.25,       401.05,7.45,254.8
,HINDALCO,EQ,       153.20,       144.75,-5.52,241.57
,TATAMOTORS,EQ,       493.95,       481.65,-2.49,230.37
,RELCAPITAL,EQ,       520.60,       480.00,-7.8,228.14
,TATASTEEL,EQ,       400.95,       389.65,-2.82,226.8
,TECHM,EQ,      2495.75,      2534.55,1.55,187.84
,HEROMOTOCO,EQ,      3145.45,      3132.75,-0.4,177.74
,MASTEK,EQ,       325.20,       330.80,1.72,175.77
,SSLT,EQ,       209.90,       193.60,-7.77,171.68
,SUNPHARMA,EQ,       844.20,       830.15,-1.66,169.92
,ONGC,EQ,       343.05,       335.55,-2.19,169.39
,COALINDIA,EQ,       377.05,       366.75,-2.73,168.15
,PNB,EQ,      1096.65,      1071.85,-2.26,167.89

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HCLTECH,EQ,      1558.90,      1485.30,4.96
,TCS,EQ,      2443.05,      2358.65,3.58
,BPCL,EQ,       647.45,       636.35,1.74
,TECHM,EQ,      2534.55,      2495.75,1.55
,INFY,EQ,      1938.00,      1924.80,.69

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SSLT,EQ,       193.60,       209.90,-7.77
,DRREDDY,EQ,      3142.35,      3355.65,-6.36
,HINDALCO,EQ,       144.75,       153.20,-5.52
,SBIN,EQ,       295.60,       310.55,-4.81
,TATAPOWER,EQ,        79.85,        83.85,-4.77

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.10,                  2462784.45,81793
,3IINFOTECH,EQ,         7.35,                  5496781.55,745491
,3MINDIA,EQ,      6176.00,                  4679944.90,764
,3RDROCK,IT,       134.00,                  3465642.00,25863
,8KMILES,EQ,       541.20,                 27185846.15,49076
,A2ZMES,EQ,        16.25,                  5130447.60,312854
,AARTIDRUGS,EQ,       766.25,                 11135310.50,14338
,AARTIIND,EQ,       278.30,                  7794936.65,28037
,AARVEEDEN,EQ,        44.95,                   471255.05,10456
,ABAN,EQ,       402.55,                574508909.15,1413508
,ABB,EQ,      1181.75,                126439715.45,108360
,ABBOTINDIA,EQ,      3423.20,                 12868198.95,3780
,ABCIL,EQ,       209.40,                  3486335.35,16305
,ABGSHIP,EQ,       209.05,                 41595141.95,200763
,ACCELYA,EQ,       988.55,                 12970302.70,12896
,ACE,EQ,        34.45,                  8699905.40,246723
,ACROPETAL,BE,         3.55,                   127502.15,35843
,ADANIPOWER,EQ,        40.20,                234015086.60,5705256
,ADFFOODS,EQ,        61.25,                  6522763.30,104969
,ADHUNIK,EQ,        21.15,                  1166058.25,54008
,ADORWELD,EQ,       191.25,                  2503734.85,12593
,ADSL,EQ,        22.15,                  2654227.70,114436
,ADVANIHOTR,EQ,        68.55,                   576528.60,8421
,ADVANTA,EQ,       348.60,                 11724232.25,33079
,AEGISCHEM,EQ,       430.80,                 59233232.80,137449
,AFL,EQ,        97.55,                  1645324.40,16522
,AFTEK,BE,         6.30,                  1848958.90,288571
,AGARIND,EQ,       103.70,                  2926820.75,28318
,AGCNET,EQ,        75.55,                   831281.80,10791
,AGRITECH,BE,         6.80,                    13098.80,1891
,AGRODUTCH,EQ,         4.50,                       22.50,5
,AHLEAST,EQ,       165.50,                   296120.00,1759
,AHLUCONT,EQ,       211.75,                 44185369.20,207155
,AHLWEST,EQ,       109.90,                  3900306.40,34025
,AHMEDFORGE,EQ,       347.80,                 68135850.55,192999
,AIAENG,EQ,      1029.45,                 35579058.80,34368
,AIL,EQ,       566.95,                 18852587.05,32658
,AJANTPHARM,EQ,      2523.70,                121180225.10,47070
,AJMERA,EQ,        99.45,                  1002578.20,9959
,AKSHOPTFBR,EQ,        14.85,                  8391799.20,556951
,AKZOINDIA,EQ,      1342.15,                 34813969.50,25770
,ALBK,EQ,       117.70,                491115172.05,4087902
,ALCHEM,EQ,        31.20,                   220619.75,6940
,ALEMBICLTD,EQ,        38.85,                 27911294.35,702537
,ALICON,EQ,       275.20,                 11530535.95,41401
,ALKALI,EQ,        20.25,                   152811.65,7556
,ALKYLAMINE,EQ,       382.85,                  2015539.00,5292
,ALLCARGO,EQ,       292.45,                 31080828.60,104631
,ALLSEC,EQ,        24.00,                    92819.50,3781
,ALMONDZ,EQ,        13.45,                    96450.95,7122
,ALOKTEXT,EQ,        10.20,                100901838.00,9796932
,ALPA,BE,        12.80,                   252316.35,19716
,ALPHAGEO,EQ,       394.40,                 31962569.05,82910
,ALPSINDUS,EQ,         1.40,                      980.00,700
,ALSTOMT&D,EQ,       420.05,                 44211024.30,104997
,AMARAJABAT,EQ,       743.80,                127807367.80,171481
,AMARJOTHI,EQ,        68.50,                    54321.55,809
,AMBIKCO,EQ,       503.95,                  3122480.40,6215
,AMDIND,EQ,        22.85,                    89545.25,3929
,AMRUTANJAN,EQ,       456.15,                101787925.30,219030
,AMTEKAUTO,EQ,       180.15,                490584618.05,2668612
,AMTEKINDIA,EQ,        69.40,                 41729823.75,593530
,AMTL,EQ,        12.70,                    15190.00,1200
,ANANTRAJ,EQ,        44.85,                 32472635.65,714394
,ANDHRABANK,EQ,        81.65,                323824238.65,3865196
,ANDHRACEMT,EQ,        10.15,                   614959.20,59669
,ANDHRSUGAR,EQ,       117.70,                  1824075.60,15478
,ANGIND,EQ,        36.60,                  1973269.75,50868
,ANIKINDS,BE,        29.30,                     2819.30,101
,ANKITMETAL,EQ,         4.25,                   144250.85,33544
,ANSALAPI,EQ,        26.30,                  2482990.85,94271
,ANSALHSG,EQ,        27.45,                   677651.75,24312
,ANTGRAPHIC,BE,          .20,                     5525.85,26242
,APARINDS,EQ,       383.25,                 10878112.25,28052
,APCOTEXIND,EQ,       461.85,                 13272966.95,28128
,APLAPOLLO,EQ,       327.05,                   869637.30,2596
,APLLTD,EQ,       422.70,                 28654783.85,67447
,APOLLOTYRE,EQ,       223.25,                883483386.95,3917662
,APTECHT,EQ,        67.40,                 26037887.00,374554
,ARCHIDPLY,EQ,        39.60,                  4383406.35,106483
