,17-Dec-2014
The Nifty witnessed an intraday movement of about 120.65 points.The closing index was 0.47 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 20021.37
, Traded Quantity (in Lakhs), 9911.25
, Number of Trades, 9257684
, Total Market Capitalisation (Rs. Crores), 9161385.79

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8067.60,      8041.20,      8082.00,      7961.35,      8029.80,-37.8
,CNX IT,     10891.60,     10894.30,     10951.25,     10706.00,     10860.10,-31.5
,CNX Nifty Junior,     17560.35,     17481.40,     17643.95,     17040.35,     17512.75,-47.6
,BANK Nifty,     17830.55,     17762.25,     18051.85,     17502.45,     17865.75,35.2
,CNX Midcap,     11825.55,     11771.60,     11875.75,     11470.00,     11777.80,-47.75
,CNX 500,      6525.20,      6501.80,      6535.70,      6410.35,      6492.90,-32.3
,CNX 100,      8031.05,      8003.30,      8048.20,      7907.95,      7995.85,-35.2
,Nifty Midcap 50,      3150.35,      3137.20,      3169.20,      3043.15,      3129.40,-20.95
,CNX Realty,       194.05,       193.35,       195.55,       187.10,       191.35,-2.7
,CNX Infra,      2923.95,      2912.20,      2938.70,      2858.10,      2892.55,-31.4
,CNX Energy,      8338.35,      8336.60,      8398.20,      8277.90,      8366.05,27.7
,CNX FMCG,     20225.35,     20077.95,     20339.60,     19817.45,     19953.50,-271.85
,CNX MNC,      8618.15,      8575.00,      8640.20,      8474.55,      8596.10,-22.05
,CNX Pharma,     10784.75,     10723.40,     10754.50,     10355.80,     10573.40,-211.35
,CNX PSE,      3368.05,      3361.50,      3400.80,      3322.05,      3387.45,19.4
,CNX PSU Bank,      4001.75,      3982.10,      4119.80,      3898.75,      4067.65,65.9
,CNX Service,     10208.70,     10186.20,     10279.40,     10053.95,     10198.25,-10.45
,India VIX,16.3075,16.3075,19.0625,14.1950,16.9250,0.6175
,CNX AUTO,      8109.50,      8048.95,      8112.85,      7923.00,      7977.55,-131.95
,CNX Metal,      2506.15,      2501.35,      2547.70,      2466.35,      2529.90,23.75
,CNX Media,      2292.85,      2288.95,      2303.00,      2237.95,      2276.70,-16.15
,CNX Smallcap,      4927.35,      4907.85,      4946.55,      4756.75,      4854.70,-72.65
,CNX 200,      4132.00,      4117.05,      4141.75,      4062.75,      4113.70,-18.3
,CNX Dividend Oppt,      2085.35,      2077.40,      2094.30,      2058.65,      2084.85,-.5
,CNX Commodities,      2557.75,      2554.10,      2580.20,      2526.35,      2561.55,3.8
,CNX Consumption,      3289.25,      3266.60,      3283.50,      3228.90,      3245.70,-43.55
,CNX Finance,      7123.00,      7104.40,      7214.90,      7010.10,      7140.40,17.4
,Nifty Dividend,        97.89,        97.89,        97.89,        97.89,        97.89,0
,LIX 15,      3590.25,      3578.15,      3630.90,      3514.90,      3595.05,4.8
,CPSE Index,      2356.80,      2347.10,      2403.85,      2321.75,      2386.90,30.1
,NI15,      4784.60,      4763.35,      4779.30,      4709.20,      4729.40,-55.2
,NIFTY PR 2X LEV,      3504.60,      3480.85,      3515.90,      3413.25,      3470.95,-33.65
,NIFTY PR 1X INV,       462.05,       463.70,       468.15,       461.40,       464.35,2.3
,NIFTY TR 2X LEV,      4009.45,      3982.30,      4022.40,      3904.95,      3970.95,-38.5
,NIFTY TR 1X INV,       431.85,       433.40,       437.55,       431.20,       434.00,2.15

,ADVANCES,523
,DECLINES,1019
,UNCHANGED,54

,Total securities that have hit their price bands today,144

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,      1938.00,      1938.50,0.03,862.94
,SBIN,EQ,       295.60,       301.75,2.08,842.58
,ICICIBANK,EQ,       330.70,       332.35,0.5,752.8
,LT,EQ,      1483.35,      1468.50,-1,551.14
,RELIANCE,EQ,       864.60,       869.50,0.57,413.28
,ITC,EQ,       380.60,       371.80,-2.31,389.74
,TATASTEEL,EQ,       389.65,       393.45,0.98,318.67
,YESBANK,EQ,       690.95,       686.40,-0.66,307.48
,HDFC,EQ,      1086.85,      1088.95,0.19,306.71
,TATAMOTORS,EQ,       481.65,       475.80,-1.21,293.47
,KOTAKBANK,EQ,      1283.50,      1244.65,-3.03,283.4
,RELCAPITAL,EQ,       480.00,       468.85,-2.32,281.19
,TCS,EQ,      2443.05,      2444.10,0.04,279.64
,AXISBANK,EQ,       472.00,       474.85,0.6,277.58
,DRREDDY,EQ,      3142.35,      3160.35,0.57,255.18
,WOCKPHARMA,EQ,       975.45,       886.35,-9.13,252.36
,SUNPHARMA,EQ,       830.15,       811.35,-2.26,227.69
,ONGC,EQ,       335.55,       343.00,2.22,217.21
,LICHSGFIN,EQ,       396.15,       402.30,1.55,207.52
,BHARTIARTL,EQ,       350.05,       342.05,-2.29,188.37
,AUROPHARMA,EQ,      1095.85,      1048.60,-4.31,174.29
,ASIANPAINT,EQ,       758.85,       731.30,-3.63,172.96
,HINDALCO,EQ,       144.75,       147.10,1.62,172.39
,RELINFRA,EQ,       496.80,       481.10,-3.16,171.2
,JETAIRWAYS,EQ,       401.05,       387.00,-3.5,167.81

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SSLT,EQ,       200.90,       193.60,3.77
,ONGC,EQ,       343.00,       335.55,2.22
,NMDC,EQ,       137.30,       134.40,2.16
,SBIN,EQ,       301.75,       295.60,2.08
,HINDALCO,EQ,       147.10,       144.75,1.62

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DLF,EQ,       133.60,       139.25,-4.06
,ASIANPAINT,EQ,       731.30,       758.85,-3.63
,KOTAKBANK,EQ,      1244.65,      1283.50,-3.03
,CIPLA,EQ,       605.50,       623.40,-2.87
,CAIRN,EQ,       229.20,       235.65,-2.74

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.25,                  5594647.25,185652
,3IINFOTECH,EQ,         7.10,                  6006822.25,840097
,3MINDIA,EQ,      6013.30,                  3891866.05,645
,3RDROCK,IT,       142.60,                  3675994.40,25863
,8KMILES,EQ,       542.15,                 47838227.70,89530
,A2ZMES,EQ,        15.60,                  3282073.75,209841
,AARTIDRUGS,EQ,       755.30,                 12090682.40,16354
,AARTIIND,EQ,       276.05,                 11682819.95,42215
,AARVEEDEN,EQ,        43.10,                   424160.50,9911
,ABAN,EQ,       422.00,                877941761.15,2142596
,ABB,EQ,      1161.50,                 64241930.35,54751
,ABBOTINDIA,EQ,      3360.00,                  5665836.45,1679
,ABCIL,EQ,       207.90,                  3179024.30,15565
,ABGSHIP,EQ,       209.35,                 22159149.85,106302
,ACCELYA,EQ,       982.70,                 12493901.20,12818
,ACE,EQ,        35.15,                 16400850.25,476489
,ACROPETAL,BE,         3.40,                    81306.10,23904
,ADANIPOWER,EQ,        40.00,                186219869.55,4665688
,ADFFOODS,EQ,        63.00,                  6707820.95,109223
,ADHUNIK,EQ,        20.50,                  1729702.20,84682
,ADORWELD,EQ,       182.60,                  1635818.45,8768
,ADSL,EQ,        21.80,                  1456967.45,67936
,ADVANIHOTR,EQ,        60.40,                    66483.55,1022
,ADVANTA,EQ,       354.90,                  8236413.05,23353
,AEGISCHEM,EQ,       423.00,                 24352955.70,58122
,AFL,EQ,        92.70,                   367545.05,3939
,AFTEK,BE,         6.60,                  2052103.15,329319
,AGARIND,EQ,       102.20,                  2365492.90,23065
,AGCNET,EQ,        80.75,                   495470.85,6345
,AGRODUTCH,EQ,         4.30,                     4846.10,1127
,AHLEAST,EQ,       168.25,                    54821.20,326
,AHLUCONT,EQ,       200.95,                 34999647.15,171424
,AHLWEST,EQ,       113.75,                    69835.15,613
,AHMEDFORGE,EQ,       329.15,                 59781751.85,177846
,AIAENG,EQ,      1049.50,                123815539.50,118680
,AICHAMP,BE,        15.00,                      675.00,45
,AIL,EQ,       554.10,                 35447106.10,63743
,AJANTPHARM,EQ,      2358.45,                219870808.75,91807
,AJMERA,EQ,        93.45,                  1526102.55,16451
,AKSHOPTFBR,EQ,        14.00,                  6341557.85,445684
,AKZOINDIA,EQ,      1335.75,                 22128100.40,16642
,ALBK,EQ,       118.40,                657585723.30,5625870
,ALCHEM,EQ,        30.20,                   365325.95,12358
,ALEMBICLTD,EQ,        37.40,                 28842884.45,778871
,ALICON,EQ,       285.60,                 13756736.45,49468
,ALKALI,EQ,        19.15,                    36521.00,1936
,ALKYLAMINE,EQ,       374.70,                  4717615.90,12741
,ALLCARGO,EQ,       291.85,                 35204109.65,119609
,ALLSEC,EQ,        23.80,                   308761.85,13686
,ALMONDZ,EQ,        13.05,                   137652.30,10474
,ALOKTEXT,EQ,         9.95,                 95551027.10,9594911
,ALPA,BE,        13.40,                    50520.90,3781
,ALPHAGEO,EQ,       410.25,                 10910893.00,27253
,ALSTOMT&D,EQ,       435.80,                 38855262.75,91896
,AMARAJABAT,EQ,       719.35,                141163283.00,194090
,AMARJOTHI,EQ,        66.45,                    47785.10,720
,AMBIKCO,EQ,       492.60,                  2078936.50,4240
,AMDIND,EQ,        22.20,                   121671.30,5447
,AMRUTANJAN,EQ,       437.85,                116308552.35,265278
,AMTEKAUTO,EQ,       169.75,                463223371.45,2695991
,AMTEKINDIA,EQ,        68.00,                 36447780.80,537896
,AMTL,EQ,        13.00,                    18816.60,1490
,ANANTRAJ,EQ,        44.05,                 34619979.20,787258
,ANDHRABANK,EQ,        83.65,                529051999.65,6446001
,ANDHRACEMT,EQ,         9.95,                   887242.20,92190
,ANDHRSUGAR,EQ,       116.45,                  1492435.05,12825
,ANGIND,EQ,        35.70,                  1638845.75,45402
,ANIKINDS,BE,        28.00,                    37987.25,1362
,ANKITMETAL,EQ,         4.25,                    87254.40,21019
,ANSALAPI,EQ,        25.45,                  6105483.85,241971
,ANSALHSG,EQ,        26.65,                   739823.60,27498
,ANTGRAPHIC,BE,          .20,                    56905.10,349334
,APARINDS,EQ,       371.90,                 11386226.30,30535
,APCOTEXIND,EQ,       446.15,                 12842299.50,29132
,APLAPOLLO,EQ,       327.30,                  1001147.95,3041
,APLLTD,EQ,       422.95,                 36658747.40,87484
,APOLLOTYRE,EQ,       207.90,                971433124.70,4590334
,APTECHT,EQ,        65.45,                 17478250.75,264814
,ARCHIDPLY,EQ,        37.40,                  3383757.50,89830
,ARCHIES,EQ,        24.15,                  6190416.95,256729
