,14-Jan-2015
The Nifty witnessed an intraday movement of about 89.8 points.The closing index was 0.26 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 16478.59
, Traded Quantity (in Lakhs), 7843.33
, Number of Trades, 7504236
, Total Market Capitalisation (Rs. Crores), 9636712.07

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8299.40,      8307.25,      8326.45,      8236.65,      8277.55,-21.85
,CNX IT,     11502.80,     11561.95,     11631.55,     11521.00,     11614.30,111.5
,CNX Nifty Junior,     18688.50,     18739.55,     18810.30,     18588.65,     18683.20,-5.3
,BANK Nifty,     18707.20,     18670.40,     18769.65,     18517.90,     18603.80,-103.4
,CNX Midcap,     12643.95,     12675.65,     12726.15,     12578.10,     12616.75,-27.2
,CNX 500,      6801.40,      6810.20,      6828.90,      6759.55,      6787.15,-14.25
,CNX 100,      8305.30,      8315.50,      8335.95,      8247.40,      8286.45,-18.85
,Nifty Midcap 50,      3359.45,      3364.40,      3380.55,      3330.30,      3342.70,-16.75
,CNX Realty,       196.75,       196.40,       197.80,       194.75,       195.20,-1.55
,CNX Infra,      3010.45,      3016.35,      3029.55,      2997.30,      3019.45,9
,CNX Energy,      8374.80,      8376.90,      8409.55,      8306.05,      8335.00,-39.8
,CNX FMCG,     20603.00,     20628.45,     20628.45,     20202.50,     20455.80,-147.2
,CNX MNC,      9341.75,      9349.30,      9462.55,      9347.05,      9433.55,91.8
,CNX Pharma,     10984.30,     10974.00,     11011.30,     10866.70,     10881.55,-102.75
,CNX PSE,      3480.50,      3489.65,      3506.15,      3468.90,      3488.15,7.65
,CNX PSU Bank,      4170.45,      4159.70,      4191.80,      4116.75,      4141.35,-29.1
,CNX Service,     10648.95,     10662.90,     10695.75,     10594.60,     10649.70,.75
,India VIX,16.4825,16.4825,17.7950,14.6600,17.2475,0.7650
,CNX AUTO,      8398.80,      8408.50,      8483.00,      8381.30,      8427.70,28.9
,CNX Metal,      2546.75,      2544.20,      2544.20,      2452.50,      2457.90,-88.85
,CNX Media,      2293.90,      2298.85,      2304.50,      2267.00,      2275.90,-18
,CNX Smallcap,      5320.15,      5327.00,      5354.20,      5282.25,      5293.60,-26.55
,CNX 200,      4297.15,      4302.75,      4314.80,      4269.30,      4288.30,-8.85
,CNX Dividend Oppt,      2141.15,      2146.40,      2155.25,      2131.75,      2140.10,-1.05
,CNX Commodities,      2646.05,      2650.45,      2658.30,      2619.85,      2625.20,-20.85
,CNX Consumption,      3385.05,      3392.65,      3407.70,      3381.60,      3400.05,15
,CNX Finance,      7401.60,      7394.95,      7432.25,      7332.40,      7364.45,-37.15
,Nifty Dividend,        97.89,        97.89,        97.89,        97.89,        97.89,0
,LIX 15,      3774.55,      3775.95,      3789.55,      3726.35,      3743.20,-31.35
,CPSE Index,      2433.55,      2440.30,      2454.50,      2426.50,      2440.85,7.3
,NI15,      4893.10,      4903.75,      4914.60,      4868.70,      4905.00,11.9
,NIFTY PR 2X LEV,      3679.00,      3685.10,      3701.60,      3623.10,      3658.75,-20.25
,NIFTY PR 1X INV,       450.90,       450.55,       454.35,       449.55,       452.20,1.3
,NIFTY TR 2X LEV,      4208.95,      4215.95,      4234.80,      4145.00,      4185.80,-23.15
,NIFTY TR 1X INV,       421.40,       421.10,       424.65,       420.15,       422.60,1.2

,ADVANCES,597
,DECLINES,938
,UNCHANGED,63

,Total securities that have hit their price bands today,128

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,      2088.90,      2128.65,1.9,523.56
,YESBANK,EQ,       781.75,       786.70,0.63,486.73
,HINDUNILVR,EQ,       884.55,       924.05,4.47,416.48
,ICICIBANK,EQ,       340.90,       336.90,-1.17,402.68
,ITC,EQ,       360.10,       347.80,-3.42,378.07
,TATAMOTORS,EQ,       519.45,       520.35,0.17,312.15
,JETAIRWAYS,EQ,       463.75,       464.85,0.24,273.56
,TATASTEEL,EQ,       391.50,       376.85,-3.74,271.44
,SBIN,EQ,       305.10,       304.70,-0.13,269.92
,LICHSGFIN,EQ,       462.35,       454.05,-1.8,258.28
,TCS,EQ,      2497.90,      2521.95,0.96,224.95
,RELIANCE,EQ,       843.15,       834.95,-0.97,217.49
,SSLT,EQ,       204.60,       188.10,-8.06,209.99
,HINDALCO,EQ,       151.70,       142.15,-6.3,195.38
,ASIANPAINT,EQ,       833.85,       842.65,1.06,195.34
,MARICO,EQ,       334.25,       351.85,5.27,186.78
,M&M,EQ,      1248.80,      1236.95,-0.95,176.36
,SKSMICRO,EQ,       460.00,       454.65,-1.16,168.63
,HCLTECH,EQ,      1583.60,      1578.80,-0.3,162.43
,BAJFINANCE,EQ,      3483.00,      3773.95,8.35,159.56
,HDFC,EQ,      1122.20,      1120.30,-0.17,158.18
,PETRONET,EQ,       207.25,       203.20,-1.95,156.01
,ULTRACEMCO,EQ,      2818.50,      2908.85,3.21,155.69
,ONGC,EQ,       339.95,       344.05,1.21,153.07
,MARUTI,EQ,      3468.25,      3516.00,1.38,150.47

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDUNILVR,EQ,       924.05,       884.55,4.47
,BHEL,EQ,       268.75,       257.50,4.37
,ULTRACEMCO,EQ,      2908.85,      2818.50,3.21
,ACC,EQ,      1478.35,      1441.70,2.54
,INFY,EQ,      2128.65,      2088.90,1.9

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SSLT,EQ,       188.10,       204.60,-8.06
,HINDALCO,EQ,       142.15,       151.70,-6.3
,TATASTEEL,EQ,       376.85,       391.50,-3.74
,ITC,EQ,       347.80,       360.10,-3.42
,BPCL,EQ,       651.70,       669.55,-2.67

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        45.70,                 14580370.25,319962
,3IINFOTECH,EQ,         8.65,                  6585103.30,755879
,3MINDIA,EQ,      6610.45,                  4255531.00,650
,8KMILES,EQ,       707.05,                 86885566.55,120709
,A2ZINFRA,EQ,        20.15,                  2872056.40,141740
,AARTIDRUGS,EQ,      1029.75,                 48349654.40,46920
,AARTIIND,EQ,       258.15,                134233236.90,506993
,AARVEEDEN,EQ,        53.05,                  3563264.65,67330
,ABAN,EQ,       468.50,                376116636.85,795221
,ABB,EQ,      1262.50,                 68173786.25,53309
,ABBOTINDIA,EQ,      4083.25,                 10885112.20,2661
,ABCIL,EQ,       212.35,                  1177878.70,5494
,ABGSHIP,EQ,       216.80,                 18647271.15,85727
,ACCELYA,EQ,       982.00,                  6506468.40,6612
,ACE,EQ,        38.15,                  3780900.50,98883
,ACROPETAL,BE,         3.50,                    54507.25,15355
,ADANIPOWER,EQ,        45.50,                131489171.15,2886982
,ADFFOODS,EQ,        71.25,                  3253547.05,45012
,ADHUNIK,EQ,        22.20,                  1464540.20,65337
,ADORWELD,EQ,       221.25,                  4099063.60,18577
,ADSL,EQ,        28.75,                 37447103.60,1293816
,ADVANIHOTR,EQ,        55.70,                    99015.45,1750
,ADVANTA,EQ,       354.70,                 11581523.45,32539
,AEGISCHEM,EQ,       434.30,                 13332005.05,30615
,AFL,EQ,        91.75,                   381848.45,4161
,AFTEK,BE,         6.45,                   333495.05,53197
,AGARIND,EQ,       139.75,                  9750140.20,70183
,AGCNET,EQ,        76.40,                   139178.10,1808
,AGRITECH,BE,         7.05,                     1487.55,211
,AGRODUTCH,EQ,         3.55,                    11554.85,3303
,AHLEAST,EQ,       174.00,                   126033.25,736
,AHLUCONT,EQ,       217.00,                 11656274.80,52878
,AHLWEST,EQ,       122.95,                  1829092.55,14936
,AHMEDFORGE,EQ,       335.15,                 54593574.25,162779
,AIAENG,EQ,      1052.20,                 83780704.45,80473
,AIL,EQ,       689.45,                 32703986.00,47506
,AJANTPHARM,EQ,      2592.25,                187330321.90,73319
,AJMERA,EQ,       110.95,                  1511851.35,13484
,AKSHOPTFBR,EQ,        15.20,                  2209426.70,144221
,AKZOINDIA,EQ,      1457.80,                 16525029.10,11326
,ALBK,EQ,       124.90,                246350768.65,1957023
,ALCHEM,EQ,        31.45,                   139124.65,4408
,ALEMBICLTD,EQ,        45.40,                 25864524.95,560177
,ALICON,EQ,       326.05,                  1621783.45,4922
,ALKALI,EQ,        30.65,                  2424324.90,79320
,ALKYLAMINE,EQ,       384.45,                  1021564.85,2636
,ALLCARGO,EQ,       334.70,                 50159101.30,147720
,ALLSEC,EQ,        24.80,                    89227.15,3588
,ALMONDZ,EQ,        13.65,                    74191.95,5558
,ALOKTEXT,EQ,        10.80,                180494750.95,16217009
,ALPA,BE,        14.35,                   265991.00,18842
,ALPHAGEO,EQ,       584.95,                  9469001.95,16006
,ALPSINDUS,EQ,         1.70,                    20442.50,12025
,ALSTOMT&D,EQ,       484.70,                 10784247.90,22139
,AMARAJABAT,EQ,       841.10,                293771821.75,348127
,AMBIKCO,EQ,       516.45,                    81348.15,157
,AMDIND,EQ,        23.15,                   157887.85,6828
,AMRUTANJAN,BE,       429.50,                  7907269.85,18341
,AMTEKAUTO,EQ,       173.80,                 94673784.95,542231
,AMTEKINDIA,EQ,        68.50,                 21816166.70,316314
,AMTL,EQ,        16.25,                    75607.65,4515
,ANANTRAJ,EQ,        42.15,                 26377904.00,622157
,ANDHRABANK,EQ,        91.25,                274151503.00,3001022
,ANDHRACEMT,EQ,        11.55,                  2536316.85,219404
,ANDHRSUGAR,EQ,       119.35,                  1254696.15,10397
,ANGIND,EQ,        45.40,                 10895373.55,241064
,ANIKINDS,BE,        27.10,                     3683.80,136
,ANKITMETAL,EQ,         3.80,                   363491.50,94399
,ANSALAPI,EQ,        25.60,                  6289313.00,249702
,ANSALHSG,EQ,        30.95,                  1873292.60,60939
,ANTGRAPHIC,BE,          .15,                     1773.35,11807
,APARINDS,EQ,       382.20,                  3439492.20,8961
,APCOTEXIND,EQ,       553.75,                  2962887.85,5333
,APLAB,BE,        34.40,                    29666.40,927
,APLAPOLLO,EQ,       345.60,                   418226.40,1192
,APLLTD,EQ,       459.10,                 20469569.35,44247
,APOLLOTYRE,EQ,       219.10,                442270264.85,1998777
,APTECHT,EQ,        68.20,                  7920463.85,114939
,ARCHIDPLY,EQ,        40.85,                  1708016.30,41029
