,15-Jan-2015
The Nifty witnessed an intraday movement of about 146.55 points.The closing index was 2.62 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 21367.28
, Traded Quantity (in Lakhs), 10784.81
, Number of Trades, 8191512
, Total Market Capitalisation (Rs. Crores), 9804254.69

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8277.55,      8424.50,      8527.10,      8380.55,      8494.15,216.6
,CNX IT,     11614.30,     11672.30,     11774.50,     11575.10,     11669.85,55.55
,CNX Nifty Junior,     18683.20,     18943.80,     19043.95,     18835.65,     18926.60,243.4
,BANK Nifty,     18603.80,     19340.45,     19410.40,     19061.35,     19235.65,631.85
,CNX Midcap,     12616.75,     12783.50,     12837.00,     12705.95,     12792.45,175.7
,CNX 500,      6787.15,      6897.15,      6962.15,      6870.95,      6937.50,150.35
,CNX 100,      8286.45,      8428.65,      8519.40,      8391.80,      8486.20,199.75
,Nifty Midcap 50,      3342.70,      3397.45,      3419.15,      3366.55,      3401.65,58.95
,CNX Realty,       195.20,       200.40,       212.70,       200.35,       211.45,16.25
,CNX Infra,      3019.45,      3056.00,      3114.20,      3049.25,      3097.15,77.7
,CNX Energy,      8335.00,      8405.25,      8592.10,      8405.25,      8542.25,207.25
,CNX FMCG,     20455.80,     20733.10,     20837.65,     20545.75,     20770.00,314.2
,CNX MNC,      9433.55,      9519.70,      9563.85,      9462.15,      9523.85,90.3
,CNX Pharma,     10881.55,     10966.90,     10986.05,     10903.85,     10936.30,54.75
,CNX PSE,      3488.15,      3523.20,      3561.65,      3510.75,      3539.95,51.8
,CNX PSU Bank,      4141.35,      4338.85,      4368.50,      4261.05,      4327.00,185.65
,CNX Service,     10649.70,     10893.60,     11004.95,     10819.70,     10965.40,315.7
,India VIX,17.2475,17.2475,17.2475,13.8250,16.1600,-1.0875
,CNX AUTO,      8427.70,      8541.00,      8655.95,      8508.80,      8614.70,187
,CNX Metal,      2457.90,      2476.20,      2497.20,      2450.95,      2483.15,25.25
,CNX Media,      2275.90,      2295.70,      2320.90,      2285.20,      2310.65,34.75
,CNX Smallcap,      5293.60,      5377.25,      5414.80,      5347.05,      5391.40,97.8
,CNX 200,      4288.30,      4360.55,      4405.35,      4342.40,      4388.65,100.35
,CNX Dividend Oppt,      2140.10,      2177.80,      2187.95,      2165.40,      2179.35,39.25
,CNX Commodities,      2625.20,      2650.30,      2693.35,      2640.75,      2682.70,57.5
,CNX Consumption,      3400.05,      3434.50,      3457.10,      3420.65,      3446.65,46.6
,CNX Finance,      7364.45,      7620.55,      7726.60,      7565.90,      7697.10,332.65
,Nifty Dividend,        97.89,        97.89,        97.89,        97.89,        97.89,0
,LIX 15,      3743.20,      3830.70,      3850.10,      3785.70,      3830.85,87.65
,CPSE Index,      2440.85,      2466.05,      2487.80,      2453.90,      2473.00,32.15
,NI15,      4905.00,      4950.30,      4979.65,      4919.00,      4959.45,54.45
,NIFTY PR 2X LEV,      3658.75,      3787.85,      3878.30,      3749.15,      3849.40,190.65
,NIFTY PR 1X INV,       452.20,       444.25,       446.65,       438.65,       440.45,-11.75
,NIFTY TR 2X LEV,      4185.80,      4333.50,      4437.00,      4289.25,      4403.90,218.1
,NIFTY TR 1X INV,       422.60,       415.20,       417.45,       410.00,       411.65,-10.95

,ADVANCES,986
,DECLINES,561
,UNCHANGED,61

,Total securities that have hit their price bands today,128

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,       304.70,       320.30,5.12,977.96
,TCS,EQ,      2521.95,      2539.10,0.68,639.01
,ICICIBANK,EQ,       336.90,       352.85,4.73,533.58
,YESBANK,EQ,       786.70,       813.20,3.37,491.89
,INFY,EQ,      2128.65,      2134.25,0.26,445.79
,HDFC,EQ,      1120.30,      1202.55,7.34,435.81
,ITC,EQ,       347.80,       357.90,2.9,380.24
,TATAMOTORS,EQ,       520.35,       532.95,2.42,362.52
,LT,EQ,      1518.00,      1573.70,3.67,356.55
,AXISBANK,EQ,       499.60,       514.05,2.89,344.38
,RELIANCE,EQ,       834.95,       864.25,3.51,331.62
,IDFC,EQ,       156.55,       167.90,7.25,330.91
,HINDUNILVR,EQ,       924.05,       921.55,-0.27,325.24
,HDFCBANK,EQ,       963.90,       993.15,3.03,281.74
,KOTAKBANK,EQ,      1391.20,      1400.40,0.66,279.48
,HDIL,EQ,        66.00,        77.65,17.65,279.36
,TATASTEEL,EQ,       376.85,       384.75,2.1,266.75
,DLF,EQ,       133.35,       147.80,10.84,256.56
,ONGC,EQ,       344.05,       346.50,0.71,248.55
,MARUTI,EQ,      3516.00,      3625.80,3.12,241.71
,IBULHSGFIN,EQ,       499.45,       533.70,6.86,236.76
,ULTRACEMCO,EQ,      2908.85,      3083.05,5.99,211.65
,LICHSGFIN,EQ,       454.05,       466.15,2.66,188.91
,SUNPHARMA,EQ,       820.65,       825.90,0.64,183.38
,M&M,EQ,      1236.95,      1278.10,3.33,182.98

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DLF,EQ,       147.80,       133.35,10.84
,HDFC,EQ,      1202.55,      1120.30,7.34
,IDFC,EQ,       167.90,       156.55,7.25
,ULTRACEMCO,EQ,      3083.05,      2908.85,5.99
,SBIN,EQ,       320.30,       304.70,5.12

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ASIANPAINT,EQ,       839.35,       842.65,-0.39
,TECHM,EQ,      2781.80,      2791.55,-0.35
,HINDUNILVR,EQ,       921.55,       924.05,-0.27
,HINDALCO,EQ,       141.90,       142.15,-0.18

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        45.65,                  4753792.50,103198
,3IINFOTECH,EQ,         8.75,                  6983274.00,792336
,3MINDIA,EQ,      6570.05,                  3299385.45,503
,3RDROCK,IT,       156.10,                  2691907.25,17242
,8KMILES,EQ,       711.65,                110978339.60,155760
,A2ZINFRA,EQ,        20.10,                  5541696.00,273346
,AARTIDRUGS,EQ,      1045.75,                 53868786.85,51431
,AARTIIND,EQ,       265.05,                 15501407.25,58758
,AARVEEDEN,EQ,        57.50,                 29467995.55,490603
,ABAN,EQ,       471.65,                387159994.40,818682
,ABB,EQ,      1268.15,                 55124469.55,43272
,ABBOTINDIA,EQ,      4055.30,                 18300463.80,4537
,ABCIL,EQ,       216.00,                  3073874.40,14207
,ABGSHIP,EQ,       216.65,                 29442290.80,135450
,ACCELYA,EQ,      1026.15,                 24291608.90,23790
,ACE,EQ,        39.00,                  6104105.10,155943
,ACROPETAL,BE,         3.65,                    96515.70,27016
,ADANIPOWER,EQ,        45.95,                135430390.00,2940294
,ADFFOODS,EQ,        70.70,                  3835522.45,53850
,ADHUNIK,EQ,        21.60,                  2080498.70,95527
,ADORWELD,EQ,       219.80,                   803951.90,3654
,ADSL,EQ,        28.35,                  8812926.00,307764
,ADVANIHOTR,EQ,        57.60,                   145304.05,2531
,ADVANTA,EQ,       354.45,                  5334057.15,14990
,AEGISCHEM,EQ,       430.65,                  8773428.00,20217
,AFL,EQ,        94.05,                   340379.20,3662
,AFTEK,BE,         6.40,                   744263.00,116972
,AGARIND,EQ,       139.45,                  8633987.75,61516
,AGCNET,EQ,        76.90,                   416298.85,5434
,AGRITECH,BE,         6.70,                    13712.50,1985
,AGRODUTCH,EQ,         3.50,                    26880.70,7672
,AHLEAST,EQ,       171.00,                   167983.75,979
,AHLUCONT,EQ,       218.95,                  9944448.10,45042
,AHLWEST,EQ,       125.15,                   127500.15,1035
,AHMEDFORGE,EQ,       340.25,                 54982215.50,160925
,AIAENG,EQ,      1085.00,                165933374.90,152943
,AICHAMP,BE,        17.90,                    38721.65,2180
,AIL,EQ,       684.55,                 43004356.45,62051
,AJANTPHARM,EQ,      2543.45,                 97820389.65,37905
,AJMERA,EQ,       123.90,                 37698483.95,304558
,AKSHOPTFBR,EQ,        15.15,                  1683669.35,110206
,AKZOINDIA,EQ,      1449.05,                 19947092.55,13732
,ALBK,EQ,       130.15,                572785555.50,4382664
,ALCHEM,EQ,        32.00,                    72924.90,2267
,ALEMBICLTD,EQ,        45.60,                 21759166.80,472287
,ALICON,EQ,       325.90,                  1926678.30,5868
,ALKALI,EQ,        30.10,                   463578.55,15283
,ALKYLAMINE,EQ,       383.00,                  2252362.30,5858
,ALLCARGO,EQ,       338.60,                 24870696.85,73462
,ALLSEC,EQ,        27.95,                   633863.80,23874
,ALMONDZ,EQ,        13.70,                    41542.75,3070
,ALOKTEXT,EQ,        10.85,                 79863493.50,7280127
,ALPA,BE,        14.40,                    79850.00,5500
,ALPHAGEO,EQ,       588.80,                  7871509.35,13395
,ALPINEHOU,BE,        19.15,                     3830.00,200
,ALPSINDUS,EQ,         1.70,                     9687.00,5685
,ALSTOMT&D,EQ,       486.00,                 11901400.55,24416
,AMARAJABAT,EQ,       847.80,                228304579.50,268236
,AMARJOTHI,EQ,        78.70,                       78.70,1
,AMBIKCO,EQ,       519.85,                   835192.90,1622
,AMDIND,EQ,        23.05,                    86887.90,3768
,AMLSTEEL,BE,         6.35,                     1269.60,200
,AMRUTANJAN,BE,       423.15,                  5532813.20,13008
,AMTEKAUTO,EQ,       179.35,                213814931.35,1195648
,AMTEKINDIA,EQ,        69.00,                 53183511.80,768376
,AMTL,EQ,        16.35,                   122219.50,7355
,ANANTRAJ,EQ,        45.75,                192619642.85,4276306
,ANDHRABANK,EQ,        94.40,                400815641.35,4234407
,ANDHRACEMT,EQ,        11.45,                   927913.05,80232
,ANDHRSUGAR,EQ,       119.10,                   984443.85,8238
,ANGIND,EQ,        46.10,                  3304619.90,70964
,ANIKINDS,BE,        26.90,                    58231.15,2175
,ANKITMETAL,EQ,         3.75,                   171050.95,45094
,ANSALAPI,EQ,        27.05,                 17921204.05,660974
,ANSALHSG,EQ,        32.60,                  8832484.00,266413
,ANTGRAPHIC,BE,          .15,                      465.00,3100
,APARINDS,EQ,       382.75,                  9685631.45,25136
,APCOTEXIND,EQ,       549.40,                  4061243.35,7399
,APLAPOLLO,EQ,       365.50,                 24847926.15,68074
