,05-Feb-2015
The Nifty witnessed an intraday movement of about 154.8 points.The closing index was 0.14 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 19617.55
, Traded Quantity (in Lakhs), 9352.61
, Number of Trades, 8053827
, Total Market Capitalisation (Rs. Crores), 10011244.55

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8723.70,      8733.10,      8838.45,      8683.65,      8711.70,-12
,CNX IT,     11938.90,     11967.75,     12295.35,     11963.80,     12165.15,226.25
,CNX Nifty Junior,     19414.35,     19423.05,     19495.90,     19133.20,     19196.15,-218.2
,BANK Nifty,     19174.00,     19170.15,     19444.65,     18977.90,     19051.90,-122.1
,CNX Midcap,     13055.85,     13061.35,     13112.50,     12825.50,     12863.45,-192.4
,CNX 500,      7108.75,      7116.80,      7176.70,      7056.40,      7076.65,-32.1
,CNX 100,      8713.95,      8722.45,      8812.85,      8661.80,      8688.45,-25.5
,Nifty Midcap 50,      3452.10,      3450.45,      3460.35,      3363.00,      3375.75,-76.35
,CNX Realty,       237.55,       236.95,       238.90,       229.75,       231.20,-6.35
,CNX Infra,      3251.15,      3257.85,      3261.40,      3172.60,      3190.55,-60.6
,CNX Energy,      9050.20,      9077.40,      9077.40,      8877.00,      8910.85,-139.35
,CNX FMCG,     20991.45,     20976.80,     21248.00,     20909.25,     21093.95,102.5
,CNX MNC,      9662.50,      9694.00,      9706.35,      9587.75,      9608.15,-54.35
,CNX Pharma,     11625.70,     11595.60,     11616.80,     11493.75,     11522.10,-103.6
,CNX PSE,      3654.10,      3657.20,      3663.50,      3589.20,      3602.30,-51.8
,CNX PSU Bank,      3864.45,      3872.95,      3901.45,      3766.70,      3784.65,-79.8
,CNX Service,     11113.75,     11127.40,     11342.05,     11087.55,     11130.70,16.95
,India VIX,20.0500,20.0500,20.8900,18.2600,20.6150,0.5650
,CNX AUTO,      8812.50,      8818.45,      8890.75,      8725.90,      8749.65,-62.85
,CNX Metal,      2574.45,      2575.75,      2583.05,      2517.10,      2525.10,-49.35
,CNX Media,      2316.50,      2316.40,      2335.75,      2286.30,      2295.00,-21.5
,CNX Smallcap,      5547.25,      5563.40,      5575.30,      5434.90,      5453.55,-93.7
,CNX 200,      4500.95,      4506.05,      4547.35,      4468.70,      4482.25,-18.7
,CNX Dividend Oppt,      2149.90,      2151.05,      2161.05,      2124.60,      2131.10,-18.8
,CNX Commodities,      2805.60,      2806.35,      2806.35,      2754.95,      2763.10,-42.5
,CNX Consumption,      3448.85,      3454.25,      3456.65,      3409.95,      3419.70,-29.15
,CNX Finance,      7747.75,      7752.50,      7910.75,      7690.90,      7729.00,-18.75
,Nifty Dividend,       100.72,       100.72,       100.72,       100.72,       100.72,0
,LIX 15,      3992.75,      3997.85,      4037.05,      3955.55,      3970.30,-22.45
,CPSE Index,      2519.55,      2520.85,      2522.45,      2475.30,      2481.80,-37.75
,NI15,      5051.00,      5056.95,      5120.80,      5052.80,      5083.90,32.9
,NIFTY PR 2X LEV,      4043.65,      4051.45,      4148.55,      4006.35,      4031.65,-12
,NIFTY PR 1X INV,       429.95,       429.60,       432.00,       424.45,       430.65,.7
,NIFTY TR 2X LEV,      4628.40,      4637.35,      4748.45,      4585.70,      4614.70,-13.7
,NIFTY TR 1X INV,       401.75,       401.40,       403.65,       396.60,       402.40,.65

,ADVANCES,448
,DECLINES,1058
,UNCHANGED,61

,Total securities that have hit their price bands today,123

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,      2142.85,      2193.80,2.38,650.09
,ICICIBANK,EQ,       344.65,       335.60,-2.63,580.5
,TCS,EQ,      2514.30,      2552.40,1.52,579.44
,SBIN,EQ,       293.05,       290.80,-0.77,462.48
,HDFC,EQ,      1232.45,      1246.45,1.14,421.7
,HCLTECH,EQ,      1900.35,      1972.65,3.8,413.59
,TATAMOTORS,EQ,       591.40,       589.20,-0.37,402.09
,AXISBANK,EQ,       558.60,       565.90,1.31,391.85
,AUROPHARMA,EQ,      1209.80,      1150.85,-4.87,386.78
,WOCKPHARMA,EQ,      1284.80,      1237.75,-3.66,377.33
,COALINDIA,EQ,       366.05,       369.90,1.05,348.59
,YESBANK,EQ,       802.35,       807.85,0.69,311.43
,JUBLFOOD,EQ,      1347.20,      1431.95,6.29,305.14
,M&M,EQ,      1210.95,      1179.70,-2.58,287.73
,BHARTIARTL,EQ,       368.95,       364.70,-1.15,272.41
,RELIANCE,EQ,       928.80,       923.70,-0.55,262.9
,BPCL,EQ,       721.00,       750.00,4.02,234.73
,ITC,EQ,       367.60,       368.90,0.35,232.8
,LT,EQ,      1688.40,      1682.40,-0.36,227.37
,HDFCBANK,EQ,      1067.70,      1076.50,0.82,218.09
,HDIL,EQ,       108.95,       105.70,-2.98,211.47
,SUNPHARMA,EQ,       958.95,       959.55,0.06,177.37
,LICHSGFIN,EQ,       455.65,       459.95,0.94,156.15
,HINDUNILVR,EQ,       899.90,       909.05,1.02,155.76
,ADANIENT,EQ,       648.30,       622.85,-3.93,151.28

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BPCL,EQ,       750.00,       721.00,4.02
,HCLTECH,EQ,      1972.65,      1900.35,3.8
,WIPRO,EQ,       638.25,       619.20,3.08
,INFY,EQ,      2193.80,      2142.85,2.38
,TCS,EQ,      2552.40,      2514.30,1.52

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATAPOWER,EQ,        83.30,        90.10,-7.55
,JINDALSTEL,EQ,       146.30,       153.80,-4.88
,SSLT,EQ,       207.80,       216.60,-4.06
,BANKBARODA,EQ,       177.55,       184.90,-3.98
,ONGC,EQ,       356.65,       368.55,-3.23

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        38.50,                  1264035.25,32503
,3IINFOTECH,EQ,         8.70,                  4941050.15,561695
,3MINDIA,EQ,      6785.10,                  6158338.45,906
,3RDROCK,IT,       168.00,                  9802077.00,60347
,8KMILES,EQ,       680.95,                 30237815.70,43465
,A2ZINFRA,EQ,        15.75,                  1826499.15,115020
,AARTIDRUGS,EQ,      1228.50,                 14219616.95,11410
,AARTIIND,EQ,       293.80,                 10616128.85,35494
,AARVEEDEN,EQ,        49.25,                    60995.75,1214
,ABAN,EQ,       479.25,                356214703.40,738756
,ABB,EQ,      1265.45,                304917186.25,241019
,ABBOTINDIA,EQ,      3965.40,                  5402614.20,1354
,ABCIL,EQ,       229.85,                  4086123.20,17624
,ABGSHIP,EQ,       199.65,                  9638193.30,47904
,ACCELYA,EQ,       941.85,                 11788994.90,12472
,ACE,EQ,        39.65,                 13090452.70,318185
,ACROPETAL,BE,         3.80,                    87203.80,22726
,ADANIPOWER,EQ,        47.45,                202736991.35,4151083
,ADFFOODS,EQ,        67.10,                  2009183.65,29414
,ADHUNIK,EQ,        20.70,                   557537.05,26742
,ADORWELD,EQ,       200.35,                  1493881.00,7202
,ADSL,EQ,        29.55,                  2734820.10,91286
,ADVANIHOTR,EQ,        56.30,                  1051457.90,18817
,ADVANTA,EQ,       341.30,                 18175817.20,52430
,AEGISCHEM,EQ,       441.95,                  5828406.50,13106
,AFL,EQ,        89.45,                   125747.90,1415
,AFTEK,BE,         6.05,                   226638.50,36415
,AGARIND,EQ,       128.25,                  2948090.30,22868
,AGCNET,EQ,        91.00,                   494904.35,5300
,AGRITECH,BE,         6.10,                    10000.40,1600
,AGRODUTCH,EQ,         3.15,                    47252.80,14416
,AHLEAST,EQ,       175.30,                    53950.00,307
,AHLUCONT,EQ,       230.35,                 15808947.55,68071
,AHLWEST,EQ,       114.75,                    43802.10,379
,AHMEDFORGE,EQ,       314.15,                 33572416.75,104894
,AIAENG,EQ,      1091.50,                 97467538.50,87753
,AICHAMP,BE,        16.55,                      331.00,20
,AIL,EQ,       678.45,                 18190638.45,26444
,AJANTPHARM,EQ,      2436.30,                 50723011.90,20601
,AJMERA,EQ,       103.70,                  9023654.70,82994
,AKSHOPTFBR,EQ,        15.45,                  1695934.30,107826
,AKZOINDIA,EQ,      1484.05,                 34405118.65,23198
,ALBK,EQ,       107.25,               1238812163.55,11328774
,ALCHEM,EQ,        32.60,                   118993.40,3614
,ALEMBICLTD,EQ,        41.75,                 19002052.75,442168
,ALICON,EQ,       307.95,                  1313498.70,4213
,ALKALI,EQ,        41.80,                  1145677.90,27134
,ALKYLAMINE,EQ,       330.00,                  5694928.90,17292
,ALLCARGO,EQ,       323.40,                  5462725.40,16682
,ALLSEC,EQ,        24.75,                   176875.05,7180
,ALMONDZ,EQ,        14.70,                   327503.65,21497
,ALOKTEXT,EQ,         9.85,                 58715705.10,5901868
,ALPA,BE,        12.30,                    32871.00,2652
,ALPHAGEO,EQ,       499.20,                  5681275.60,11015
,ALPSINDUS,EQ,         2.60,                   266510.00,106350
,ALSTOMT&D,EQ,       492.05,                 15371967.70,31575
,AMARAJABAT,EQ,       910.70,                 85759065.75,93309
,AMBIKCO,EQ,       523.55,                  5110007.25,9797
,AMDIND,EQ,        27.60,                  2395067.10,84732
,AMRUTANJAN,BE,       430.15,                  8140233.60,18701
,AMTEKAUTO,EQ,       166.75,                121450625.15,710001
,AMTEKINDIA,EQ,        65.30,                 42965732.40,649960
,AMTL,EQ,        15.65,                    19269.80,1221
,ANANTRAJ,EQ,        48.55,                 77375248.65,1537064
,ANDHRABANK,EQ,        86.60,                302344862.85,3391635
,ANDHRACEMT,EQ,        10.30,                   276012.20,26379
,ANDHRSUGAR,EQ,       106.75,                  1067540.35,9946
,ANGIND,EQ,        45.55,                  1893737.10,41089
,ANIKINDS,BE,        29.00,                    83069.00,2814
,ANKITMETAL,EQ,         3.90,                   684983.65,193979
,ANSALAPI,EQ,        26.70,                  4712439.25,172468
,ANSALHSG,EQ,        32.65,                  1147380.15,34715
,ANTGRAPHIC,BE,          .15,                    11485.40,58702
,APARINDS,EQ,       356.00,                 56971068.90,156309
,APCOTEXIND,EQ,       541.00,                 12953662.15,23714
,APLAPOLLO,EQ,       361.85,                   598732.00,1639
,APLLTD,EQ,       434.85,                135359214.10,311516
,APOLLOTYRE,EQ,       226.85,                336014053.60,1462081
,APTECHT,EQ,        69.50,                  9364244.90,132908
