,16-Feb-2015
The Nifty witnessed an intraday movement of about 76.7 points.The closing index was 0.04 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 17228.83
, Traded Quantity (in Lakhs), 10589.2
, Number of Trades, 7338131
, Total Market Capitalisation (Rs. Crores), 10138212.62

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8805.50,      8831.40,      8870.10,      8793.40,      8809.35,3.85
,CNX IT,     12464.95,     12461.75,     12541.05,     12457.65,     12487.20,22.25
,CNX Nifty Junior,     19661.30,     19736.95,     19792.20,     19505.50,     19559.50,-101.8
,BANK Nifty,     19369.70,     19518.85,     19532.70,     19127.15,     19189.95,-179.75
,CNX Midcap,     13100.80,     13172.20,     13212.85,     13048.30,     13078.40,-22.4
,CNX 500,      7176.20,      7200.60,      7227.05,      7162.00,      7175.00,-1.2
,CNX 100,      8800.20,      8827.30,      8863.00,      8780.35,      8796.35,-3.85
,Nifty Midcap 50,      3435.90,      3448.00,      3455.30,      3399.90,      3409.70,-26.2
,CNX Realty,       226.45,       229.55,       232.30,       228.55,       229.20,2.75
,CNX Infra,      3192.55,      3193.40,      3215.40,      3183.05,      3192.80,.25
,CNX Energy,      8832.10,      8837.10,      8925.95,      8776.45,      8790.00,-42.1
,CNX FMCG,     21616.45,     21606.70,     22067.85,     21606.70,     22009.00,392.55
,CNX MNC,      9873.85,      9876.85,     10017.20,      9876.85,      9920.30,46.45
,CNX Pharma,     11789.90,     11745.75,     11818.05,     11663.75,     11680.25,-109.65
,CNX PSE,      3565.95,      3565.80,      3603.75,      3565.80,      3579.15,13.2
,CNX PSU Bank,      3901.55,      3938.80,      3961.10,      3869.80,      3892.55,-9
,CNX Service,     11339.30,     11391.00,     11427.85,     11301.60,     11325.90,-13.4
,India VIX,20.1025,20.1025,21.1175,17.4750,20.8250,0.7225
,CNX AUTO,      8759.00,      8797.95,      8880.95,      8760.40,      8792.55,33.55
,CNX Metal,      2555.35,      2571.95,      2585.50,      2548.45,      2555.20,-.15
,CNX Media,      2338.90,      2350.25,      2350.55,      2318.00,      2322.05,-16.85
,CNX Smallcap,      5550.00,      5581.85,      5600.10,      5562.85,      5574.45,24.45
,CNX 200,      4544.20,      4559.95,      4577.70,      4534.30,      4542.65,-1.55
,CNX Dividend Oppt,      2136.35,      2139.35,      2154.75,      2136.05,      2139.85,3.5
,CNX Commodities,      2783.75,      2792.25,      2812.15,      2769.10,      2775.10,-8.65
,CNX Consumption,      3458.10,      3463.65,      3489.40,      3462.20,      3470.40,12.3
,CNX Finance,      7874.25,      7942.80,      7948.65,      7822.15,      7845.75,-28.5
,Nifty Dividend,       100.72,       100.86,       100.86,       100.86,       100.86,.14
,LIX 15,      4007.85,      4032.50,      4049.45,      3988.05,      3998.95,-8.9
,CPSE Index,      2434.00,      2436.25,      2464.95,      2436.25,      2450.65,16.65
,NI15,      5168.35,      5163.85,      5209.85,      5157.25,      5190.15,21.8
,NIFTY PR 2X LEV,      4100.75,      4123.75,      4159.05,      4088.60,      4103.20,2.45
,NIFTY PR 1X INV,       427.40,       426.25,       428.10,       424.45,       427.35,-.05
,NIFTY TR 2X LEV,      4693.80,      4720.20,      4760.65,      4680.00,      4696.70,2.9
,NIFTY TR 1X INV,       399.40,       398.30,       400.00,       396.60,       399.30,-.1

,ADVANCES,649
,DECLINES,864
,UNCHANGED,61

,Total securities that have hit their price bands today,125

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,       306.95,       306.70,-0.08,661.33
,SUZLON,EQ,        19.20,        23.00,19.79,517.65
,TATAELXSI,EQ,       869.70,      1012.15,16.38,363.66
,INFY,EQ,      2296.10,      2278.75,-0.76,356.38
,ICICIBANK,EQ,       343.85,       338.05,-1.69,343.5
,TATAMOTORS,EQ,       565.55,       574.15,1.52,329.83
,WOCKPHARMA,EQ,      1520.25,      1533.50,0.87,312.91
,TCS,EQ,      2538.75,      2584.80,1.81,304.65
,ITC,EQ,       378.05,       389.60,3.06,298.7
,HDFC,EQ,      1268.65,      1288.00,1.53,284.68
,SUNPHARMA,EQ,       940.55,       914.75,-2.74,263.2
,M&M,EQ,      1192.55,      1210.45,1.5,260.18
,RELIANCE,EQ,       917.50,       902.80,-1.6,255.4
,MCX,EQ,       859.90,       943.95,9.77,251.6
,HDIL,EQ,       110.10,       117.75,6.95,247.31
,AXISBANK,EQ,       581.10,       570.30,-1.86,246.17
,BAJAJ-AUTO,EQ,      2260.80,      2261.85,0.05,240.52
,UNITECH,EQ,        16.70,        18.50,10.78,229.05
,CEATLTD,EQ,       718.65,       816.70,13.64,219.49
,PIPAVAVDOC,EQ,        65.35,        69.20,5.89,219.21
,YESBANK,EQ,       835.05,       815.65,-2.32,208.65
,CESC,EQ,       696.25,       610.85,-12.27,201.95
,HDFCBANK,EQ,      1065.80,      1067.55,0.16,198.69
,LT,EQ,      1662.15,      1648.45,-0.82,184.88
,HINDPETRO,EQ,       626.00,       597.10,-4.62,170.01

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ITC,EQ,       389.60,       378.05,3.06
,NMDC,EQ,       146.00,       142.35,2.56
,TCS,EQ,      2584.80,      2538.75,1.81
,BHARTIARTL,EQ,       361.35,       355.00,1.79
,HINDUNILVR,EQ,       907.00,       892.80,1.59

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SUNPHARMA,EQ,       914.75,       940.55,-2.74
,AXISBANK,EQ,       570.30,       581.10,-1.86
,HINDALCO,EQ,       150.95,       153.55,-1.69
,ICICIBANK,EQ,       338.05,       343.85,-1.69
,HEROMOTOCO,EQ,      2805.00,      2852.90,-1.68

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        37.50,                  2459216.50,66317
,3IINFOTECH,EQ,         7.75,                  7405467.25,943654
,3MINDIA,EQ,      7191.40,                  4080525.65,570
,3RDROCK,IT,       172.00,                 13209096.20,77589
,8KMILES,EQ,       727.55,                105116553.70,146047
,A2ZINFRA,EQ,        14.00,                  4260307.60,300726
,AARTIDRUGS,EQ,      1333.65,                 25618416.70,19358
,AARTIIND,EQ,       283.80,                 12799623.65,44606
,AARVEEDEN,EQ,        48.05,                   534649.70,10991
,ABAN,EQ,       482.65,                330095869.35,681597
,ABB,EQ,      1441.75,                341407991.65,238899
,ABBOTINDIA,EQ,      3987.65,                 16563289.20,4131
,ABCIL,EQ,       230.25,                 56209403.85,243391
,ABGSHIP,EQ,       195.15,                 13855191.95,70513
,ACCELYA,EQ,       919.80,                 10409698.70,11357
,ACE,EQ,        37.65,                  6281236.45,166273
,ACROPETAL,BE,         3.10,                   302170.20,97256
,ADANIPOWER,EQ,        50.50,                256249144.85,5007533
,ADFFOODS,EQ,        65.95,                  4985305.65,76128
,ADHUNIK,EQ,        19.65,                   525945.60,26512
,ADORWELD,EQ,       206.50,                   122784.95,594
,ADSL,EQ,        22.80,                 11179853.00,489341
,ADVANIHOTR,EQ,        56.05,                   279010.60,4851
,ADVANTA,EQ,       364.95,                 16712028.75,45292
,AEGISCHEM,EQ,       434.60,                  4097547.50,9384
,AFL,EQ,        74.70,                  7911986.30,105008
,AFTEK,BE,         6.00,                  1155675.30,192045
,AGARIND,EQ,       126.15,                  2164250.10,17000
,AGCNET,EQ,       104.25,                  2018331.35,19309
,AGRITECH,BE,         6.05,                     2964.85,501
,AGRODUTCH,EQ,         3.00,                    22202.35,7347
,AHLEAST,EQ,       177.00,                    40640.30,229
,AHLUCONT,EQ,       235.00,                 11878292.95,49980
,AHLWEST,EQ,       120.00,                    16920.00,141
,AHMEDFORGE,EQ,       293.35,                 32894520.85,110290
,AIAENG,EQ,      1033.10,                 74969495.80,72142
,AICHAMP,BE,        16.00,                    15750.00,1000
,AIL,EQ,       729.60,                 34597489.50,47057
,AJANTPHARM,EQ,      2782.75,                319902716.45,115762
,AJMERA,EQ,       107.65,                  6758630.60,62724
,AKSHOPTFBR,EQ,        15.70,                 10540709.30,656868
,AKZOINDIA,EQ,      1491.20,                 31038951.45,20801
,ALBK,EQ,       111.35,                227688863.80,2027941
,ALCHEM,EQ,        33.05,                   202086.70,5932
,ALEMBICLTD,EQ,        41.20,                  9055617.35,217576
,ALICON,EQ,       294.30,                  1162337.60,3904
,ALKALI,EQ,        40.55,                  1315684.25,32533
,ALKYLAMINE,EQ,       317.25,                  1158544.60,3633
,ALLCARGO,EQ,       339.00,                 78440225.50,226582
,ALLSEC,EQ,        24.45,                    14799.00,605
,ALMONDZ,EQ,        10.10,                  2847399.95,285362
,ALOKTEXT,EQ,         9.25,                 37802009.65,4058826
,ALPA,BE,        12.75,                    14267.25,1119
,ALPHAGEO,EQ,       481.50,                  4937308.80,10173
,ALPSINDUS,EQ,         2.00,                   126973.00,60499
,ALSTOMT&D,EQ,       538.60,                 33373066.50,62342
,AMARAJABAT,EQ,       881.25,                145850301.65,163492
,AMBIKCO,EQ,       527.65,                  1784513.60,3477
,AMDIND,EQ,        21.50,                    81817.90,3746
,AMRUTANJAN,BE,       420.95,                  3311239.90,7801
,AMTEKAUTO,EQ,       163.95,                165386341.20,998166
,AMTEKINDIA,EQ,        65.75,                 10880909.05,164750
,AMTL,EQ,        14.50,                   159485.20,10932
,ANANTRAJ,EQ,        48.10,                 59489655.35,1230144
,ANDHRABANK,EQ,        87.25,                193316345.80,2201901
,ANDHRACEMT,EQ,         9.70,                   286016.90,29536
,ANDHRSUGAR,EQ,       105.15,                  1553935.70,14734
,ANGIND,EQ,        41.70,                   719438.40,17036
,ANIKINDS,BE,        28.00,                   104376.50,3753
,ANKITMETAL,EQ,         3.65,                    82254.45,22447
,ANSALAPI,EQ,        29.35,                  5112376.10,172300
,ANSALHSG,EQ,        30.15,                   974596.85,31933
,ANTGRAPHIC,BE,          .15,                      316.95,2113
,APARINDS,EQ,       342.25,                  5477329.70,15986
,APCOTEXIND,EQ,       468.30,                  2556398.45,5467
,APLAPOLLO,EQ,       351.85,                   415513.65,1180
,APLLTD,EQ,       427.40,                 58488341.45,138248
,APOLLOTYRE,EQ,       186.95,               1293894020.70,6955835
,APOLSINHOT,BE,       139.10,                    17057.50,125
