,18-Feb-2015
The Nifty witnessed an intraday movement of about 85.4 points.The closing index was 0.68 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 22230.6
, Traded Quantity (in Lakhs), 12378.17
, Number of Trades, 7722767
, Total Market Capitalisation (Rs. Crores), 10204485.6

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8809.35,      8811.55,      8894.30,      8808.90,      8869.10,59.75
,CNX IT,     12487.20,     12511.05,     12647.70,     12442.70,     12632.75,145.55
,CNX Nifty Junior,     19559.50,     19613.95,     19684.30,     19566.85,     19667.60,108.1
,BANK Nifty,     19189.95,     19226.40,     19389.80,     19171.90,     19296.50,106.55
,CNX Midcap,     13078.40,     13103.85,     13185.45,     13080.05,     13174.30,95.9
,CNX 500,      7175.00,      7182.20,      7242.45,      7182.20,      7228.55,53.55
,CNX 100,      8796.35,      8802.00,      8875.15,      8802.00,      8854.30,57.95
,Nifty Midcap 50,      3409.70,      3417.40,      3432.85,      3404.15,      3428.50,18.8
,CNX Realty,       229.20,       231.50,       232.60,       227.45,       228.10,-1.1
,CNX Infra,      3192.80,      3201.45,      3219.10,      3197.15,      3210.85,18.05
,CNX Energy,      8790.00,      8787.50,      8866.60,      8761.80,      8806.50,16.5
,CNX FMCG,     22009.00,     21846.45,     22460.20,     21846.45,     22195.75,186.75
,CNX MNC,      9920.30,      9918.50,     10021.85,      9918.50,      9992.00,71.7
,CNX Pharma,     11680.25,     11719.20,     11763.45,     11672.85,     11741.25,61
,CNX PSE,      3579.15,      3580.00,      3598.50,      3569.80,      3575.10,-4.05
,CNX PSU Bank,      3892.55,      3900.90,      3908.80,      3857.80,      3887.00,-5.55
,CNX Service,     11325.90,     11353.40,     11475.75,     11323.85,     11438.15,112.25
,India VIX,20.8250,20.8250,21.6475,18.6525,20.9125,0.0875
,CNX AUTO,      8792.55,      8783.90,      8899.50,      8735.50,      8884.85,92.3
,CNX Metal,      2555.20,      2554.60,      2565.80,      2532.35,      2537.50,-17.7
,CNX Media,      2322.05,      2322.40,      2329.65,      2297.10,      2322.95,.9
,CNX Smallcap,      5574.45,      5602.35,      5674.15,      5602.35,      5661.55,87.1
,CNX 200,      4542.65,      4546.55,      4585.70,      4546.55,      4575.90,33.25
,CNX Dividend Oppt,      2139.85,      2134.35,      2144.65,      2131.90,      2133.35,-6.5
,CNX Commodities,      2775.10,      2775.30,      2786.00,      2769.60,      2776.45,1.35
,CNX Consumption,      3470.40,      3467.25,      3478.95,      3460.00,      3464.45,-5.95
,CNX Finance,      7845.75,      7866.45,      7964.55,      7857.30,      7928.90,83.15
,Nifty Dividend,       100.86,       101.85,       101.85,       101.85,       101.85,.99
,LIX 15,      3998.95,      3999.55,      4022.65,      3973.45,      4010.65,11.7
,CPSE Index,      2450.65,      2455.95,      2468.95,      2444.10,      2448.80,-1.85
,NI15,      5190.15,      5181.45,      5230.35,      5181.45,      5222.85,32.7
,NIFTY PR 2X LEV,      4103.20,      4103.45,      4180.15,      4103.45,      4157.10,53.9
,NIFTY PR 1X INV,       427.35,       427.40,       427.40,       423.45,       424.65,-2.7
,NIFTY TR 2X LEV,      4696.70,      4697.80,      4785.60,      4697.80,      4759.20,62.5
,NIFTY TR 1X INV,       399.30,       399.35,       399.35,       395.60,       396.75,-2.55

,ADVANCES,905
,DECLINES,590
,UNCHANGED,70

,Total securities that have hit their price bands today,124

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,HEROMOTOCO,EQ,      2805.00,      2663.75,-5.04,2832.48
,SUZLON,EQ,        23.00,        26.75,16.3,727.41
,HDFC,EQ,      1288.00,      1328.60,3.15,500.3
,INFY,EQ,      2278.75,      2296.50,0.78,491.49
,BEL,EQ,      3660.45,      3993.45,9.1,438.49
,SBIN,EQ,       306.70,       305.70,-0.33,411.71
,ITC,EQ,       389.60,       393.25,0.94,361.18
,TCS,EQ,      2584.80,      2635.65,1.97,346.47
,IDEA,EQ,       158.05,       159.45,0.89,336.3
,TECHM,EQ,      2899.55,      2892.25,-0.25,335.93
,TATAMOTORS,EQ,       574.15,       584.30,1.77,334.82
,PIPAVAVDOC,EQ,        69.20,        77.75,12.36,321.19
,HCLTECH,EQ,      1984.85,      2033.15,2.43,318.82
,MCDOWELL-N,EQ,      3323.60,      3355.85,0.97,292.91
,ICICIBANK,EQ,       338.05,       342.40,1.29,274.85
,MCX,EQ,       943.95,      1000.90,6.03,270.2
,BOSCHLTD,EQ,     25604.10,     27117.70,5.91,268.88
,AXISBANK,EQ,       570.30,       569.50,-0.14,267.53
,LT,EQ,      1648.45,      1663.35,0.9,243.14
,M&M,EQ,      1210.45,      1228.20,1.47,222.04
,BEML,EQ,       955.90,       990.85,3.66,212.89
,COALINDIA,EQ,       377.05,       380.35,0.88,209.89
,YESBANK,EQ,       815.65,       819.65,0.49,206.69
,WOCKPHARMA,EQ,      1533.50,      1511.45,-1.44,203.57
,RELIANCE,EQ,       902.80,       901.65,-0.13,202.62

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HDFC,EQ,      1328.60,      1288.00,3.15
,TATAPOWER,EQ,        86.25,        84.10,2.56
,HCLTECH,EQ,      2033.15,      1984.85,2.43
,ACC,EQ,      1653.30,      1614.45,2.41
,JINDALSTEL,EQ,       155.35,       152.15,2.1

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HEROMOTOCO,EQ,      2663.75,      2805.00,-5.04
,NMDC,EQ,       139.65,       146.00,-4.35
,DLF,EQ,       149.95,       155.50,-3.57
,SSLT,EQ,       205.20,       211.55,-3
,BHARTIARTL,EQ,       352.00,       361.35,-2.59

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        36.55,                  1790468.50,48472
,3IINFOTECH,EQ,         7.80,                 20337463.50,2580620
,3MINDIA,EQ,      7809.75,                 29128725.65,3800
,3RDROCK,IT,       172.70,                  4466540.10,25863
,8KMILES,EQ,       725.55,                 44843205.75,61939
,A2ZINFRA,EQ,        14.35,                  6728089.65,464717
,AARTIDRUGS,EQ,      1365.05,                 31125084.60,22871
,AARTIIND,EQ,       275.70,                 19809421.00,71391
,AARVEEDEN,EQ,        49.25,                    67247.55,1372
,ABAN,EQ,       480.10,                288561895.40,599245
,ABB,EQ,      1455.65,                234369836.20,161454
,ABBOTINDIA,EQ,      3983.35,                  6142011.10,1537
,ABCIL,EQ,       230.15,                 11112464.45,48429
,ABGSHIP,EQ,       200.75,                 38803245.50,194073
,ACCELYA,EQ,       960.35,                 13425976.40,14202
,ACE,EQ,        37.70,                  5985555.80,157818
,ACROPETAL,BE,         3.15,                    50928.05,16163
,ADANIPOWER,EQ,        51.45,                197026989.90,3827277
,ADFFOODS,EQ,        66.05,                  3124760.25,46883
,ADHUNIK,EQ,        19.65,                  1214793.10,62029
,ADORWELD,EQ,       205.00,                  5160653.50,25168
,ADSL,EQ,        23.95,                  2737004.65,114230
,ADVANIHOTR,EQ,        54.90,                   145388.30,2674
,ADVANTA,EQ,       370.00,                 14771141.15,40057
,AEGISCHEM,EQ,       429.10,                  8445612.80,19453
,AFL,EQ,        75.55,                  8527966.90,113485
,AFTEK,BE,         5.80,                   247276.70,42853
,AGARIND,EQ,       125.60,                  1551296.70,12273
,AGCNET,EQ,       106.65,                  1897848.85,18098
,AGRITECH,BE,         6.20,                     2580.95,430
,AGRODUTCH,EQ,         3.15,                    95895.50,30520
,AHLEAST,EQ,       172.50,                   119233.35,688
,AHLUCONT,EQ,       234.10,                 11138268.15,47484
,AHLWEST,EQ,       123.50,                   265414.95,2148
,AHMEDFORGE,EQ,       286.25,                 38183255.45,131958
,AIAENG,EQ,      1052.65,                121112409.25,115803
,AICHAMP,BE,        16.80,                       48.05,3
,AIL,EQ,       740.00,                 55746959.15,75173
,AJANTPHARM,EQ,      2810.60,                123212754.60,43697
,AJMERA,EQ,       116.45,                 53457388.50,446488
,AKSHOPTFBR,EQ,        16.50,                 41255454.05,2514186
,AKZOINDIA,EQ,      1502.40,                 16846765.85,11205
,ALBK,EQ,       111.00,                160824838.75,1445564
,ALCHEM,EQ,        32.80,                   168622.15,5133
,ALEMBICLTD,EQ,        42.30,                 19617853.25,465260
,ALICON,EQ,       298.00,                   385742.50,1297
,ALKALI,EQ,        39.50,                   626592.05,15526
,ALKYLAMINE,EQ,       320.10,                  3085771.10,9811
,ALLCARGO,EQ,       339.85,                120521069.55,350780
,ALLSEC,EQ,        25.10,                   201573.05,8222
,ALMONDZ,EQ,        10.40,                  1118969.90,104892
,ALOKTEXT,EQ,         9.35,                 62958767.65,6686721
,ALPA,BE,        13.35,                   212568.85,16152
,ALPHAGEO,EQ,       529.55,                 13121898.40,25116
,ALPSINDUS,EQ,         2.05,                   137390.00,65900
,ALSTOMT&D,EQ,       538.00,                 19707369.45,36596
,AMARAJABAT,EQ,       880.40,                326510583.30,375142
,AMBIKCO,EQ,       535.95,                  1856990.60,3460
,AMDIND,EQ,        22.00,                   171777.80,7864
,AMRUTANJAN,BE,       441.95,                  4474002.40,10262
,AMTEKAUTO,EQ,       164.75,                109053532.15,662046
,AMTEKINDIA,EQ,        64.90,                 12252735.20,187485
,AMTL,EQ,        14.65,                   180992.15,11935
,ANANTRAJ,EQ,        48.95,                 44504266.35,904343
,ANDHRABANK,EQ,        87.00,                135336298.20,1551279
,ANDHRACEMT,EQ,         9.75,                   311330.45,32267
,ANDHRSUGAR,EQ,       108.20,                  1504212.90,13893
,ANGIND,EQ,        40.60,                   612064.40,14977
,ANIKINDS,BE,        28.00,                    30891.00,1110
,ANKITMETAL,EQ,         3.90,                   353794.20,89812
,ANSALAPI,EQ,        29.85,                  6180137.65,206735
,ANSALHSG,EQ,        31.10,                  1043643.10,33905
,ANTGRAPHIC,BE,          .15,                     2451.50,16310
,APARINDS,EQ,       345.05,                  6674588.10,19479
,APCOTEXIND,EQ,       464.85,                  2097281.55,4521
,APLAPOLLO,EQ,       347.70,                   625870.95,1772
,APLLTD,EQ,       434.45,                 53223359.50,123392
,APOLLOTYRE,EQ,       185.90,                574126331.85,3068049
