,23-Feb-2015
The Nifty witnessed an intraday movement of about 132.9 points.The closing index was 0.89 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 17307.94
, Traded Quantity (in Lakhs), 9340.9
, Number of Trades, 7345029
, Total Market Capitalisation (Rs. Crores), 10114880.83

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8833.60,      8856.85,      8869.00,      8736.10,      8754.95,-78.65
,CNX IT,     12571.95,     12607.35,     12709.90,     12475.90,     12531.30,-40.65
,CNX Nifty Junior,     19696.40,     19826.75,     19836.50,     19493.60,     19541.45,-154.95
,BANK Nifty,     19073.55,     19199.15,     19219.75,     18835.35,     18913.40,-160.15
,CNX Midcap,     13200.40,     13244.35,     13253.15,     13038.20,     13070.95,-129.45
,CNX 500,      7209.40,      7233.35,      7237.15,      7134.50,      7147.55,-61.85
,CNX 100,      8826.35,      8855.05,      8862.65,      8732.30,      8749.15,-77.2
,Nifty Midcap 50,      3450.30,      3460.20,      3461.40,      3389.45,      3401.20,-49.1
,CNX Realty,       231.95,       232.60,       232.75,       226.95,       228.10,-3.85
,CNX Infra,      3220.45,      3232.30,      3253.85,      3210.40,      3218.85,-1.6
,CNX Energy,      8669.80,      8659.70,      8695.60,      8527.40,      8551.45,-118.35
,CNX FMCG,     22149.95,     22150.85,     22294.95,     21870.15,     21902.95,-247
,CNX MNC,      9946.35,      9977.45,     10003.55,      9883.30,      9902.55,-43.8
,CNX Pharma,     11746.50,     11749.10,     11797.65,     11609.85,     11640.80,-105.7
,CNX PSE,      3604.85,      3617.40,      3621.15,      3574.75,      3584.35,-20.5
,CNX PSU Bank,      3875.05,      3890.25,      3894.00,      3783.90,      3806.15,-68.9
,CNX Service,     11347.55,     11390.85,     11400.65,     11227.75,     11256.45,-91.1
,India VIX,21.2675,21.2675,22.0200,19.4050,21.6325,0.3650
,CNX AUTO,      8874.65,      8907.35,      8916.50,      8793.25,      8804.15,-70.5
,CNX Metal,      2622.05,      2640.95,      2642.50,      2590.60,      2601.20,-20.85
,CNX Media,      2316.85,      2317.55,      2331.00,      2258.35,      2266.90,-49.95
,CNX Smallcap,      5664.75,      5687.15,      5705.60,      5626.25,      5637.75,-27
,CNX 200,      4561.80,      4576.30,      4580.15,      4512.85,      4521.80,-40
,CNX Dividend Oppt,      2132.90,      2138.70,      2139.60,      2109.40,      2113.25,-19.65
,CNX Commodities,      2786.65,      2796.70,      2796.90,      2751.40,      2760.30,-26.35
,CNX Consumption,      3448.65,      3457.35,      3460.85,      3411.75,      3416.55,-32.1
,CNX Finance,      7847.50,      7884.25,      7884.25,      7743.10,      7767.00,-80.5
,Nifty Dividend,       101.85,       101.85,       101.85,       101.85,       101.85,0
,LIX 15,      4022.90,      4042.20,      4051.70,      3952.40,      3966.80,-56.1
,CPSE Index,      2463.65,      2474.40,      2478.75,      2435.05,      2444.50,-19.15
,NI15,      5229.50,      5235.85,      5262.80,      5180.05,      5193.25,-36.25
,NIFTY PR 2X LEV,      4121.80,      4140.70,      4151.70,      4029.75,      4045.60,-76.2
,NIFTY PR 1X INV,       426.50,       425.65,       431.40,       425.10,       430.60,4.1
,NIFTY TR 2X LEV,      4718.80,      4740.45,      4753.05,      4613.45,      4631.55,-87.25
,NIFTY TR 1X INV,       398.50,       397.70,       403.05,       397.20,       402.30,3.8

,ADVANCES,537
,DECLINES,976
,UNCHANGED,66

,Total securities that have hit their price bands today,129

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,LUPIN,EQ,      1691.35,      1648.90,-2.51,436.98
,LT,EQ,      1677.60,      1687.00,0.56,402.72
,SBIN,EQ,       302.30,       296.55,-1.9,373.13
,ICICIBANK,EQ,       330.95,       329.00,-0.59,368.83
,HDFC,EQ,      1333.15,      1311.25,-1.64,366.67
,AXISBANK,EQ,       561.50,       549.05,-2.22,338.39
,WOCKPHARMA,EQ,      1463.95,      1533.05,4.72,326.47
,INFY,EQ,      2283.10,      2265.60,-0.77,290.85
,RELIANCE,EQ,       873.10,       851.45,-2.48,277.58
,TWL,EQ,       661.80,       687.10,3.82,269.64
,YESBANK,EQ,       825.05,       811.00,-1.7,266.72
,MCX,EQ,       973.30,      1032.75,6.11,263.1
,JINDALSTEL,EQ,       194.25,       190.85,-1.75,253.44
,PCJEWELLER,EQ,       256.55,       256.40,-0.06,244.1
,KOTAKBANK,EQ,      1298.25,      1316.85,1.43,233.85
,SUNPHARMA,EQ,       913.20,       908.65,-0.5,223.56
,TCS,EQ,      2675.55,      2696.65,0.79,218.17
,TATAELXSI,EQ,       982.35,      1049.90,6.88,206.19
,COALINDIA,EQ,       382.75,       384.20,0.38,180.94
,HDIL,EQ,       118.15,       110.05,-6.86,178.79
,TATAMOTORS,EQ,       579.90,       574.20,-0.98,173.73
,M&M,EQ,      1252.00,      1261.25,0.74,170.8
,LICHSGFIN,EQ,       465.10,       466.85,0.38,165.66
,SUZLON,EQ,        25.55,        25.25,-1.17,153.75
,ITC,EQ,       396.05,       390.25,-1.46,153.61

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,POWERGRID,EQ,       155.90,       153.25,1.73
,KOTAKBANK,EQ,      1316.85,      1298.25,1.43
,SSLT,EQ,       219.55,       217.30,1.04
,TCS,EQ,      2696.65,      2675.55,.79
,M&M,EQ,      1261.25,      1252.00,.74

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ZEEL,EQ,       344.60,       358.80,-3.96
,NMDC,EQ,       137.55,       142.45,-3.44
,DLF,EQ,       146.55,       151.35,-3.17
,LUPIN,EQ,      1648.90,      1691.35,-2.51
,RELIANCE,EQ,       851.45,       873.10,-2.48

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        36.30,                  1181674.95,32539
,3IINFOTECH,EQ,         7.95,                  8230073.60,1010612
,3MINDIA,EQ,      8088.40,                 21900023.10,2633
,3RDROCK,IT,       173.50,                 14949245.05,86210
,8KMILES,EQ,       707.40,                 17777604.45,24832
,A2ZINFRA,EQ,        17.10,                  8202616.55,466730
,AARTIDRUGS,EQ,      1300.20,                  7651613.80,5763
,AARTIIND,EQ,       273.30,                 12832929.25,46358
,AARVEEDEN,EQ,        47.15,                    50744.25,1062
,ABAN,EQ,       477.05,                321011154.60,668307
,ABB,EQ,      1411.95,                 57043270.65,40081
,ABBOTINDIA,EQ,      3902.35,                  6662841.45,1709
,ABCIL,EQ,       220.75,                 11628877.10,52035
,ABGSHIP,EQ,       197.55,                105013978.75,524042
,ACCELYA,EQ,       948.85,                  5006748.25,5309
,ACE,EQ,        37.45,                  4206809.95,112232
,ACROPETAL,EQ,         3.20,                    94514.95,29477
,ADANIPOWER,EQ,        57.00,                985950102.35,17445479
,ADFFOODS,EQ,        71.45,                 30721001.80,436228
,ADHUNIK,EQ,        20.50,                   759689.20,37115
,ADORWELD,EQ,       203.65,                   736714.15,3588
,ADSL,EQ,        22.70,                  2653340.60,115672
,ADVANIHOTR,EQ,        51.60,                   130136.05,2494
,ADVANTA,EQ,       401.50,                 80717847.45,196917
,AEGISCHEM,EQ,       420.40,                  5759283.85,13500
,AFL,EQ,        74.85,                  2267377.45,30050
,AFTEK,BE,         5.95,                   881869.10,147007
,AGARIND,EQ,       124.55,                  2506777.35,20102
,AGCNET,EQ,       110.50,                  1725398.20,15358
,AGRITECH,EQ,         6.15,                     2751.75,455
,AGRODUTCH,EQ,         3.60,                     8244.00,2290
,AHLEAST,EQ,       179.05,                   177648.70,1009
,AHLUCONT,EQ,       238.00,                 20930520.80,87167
,AHLWEST,EQ,       120.00,                   229593.55,1896
,AHMEDFORGE,EQ,       288.75,                 23922343.50,81496
,AIAENG,EQ,      1087.15,                141098552.55,128308
,AICHAMP,BE,        16.00,                      160.00,10
,AIL,EQ,       716.00,                 80746709.15,110111
,AJANTPHARM,EQ,      2710.70,                177232765.85,64860
,AJMERA,EQ,       120.10,                  4654966.25,38665
,AKSHOPTFBR,EQ,        16.30,                  8961508.70,541692
,AKZOINDIA,EQ,      1474.75,                 34054767.00,22575
,ALBK,EQ,       109.10,                159508026.70,1446163
,ALCHEM,EQ,        34.15,                   293226.35,8530
,ALEMBICLTD,EQ,        41.45,                 21906072.15,520381
,ALICON,EQ,       284.55,                  2123901.75,7387
,ALKALI,EQ,        39.05,                   261997.20,6618
,ALKYLAMINE,EQ,       320.15,                  8501375.15,26565
,ALLCARGO,EQ,       327.50,                  8109770.85,24459
,ALLSEC,EQ,        24.60,                    86948.95,3511
,ALMONDZ,EQ,        11.60,                   300486.05,26271
,ALOKTEXT,EQ,         9.30,                 37004890.15,3937522
,ALPA,BE,        13.90,                    59160.60,4222
,ALPHAGEO,EQ,       516.05,                  4850267.55,9308
,ALPSINDUS,EQ,         2.00,                     3000.00,1500
,ALSTOMT&D,EQ,       539.35,                 26930916.05,49384
,AMARAJABAT,EQ,       877.35,                107775015.90,120491
,AMBIKCO,EQ,       531.05,                 32605140.60,60869
,AMDIND,EQ,        21.60,                   171083.95,7933
,AMRUTANJAN,EQ,       481.90,                 58960874.25,121350
,AMTEKAUTO,EQ,       161.90,                 93493739.60,570182
,AMTEKINDIA,EQ,        65.45,                 15515861.45,233360
,AMTL,EQ,        14.80,                    20521.60,1382
,ANANTRAJ,EQ,        47.85,                 33134937.25,685024
,ANDHRABANK,EQ,        86.55,                169713708.05,1941002
,ANDHRACEMT,EQ,         9.90,                   206212.60,20782
,ANDHRSUGAR,EQ,       108.85,                   706820.50,6434
,ANGIND,EQ,        39.55,                   634514.30,15868
,ANIKINDS,BE,        26.35,                     5335.00,200
,ANKITMETAL,EQ,         4.05,                   117423.55,27722
,ANSALAPI,EQ,        28.25,                  6422261.10,224126
,ANSALHSG,EQ,        31.75,                  7802395.70,238441
,ANTGRAPHIC,BE,          .15,                    11179.85,62586
,APARINDS,EQ,       357.25,                 12425060.30,34399
,APCOTEXIND,EQ,       450.50,                  1331311.80,2947
,APLAPOLLO,EQ,       367.85,                 20650146.90,54408
,APLLTD,EQ,       413.20,                112819640.75,265438
,APOLLOTYRE,EQ,       175.10,                810545096.25,4539229
,APOLSINHOT,BE,       169.05,                     4226.25,25
,APTECHT,EQ,        69.35,                 32428553.35,463965
