,20-Mar-2015
The Nifty witnessed an intraday movement of about 74.9 points.The closing index was 0.74 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 20175.18
, Traded Quantity (in Lakhs), 9709.31
, Number of Trades, 8252316
, Total Market Capitalisation (Rs. Crores), 9985772.06

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8634.65,      8627.90,      8627.90,      8553.00,      8570.90,-63.75
,CNX IT,     12275.20,     12306.60,     12392.85,     12274.35,     12363.50,88.3
,CNX Nifty Junior,     19880.90,     19896.35,     19896.35,     19532.75,     19576.85,-304.05
,BANK Nifty,     18811.15,     18778.80,     18782.95,     18541.50,     18606.35,-204.8
,CNX Midcap,     13207.30,     13234.20,     13234.20,     12998.40,     13012.90,-194.4
,CNX 500,      7096.75,      7096.20,      7096.20,      7016.05,      7028.20,-68.55
,CNX 100,      8671.30,      8666.65,      8666.65,      8579.40,      8596.30,-75
,Nifty Midcap 50,      3429.65,      3431.80,      3436.20,      3361.40,      3370.25,-59.4
,CNX Realty,       226.85,       226.45,       227.25,       217.05,       218.05,-8.8
,CNX Infra,      3241.85,      3221.50,      3242.05,      3190.25,      3203.70,-38.15
,CNX Energy,      8436.80,      8390.10,      8404.95,      8314.85,      8355.25,-81.55
,CNX FMCG,     20430.65,     20453.75,     20453.75,     19966.60,     19999.80,-430.85
,CNX MNC,     10035.55,     10046.90,     10046.90,      9885.65,      9906.85,-128.7
,CNX Pharma,     12799.80,     12845.95,     13007.90,     12555.30,     12622.25,-177.55
,CNX PSE,      3509.50,      3484.50,      3484.50,      3440.65,      3460.85,-48.65
,CNX PSU Bank,      3632.70,      3630.50,      3638.45,      3575.30,      3589.60,-43.1
,CNX Service,     11214.20,     11195.35,     11226.65,     11141.05,     11177.80,-36.4
,India VIX,15.1975,15.1975,15.3600,13.0825,14.2600,-0.9375
,CNX AUTO,      8719.55,      8698.15,      8698.30,      8572.70,      8585.95,-133.6
,CNX Metal,      2388.35,      2390.60,      2403.35,      2357.80,      2366.00,-22.35
,CNX Media,      2261.70,      2262.35,      2262.35,      2200.95,      2215.30,-46.4
,CNX Smallcap,      5684.30,      5690.00,      5690.70,      5522.15,      5531.95,-152.35
,CNX 200,      4484.85,      4483.95,      4483.95,      4436.55,      4444.85,-40
,CNX Dividend Oppt,      2063.05,      2054.30,      2054.30,      2029.70,      2033.00,-30.05
,CNX Commodities,      2667.25,      2659.50,      2659.50,      2627.05,      2635.00,-32.25
,CNX Consumption,      3455.15,      3455.15,      3455.15,      3380.75,      3388.40,-66.75
,CNX Finance,      7760.80,      7746.10,      7763.00,      7686.10,      7707.10,-53.7
,Nifty Dividend,       111.72,       119.25,       119.25,       119.25,       119.25,7.53
,LIX 15,      3831.45,      3823.85,      3823.85,      3772.60,      3783.35,-48.1
,CPSE Index,      2390.90,      2393.70,      2394.75,      2355.85,      2373.55,-17.35
,NI15,      5179.75,      5187.85,      5191.40,      5115.60,      5124.20,-55.55
,NIFTY PR 2X LEV,      3908.95,      3902.05,      3902.05,      3834.50,      3850.45,-58.5
,NIFTY PR 1X INV,       438.15,       438.60,       442.40,       438.60,       441.50,3.35
,NIFTY TR 2X LEV,      4482.60,      4480.60,      4480.60,      4403.10,      4421.40,-61.2
,NIFTY TR 1X INV,       409.05,       409.20,       412.70,       409.20,       411.90,2.85

,ADVANCES,314
,DECLINES,1222
,UNCHANGED,58

,Total securities that have hit their price bands today,125

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,BOSCHLTD,EQ,     27657.90,     27367.55,-1.05,809.55
,ICICIBANK,EQ,       330.20,       318.60,-3.51,685.53
,LUPIN,EQ,      1921.65,      1906.30,-0.8,570.83
,HDFC,EQ,      1327.70,      1338.45,0.81,516.41
,AXISBANK,EQ,       563.55,       556.25,-1.3,455.14
,INFY,EQ,      2230.45,      2257.45,1.21,362.57
,WOCKPHARMA,EQ,      1910.15,      1826.10,-4.4,337.41
,LICHSGFIN,EQ,       462.40,       460.10,-0.5,328.13
,SBIN,EQ,       281.60,       278.25,-1.19,321.23
,HCLTECH,EQ,       979.65,       979.90,0.03,306.2
,SPARC,EQ,       539.40,       464.00,-13.98,289.89
,SUZLON,EQ,        28.65,        27.00,-5.76,284.73
,LT,EQ,      1682.40,      1670.35,-0.72,283.42
,YESBANK,EQ,       834.00,       832.05,-0.23,279.8
,TATAMOTORS,EQ,       553.80,       547.60,-1.12,276.68
,AUROPHARMA,EQ,      1224.85,      1159.05,-5.37,263.36
,TCS,EQ,      2596.25,      2610.95,0.57,256.14
,BHARTIARTL,EQ,       381.95,       380.25,-0.45,249.8
,NTPC,EQ,       154.75,       145.50,-5.98,249.5
,SUNPHARMA,EQ,      1047.75,      1026.65,-2.01,247.24
,TECHM,EQ,       687.15,       678.30,-1.29,245.04
,ITC,EQ,       333.35,       327.45,-1.77,231.9
,HDIL,EQ,       108.60,        99.20,-8.66,214.24
,PIDILITIND,EQ,       627.50,       621.30,-0.99,207.06
,RELIANCE,EQ,       856.15,       854.10,-0.24,203.29

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,WIPRO,EQ,       652.65,       635.05,2.77
,CAIRN,EQ,       225.40,       222.20,1.44
,POWERGRID,EQ,       148.20,       146.10,1.44
,AMBUJACEM,EQ,       255.20,       251.70,1.39
,INFY,EQ,      2257.45,      2230.45,1.21

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,NTPC,EQ,       145.50,       154.75,-5.98
,JINDALSTEL,EQ,       164.55,       173.90,-5.38
,BHEL,EQ,       245.75,       255.60,-3.85
,ICICIBANK,EQ,       318.60,       330.20,-3.51
,BPCL,EQ,       727.05,       753.40,-3.5

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        35.10,                   811763.55,23011
,3IINFOTECH,EQ,         6.80,                  6819291.50,991521
,3MINDIA,EQ,      7713.25,                  3898479.50,501
,3RDROCK,IT,       188.00,                  3263910.60,17242
,8KMILES,EQ,       670.65,                 11209841.50,16597
,A2ZINFRA,EQ,        15.95,                  3186219.05,196925
,AARTIDRUGS,EQ,      1399.50,                 55402507.45,38754
,AARTIIND,EQ,       344.00,                 38830389.70,112100
,AARVEEDEN,EQ,        42.55,                   155794.90,3568
,ABAN,EQ,       445.20,                231989719.70,513628
,ABB,EQ,      1272.75,                128128466.75,100741
,ABBOTINDIA,EQ,      3831.90,                 22057057.50,5776
,ABCIL,EQ,       217.85,                 13624889.30,63369
,ABGSHIP,EQ,       200.45,                 89746173.90,434934
,ACCELYA,EQ,       925.05,                  1778524.70,1915
,ACE,EQ,        40.25,                  5965985.30,146515
,ACROPETAL,EQ,         3.00,                    30604.10,10477
,ADANIPOWER,EQ,        47.50,                348294370.30,7351440
,ADFFOODS,EQ,        58.50,                  2425404.50,40761
,ADHUNIK,EQ,        24.05,                 10726863.35,451315
,ADORWELD,EQ,       212.35,                  1664477.15,7741
,ADSL,EQ,        20.00,                  1098512.70,53982
,ADVANIHOTR,EQ,        45.30,                    31551.20,691
,ADVANTA,EQ,       428.70,                 23367347.50,54115
,AEGISCHEM,EQ,       580.40,                 78575073.40,133434
,AFL,EQ,        68.50,                   600740.85,8719
,AFTEK,BZ,         4.35,                    86607.25,19835
,AGARIND,EQ,       114.75,                  2603478.20,22711
,AGCNET,EQ,        96.30,                  1829950.75,18909
,AGRITECH,EQ,         6.25,                     4174.00,660
,AGRODUTCH,EQ,         3.10,                     6420.90,2147
,AHLEAST,EQ,       181.00,                   239536.40,1335
,AHLUCONT,EQ,       251.25,                 13280673.65,53630
,AHLWEST,EQ,       125.00,                    66221.45,522
,AHMEDFORGE,EQ,       252.45,                 60234902.20,237087
,AIAENG,EQ,      1264.40,                508760366.65,397557
,AIL,EQ,       688.75,                 19657296.85,28394
,AJANTPHARM,EQ,      1130.80,                282534068.70,239544
,AJMERA,EQ,       114.75,                  4259718.80,36558
,AKSHOPTFBR,EQ,        14.30,                  3699326.50,255562
,AKZOINDIA,EQ,      1425.65,                 23777093.40,16735
,ALBK,EQ,       103.10,                211635789.85,2041616
,ALCHEM,EQ,        29.45,                   120725.55,4024
,ALEMBICLTD,EQ,        35.70,                 28975818.35,794309
,ALICON,EQ,       273.50,                  1315605.50,4765
,ALKALI,EQ,        34.05,                   108437.70,3206
,ALKYLAMINE,EQ,       296.35,                  1332346.45,4439
,ALLCARGO,EQ,       306.75,                 18228348.85,59210
,ALLSEC,EQ,        23.60,                    46206.85,2006
,ALMONDZ,EQ,        10.50,                   144420.50,14030
,ALOKTEXT,EQ,         7.65,                 59009777.40,7596212
,ALPA,BE,        12.50,                      563.00,45
,ALPHAGEO,EQ,       394.60,                  3800998.85,9482
,ALPSINDUS,EQ,         2.00,                     3995.00,2000
,ALSTOMT&D,EQ,       581.20,                406408026.50,698390
,AMARAJABAT,EQ,       858.10,                 76334836.25,88781
,AMBIKCO,EQ,       726.85,                  3606848.20,4909
,AMDIND,EQ,        22.00,                   129133.95,5825
,AMRUTANJAN,EQ,       485.25,                 28161750.05,57087
,AMTEKAUTO,EQ,       144.05,                108266195.10,741733
,AMTEKINDIA,EQ,        46.50,                 31676857.55,665236
,AMTL,EQ,        13.90,                    18345.50,1351
,ANANTRAJ,EQ,        39.60,                 23470805.85,586219
,ANDHRABANK,EQ,        78.95,                148022278.15,1881242
,ANDHRACEMT,EQ,         9.50,                   184011.95,19403
,ANDHRSUGAR,EQ,        96.75,                  4214522.70,42705
,ANGIND,EQ,        40.30,                  6339060.40,159538
,ANIKINDS,BE,        22.40,                    43374.15,1908
,ANKITMETAL,EQ,         3.25,                  1307851.85,381268
,ANSALAPI,EQ,        23.85,                  4082744.00,166437
,ANSALHSG,EQ,        29.20,                  1485986.15,50776
,ANTGRAPHIC,BE,          .15,                     7736.00,53160
,APARINDS,EQ,       379.40,                  4816510.90,12766
,APCOTEXIND,EQ,       506.05,                   905089.60,1795
,APLAPOLLO,EQ,       364.10,                  8255323.30,22552
,APLLTD,EQ,       448.00,                269282542.10,598180
,APOLLOTYRE,EQ,       162.05,                535950122.00,3307185
,APOLSINHOT,BE,       254.35,                   739064.65,2964
,APTECHT,EQ,        56.85,                  5955804.35,102783
,ARCHIDPLY,EQ,        28.20,                  7072200.55,251025
