,26-Mar-2015
The Nifty witnessed an intraday movement of about 174.1 points.The closing index was 2.21 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 23723.88
, Traded Quantity (in Lakhs), 9479.94
, Number of Trades, 7452124
, Total Market Capitalisation (Rs. Crores), 9741588.69

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8530.80,      8474.95,      8499.45,      8325.35,      8342.15,-188.65
,CNX IT,     12225.60,     12168.30,     12204.45,     11865.85,     11902.10,-323.5
,CNX Nifty Junior,     19344.05,     19276.40,     19301.20,     19086.05,     19112.05,-232
,BANK Nifty,     18310.10,     18138.80,     18224.10,     17729.10,     17831.65,-478.45
,CNX Midcap,     12883.70,     12848.85,     12882.80,     12754.95,     12767.80,-115.9
,CNX 500,      6972.45,      6934.20,      6945.65,      6836.15,      6846.25,-126.2
,CNX 100,      8546.30,      8494.45,      8514.20,      8356.90,      8370.90,-175.4
,Nifty Midcap 50,      3337.70,      3323.95,      3339.60,      3300.85,      3305.70,-32
,CNX Realty,       217.00,       215.15,       217.25,       212.75,       213.20,-3.8
,CNX Infra,      3184.45,      3165.55,      3219.30,      3165.55,      3176.65,-7.8
,CNX Energy,      8319.10,      8310.35,      8344.95,      8181.45,      8196.10,-123
,CNX FMCG,     19957.50,     19908.20,     20011.90,     19637.55,     19691.15,-266.35
,CNX MNC,      9826.45,      9802.30,      9802.30,      9656.55,      9683.55,-142.9
,CNX Pharma,     12919.45,     12870.30,     12887.90,     12623.20,     12676.85,-242.6
,CNX PSE,      3440.90,      3433.75,      3439.95,      3387.10,      3392.10,-48.8
,CNX PSU Bank,      3438.65,      3420.40,      3436.20,      3316.95,      3331.35,-107.3
,CNX Service,     11084.65,     11001.90,     11041.45,     10748.05,     10785.75,-298.9
,India VIX,13.1425,13.1425,15.6075,12.5175,15.1625,2.0200
,CNX AUTO,      8515.65,      8451.70,      8493.35,      8364.00,      8385.35,-130.3
,CNX Metal,      2343.35,      2329.75,      2331.40,      2282.50,      2288.00,-55.35
,CNX Media,      2181.70,      2171.90,      2190.25,      2146.35,      2154.10,-27.6
,CNX Smallcap,      5451.00,      5432.35,      5445.15,      5384.45,      5398.60,-52.4
,CNX 200,      4414.90,      4389.75,      4398.45,      4323.70,      4330.60,-84.3
,CNX Dividend Oppt,      2018.05,      2010.25,      2012.70,      1984.45,      1986.90,-31.15
,CNX Commodities,      2615.70,      2605.45,      2611.65,      2580.55,      2584.80,-30.9
,CNX Consumption,      3404.05,      3390.65,      3414.45,      3371.70,      3375.65,-28.4
,CNX Finance,      7633.15,      7560.35,      7581.75,      7341.85,      7385.40,-247.75
,Nifty Dividend,       122.26,       122.26,       122.26,       122.26,       122.26,0
,LIX 15,      3739.30,      3717.30,      3730.60,      3642.75,      3650.70,-88.6
,CPSE Index,      2361.50,      2360.05,      2360.05,      2313.45,      2316.20,-45.3
,NI15,      5158.35,      5137.00,      5147.50,      5048.20,      5059.40,-98.95
,NIFTY PR 2X LEV,      3810.60,      3759.90,      3781.35,      3627.15,      3641.25,-169.35
,NIFTY PR 1X INV,       444.00,       447.00,       454.75,       445.75,       453.95,9.95
,NIFTY TR 2X LEV,      4377.95,      4319.75,      4344.35,      4167.20,      4183.40,-194.55
,NIFTY TR 1X INV,       414.15,       416.95,       424.15,       415.75,       423.35,9.2

,ADVANCES,454
,DECLINES,1057
,UNCHANGED,56

,Total securities that have hit their price bands today,121

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ICICIBANK,EQ,       316.90,       307.95,-2.82,985.48
,HDFCBANK,EQ,      1034.25,      1006.95,-2.64,905.28
,INFY,EQ,      2219.10,      2146.35,-3.28,848.78
,HDFC,EQ,      1354.55,      1283.70,-5.23,808.56
,YESBANK,EQ,       806.50,       806.35,-0.02,678.82
,SBIN,EQ,       265.40,       256.65,-3.3,579.81
,LT,EQ,      1632.75,      1634.45,0.1,572.55
,ITC,EQ,       326.75,       322.40,-1.33,524.46
,AXISBANK,EQ,       562.20,       544.30,-3.18,508.36
,BHARTIARTL,EQ,       395.00,       399.65,1.18,456.17
,RELIANCE,EQ,       844.90,       829.30,-1.85,393.95
,TCS,EQ,      2573.75,      2513.10,-2.36,391.97
,IDEA,EQ,       173.30,       180.55,4.18,390.84
,LUPIN,EQ,      2008.90,      1972.95,-1.79,366.49
,HCLTECH,EQ,      1007.15,       987.40,-1.96,349.87
,TATAMOTORS,EQ,       541.85,       524.25,-3.25,343.22
,M&M,EQ,      1210.35,      1201.10,-0.76,324.49
,NTPC,EQ,       147.35,       144.00,-2.27,318.37
,SUNPHARMA,EQ,      1052.05,      1027.70,-2.31,308.29
,WOCKPHARMA,EQ,      1915.15,      1867.60,-2.48,293.15
,KOTAKBANK,EQ,      1326.55,      1305.40,-1.59,261.74
,RANBAXY,EQ,       831.20,       819.30,-1.43,259.94
,TECHM,EQ,       656.35,       651.15,-0.79,247.27
,ONGC,EQ,       309.65,       301.60,-2.6,239.53
,HINDUNILVR,EQ,       886.40,       865.90,-2.31,223.44

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BPCL,EQ,       762.30,       748.70,1.82
,BHARTIARTL,EQ,       399.65,       395.00,1.18
,ULTRACEMCO,EQ,      2795.80,      2766.00,1.08
,NMDC,EQ,       125.30,       124.30,.8
,AMBUJACEM,EQ,       250.10,       248.80,.52

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HDFC,EQ,      1283.70,      1354.55,-5.23
,PNB,EQ,       148.15,       155.50,-4.73
,WIPRO,EQ,       631.90,       661.10,-4.42
,SSLT,EQ,       188.30,       196.80,-4.32
,DLF,EQ,       159.30,       165.05,-3.48

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        33.90,                  1533705.80,44920
,3IINFOTECH,EQ,         5.95,                  8588523.70,1449682
,3MINDIA,EQ,      7882.50,                  5288738.45,674
,3RDROCK,IT,       187.05,                  4837674.15,25863
,8KMILES,EQ,       617.80,                 10389151.70,16602
,A2ZINFRA,EQ,        15.20,                  7219159.55,478953
,AARTIDRUGS,EQ,       636.90,                 27764782.40,43615
,AARTIIND,EQ,       323.45,                  9993045.00,30733
,AARVEEDEN,EQ,        40.70,                    65235.60,1597
,ABAN,EQ,       418.60,                217162943.80,515051
,ABB,EQ,      1217.80,                 76815438.20,63996
,ABBOTINDIA,EQ,      3821.35,                 21592565.65,5650
,ABCIL,EQ,       211.70,                 11138021.70,52344
,ABGSHIP,EQ,       188.85,                 54943935.30,286987
,ACCELYA,EQ,       910.50,                  3126809.50,3420
,ACE,EQ,        36.70,                  6644458.40,178915
,ACROPETAL,EQ,         2.75,                   101903.30,36052
,ADANIPOWER,EQ,        46.35,                190911637.65,4091037
,ADFFOODS,EQ,        53.00,                  2519758.60,47425
,ADHUNIK,EQ,        21.50,                  4280657.05,191466
,ADORWELD,EQ,       206.60,                  1132674.45,5510
,ADSL,EQ,        16.10,                  1027844.80,64615
,ADVANIHOTR,EQ,        42.00,                    13869.50,331
,ADVANTA,EQ,       411.90,                  3829334.65,9273
,AEGISCHEM,EQ,       557.10,                 17134732.85,30525
,AFL,EQ,        62.25,                   895696.75,14290
,AFTEK,BZ,         3.65,                  1726523.05,466771
,AGARIND,EQ,        98.05,                  3349491.85,34154
,AGCNET,EQ,        92.90,                   186049.20,2008
,AGRITECH,EQ,         5.80,                     5407.95,930
,AGRODUTCH,EQ,         2.60,                     8572.95,3160
,AHLEAST,EQ,       181.05,                   219381.50,1213
,AHLUCONT,EQ,       220.85,                 30802809.70,137843
,AHLWEST,EQ,       125.00,                   149805.00,1163
,AHMEDFORGE,EQ,       205.45,                 40656993.70,196588
,AIAENG,EQ,      1222.45,                162491132.15,132568
,AIL,EQ,       676.45,                 38348162.20,57113
,AJANTPHARM,EQ,      1198.50,                352675256.85,290229
,AJMERA,EQ,       118.50,                  9043396.20,75366
,AKSHOPTFBR,EQ,        13.70,                  3487007.95,254192
,AKZOINDIA,EQ,      1339.85,                  8579278.95,6393
,ALBK,EQ,        95.40,                252232248.15,2625172
,ALCHEM,EQ,        27.95,                   140357.55,5004
,ALEMBICLTD,EQ,        33.40,                 11342027.20,339728
,ALICON,EQ,       246.40,                  1398925.25,5709
,ALKALI,EQ,        32.45,                    54581.90,1727
,ALKYLAMINE,EQ,       284.00,                 22111155.20,78655
,ALLCARGO,EQ,       303.75,                  3931444.65,12856
,ALLSEC,EQ,        21.10,                    26518.70,1195
,ALMONDZ,EQ,        10.00,                   672685.50,67285
,ALOKTEXT,EQ,         6.85,                 72945600.20,10757713
,ALPA,BE,        11.90,                   538617.80,45262
,ALPHAGEO,EQ,       374.85,                  1252087.80,3323
,ALSTOMT&D,EQ,       551.15,                 41616800.60,74231
,AMARAJABAT,EQ,       817.15,                124731323.15,154059
,AMBIKCO,EQ,       731.85,                 12361027.25,16913
,AMDIND,EQ,        21.65,                   191965.00,8956
,AMRUTANJAN,EQ,       456.80,                 11951599.40,25867
,AMTEKAUTO,EQ,       143.10,                565368497.95,3996635
,AMTEKINDIA,EQ,        50.75,                100797759.65,2008434
,AMTL,EQ,        13.10,                   123834.70,9130
,ANANTRAJ,EQ,        38.15,                 30718646.30,821052
,ANDHRABANK,EQ,        76.85,                194939953.10,2521984
,ANDHRACEMT,EQ,         8.55,                   256297.65,29990
,ANDHRSUGAR,EQ,        93.35,                  3506298.90,37924
,ANGIND,EQ,        36.85,                  1297344.15,34460
,ANKITMETAL,EQ,         3.25,                   774439.00,242097
,ANSALAPI,EQ,        22.20,                  2395699.70,107268
,ANSALHSG,EQ,        28.55,                   418351.95,14606
,ANTGRAPHIC,BE,          .15,                    13536.80,144368
,APARINDS,EQ,       354.45,                  3944620.95,10990
,APCOTEXIND,EQ,       503.55,                  1503810.80,3000
,APLAPOLLO,EQ,       351.60,                  3710380.35,10534
,APLLTD,EQ,       447.85,                 17219599.65,38451
,APOLLOTYRE,EQ,       157.80,                914531272.45,5774857
,APOLSINHOT,BE,       212.85,                    50258.85,236
,APTECHT,EQ,        53.40,                  4933095.40,91491
,ARCHIDPLY,EQ,        26.80,                  5325104.50,202354
,ARCHIES,EQ,        18.05,                  1264562.85,69736
,ARCOTECH,EQ,       338.55,                 10747132.40,31703
,ARIES,EQ,       100.30,                  4838663.95,47913
,ARIHANT,EQ,        43.90,                   365908.95,8338
,AROGRANITE,EQ,        58.70,                   926763.45,16293
,ARROWTEX,EQ,        23.25,                   680878.75,29342
