,09-Apr-2015
The Nifty witnessed an intraday movement of about 103.05 points.The closing index was 0.73 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 21112.15
, Traded Quantity (in Lakhs), 10145.67
, Number of Trades, 8283731
, Total Market Capitalisation (Rs. Crores), 10310583.66

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8714.40,      8756.20,      8785.50,      8682.45,      8778.30,63.9
,CNX IT,     12214.30,     12296.75,     12323.70,     12171.15,     12279.40,65.1
,CNX Nifty Junior,     20180.65,     20304.35,     20307.40,     20069.35,     20207.15,26.5
,BANK Nifty,     18416.60,     18523.35,     18894.75,     18401.45,     18875.85,459.25
,CNX Midcap,     13494.00,     13570.05,     13572.15,     13440.65,     13526.50,32.5
,CNX 500,      7193.60,      7229.90,      7237.35,      7171.10,      7234.00,40.4
,CNX 100,      8759.00,      8802.80,      8821.90,      8726.95,      8815.00,56
,Nifty Midcap 50,      3482.30,      3503.40,      3511.15,      3468.45,      3499.85,17.55
,CNX Realty,       232.85,       234.15,       234.90,       228.75,       230.95,-1.9
,CNX Infra,      3373.20,      3383.35,      3384.90,      3330.90,      3358.45,-14.75
,CNX Energy,      8568.95,      8587.75,      8700.05,      8516.35,      8688.25,119.3
,CNX FMCG,     21074.10,     21133.80,     21173.10,     20976.00,     21118.95,44.85
,CNX MNC,     10104.55,     10149.55,     10161.60,     10076.50,     10146.15,41.6
,CNX Pharma,     13831.15,     13911.80,     13911.80,     13453.45,     13545.90,-285.25
,CNX PSE,      3569.90,      3593.15,      3602.75,      3555.40,      3583.50,13.6
,CNX PSU Bank,      3506.50,      3524.65,      3611.50,      3488.05,      3604.70,98.2
,CNX Service,     11103.55,     11171.65,     11251.30,     11080.40,     11243.05,139.5
,India VIX,14.3475,14.3475,14.8925,13.2875,14.4175,0.0700
,CNX AUTO,      8838.75,      8867.45,      8873.00,      8781.70,      8848.15,9.4
,CNX Metal,      2431.25,      2444.45,      2470.80,      2428.80,      2468.15,36.9
,CNX Media,      2176.35,      2191.60,      2255.10,      2189.50,      2251.70,75.35
,CNX Smallcap,      5965.80,      6002.80,      6019.25,      5924.65,      5976.15,10.35
,CNX 200,      4539.75,      4562.95,      4570.25,      4522.90,      4567.05,27.3
,CNX Dividend Oppt,      2082.60,      2094.85,      2101.25,      2080.20,      2099.50,16.9
,CNX Commodities,      2719.00,      2731.35,      2739.35,      2710.35,      2737.40,18.4
,CNX Consumption,      3550.70,      3562.70,      3565.20,      3527.05,      3550.00,-.7
,CNX Finance,      7603.45,      7655.40,      7748.50,      7600.75,      7741.65,138.2
,Nifty Dividend,          .00,          .00,          .00,          .00,          .00,0
,LIX 15,      3832.85,      3852.85,      3885.75,      3826.40,      3881.25,48.4
,CPSE Index,      2451.75,      2474.95,      2484.05,      2444.50,      2460.35,8.6
,NI15,      5280.45,      5305.15,      5305.95,      5256.00,      5293.35,12.9
,NIFTY PR 2X LEV,      3960.95,      3998.10,      4024.25,      3931.65,      4018.20,57.25
,NIFTY PR 1X INV,       435.45,       433.45,       437.10,       432.00,       432.35,-3.1
,NIFTY TR 2X LEV,      4550.70,      4593.40,      4623.45,      4517.00,      4616.50,65.8
,NIFTY TR 1X INV,       406.15,       404.30,       407.70,       402.95,       403.25,-2.9

,ADVANCES,805
,DECLINES,722
,UNCHANGED,64

,Total securities that have hit their price bands today,136

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INOXWIND,EQ,       325.00,       438.40,34.89,1565.38
,INFY,EQ,      2200.55,      2215.00,0.66,582.77
,RECLTD,EQ,       330.30,       336.35,1.83,582.46
,RELIANCE,EQ,       865.90,       895.10,3.37,549.21
,AXISBANK,EQ,       555.90,       572.15,2.92,548.44
,HDFC,EQ,      1299.70,      1303.05,0.26,433.45
,ICICIBANK,EQ,       315.10,       320.60,1.75,392.9
,SBIN,EQ,       273.90,       280.85,2.54,373.75
,SUZLON,EQ,        28.45,        29.15,2.46,367.63
,SUNPHARMA,EQ,      1150.45,      1113.45,-3.22,351.99
,TCS,EQ,      2641.40,      2664.55,0.88,338.2
,YESBANK,EQ,       820.60,       841.70,2.57,331.08
,AXISBANK,IL,       556.00,       570.00,2.52,317.78
,LUPIN,EQ,      2082.10,      2015.75,-3.19,313.74
,AUROPHARMA,EQ,      1325.15,      1326.20,0.08,286.62
,HEROMOTOCO,EQ,      2605.80,      2611.60,0.22,272.01
,WOCKPHARMA,EQ,      1961.20,      1890.10,-3.63,268.37
,KOTAKBANK,EQ,      1371.60,      1430.60,4.3,228.87
,HDIL,EQ,       133.65,       134.00,0.26,221.65
,TATASTEEL,EQ,       336.10,       346.05,2.96,211.02
,LT,EQ,      1779.45,      1770.80,-0.49,201.02
,BHARTIARTL,EQ,       419.15,       407.20,-2.85,191.37
,HDFCBANK,EQ,      1035.55,      1056.10,1.98,183.37
,ITC,EQ,       346.25,       347.15,0.26,176.92
,PNB,EQ,       152.80,       161.95,5.99,169.83

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,PNB,EQ,       161.95,       152.80,5.99
,ZEEL,EQ,       357.10,       340.40,4.91
,INDUSINDBK,EQ,       943.90,       901.95,4.65
,KOTAKBANK,EQ,      1430.60,      1371.60,4.3
,RELIANCE,EQ,       895.10,       865.90,3.37

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,GAIL,EQ,       397.20,       410.40,-3.22
,SUNPHARMA,EQ,      1113.45,      1150.45,-3.22
,LUPIN,EQ,      2015.75,      2082.10,-3.19
,BHARTIARTL,EQ,       407.20,       419.15,-2.85
,IDEA,EQ,       187.65,       192.20,-2.37

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        40.20,                  7631235.85,203863
,3IINFOTECH,EQ,         7.35,                 17826098.10,2456795
,3MINDIA,EQ,      9297.80,                 32728209.90,3507
,3RDROCK,IT,       184.50,                  1590574.50,8621
,8KMILES,EQ,       851.75,                198125740.35,236550
,A2ZINFRA,EQ,        18.55,                 17633592.05,940392
,AARTIDRUGS,EQ,       812.85,                250589397.30,308567
,AARTIIND,EQ,       366.30,                 26049793.95,70913
,AARVEEDEN,EQ,        44.50,                   255128.50,5638
,ABAN,EQ,       457.85,                318622127.65,697383
,ABB,EQ,      1361.40,                 45653754.70,33283
,ABBOTINDIA,EQ,      3977.75,                  8691688.80,2165
,ABCIL,EQ,       225.65,                  1318186.50,5817
,ABGSHIP,EQ,       237.05,                 29698024.55,123886
,ACCELYA,EQ,       973.70,                  4506635.95,4672
,ACE,EQ,        42.45,                 15956167.70,371767
,ACROPETAL,EQ,         3.05,                   160057.75,52648
,ADANIPOWER,EQ,        49.35,                333252516.35,6722073
,ADFFOODS,EQ,        66.00,                  5740652.70,87669
,ADHUNIK,EQ,        23.25,                  7831133.90,332302
,ADLABS,EQ,       172.25,                 37791289.55,216767
,ADORWELD,EQ,       220.50,                   269197.50,1221
,ADSL,EQ,        19.60,                   530410.15,26825
,ADVANIHOTR,EQ,        46.35,                     3945.65,84
,ADVANTA,EQ,       555.35,                205835441.75,370400
,AEGISCHEM,EQ,       707.35,                244264881.95,338425
,AFL,EQ,        74.90,                  1847199.35,24644
,AFTEK,BZ,         4.25,                    22695.00,5340
,AGARIND,EQ,       114.70,                   247390.00,2178
,AGCNET,EQ,        95.05,                   515358.95,5462
,AGRITECH,EQ,         6.15,                     2345.00,380
,AGRODUTCH,EQ,         2.95,                     9867.00,3409
,AHLEAST,EQ,       183.60,                    49653.10,270
,AHLUCONT,EQ,       275.45,                 16686975.55,60313
,AHLWEST,EQ,       125.05,                    67454.25,535
,AHMEDFORGE,EQ,       242.10,                 46835523.85,193441
,AIAENG,EQ,      1247.45,                 69814979.30,56115
,AIL,EQ,       727.05,                 12395187.15,16960
,AJANTPHARM,EQ,      1413.30,                271534802.05,193233
,AJMERA,EQ,       122.20,                  1958355.45,16005
,AKSHOPTFBR,EQ,        15.30,                  3382624.25,221378
,AKZOINDIA,EQ,      1413.50,                 16978452.25,11983
,ALBK,EQ,       103.75,                276141269.55,2686413
,ALCHEM,EQ,        35.00,                   242948.30,6901
,ALEMBICLTD,EQ,        39.35,                 19887410.15,498861
,ALICON,EQ,       305.70,                  6117902.85,19910
,ALKALI,EQ,        47.20,                  8889344.55,185225
,ALKYLAMINE,EQ,       351.50,                  8166806.50,23294
,ALLCARGO,EQ,       357.10,                215852601.55,586708
,ALLSEC,EQ,        24.05,                    36422.20,1480
,ALMONDZ,EQ,        11.20,                    14958.10,1337
,ALOKTEXT,EQ,         8.65,                109945582.50,12705553
,ALPA,BE,        13.10,                    52400.00,4000
,ALPHAGEO,EQ,       477.20,                  3737161.70,7738
,ALPSINDUS,EQ,         1.90,                     8101.60,4264
,ALSTOMT&D,EQ,       582.60,                160148931.20,275797
,AMARAJABAT,EQ,       877.65,                118843782.05,136426
,AMBIKCO,EQ,       869.95,                  7613975.80,8705
,AMDIND,EQ,        22.95,                    44870.95,1967
,AMRUTANJAN,EQ,       533.65,                 34531367.30,64191
,AMTEKAUTO,EQ,       162.55,                244235560.90,1526201
,AMTEKINDIA,EQ,        72.35,                 93980242.10,1306235
,AMTL,EQ,        13.65,                    53980.75,3913
,ANANTRAJ,EQ,        43.00,                 22682349.35,523338
,ANDHRABANK,EQ,        81.90,                218315145.20,2694321
,ANDHRACEMT,EQ,         9.85,                   214765.35,22008
,ANDHRSUGAR,EQ,       101.10,                   765423.20,7537
,ANGIND,EQ,        41.15,                 60039290.65,1390889
,ANIKINDS,BE,        23.30,                     3560.80,149
,ANKITMETAL,EQ,         2.90,                   257579.65,88452
,ANSALAPI,EQ,        26.00,                  1787065.40,68604
,ANSALHSG,EQ,        30.75,                  1208113.80,39097
,ANTGRAPHIC,BE,          .15,                      565.00,4600
,APARINDS,EQ,       386.70,                  2842988.50,7321
,APCOTEXIND,EQ,       507.20,                  3318357.90,6413
,APLAPOLLO,EQ,       431.70,                  5886281.50,13494
,APLLTD,EQ,       476.15,                 81145522.35,170743
,APOLLOTYRE,EQ,       181.95,                474013954.30,2611743
