,10-Apr-2015
The Nifty witnessed an intraday movement of about 53.8 points.The closing index was 0.02 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 18327.94
, Traded Quantity (in Lakhs), 9328.91
, Number of Trades, 8387662
, Total Market Capitalisation (Rs. Crores), 10350536.89

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8778.30,      8774.35,      8787.40,      8733.60,      8780.35,2.05
,CNX IT,     12279.40,     12249.05,     12335.75,     12244.20,     12294.75,15.35
,CNX Nifty Junior,     20207.15,     20226.65,     20382.60,     20188.80,     20342.85,135.7
,BANK Nifty,     18875.85,     18869.85,     18896.50,     18724.95,     18800.85,-75
,CNX Midcap,     13526.50,     13564.65,     13639.05,     13536.55,     13620.50,94
,CNX 500,      7234.00,      7236.00,      7251.45,      7217.45,      7246.05,12.05
,CNX 100,      8815.00,      8812.95,      8832.90,      8782.60,      8825.90,10.9
,Nifty Midcap 50,      3499.85,      3507.00,      3551.70,      3500.00,      3545.05,45.2
,CNX Realty,       230.95,       231.15,       234.65,       231.00,       232.40,1.45
,CNX Infra,      3358.45,      3359.70,      3390.25,      3349.70,      3386.70,28.25
,CNX Energy,      8688.25,      8692.35,      8764.35,      8680.50,      8740.10,51.85
,CNX FMCG,     21118.95,     21137.95,     21233.65,     21008.00,     21214.75,95.8
,CNX MNC,     10146.15,     10161.95,     10226.20,     10147.20,     10211.45,65.3
,CNX Pharma,     13545.90,     13542.40,     13598.20,     13370.90,     13505.90,-40
,CNX PSE,      3583.50,      3580.50,      3608.25,      3580.50,      3597.40,13.9
,CNX PSU Bank,      3604.70,      3609.00,      3676.85,      3595.30,      3662.30,57.6
,CNX Service,     11243.05,     11236.45,     11253.60,     11193.15,     11235.70,-7.35
,India VIX,14.4175,14.4175,14.7900,13.4275,14.2550,-0.1625
,CNX AUTO,      8848.15,      8852.25,      8893.40,      8832.00,      8879.00,30.85
,CNX Metal,      2468.15,      2459.15,      2486.80,      2457.15,      2483.00,14.85
,CNX Media,      2251.70,      2251.80,      2262.35,      2233.30,      2242.40,-9.3
,CNX Smallcap,      5976.15,      5985.60,      6017.70,      5968.35,      6006.80,30.65
,CNX 200,      4567.05,      4567.40,      4577.75,      4552.70,      4573.75,6.7
,CNX Dividend Oppt,      2099.50,      2101.45,      2107.20,      2097.95,      2105.05,5.55
,CNX Commodities,      2737.40,      2736.60,      2754.70,      2735.65,      2750.60,13.2
,CNX Consumption,      3550.00,      3552.20,      3578.55,      3544.95,      3575.25,25.25
,CNX Finance,      7741.65,      7742.55,      7744.30,      7671.60,      7702.40,-39.25
,Nifty Dividend,          .00,          .00,          .00,          .00,          .00,0
,LIX 15,      3881.25,      3887.85,      3929.20,      3873.45,      3915.00,33.75
,CPSE Index,      2460.35,      2455.05,      2477.00,      2455.05,      2466.95,6.6
,NI15,      5293.35,      5290.95,      5302.15,      5265.05,      5298.30,4.95
,NIFTY PR 2X LEV,      4018.20,      4013.75,      4024.60,      3977.90,      4019.30,1.1
,NIFTY PR 1X INV,       432.35,       432.65,       434.55,       432.05,       432.35,0
,NIFTY TR 2X LEV,      4616.50,      4611.40,      4623.85,      4570.20,      4617.75,1.25
,NIFTY TR 1X INV,       403.25,       403.50,       405.30,       402.95,       403.25,0

,ADVANCES,955
,DECLINES,578
,UNCHANGED,61

,Total securities that have hit their price bands today,133

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,       895.10,       904.35,1.03,520.61
,CENTURYTEX,EQ,       697.50,       763.85,9.51,489.85
,SBIN,EQ,       280.85,       285.75,1.74,481.07
,LUPIN,EQ,      2015.75,      1964.20,-2.56,480.46
,INFY,EQ,      2215.00,      2233.95,0.86,397.13
,SUNPHARMA,EQ,      1113.45,      1119.75,0.57,320.52
,RCOM,EQ,        63.45,        71.95,13.4,310.57
,AXISBANK,EQ,       572.15,       568.05,-0.72,281.57
,WOCKPHARMA,EQ,      1890.10,      1894.25,0.22,272.65
,RECLTD,EQ,       336.35,       344.10,2.3,270.24
,ICICIBANK,EQ,       320.60,       318.30,-0.72,262.51
,HDFC,EQ,      1303.05,      1290.35,-0.97,258.65
,TCS,EQ,      2664.55,      2653.75,-0.41,240.41
,HDIL,EQ,       134.00,       136.75,2.05,232.18
,AUROPHARMA,EQ,      1326.20,      1342.70,1.24,222.96
,INOXWIND,EQ,       438.40,       439.60,0.27,217.93
,YESBANK,EQ,       841.70,       842.60,0.11,195.65
,BHARTIARTL,EQ,       407.20,       411.95,1.17,188.09
,ONGC,EQ,       310.15,       309.75,-0.13,180.67
,IDFC,EQ,       172.25,       176.05,2.21,179.93
,BFUTILITIE,EQ,       779.80,       834.70,7.04,176.47
,RELCAPITAL,EQ,       443.05,       455.65,2.84,170.67
,HEROMOTOCO,EQ,      2611.60,      2583.85,-1.06,170.03
,LT,EQ,      1770.80,      1764.00,-0.38,166.34
,TATASTEEL,EQ,       346.05,       342.70,-0.97,166.29

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,IDEA,EQ,       196.05,       187.65,4.48
,SSLT,EQ,       202.35,       194.65,3.96
,NMDC,EQ,       135.20,       132.20,2.27
,IDFC,EQ,       176.05,       172.25,2.21
,SBIN,EQ,       285.75,       280.85,1.74

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ZEEL,EQ,       347.15,       357.10,-2.79
,LUPIN,EQ,      1964.20,      2015.75,-2.56
,CIPLA,EQ,       701.15,       719.45,-2.54
,TECHM,EQ,       660.20,       670.40,-1.52
,HINDALCO,EQ,       137.90,       139.90,-1.43

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        40.70,                  2085401.90,51565
,3IINFOTECH,EQ,         7.65,                 31835928.35,4133608
,3MINDIA,EQ,      9273.10,                 17862380.85,1914
,8KMILES,EQ,       839.15,                112580400.15,132330
,A2ZINFRA,EQ,        18.30,                  6466223.65,350337
,AARTIDRUGS,EQ,       809.35,                 78897410.55,96258
,AARTIIND,EQ,       366.75,                 29981506.35,81354
,AARVEEDEN,EQ,        45.40,                    29948.85,662
,ABAN,EQ,       457.50,                384487786.80,838344
,ABB,EQ,      1354.45,                 50559807.25,37348
,ABBOTINDIA,EQ,      3971.55,                  2118113.80,532
,ABCIL,EQ,       226.90,                  6899514.35,30487
,ABGSHIP,EQ,       232.95,                 19215132.80,82124
,ACCELYA,EQ,       968.65,                  1799327.90,1854
,ACE,EQ,        42.40,                 17172301.35,400606
,ACROPETAL,EQ,         3.15,                    89254.85,28551
,ADANIPOWER,EQ,        49.80,                199843534.90,4018572
,ADFFOODS,EQ,        66.40,                  4182814.65,63133
,ADHUNIK,EQ,        23.55,                  2136657.00,90454
,ADLABS,EQ,       177.55,                 97520238.90,561701
,ADORWELD,EQ,       219.95,                   260589.45,1175
,ADSL,EQ,        19.80,                  1051442.10,53150
,ADVANIHOTR,EQ,        47.00,                   197523.25,4146
,ADVANTA,EQ,       569.45,                130010905.25,228095
,AEGISCHEM,EQ,       730.85,                107545566.85,148937
,AFL,EQ,        73.85,                  2060253.15,27541
,AFTEK,BZ,         4.45,                    12015.00,2700
,AGARIND,EQ,       111.85,                   179849.50,1603
,AGCNET,EQ,       105.80,                  1995821.35,19182
,AGRITECH,EQ,         5.80,                      116.00,20
,AGRODUTCH,EQ,         2.95,                     4805.95,1622
,AHLEAST,EQ,       200.15,                   189025.40,978
,AHLUCONT,EQ,       275.15,                  7902896.40,28701
,AHLWEST,EQ,       123.70,                    35730.15,289
,AHMEDFORGE,EQ,       259.05,                200907783.65,777277
,AIAENG,EQ,      1255.85,                 83702217.70,66127
,AIL,EQ,       725.45,                  5854866.85,8045
,AJANTPHARM,EQ,      1375.00,                150347851.20,108378
,AJMERA,EQ,       127.45,                 17783608.30,139008
,AKSHOPTFBR,EQ,        15.50,                  3903220.75,251143
,AKZOINDIA,EQ,      1428.50,                 18411357.05,12901
,ALBK,EQ,       104.95,                290903685.85,2799245
,ALCHEM,EQ,        29.80,                  8185855.80,267402
,ALEMBICLTD,EQ,        39.15,                 25001922.05,632312
,ALICON,EQ,       308.35,                  2608825.45,8464
,ALKALI,EQ,        56.60,                 42185897.75,761470
,ALKYLAMINE,EQ,       341.15,                   574667.80,1667
,ALLCARGO,EQ,       356.70,                 41860368.25,116667
,ALLSEC,EQ,        24.00,                   134150.60,5627
,ALMONDZ,EQ,        11.40,                     2361.10,221
,ALOKTEXT,EQ,         8.65,                 87614002.85,10045644
,ALPA,BE,        13.75,                    47217.50,3434
,ALPHAGEO,EQ,       477.35,                  2254521.30,4654
,ALSTOMT&D,EQ,       581.30,                 24121550.15,41203
,AMARAJABAT,EQ,       870.10,                137946628.45,156300
,AMBIKCO,EQ,       908.20,                 66965082.00,72570
,AMDIND,EQ,        22.40,                    99054.05,4422
,AMRUTANJAN,EQ,       526.55,                 36972694.55,69486
,AMTEKAUTO,EQ,       163.60,                157157209.75,960360
,AMTEKINDIA,EQ,        75.00,                111305584.25,1512127
,AMTL,EQ,        13.90,                   156485.00,11230
,ANANTRAJ,EQ,        44.55,                 69784355.70,1565428
,ANDHRABANK,EQ,        81.70,                112320645.30,1371871
,ANDHRACEMT,EQ,         9.70,                   218332.75,22375
,ANDHRSUGAR,EQ,       100.45,                   973344.80,9627
,ANGIND,EQ,        41.40,                  9375497.75,227301
,ANIKINDS,BE,        23.90,                    40457.00,1690
,ANKITMETAL,EQ,         2.85,                   564661.65,195376
,ANSALAPI,EQ,        27.15,                  4232573.30,157898
,ANSALHSG,EQ,        31.45,                  1793373.10,56644
,ANTGRAPHIC,BE,          .10,                    16123.85,107863
,APARINDS,EQ,       383.55,                  1703950.55,4422
,APCOTEXIND,EQ,       500.35,                   839327.10,1672
,APLAPOLLO,EQ,       431.50,                  4977268.50,11424
,APLLTD,EQ,       484.95,                 63941215.30,132314
,APOLLOTYRE,EQ,       180.45,                556474350.15,3079185
,APOLSINHOT,BE,       172.35,                    54988.30,319
,APTECHT,EQ,        63.40,                  8604797.95,135744
,ARCHIDPLY,EQ,        35.60,                  1143695.25,32091
