,15-Apr-2015
The Nifty witnessed an intraday movement of about 122.4 points.The closing index was 0.95 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 20645.37
, Traded Quantity (in Lakhs), 10377.28
, Number of Trades, 8875505
, Total Market Capitalisation (Rs. Crores), 10339139.02

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8834.00,      8844.75,      8844.80,      8722.40,      8750.20,-83.8
,CNX IT,     12333.80,     12335.15,     12369.40,     12121.55,     12154.55,-179.25
,CNX Nifty Junior,     20503.75,     20560.30,     20611.60,     20271.65,     20336.05,-167.7
,BANK Nifty,     18798.25,     18848.65,     19038.50,     18615.85,     18716.30,-81.95
,CNX Midcap,     13663.30,     13701.75,     13738.70,     13533.10,     13564.50,-98.8
,CNX 500,      7286.20,      7299.55,      7299.55,      7205.45,      7224.20,-62
,CNX 100,      8882.30,      8895.20,      8895.20,      8773.95,      8799.85,-82.45
,Nifty Midcap 50,      3559.40,      3568.80,      3581.70,      3512.10,      3525.20,-34.2
,CNX Realty,       232.70,       233.35,       233.80,       228.80,       229.95,-2.75
,CNX Infra,      3452.90,      3451.75,      3456.65,      3386.75,      3404.00,-48.9
,CNX Energy,      8849.90,      8843.65,      8980.35,      8791.00,      8838.05,-11.85
,CNX FMCG,     21456.40,     21533.85,     21659.50,     21419.90,     21463.05,6.65
,CNX MNC,     10269.20,     10278.50,     10369.00,     10243.80,     10267.55,-1.65
,CNX Pharma,     13722.85,     13782.60,     13782.60,     13428.35,     13480.95,-241.9
,CNX PSE,      3616.80,      3616.30,      3633.60,      3571.20,      3582.65,-34.15
,CNX PSU Bank,      3681.85,      3693.15,      3797.35,      3680.80,      3733.95,52.1
,CNX Service,     11286.40,     11304.20,     11307.85,     11129.10,     11170.80,-115.6
,India VIX,14.4875,14.4875,14.9850,13.3400,14.6200,0.1325
,CNX AUTO,      8817.85,      8803.95,      8803.95,      8660.30,      8682.00,-135.85
,CNX Metal,      2485.00,      2483.10,      2492.50,      2458.35,      2467.00,-18
,CNX Media,      2244.20,      2241.75,      2268.30,      2231.15,      2238.35,-5.85
,CNX Smallcap,      6038.90,      6066.95,      6112.10,      5997.65,      6021.75,-17.15
,CNX 200,      4600.75,      4608.35,      4608.35,      4545.85,      4559.15,-41.6
,CNX Dividend Oppt,      2115.90,      2117.60,      2136.50,      2104.55,      2110.50,-5.4
,CNX Commodities,      2763.45,      2765.90,      2788.25,      2746.75,      2756.00,-7.45
,CNX Consumption,      3601.35,      3602.55,      3602.55,      3556.20,      3562.80,-38.55
,CNX Finance,      7715.15,      7740.80,      7762.90,      7616.75,      7647.60,-67.55
,Nifty Dividend,          .00,          .00,          .00,          .00,          .00,0
,LIX 15,      3918.05,      3913.95,      3936.95,      3856.30,      3874.15,-43.9
,CPSE Index,      2469.15,      2472.10,      2491.90,      2450.05,      2459.45,-9.7
,NI15,      5328.00,      5332.10,      5343.20,      5259.90,      5270.50,-57.5
,NIFTY PR 2X LEV,      4066.10,      4074.30,      4074.30,      3961.85,      3987.30,-78.8
,NIFTY PR 1X INV,       429.95,       429.60,       435.55,       429.60,       434.20,4.25
,NIFTY TR 2X LEV,      4671.50,      4680.95,      4680.95,      4551.75,      4580.95,-90.55
,NIFTY TR 1X INV,       401.00,       400.70,       406.25,       400.70,       405.00,4

,ADVANCES,646
,DECLINES,884
,UNCHANGED,61

,Total securities that have hit their price bands today,127

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,       286.30,       290.00,1.29,502.29
,AXISBANK,EQ,       566.00,       550.20,-2.79,499.64
,RELIANCE,EQ,       922.50,       923.65,0.12,467.43
,ITC,EQ,       351.50,       354.95,0.98,414.77
,TCS,EQ,      2655.50,      2627.75,-1.05,385.55
,KOTAKBANK,EQ,      1445.60,      1443.90,-0.12,365.93
,HDFC,EQ,      1305.25,      1290.45,-1.13,365.86
,LUPIN,EQ,      1981.50,      1951.45,-1.52,364.8
,INFRATEL,EQ,       385.25,       377.15,-2.1,354.49
,SUNPHARMA,EQ,      1150.95,      1117.30,-2.92,349.88
,INFY,EQ,      2238.80,      2213.70,-1.12,345.29
,ICICIBANK,EQ,       316.90,       315.00,-0.6,328.14
,YESBANK,EQ,       841.70,       845.65,0.47,293.52
,LT,EQ,      1803.50,      1787.65,-0.88,275.11
,WOCKPHARMA,EQ,      1862.90,      1739.65,-6.62,259.94
,GUJRATGAS,EQ,       666.75,       741.70,11.24,252.54
,TECHM,EQ,       664.40,       659.85,-0.68,251.07
,TATAMOTORS,EQ,       556.25,       540.45,-2.84,224.23
,M&M,EQ,      1247.80,      1208.90,-3.12,221.69
,INOXWIND,EQ,       430.25,       439.15,2.07,210.35
,AUROPHARMA,EQ,      1352.00,      1360.55,0.63,203.95
,ONGC,EQ,       311.85,       317.15,1.7,191.46
,HEROMOTOCO,EQ,      2580.70,      2524.55,-2.18,185.82
,TV18BRDCST,EQ,        36.55,        39.70,8.62,182.94
,ULTRACEMCO,EQ,      3001.45,      2986.50,-0.5,176.08

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SSLT,EQ,       206.25,       200.55,2.84
,ONGC,EQ,       317.15,       311.85,1.7
,BANKBARODA,EQ,       178.50,       175.55,1.68
,TATAPOWER,EQ,        81.20,        80.15,1.31
,SBIN,EQ,       290.00,       286.30,1.29

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHEL,EQ,       232.40,       242.65,-4.22
,HCLTECH,EQ,       944.50,       976.05,-3.23
,M&M,EQ,      1208.90,      1247.80,-3.12
,SUNPHARMA,EQ,      1117.30,      1150.95,-2.92
,TATAMOTORS,EQ,       540.45,       556.25,-2.84

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        36.50,                  1116436.65,29856
,3IINFOTECH,EQ,         7.50,                 32230247.70,4222019
,3MINDIA,EQ,      8824.05,                 13708171.85,1542
,8KMILES,EQ,       780.65,                281619387.55,350606
,A2ZINFRA,EQ,        18.35,                  4404324.30,238945
,AARTIDRUGS,EQ,       794.70,                 56464932.15,69729
,AARTIIND,EQ,       363.45,                 25838144.30,70937
,AARVEEDEN,EQ,        46.00,                    62819.85,1358
,ABAN,EQ,       465.60,                423489347.55,898672
,ABB,EQ,      1394.90,                126716212.75,89916
,ABBOTINDIA,EQ,      3997.75,                  5277680.05,1321
,ABCIL,EQ,       225.50,                  2459805.40,10840
,ABGSHIP,EQ,       228.05,                 65355119.50,278337
,ACCELYA,EQ,      1026.80,                 18848754.80,18388
,ACE,EQ,        43.75,                 22013129.35,495041
,ACROPETAL,EQ,         3.35,                   272723.45,81050
,ADANIPOWER,EQ,        48.85,                150149204.80,3032189
,ADFFOODS,EQ,        71.40,                 41874138.45,574823
,ADHUNIK,EQ,        22.30,                  1537082.25,68045
,ADLABS,EQ,       175.90,                 61428670.80,344759
,ADORWELD,EQ,       222.20,                   258058.25,1169
,ADSL,EQ,        19.80,                   861117.70,43392
,ADVANIHOTR,EQ,        47.10,                    31908.10,661
,ADVANTA,EQ,       538.75,                 33856740.60,61914
,AEGISCHEM,EQ,       745.95,                 72820686.40,96569
,AFL,EQ,        79.95,                 10558895.95,131964
,AFTEK,BZ,         4.75,                    47094.15,10069
,AGARIND,EQ,       109.90,                   339410.75,3099
,AGCNET,EQ,       109.80,                  4695834.60,42223
,AGRITECH,EQ,         5.65,                     5266.00,940
,AGRODUTCH,EQ,         3.00,                    55979.70,18637
,AHLEAST,EQ,       202.35,                  1389126.75,6715
,AHLUCONT,EQ,       274.00,                 14475285.05,52299
,AHLWEST,EQ,       126.40,                    36284.55,289
,AHMEDFORGE,EQ,       316.95,                550448151.65,1734444
,AIAENG,EQ,      1230.20,                 35624513.55,28975
,AIL,EQ,       731.00,                 11024020.40,14958
,AJANTPHARM,EQ,      1377.05,                288837262.50,207729
,AJMERA,EQ,       141.95,                 49281356.75,339215
,AKSHOPTFBR,EQ,        16.05,                  3623915.05,222697
,AKZOINDIA,EQ,      1413.60,                 97816131.10,68984
,ALBK,EQ,       106.40,                316359314.65,2962193
,ALCHEM,EQ,        31.00,                   723821.00,22831
,ALEMBICLTD,EQ,        40.15,                 36170945.35,888602
,ALICON,EQ,       293.70,                  3023039.05,10141
,ALKALI,EQ,        58.55,                 11983963.40,210499
,ALKYLAMINE,EQ,       343.95,                  1197174.30,3476
,ALLCARGO,EQ,       359.25,                 66313690.20,181278
,ALLSEC,EQ,        23.60,                    69095.70,2846
,ALMONDZ,EQ,        10.80,                    50664.70,4556
,ALOKTEXT,EQ,         8.40,                 29255434.45,3437789
,ALPA,BE,        15.10,                   127595.00,8450
,ALPHAGEO,EQ,       481.10,                  7834893.70,15707
,ALSTOMT&D,EQ,       584.20,                 80086816.60,136419
,AMARAJABAT,EQ,       865.00,                165723253.10,188500
,AMBIKCO,EQ,       933.50,                 19747379.75,21117
,AMDIND,EQ,        22.70,                   137635.05,6075
,AMRUTANJAN,EQ,       515.05,                 14062476.10,26885
,AMTEKAUTO,EQ,       169.65,                225521181.85,1311427
,AMTEKINDIA,EQ,        76.85,                 90098563.10,1150090
,AMTL,EQ,        13.80,                    40692.65,2904
,ANANTRAJ,EQ,        44.20,                104818484.60,2328076
,ANDHRABANK,EQ,        85.35,                243449644.30,2843784
,ANDHRACEMT,EQ,         9.60,                   212842.35,21841
,ANDHRSUGAR,EQ,       102.15,                   615918.25,6008
,ANGIND,EQ,        41.05,                  6627304.80,161449
,ANIKINDS,BE,        24.30,                    20326.00,830
,ANKITMETAL,EQ,         2.70,                   764134.95,276469
,ANSALAPI,EQ,        26.70,                  5285568.85,195808
,ANSALHSG,EQ,        31.70,                   983028.85,30459
,ANTGRAPHIC,BE,          .15,                    29564.15,196965
,APARINDS,EQ,       385.20,                  8637277.80,22530
,APCOTEXIND,EQ,       499.35,                  1925666.15,3835
,APLAPOLLO,EQ,       450.70,                 25707247.20,56877
,APLLTD,EQ,       487.90,                121586860.15,248251
,APOLLOTYRE,EQ,       190.75,                899863442.80,4694378
,APOLSINHOT,BE,       183.20,                    26519.50,147
,APTECHT,EQ,        62.20,                  5428395.65,86413
,ARCHIDPLY,EQ,        38.00,                  6229735.45,156124
