,23-Apr-2015
The Nifty witnessed an intraday movement of about 143.1 points.The closing index was 0.37 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 17371.97
, Traded Quantity (in Lakhs), 6643.99
, Number of Trades, 7078309
, Total Market Capitalisation (Rs. Crores), 9870209.48

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8429.70,      8478.20,      8504.95,      8361.85,      8398.30,-31.4
,CNX IT,     11492.00,     11571.05,     11572.05,     11410.40,     11451.55,-40.45
,CNX Nifty Junior,     19384.35,     19493.35,     19602.25,     19397.00,     19446.85,62.5
,BANK Nifty,     18243.70,     18350.35,     18433.80,     18143.75,     18245.60,1.9
,CNX Midcap,     12878.65,     12955.55,     13016.90,     12867.80,     12886.75,8.1
,CNX 500,      6938.00,      6978.35,      7002.55,      6899.50,      6922.40,-15.6
,CNX 100,      8463.60,      8512.10,      8541.25,      8407.85,      8441.10,-22.5
,Nifty Midcap 50,      3362.70,      3386.55,      3401.60,      3345.15,      3349.10,-13.6
,CNX Realty,       215.35,       217.05,       218.20,       212.60,       213.55,-1.8
,CNX Infra,      3285.45,      3308.10,      3313.15,      3254.25,      3266.25,-19.2
,CNX Energy,      8548.20,      8598.20,      8622.90,      8454.55,      8495.85,-52.35
,CNX FMCG,     20538.60,     20575.40,     20755.95,     20340.95,     20525.70,-12.9
,CNX MNC,      9737.50,      9792.35,      9872.95,      9707.25,      9771.30,33.8
,CNX Pharma,     12431.35,     12529.25,     12532.15,     12271.15,     12293.05,-138.3
,CNX PSE,      3503.60,      3529.00,      3541.75,      3491.65,      3495.40,-8.2
,CNX PSU Bank,      3653.25,      3671.45,      3691.30,      3579.25,      3591.35,-61.9
,CNX Service,     10790.85,     10856.20,     10887.80,     10736.50,     10777.80,-13.05
,India VIX,17.2100,17.2100,19.4350,14.9650,18.5000,1.2900
,CNX AUTO,      8280.30,      8337.65,      8360.05,      8194.90,      8228.80,-51.5
,CNX Metal,      2459.20,      2476.85,      2514.00,      2473.60,      2495.15,35.95
,CNX Media,      2128.15,      2135.75,      2164.75,      2133.35,      2138.45,10.3
,CNX Smallcap,      5734.05,      5771.95,      5795.85,      5702.35,      5709.45,-24.6
,CNX 200,      4378.85,      4404.30,      4419.40,      4352.00,      4367.50,-11.35
,CNX Dividend Oppt,      2045.90,      2056.00,      2064.30,      2029.80,      2038.25,-7.65
,CNX Commodities,      2684.80,      2701.65,      2717.50,      2670.40,      2680.30,-4.5
,CNX Consumption,      3405.45,      3422.45,      3443.00,      3387.95,      3407.30,1.85
,CNX Finance,      7504.90,      7544.50,      7580.55,      7453.60,      7488.30,-16.6
,Nifty Dividend,          .00,          .00,          .00,          .00,          .00,0
,LIX 15,      3814.15,      3841.50,      3869.80,      3811.10,      3828.65,14.5
,CPSE Index,      2391.15,      2407.05,      2420.40,      2392.00,      2393.90,2.75
,NI15,      4988.35,      5016.20,      5036.10,      4962.90,      4981.50,-6.85
,NIFTY PR 2X LEV,      3692.50,      3734.20,      3756.95,      3633.45,      3664.20,-28.3
,NIFTY PR 1X INV,       451.10,       448.60,       454.80,       447.25,       452.90,1.8
,NIFTY TR 2X LEV,      4242.30,      4290.25,      4316.35,      4174.45,      4209.80,-32.5
,NIFTY TR 1X INV,       420.75,       418.40,       424.15,       417.10,       422.40,1.65

,ADVANCES,700
,DECLINES,809
,UNCHANGED,69

,Total securities that have hit their price bands today,118

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,YESBANK,EQ,       796.05,       851.30,6.94,1103.46
,SUNPHARMA,EQ,       967.80,       942.00,-2.67,898
,INFY,EQ,      2137.70,      2122.00,-0.73,631.72
,TCS,EQ,      2445.10,      2457.25,0.5,534.36
,TATASTEEL,EQ,       351.35,       369.45,5.15,445.43
,HDFC,EQ,      1277.20,      1276.05,-0.09,437.95
,SBIN,EQ,       283.85,       277.65,-2.18,389.13
,AXISBANK,EQ,       540.10,       538.20,-0.35,295.85
,LT,EQ,      1745.60,      1724.10,-1.23,294.65
,ICICIBANK,EQ,       312.95,       311.85,-0.35,293.92
,HCLTECH,EQ,       877.30,       895.00,2.02,284.79
,RELIANCE,EQ,       879.75,       877.05,-0.31,267.99
,LUPIN,EQ,      1750.50,      1725.85,-1.41,256.84
,TATAMOTORS,EQ,       523.50,       512.00,-2.2,256.32
,HDFCBANK,EQ,      1013.10,      1013.50,0.04,244.51
,HEROMOTOCO,EQ,      2409.40,      2390.55,-0.78,241.92
,TECHM,EQ,       629.80,       615.20,-2.32,240.17
,CIPLA,EQ,       656.70,       663.95,1.1,238.9
,BHARTIARTL,EQ,       399.40,       399.85,0.11,229.86
,ITC,EQ,       343.40,       342.10,-0.38,203.79
,MRF,EQ,     38739.90,     40014.25,3.29,197.56
,WIPRO,EQ,       544.55,       534.25,-1.89,164.01
,WOCKPHARMA,EQ,      1741.70,      1702.10,-2.27,149.27
,CENTURYTEX,EQ,       737.55,       734.15,-0.46,144.64
,HDIL,EQ,       123.85,       121.15,-2.18,141.74

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,YESBANK,EQ,       851.30,       796.05,6.94
,TATASTEEL,EQ,       369.45,       351.35,5.15
,HCLTECH,EQ,       895.00,       877.30,2.02
,ZEEL,EQ,       328.90,       322.85,1.87
,INDUSINDBK,EQ,       858.75,       846.25,1.48

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SUNPHARMA,EQ,       942.00,       967.80,-2.67
,ACC,EQ,      1518.60,      1557.30,-2.49
,TECHM,EQ,       615.20,       629.80,-2.32
,ULTRACEMCO,EQ,      2728.30,      2792.80,-2.31
,CAIRN,EQ,       213.60,       218.60,-2.29

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        35.45,                   434842.45,12421
,3IINFOTECH,EQ,         6.85,                  4686050.90,674919
,3MINDIA,EQ,      8449.05,                  3438648.15,406
,8KMILES,EQ,       705.00,                 37000798.80,51535
,A2ZINFRA,EQ,        16.60,                  2108459.35,126637
,AARTIDRUGS,EQ,       691.70,                 23027525.50,32826
,AARTIIND,EQ,       339.60,                 14505900.15,42001
,ABAN,EQ,       439.35,                216787440.35,491258
,ABB,EQ,      1360.45,                 41729553.85,30450
,ABBOTINDIA,EQ,      3849.90,                 42913985.05,11154
,ABCIL,EQ,       217.30,                  1445614.50,6626
,ABGSHIP,EQ,       209.60,                 13705638.90,65147
,ACCELYA,EQ,      1092.30,                 12175023.15,11182
,ACE,EQ,        39.55,                  8890299.60,222966
,ACROPETAL,EQ,         3.00,                    72678.80,25339
,ADANIPOWER,EQ,        44.40,                144926308.35,3220619
,ADFFOODS,EQ,        68.20,                  2744587.95,40290
,ADHUNIK,EQ,        21.40,                  1983407.40,90888
,ADLABS,EQ,       159.15,                 15878347.90,99392
,ADORWELD,EQ,       219.65,                   124355.10,565
,ADSL,EQ,        18.35,                   552496.50,29641
,ADVANIHOTR,EQ,        48.40,                    57651.00,1201
,ADVANTA,EQ,       518.65,                101707217.95,191362
,AEGISCHEM,EQ,       700.05,                 49142317.25,69149
,AFL,EQ,        77.75,                   856637.70,11157
,AFTEK,BZ,         3.95,                    14827.25,3760
,AGARIND,EQ,       108.40,                   429958.75,3881
,AGCNET,EQ,       102.35,                   183108.25,1795
,AGRITECH,EQ,         5.30,                     8702.60,1642
,AGRODUTCH,EQ,         3.90,                    40930.50,10495
,AHLEAST,EQ,       190.05,                  1340940.15,6831
,AHLUCONT,EQ,       255.20,                 27950387.10,111945
,AHLWEST,EQ,       134.85,                  8467805.30,62626
,AHMEDFORGE,EQ,       252.55,                 98755645.95,384311
,AIAENG,EQ,      1136.80,                 66971332.25,58467
,AIL,EQ,       737.65,                 33594917.95,44799
,AJANTPHARM,EQ,      1403.10,                109720235.35,78105
,AJMERA,EQ,       136.95,                 16669334.85,119757
,AKSHOPTFBR,EQ,        15.15,                  2850411.15,186824
,AKZOINDIA,EQ,      1425.25,                  5377151.80,3756
,ALBK,EQ,       101.35,                204872167.45,2012199
,ALCHEM,EQ,        27.20,                   661954.05,24282
,ALEMBICLTD,EQ,        37.45,                 11162947.55,295373
,ALICON,EQ,       275.05,                   940116.45,3410
,ALKALI,EQ,        51.35,                   963819.75,18655
,ALKYLAMINE,EQ,       315.05,                 36419801.60,115587
,ALLCARGO,EQ,       333.00,                 25597657.60,75749
,ALLSEC,EQ,        22.60,                    43684.00,1911
,ALMONDZ,EQ,        10.45,                    36850.50,3512
,ALOKTEXT,EQ,         7.75,                 22922876.65,2919480
,ALPA,BE,        15.75,                   369076.70,23578
,ALPHAGEO,EQ,       454.75,                  1401304.10,3051
,ALSTOMT&D,EQ,       539.25,                 37372151.30,68396
,AMARAJABAT,EQ,       829.90,                137582449.30,166511
,AMBIKCO,EQ,       904.25,                  9932703.45,10912
,AMDIND,EQ,        21.75,                    39545.90,1799
,AMRUTANJAN,EQ,       488.55,                 16826137.10,34339
,AMTEKAUTO,EQ,       161.35,                207763097.15,1266919
,AMTEKINDIA,EQ,        95.10,                158059412.60,1662777
,AMTL,EQ,        13.40,                    25244.10,1866
,ANANTRAJ,EQ,        40.10,                 20942494.15,518562
,ANDHRABANK,EQ,        76.80,                155664451.40,2004740
,ANDHRACEMT,EQ,         8.95,                   133886.20,15043
,ANDHRSUGAR,EQ,       100.05,                   660291.65,6579
,ANGIND,EQ,        42.55,                 19262128.15,450163
,ANIKINDS,BE,        23.60,                     2551.00,110
,ANKITMETAL,EQ,         2.50,                   548463.65,218771
,ANSALAPI,EQ,        24.25,                   852408.70,35024
,ANSALHSG,EQ,        30.10,                   147565.35,4829
,ANTGRAPHIC,BE,          .15,                      545.75,3605
,APARINDS,EQ,       362.00,                  2441384.80,6723
,APCOTEXIND,EQ,       469.00,                  2475935.75,5252
,APLAPOLLO,EQ,       436.40,                  1384905.70,3123
,APLLTD,EQ,       487.45,                 85741207.85,173353
,APOLLOTYRE,EQ,       174.75,                236704955.45,1349204
,APOLSINHOT,BE,       197.15,                    57069.00,293
,APTECHT,EQ,        60.75,                  2050843.65,33570
,ARCHIDPLY,EQ,        36.40,                   799621.70,21915
,ARCHIES,EQ,        18.90,                  1753656.20,91944
