,02-Jun-2015
The Nifty witnessed an intraday movement of about 219.3 points.The closing index was 2.34 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 16983.48
, Traded Quantity (in Lakhs), 7408.36
, Number of Trades, 7215955
, Total Market Capitalisation (Rs. Crores), 9797734.43

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8433.40,      8442.80,      8445.35,      8226.05,      8236.45,-196.95
,CNX IT,     11525.65,     11523.85,     11563.95,     11326.70,     11347.90,-177.75
,CNX Nifty Junior,     19812.65,     19856.25,     19875.80,     19389.25,     19407.35,-405.3
,BANK Nifty,     18617.00,     18656.05,     18656.05,     17932.30,     17977.30,-639.7
,CNX Midcap,     13180.05,     13200.45,     13205.10,     12878.90,     12893.90,-286.15
,CNX 500,      6957.45,      6966.50,      6966.50,      6793.00,      6799.45,-158
,CNX 100,      8495.55,      8506.40,      8506.40,      8292.25,      8300.85,-194.7
,Nifty Midcap 50,      3368.05,      3374.00,      3374.00,      3266.90,      3273.50,-94.55
,CNX Realty,       203.55,       204.05,       204.35,       194.55,       195.45,-8.1
,CNX Infra,      3244.95,      3256.60,      3256.60,      3196.90,      3203.40,-41.55
,CNX Energy,      8591.95,      8620.90,      8664.35,      8506.00,      8530.60,-61.35
,CNX FMCG,     20387.40,     20304.00,     20304.00,     19676.35,     19709.15,-678.25
,CNX MNC,      9993.60,      9997.50,      9999.00,      9771.40,      9792.25,-201.35
,CNX Pharma,     12079.80,     12149.25,     12155.50,     11885.75,     11902.85,-176.95
,CNX PSE,      3559.30,      3567.40,      3567.40,      3503.65,      3509.30,-50
,CNX PSU Bank,      3537.65,      3544.65,      3547.55,      3385.50,      3391.40,-146.25
,CNX Service,     10811.25,     10824.60,     10829.65,     10531.15,     10542.20,-269.05
,India VIX,16.9125,16.9125,17.1375,16.0325,16.8200,-0.0925
,CNX AUTO,      8509.35,      8515.35,      8521.25,      8308.00,      8325.05,-184.3
,CNX Metal,      2382.80,      2384.70,      2386.00,      2325.80,      2330.15,-52.65
,CNX Media,      2092.95,      2088.70,      2112.00,      2083.10,      2100.10,7.15
,CNX Smallcap,      5552.50,      5563.10,      5565.55,      5414.50,      5425.70,-126.8
,CNX 200,      4398.30,      4403.80,      4403.80,      4290.80,      4295.55,-102.75
,CNX Dividend Oppt,      2060.80,      2062.95,      2062.95,      2007.00,      2009.90,-50.9
,CNX Commodities,      2690.00,      2695.45,      2695.45,      2638.25,      2642.35,-47.65
,CNX Consumption,      3495.45,      3496.90,      3496.90,      3415.75,      3420.40,-75.05
,CNX Finance,      7509.55,      7520.30,      7520.65,      7245.05,      7256.85,-252.7
,Nifty Dividend,        10.37,        10.37,        10.37,        10.37,        10.37,0
,LIX 15,      3757.95,      3769.15,      3771.05,      3639.05,      3650.10,-107.85
,CPSE Index,      2457.15,      2464.00,      2464.00,      2410.50,      2414.45,-42.7
,NI15,      5142.70,      5138.15,      5140.10,      5018.30,      5025.80,-116.9
,NIFTY PR 2X LEV,      3653.50,      3660.90,      3660.90,      3474.10,      3482.05,-171.45
,NIFTY PR 1X INV,       453.05,       452.65,       464.25,       452.65,       463.75,10.7
,NIFTY TR 2X LEV,      4205.45,      4213.95,      4213.95,      3998.90,      4008.10,-197.35
,NIFTY TR 1X INV,       422.15,       421.75,       432.55,       421.75,       432.10,9.95

,ADVANCES,292
,DECLINES,1206
,UNCHANGED,48

,Total securities that have hit their price bands today,89

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ADANIENT,EQ,       633.05,       637.00,0.62,1100.84
,SUNPHARMA,EQ,       877.65,       860.75,-1.93,627.01
,SBIN,EQ,       278.20,       266.25,-4.3,588.84
,TCS,EQ,      2617.75,      2599.90,-0.68,512.75
,LT,EQ,      1705.55,      1673.55,-1.88,493.7
,RELIANCE,EQ,       902.25,       898.65,-0.4,416.8
,ICICIBANK,EQ,       316.45,       304.50,-3.78,395.08
,AXISBANK,EQ,       578.45,       553.10,-4.38,394.44
,HDFC,EQ,      1247.75,      1203.10,-3.58,344.08
,LUPIN,EQ,      1792.05,      1800.75,0.49,310.74
,TATAMOTORS,EQ,       472.05,       466.95,-1.08,293.13
,YESBANK,EQ,       879.55,       845.70,-3.85,285.51
,INFY,EQ,      2047.80,      2008.65,-1.91,235.83
,ITC,EQ,       332.05,       318.65,-4.04,233.3
,ADANIPORTS,EQ,       311.55,       309.15,-0.77,231.64
,HEROMOTOCO,EQ,      2710.00,      2608.60,-3.74,215.94
,AUROPHARMA,EQ,      1360.40,      1323.25,-2.73,211.89
,EICHERMOT,EQ,     18777.90,     18145.20,-3.37,202.24
,WOCKPHARMA,EQ,      1474.80,      1402.25,-4.92,185.17
,BHARTIARTL,EQ,       416.60,       418.10,0.36,179.47
,UNIONBANK,EQ,       175.15,       161.05,-8.05,149.71
,IBULHSGFIN,EQ,       609.10,       596.70,-2.04,148.63
,HDIL,EQ,       108.80,       104.05,-4.37,144.39
,MARUTI,EQ,      3882.85,      3831.40,-1.33,126.84
,TECHM,EQ,       550.60,       549.40,-0.22,125.3

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ZEEL,EQ,       327.45,       320.25,2.25
,LUPIN,EQ,      1800.75,      1792.05,.49
,BHARTIARTL,EQ,       418.10,       416.60,.36

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,AXISBANK,EQ,       553.10,       578.45,-4.38
,SBIN,EQ,       266.25,       278.20,-4.3
,INDUSINDBK,EQ,       847.15,       882.95,-4.05
,ITC,EQ,       318.65,       332.05,-4.04
,HINDALCO,EQ,       123.25,       128.35,-3.97

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        32.15,                  1753366.70,54086
,3IINFOTECH,EQ,         3.15,                  1114561.35,353829
,3MINDIA,EQ,      8690.70,                 20242636.15,2277
,8KMILES,EQ,       679.75,                  8647931.75,12560
,A2ZINFRA,EQ,        14.35,                  1964333.30,136181
,AARTIDRUGS,EQ,       654.35,                 13789730.75,20822
,AARTIIND,EQ,       313.80,                  9612417.40,30637
,AARVEEDEN,EQ,        39.00,                   182821.30,4659
,ABAN,EQ,       378.00,                186137575.25,486250
,ABB,EQ,      1316.65,                 22556777.65,16966
,ABBOTINDIA,EQ,      4002.55,                 20435386.60,5068
,ABCIL,EQ,       216.25,                   669831.35,3075
,ABGSHIP,EQ,       142.55,                 25085827.15,175652
,ACCELYA,EQ,       952.60,                 13072454.60,13597
,ACE,EQ,        39.10,                  4545076.65,115687
,ACROPETAL,EQ,         2.65,                   195657.45,71089
,ADANIENT,EQ,       637.00,              11008439476.10,17253576
,ADANIPOWER,EQ,        36.25,                252148892.00,6884916
,ADFFOODS,EQ,        66.75,                  1924068.00,28416
,ADHUNIK,EQ,        16.90,                   509718.15,29938
,ADI,EQ,       280.00,                     2285.75,8
,ADLABS,EQ,       146.90,                  5735920.50,38401
,ADORWELD,EQ,       226.10,                   949519.15,4192
,ADSL,EQ,        22.10,                  1580128.15,70343
,ADVANIHOTR,EQ,        46.70,                    19464.05,416
,ADVANTA,EQ,       486.60,                 18317663.40,36737
,AEGISCHEM,EQ,       672.00,                 10151713.65,14963
,AFL,EQ,        70.70,                   117616.95,1665
,AGARIND,EQ,       104.35,                  1229701.50,11822
,AGCNET,EQ,       117.00,                  4939017.25,41250
,AGRITECH,EQ,         5.55,                      555.00,100
,AGRODUTCH,EQ,         5.35,                      518.95,97
,AHLEAST,EQ,       181.35,                   199686.70,1103
,AHLUCONT,EQ,       220.65,                  8804738.55,39226
,AHLWEST,EQ,       118.00,                   130172.50,1099
,AIAENG,EQ,       998.00,                 79644508.70,79067
,AIL,EQ,       724.25,                 12052711.80,16602
,AJANTPHARM,EQ,      1558.20,                567035697.65,354461
,AJMERA,EQ,       145.15,                 28871611.75,193820
,AKSHOPTFBR,EQ,        14.90,                  2638850.95,175118
,AKZOINDIA,EQ,      1369.35,                 29772576.55,21745
,ALBK,EQ,        99.25,                304205616.10,2981059
,ALCHEM,EQ,        25.10,                   389144.95,15375
,ALEMBICLTD,EQ,        33.35,                  6363512.05,188467
,ALICON,EQ,       267.95,                  1003723.60,3692
,ALKALI,EQ,        42.60,                   343403.80,7993
,ALKYLAMINE,EQ,       283.85,                  7038435.95,24494
,ALLCARGO,EQ,       318.50,                 22705166.70,70504
,ALLSEC,EQ,        24.15,                    82510.20,3441
,ALMONDZ,EQ,        10.60,                   862377.65,78527
,ALOKTEXT,EQ,         6.75,                 25127248.20,3663636
,ALPA,BE,        12.00,                    49385.00,4200
,ALPHAGEO,EQ,       417.15,                   742272.30,1755
,ALSTOMT&D,EQ,       535.45,                 11282164.20,20989
,AMARAJABAT,EQ,       878.45,                317991763.50,360217
,AMBIKCO,EQ,       906.70,                 22139411.25,24434
,AMDIND,EQ,        22.90,                    34754.30,1519
,AMRUTANJAN,EQ,       455.00,                  5879932.70,12920
,AMTEKAUTO,EQ,       153.75,                381757793.30,2446464
,AMTEKINDIA,EQ,       181.30,                239507578.05,1328166
,AMTL,EQ,        14.00,                    12106.50,863
,ANANTRAJ,EQ,        35.70,                  8927466.00,246949
,ANDHRABANK,EQ,        75.20,                294048107.85,3818338
,ANDHRACEMT,EQ,         7.75,                    93064.35,12002
,ANDHRSUGAR,EQ,        93.00,                  1125740.30,12146
,ANGIND,EQ,        38.80,                  7041949.65,183585
,ANIKINDS,BE,        25.40,                      635.00,25
,ANKITMETAL,EQ,         3.05,                   969074.40,320479
,ANSALAPI,EQ,        21.90,                  1096807.25,49329
,ANSALHSG,EQ,        25.55,                   358108.10,13898
,ANTGRAPHIC,BE,          .15,                     2935.00,19900
,APARINDS,EQ,       334.45,                  4886969.30,14648
,APCOTEXIND,EQ,       461.50,                  3040517.70,6530
,APLAPOLLO,EQ,       419.80,                  2059655.55,4887
,APLLTD,EQ,       550.30,                150167841.55,273805
,APOLLOTYRE,EQ,       176.00,                422175956.65,2352601
,APOLSINHOT,BE,       183.05,                    56801.25,311
,APTECHT,EQ,        55.80,                  4063278.45,71668
,ARCHIDPLY,EQ,        37.30,                  5536308.05,144235
,ARCHIES,EQ,        19.10,                  1225636.90,63592
,ARCOTECH,EQ,       340.90,                 24570916.90,71347
,ARIES,EQ,       105.80,                  3422984.05,32045
