,05-Jun-2015
The Nifty witnessed an intraday movement of about 90.85 points.The closing index was 0.2 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 15088.46
, Traded Quantity (in Lakhs), 7637.26
, Number of Trades, 6866864
, Total Market Capitalisation (Rs. Crores), 9598699.86

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8130.65,      8119.15,      8191.00,      8100.15,      8114.70,-15.95
,CNX IT,     11379.20,     11376.45,     11444.00,     11282.30,     11291.55,-87.65
,CNX Nifty Junior,     19193.10,     19133.25,     19333.65,     19082.45,     19243.85,50.75
,BANK Nifty,     17719.20,     17679.90,     17786.50,     17506.25,     17549.25,-169.95
,CNX Midcap,     12697.40,     12662.95,     12796.70,     12638.80,     12721.00,23.6
,CNX 500,      6704.75,      6693.25,      6754.40,      6683.20,      6700.70,-4.05
,CNX 100,      8196.55,      8182.80,      8254.75,      8169.10,      8186.25,-10.3
,Nifty Midcap 50,      3185.15,      3179.05,      3221.65,      3167.90,      3190.85,5.7
,CNX Realty,       185.40,       183.50,       185.40,       181.75,       182.25,-3.15
,CNX Infra,      3166.30,      3160.15,      3218.40,      3160.15,      3189.95,23.65
,CNX Energy,      8460.00,      8444.00,      8557.85,      8434.45,      8502.35,42.35
,CNX FMCG,     19069.15,     19070.50,     19425.50,     18905.30,     19259.60,190.45
,CNX MNC,      9604.60,      9599.85,      9711.35,      9564.10,      9608.30,3.7
,CNX Pharma,     11633.15,     11641.35,     11834.15,     11641.35,     11715.85,82.7
,CNX PSE,      3448.20,      3449.20,      3531.10,      3447.40,      3503.80,55.6
,CNX PSU Bank,      3290.10,      3277.45,      3337.70,      3266.10,      3280.15,-9.95
,CNX Service,     10488.00,     10470.00,     10525.05,     10408.35,     10422.80,-65.2
,India VIX,18.1225,18.1225,18.3750,17.6875,18.0875,-0.0350
,CNX AUTO,      8130.45,      8089.55,      8160.15,      8046.90,      8092.30,-38.15
,CNX Metal,      2274.20,      2277.45,      2338.20,      2272.90,      2315.50,41.3
,CNX Media,      2095.05,      2089.05,      2151.05,      2073.60,      2137.15,42.1
,CNX Smallcap,      5247.45,      5231.95,      5298.90,      5220.85,      5259.80,12.35
,CNX 200,      4237.90,      4230.45,      4268.75,      4223.50,      4234.05,-3.85
,CNX Dividend Oppt,      1959.40,      1957.45,      1993.10,      1954.20,      1975.90,16.5
,CNX Commodities,      2599.55,      2597.25,      2632.25,      2592.45,      2611.15,11.6
,CNX Consumption,      3358.05,      3356.25,      3405.85,      3349.55,      3378.90,20.85
,CNX Finance,      7191.30,      7178.50,      7209.40,      7114.50,      7129.80,-61.5
,Nifty Dividend,        28.47,        31.94,        31.94,        31.94,        31.94,3.47
,LIX 15,      3585.40,      3575.05,      3603.65,      3555.30,      3559.85,-25.55
,CPSE Index,      2361.80,      2367.55,      2430.20,      2367.35,      2415.85,54.05
,NI15,      4943.25,      4940.20,      4992.45,      4914.55,      4938.70,-4.55
,NIFTY PR 2X LEV,      3391.35,      3381.10,      3440.65,      3367.20,      3377.35,-14
,NIFTY PR 1X INV,       469.90,       470.65,       471.60,       466.50,       470.90,1
,NIFTY TR 2X LEV,      3916.85,      3907.50,      3976.35,      3891.45,      3903.20,-13.65
,NIFTY TR 1X INV,       437.10,       437.65,       438.55,       433.80,       437.90,.8

,ADVANCES,794
,DECLINES,692
,UNCHANGED,70

,Total securities that have hit their price bands today,111

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ICICIBANK,EQ,       290.10,       284.10,-2.07,622.32
,TATAMOTORS,EQ,       451.20,       442.10,-2.02,496.36
,NESTLEIND,EQ,      6004.45,      6011.60,0.12,451.96
,SUNPHARMA,EQ,       831.55,       847.90,1.97,400.4
,AXISBANK,EQ,       556.40,       548.40,-1.44,388.09
,COALINDIA,EQ,       388.55,       405.35,4.32,374.13
,SBIN,EQ,       257.60,       257.80,0.08,351
,ITC,EQ,       301.60,       304.30,0.9,341.89
,INFY,EQ,      2028.05,      2011.65,-0.81,309.49
,TCS,EQ,      2605.65,      2575.85,-1.14,298.21
,RELIANCE,EQ,       912.70,       907.75,-0.54,271.84
,LT,EQ,      1662.45,      1683.60,1.27,270.05
,YESBANK,EQ,       827.15,       823.40,-0.45,223.75
,BHARTIARTL,EQ,       416.40,       415.60,-0.19,208.07
,JUSTDIAL,EQ,      1109.65,      1112.00,0.21,199.95
,HDFC,EQ,      1216.00,      1201.35,-1.2,188.33
,HDIL,EQ,       100.40,        99.30,-1.1,187.2
,HDFCBANK,EQ,      1014.95,      1011.75,-0.32,170.78
,ONGC,EQ,       301.35,       308.20,2.27,168.91
,WOCKPHARMA,EQ,      1384.20,      1373.25,-0.79,168.12
,LUPIN,EQ,      1749.70,      1776.60,1.54,156.9
,INFRATEL,EQ,       435.20,       447.10,2.73,156.82
,TATASTEEL,EQ,       308.05,       311.10,0.99,155.86
,GATI,EQ,       146.65,       168.70,15.04,144.31
,HCLTECH,EQ,       940.65,       929.00,-1.24,140.31

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,COALINDIA,EQ,       405.35,       388.55,4.32
,ZEEL,EQ,       336.60,       325.35,3.46
,GAIL,EQ,       386.15,       374.15,3.21
,IDEA,EQ,       178.80,       174.00,2.76
,NMDC,EQ,       120.10,       117.35,2.34

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,AMBUJACEM,EQ,       221.80,       229.00,-3.14
,ACC,EQ,      1434.50,      1466.90,-2.21
,ULTRACEMCO,EQ,      2806.25,      2868.05,-2.15
,ICICIBANK,EQ,       284.10,       290.10,-2.07
,TATAMOTORS,EQ,       442.10,       451.20,-2.02

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        32.35,                   525743.30,16297
,3IINFOTECH,EQ,         3.60,                  9306925.00,2594034
,3MINDIA,EQ,      8481.25,                  4267335.30,497
,8KMILES,EQ,       654.45,                  3183110.80,4851
,A2ZINFRA,EQ,        13.55,                  1846588.90,134908
,AARTIDRUGS,EQ,       598.15,                 13274929.55,22283
,AARTIIND,EQ,       321.45,                 10122325.10,32000
,AARVEEDEN,EQ,        43.10,                   187385.15,4353
,ABAN,EQ,       328.45,                318298409.95,964197
,ABB,EQ,      1266.05,                 31597125.95,24820
,ABBOTINDIA,EQ,      3942.40,                  9610504.10,2426
,ABCIL,EQ,       209.70,                   757903.90,3598
,ABGSHIP,EQ,       167.25,                243827742.75,1525505
,ACCELYA,EQ,       969.10,                  1444815.35,1494
,ACE,EQ,        40.55,                 23759716.65,581512
,ACROPETAL,EQ,         2.55,                    50895.70,20686
,ADANIENT,EQ,       115.25,               1148937096.90,9867790
,ADANIPOWER,EQ,        31.50,                160324281.20,5022277
,ADFFOODS,EQ,        65.45,                  1815111.10,27890
,ADHUNIK,EQ,        16.15,                   858370.55,52818
,ADI,EQ,       270.75,                   205974.00,745
,ADLABS,EQ,       137.05,                  7405577.50,54303
,ADORWELD,EQ,       221.65,                   435906.35,1953
,ADSL,EQ,        20.40,                   927572.50,44754
,ADVANIHOTR,EQ,        45.50,                     4550.00,100
,ADVANTA,EQ,       471.90,                 13074061.40,27528
,AEGISCHEM,EQ,       731.00,                168468390.75,225687
,AFL,EQ,        67.75,                   125440.30,1851
,AGARIND,EQ,       101.70,                   481154.10,4743
,AGCNET,EQ,       105.90,                  2183576.60,20301
,AGRITECH,EQ,         5.50,                      110.00,20
,AGRODUTCH,EQ,         4.65,                   617114.70,128538
,AHLEAST,EQ,       179.25,                    97115.05,549
,AHLUCONT,EQ,       210.45,                  6597462.50,31542
,AHLWEST,EQ,       115.00,                    57094.00,492
,AIAENG,EQ,       975.80,                 33533719.60,34039
,AIL,EQ,       727.35,                  7465983.40,10220
,AJANTPHARM,EQ,      1563.15,                266352656.20,170004
,AJMERA,EQ,       136.35,                 14777230.70,106691
,AKSHOPTFBR,EQ,        13.80,                  1077500.45,77897
,AKZOINDIA,EQ,      1320.35,                  7565366.25,5688
,ALBK,EQ,        96.15,                159148246.45,1648670
,ALCHEM,EQ,        23.15,                   186810.85,8031
,ALEMBICLTD,EQ,        32.15,                 18285907.60,569541
,ALICON,EQ,       260.85,                   445664.70,1697
,ALKALI,EQ,        38.85,                    77129.35,1970
,ALKYLAMINE,EQ,       275.25,                   457946.25,1643
,ALLCARGO,EQ,       315.55,                 25367796.90,80002
,ALLSEC,EQ,        23.50,                    19064.20,795
,ALMONDZ,EQ,        10.10,                    22905.20,2275
,ALOKTEXT,EQ,         6.20,                 24698261.40,4015445
,ALPA,BE,        12.00,                    20399.90,1713
,ALPHAGEO,EQ,       411.55,                   338418.65,827
,ALSTOMT&D,EQ,       528.15,                 74401799.40,140133
,AMARAJABAT,EQ,       880.45,                174016617.95,197021
,AMBIKCO,EQ,       900.00,                  5243857.10,5853
,AMDIND,EQ,        21.50,                    71209.80,3266
,AMRUTANJAN,EQ,       441.15,                  5346729.50,12078
,AMTEKAUTO,EQ,       148.40,                324131731.75,2202194
,AMTEKINDIA,EQ,       177.55,                165362622.60,934094
,AMTL,EQ,        14.00,                     4276.20,314
,ANANTRAJ,EQ,        33.90,                 19759727.70,582055
,ANDHRABANK,EQ,        70.70,                132833022.70,1867883
,ANDHRACEMT,EQ,         7.80,                    93291.55,11918
,ANDHRSUGAR,EQ,        90.05,                   397703.00,4435
,ANGIND,EQ,        33.65,                  3530130.95,102707
,ANIKINDS,BE,        24.00,                    27772.00,1153
,ANKITMETAL,EQ,         3.05,                   253604.75,83149
,ANSALAPI,EQ,        20.25,                   819718.05,40446
,ANSALHSG,EQ,        24.10,                   134653.10,5568
,ANTGRAPHIC,BE,          .10,                      551.25,4512
,APARINDS,EQ,       337.60,                   874756.20,2604
,APCOTEXIND,EQ,       450.25,                   756681.15,1686
,APLAPOLLO,EQ,       395.85,                  1677644.75,4189
,APLLTD,EQ,       557.80,                161054227.20,285146
,APOLLOTYRE,EQ,       171.45,                509290493.25,2993925
,APOLSINHOT,BE,       171.15,                   158465.00,927
,APTECHT,EQ,        54.50,                  2132435.40,39036
,ARCHIDPLY,EQ,        33.90,                  1387093.40,41119
